,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Canada Total,,,506,"1,526.28","9,079",542,"1,552.94","9,834",143,699.78,"3,336",578,"1,657.63","10,557",582,662.48,"10,547",127,597.51,"3,279",562,"1,867.62","11,838",609,"1,908.18","12,160",151,686.19,"3,753",606,"1,954.22","12,641",632,"1,954.81","12,716",150,761.28,"4,058",599,"1,981.60","12,636"
,Credit - Degree Applicable                         Total,,478,"1,448.03","8,637",516,"1,502.38","9,463",133,679.97,"3,223",546,"1,576.26","9,910",554,609.56,"10,005",124,589.15,"3,206",536,"1,764.83","11,127",580,"1,804.01","11,457",146,672.79,"3,631",570,"1,815.68","11,671",599,"1,836.04","11,923",143,741.86,"3,895",565,"1,859.92","11,814"
,,020100 - Architecture and Architectural Technolog,1,5.93,31,1,2.90,29,,,,2,3.30,33,2,4.70,47,,,,1,2.60,26,2,5.70,57,,,,1,2.40,24,2,4.90,49,,,,1,2.70,27
,,030100 - Environmental Science                   ,3,4.43,45,4,4.33,44,,,,4,6.78,69,4,3.00,67,,,,4,8.07,82,4,12.04,85,,,,4,12.50,90,4,11.64,81,1,16.00,30,2,5.99,58
,,"040100 - Biology, General                        ",13,79.20,348,12,67.28,318,4,47.04,174,14,72.77,399,12,23.15,378,2,14.63,80,13,85.60,476,13,71.04,404,3,31.08,170,14,91.11,524,13,81.62,453,3,41.14,225,13,104.45,555
,,040300 - MicroBiology                            ,3,24.08,87,3,25.08,85,1,13.84,36,3,18.48,77,3,7.82,79,,,,3,21.38,86,3,25.87,89,,,,3,22.54,91,3,25.85,87,,,,3,20.52,87
,,041000 - Anatomy and Physiology                  ,10,56.54,203,12,59.15,223,,,,7,54.30,186,8,24.72,184,,,,6,44.11,171,8,51.61,202,,,,6,45.31,179,7,51.16,204,,,,6,43.53,174
,,"050100 - Business and Commerce, General          ",15,27.60,243,9,21.07,177,4,17.92,98,14,34.62,340,15,8.59,343,8,40.04,219,13,45.50,340,22,72.61,590,8,44.07,241,15,54.35,396,24,84.50,621,9,55.21,302,18,82.27,516
,,050200 - Accounting                              ,8,19.31,138,6,24.77,175,1,9.02,37,12,38.12,222,11,3.04,202,,,,9,35.29,220,9,32.69,209,2,14.87,61,9,33.54,204,9,34.60,206,2,12.92,53,9,38.70,229
,,050210 - Tax Studies                             ,,,,1,1.10,24,,,,,,,1,0.00,39,,,,,,,1,1.28,28,,,,,,,1,1.55,34,,,,,,
,,050400 - Banking and Finance                     ,1,2.01,22,1,2.29,25,,,,1,6.22,34,3,2.10,48,,,,3,7.22,54,4,12.99,86,,,,2,8.63,60,2,10.08,70,,,,3,13.67,85
,,050600 - Business Management                     ,1,2.38,26,1,2.93,32,1,3.29,18,1,3.66,40,1,0.00,13,,,,1,4.39,24,1,5.67,31,1,5.12,28,2,7.87,41,2,6.66,39,1,5.30,29,1,4.58,24
,,050640 - Small Business and Entrepreneurship     ,1,2.01,11,1,7.31,40,1,2.38,13,1,1.37,15,1,0.00,28,,,,2,1.70,17,3,4.87,38,,,,2,2.10,21,3,4.77,37,,,,1,4.96,26
,,050800 - International Business and Trade        ,1,1.28,7,,,,1,5.12,28,2,6.04,33,,,,,,,2,6.22,34,,,,,,,2,7.75,40,,,,,,,2,10.49,55
,,050900 - Marketing and Distribution              ,1,6.03,33,2,8.23,62,1,5.12,28,2,6.86,75,1,0.00,20,1,5.30,29,3,12.49,100,1,5.55,29,1,6.58,36,5,14.98,148,1,3.81,20,1,7.86,43,4,14.61,84
,,051400 - Office Technology/Office Computer Applic,5,12.42,78,13,34.04,231,3,13.36,73,8,21.36,171,10,0.22,225,2,9.70,53,6,20.91,142,10,27.61,210,1,5.85,32,8,22.92,158,8,21.76,173,1,6.95,38,6,15.58,123
,,061400 - Digital Media                           ,1,4.93,25,,,,,,,1,2.00,20,,,,,,,1,2.60,26,,,,,,,1,2.40,24,,,,,,,4,13.52,44
,,061410 - Multimedia                              ,5,15.55,112,6,12.50,104,,,,9,14.49,139,4,6.64,97,,,,9,11.42,128,6,9.23,104,1,6.58,36,8,12.70,137,7,9.14,104,2,8.60,47,9,11.96,135
,,061420 - Electronic Game Design                  ,4,9.92,52,4,9.92,52,1,1.10,6,5,13.46,75,5,0.00,90,1,5.12,28,4,11.63,61,4,14.30,75,1,1.65,9,4,10.29,54,6,19.29,114,2,6.40,35,3,10.48,55
,,061430 - Website Design and Development          ,1,2.10,11,2,4.02,35,,,,2,2.64,24,2,4.09,26,,,,1,1.10,11,2,8.05,56,,,,3,3.50,35,2,2.09,19,,,,1,1.10,11
,,061440 - Animation                               ,5,12.13,94,10,14.61,138,,,,7,9.12,105,9,11.18,121,,,,7,12.89,124,9,11.85,133,1,1.78,12,8,13.45,154,9,14.22,129,,,,7,9.97,99
,,061450 - Desktop Publishing                      ,,,,1,2.17,11,,,,,,,,,,,,,,,,1,1.80,18,,,,,,,1,2.20,22,,,,,,
,,061460 - Computer Graphics and Digital Imagery   ,1,5.74,30,2,6.38,46,,,,3,4.40,44,2,3.60,36,,,,2,2.90,29,2,3.00,30,,,,2,3.30,33,2,2.00,20,,,,2,2.50,25
,,070600 - Computer Science (Transfer)             ,1,2.81,29,,,,,,,1,1.80,18,,,,,,,1,3.50,35,,,,,,,1,3.71,37,,,,,,,1,3.41,34
,,070710 - Computer Programming                    ,7,25.31,139,9,33.23,178,2,24.52,88,7,27.46,155,9,6.50,210,3,34.01,105,7,31.40,183,9,36.18,206,2,22.15,75,7,33.35,206,9,33.57,191,2,24.50,80,7,34.24,186
,,070720 - Database Design and Administration      ,1,0.38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,070800 - Computer Infrastructure and Support     ,1,0.57,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"080100 - Education, General                      ",4,4.65,38,1,1.35,14,,,,2,4.03,23,1,0.00,18,,,,2,5.96,46,1,2.03,21,,,,2,7.77,47,1,4.64,24,,,,2,14.98,54
,,083500 - Physical Education                      ,11,9.72,86,17,14.71,151,6,6.64,66,32,23.91,225,35,22.58,279,8,8.39,87,31,25.12,244,38,24.25,241,12,14.88,142,39,32.01,298,36,31.74,318,14,18.95,169,45,41.11,388
,,083510 - Physical Fitness and Body Movement      ,19,20.29,176,27,39.40,312,20,44.77,279,26,30.70,261,33,13.79,380,17,34.47,241,29,36.98,333,39,48.78,428,14,28.86,200,36,35.26,318,42,45.81,399,15,43.84,265,37,35.85,318
,,083550 - Intercollegiate Athletics               ,7,33.74,170,6,25.71,116,1,0.81,17,7,41.26,203,6,28.87,131,1,1.91,19,7,44.42,222,7,32.25,166,1,1.71,17,7,46.35,221,7,36.29,188,1,1.57,17,7,46.17,230
,,"090100 - Engineering, General (requires Calculus)",4,11.23,46,8,13.97,100,1,8.23,25,3,12.44,39,9,19.96,143,1,8.89,27,3,15.29,51,9,39.49,158,,,,4,20.48,80,7,22.95,163,,,,3,11.79,70
,,093480 - Laser and Optical Technology            ,,,,,,,,,,2,0.53,4,4,1.29,14,,,,1,0.64,3,,,,,,,,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",7,18.19,158,4,14.27,147,1,6.77,37,5,16.31,136,5,4.89,182,1,6.40,35,5,18.68,162,5,14.51,153,1,7.50,41,5,14.65,152,6,17.83,170,2,12.80,70,5,16.66,152
,,100200 - Art                                     ,,,,,,,,,,1,0.18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100210 - Painting and Drawing                    ,3,8.70,43,6,6.43,32,,,,4,8.90,44,,,,,,,3,11.95,59,5,12.66,62,,,,6,12.43,61,6,15.29,75,,,,6,16.63,81
