,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
San Mateo Total,,,778,"3,016.59","15,255",810,"2,997.81","16,373",207,"1,076.75","5,162",805,"3,068.39","17,597",859,"1,413.72","18,338",257,"1,323.05","6,566",912,"3,612.38","21,256",916,"3,423.82","19,912",289,"1,463.34","7,345",986,"3,813.88","22,641",970,"3,789.98","21,576",256,"1,357.08","6,998",911,"3,569.97","21,373"
,Credit - Degree Applicable                         Total,,747,"2,950.28","14,819",779,"2,933.76","15,920",201,"1,065.30","5,095",772,"2,999.91","16,983",832,"1,357.59","17,743",252,"1,316.72","6,523",872,"3,507.86","20,320",880,"3,329.87","19,099",282,"1,455.84","7,277",937,"3,699.16","21,548",927,"3,682.16","20,711",246,"1,350.39","6,937",863,"3,453.74","20,286"
,,020100 - Architecture and Architectural Technolog,5,25.21,120,4,21.67,87,,,,5,31.17,155,5,11.27,107,,,,7,35.11,200,6,31.33,141,,,,6,29.85,197,4,23.09,110,,,,7,27.18,221
,,"040100 - Biology, General                        ",16,100.09,482,14,96.49,473,6,37.32,212,16,80.90,490,16,47.18,504,7,45.35,259,17,101.04,597,16,93.90,550,7,49.61,285,18,104.34,628,16,97.63,561,7,47.84,273,18,119.11,674
,,"040200 - Botany, General                         ",2,22.33,50,2,16.20,54,,,,2,17.12,58,2,5.50,55,,,,2,16.62,56,2,17.40,58,,,,2,16.92,57,2,21.20,59,,,,2,16.32,55
,,040300 - MicroBiology                            ,2,6.19,29,2,4.90,21,,,,2,5.89,28,2,6.00,30,,,,2,6.94,33,2,6.80,34,,,,2,7.68,36,2,7.40,37,,,,2,9.82,46
,,041000 - Anatomy and Physiology                  ,8,29.35,131,7,39.48,165,,,,7,39.04,176,8,31.55,179,,,,7,36.76,172,8,46.97,220,,,,7,44.72,199,9,57.36,260,,,,7,46.38,209
,,043000 - Biotechnology and Biomedical Technology ,,,,,,,,,,,,,1,0.44,14,,,,1,0.60,18,,,,,,,2,1.01,32,2,2.16,21,,,,2,1.70,28
,,049900 - Other Biological Sciences               ,,,,1,0.87,9,,,,,,,1,2.42,25,,,,,,,1,1.70,17,,,,1,0.90,9,1,1.00,10,,,,1,1.40,14
,,"050100 - Business and Commerce, General          ",17,75.53,433,21,100.51,601,7,35.05,196,20,91.19,567,16,17.20,509,6,30.49,171,20,108.52,683,17,100.19,595,7,38.19,217,22,118.82,750,15,90.95,522,6,36.38,199,16,86.10,498
,,050200 - Accounting                              ,28,139.77,709,25,133.40,724,12,61.00,294,19,90.52,526,23,20.14,675,13,82.31,423,27,155.81,860,27,149.82,814,15,91.77,453,30,171.03,948,29,183.57,957,15,99.26,492,26,154.29,856
