,,,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Spring 2023,Spring 2023,Spring 2023,Summer 2023,Summer 2023,Summer 2023,Fall 2023,Fall 2023,Fall 2023,Spring 2024,Spring 2024,Spring 2024,Summer 2024,Summer 2024,Summer 2024,Fall 2024,Fall 2024,Fall 2024,Spring 2025,Spring 2025,Spring 2025,Summer 2025,Summer 2025,Summer 2025,Fall 2025,Fall 2025,Fall 2025
,,,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count,Credit Sections Count,Credit Sections FTES,Enrollment Count
Skyline Total,,,879,"2,947.32","15,085",903,"2,872.32","16,755",261,"1,389.05","6,770",863,"2,906.55","17,369",889,"1,280.98","18,132",275,"1,646.03","8,046",918,"3,455.49","19,831",980,"3,544.74","20,560",271,"1,667.02","8,123",940,"3,536.68","20,373",991,"3,550.12","21,176",280,"1,760.03","8,695",910,"3,545.97","20,291"
,Credit - Degree Applicable                         Total,,849,"2,913.32","14,810",875,"2,798.91","16,444",254,"1,382.59","6,698",834,"2,865.84","16,996",863,"1,245.53","17,702",270,"1,638.37","7,950",883,"3,397.79","19,314",944,"3,481.47","20,048",264,"1,660.45","8,046",910,"3,484.58","19,918",964,"3,511.76","20,795",273,"1,752.26","8,605",883,"3,503.24","19,878"
,,030100 - Environmental Science                   ,6,18.18,96,6,22.74,160,1,8.83,48,5,11.10,96,4,5.64,128,1,9.02,49,6,12.92,134,7,20.95,175,1,8.28,45,6,11.95,118,6,23.49,173,,,,6,13.63,136
,,"039900 - Environmental Sciences and Technologies,",2,9.27,64,3,12.52,92,,,,1,3.67,39,1,2.53,23,,,,,,,,,,,,,,,,,,,,,,,,
,,"040100 - Biology, General                        ",22,145.71,470,20,98.67,437,4,20.44,95,18,105.71,468,12,48.02,415,5,35.82,165,18,123.05,604,19,130.38,646,4,37.01,171,22,126.11,667,23,130.14,661,4,32.13,146,19,116.11,586
,,040300 - MicroBiology                            ,6,39.00,143,6,34.97,132,3,9.81,53,6,32.25,135,4,20.54,99,2,11.82,54,4,30.23,126,4,31.20,118,2,18.24,58,5,36.61,157,4,30.22,126,2,14.59,64,5,35.34,155
,,041000 - Anatomy and Physiology                  ,15,182.84,389,13,108.66,353,7,88.14,207,13,98.95,353,13,25.76,367,9,92.62,234,14,113.66,361,15,126.26,403,9,93.51,237,16,147.62,470,16,160.11,504,9,102.21,266,17,141.61,494
,,043000 - Biotechnology and Biomedical Technology ,6,11.93,98,48,118.52,"1,069",,,,5,8.11,74,46,107.01,945,,,,5,11.20,96,46,121.80,"1,141",,,,9,14.65,141,44,119.15,"1,106",,,,6,14.36,117
,,"050100 - Business and Commerce, General          ",12,52.43,344,9,41.13,308,5,25.28,145,11,42.20,323,10,9.34,280,5,30.52,176,14,57.65,364,12,44.63,349,4,27.56,156,12,47.35,391,13,50.71,367,4,24.10,145,13,47.54,369
