District,College,Course ID,Control Number,Course Title,Sections Count,TOP Code,Credit Status,Transfer Status,Maximum Units,Minimum Units,Basic Skills Status,SAM Status,Prior To Transfer Status,Non-Credit Category,General Education Status,Support Status,Term
Kern CCD,Porterville,AGRIP105    ,CCC000006582,Farm Accounting                                                     ,1,"Agriculture Business, Sales and Service-011200                                       ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,ANSCB94     ,CCC000009047,Caged Birds/Lab/Extc Anmls Med                                      ,1,Animal Science-010200                                                                ,Credit - Degree Applicable                                                 ,Not transferable                                                           ,02.00,02.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,SOCIC210    ,CCC000012213,Race and Ethnicity in Film                                          ,4,Ethnic Studies-220300                                                                ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,PARAC101    ,CCC000018246,Intro to Paralegal Studies                                          ,2,Paralegal-140200                                                                     ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,CHDVC203    ,CCC000021199,Practicum - Field Experience                                        ,2,Child Development/Early Care and Education-130500                                    ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Advanced Occupational (not limited to apprentices)                         ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,HMSVB40     ,CCC000022319,Intro to Human Services                                             ,2,Human Services-210400                                                                ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,ERSCB10     ,CCC000030057,Introduction to Earth Science                                       ,6,Earth Science-193000                                                                 ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,PHSCB12     ,CCC000032384,Physical Science                                                    ,4,"Physical Sciences, General-190100                                                    ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,04.00,04.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,HISTC103    ,CCC000040011,Western Civilization - Antiquity to the Renaissance                 ,6,History-220500                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,BIOLC101    ,CCC000040985,Concepts of Biology Lecture                                         ,3,"Biology, General-040100                                                              ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Cerro Coso,BIOLC105H   ,CCC000041306,Concepts of Biology: Honors                                         ,1,"Biology, General-040100                                                              ",Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,05.00,05.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,FIREP101    ,CCC000048956,Principles of Emrgncy Services                                      ,1,Fire Technology-213300                                                               ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,HISTB25     ,CCC000055311,Intro to Women in Amer History                                      ,2,History-220500                                                                       ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,COMMB4      ,CCC000069027,Persuasive Communication                                            ,8,Speech Communication-150600                                                          ,Credit - Degree Applicable                                                 ,Transferable to both UC and CSU                                            ,03.00,03.00,Course is not a basic skills course                                        ,Non-Occupational                                                           ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Porterville,AGRIP107    ,CCC000073074,Agricultural Marketing                                              ,1,"Agriculture Business, Sales and Service-011200                                       ",Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
Kern CCD,Bakersfield,CRPSB3      ,CCC000076829,Integrated Pest Management                                          ,1,Plant Science-010300                                                                 ,Credit - Degree Applicable                                                 ,Transferable to CSU only                                                   ,03.00,03.00,Course is not a basic skills course                                        ,Clearly Occupational (but not advanced)                                    ,Not applicable                                                             ,"Not Applicable, Credit course                                              ",Y,Course is not a support course                                             ,Fall 2025
