soc_code	category	rank	element
11-1011	knowledge	1	Personnel and Human Resources
11-1011	knowledge	2	Economics and Accounting
11-1011	knowledge	3	Administration and Management
11-1011	knowledge	4	Sales and Marketing
11-1011	knowledge	5	Public Safety and Security
11-1011	knowledge	6	Law and Government
11-1011	knowledge	7	Customer and Personal Service
11-1011	knowledge	8	Sociology and Anthropology
11-1011	skills	1	Management of Financial Resources
11-1011	skills	2	Management of Material Resources
11-1011	skills	3	Management of Personnel Resources
11-1011	skills	4	Systems Evaluation
11-1011	skills	5	Negotiation
11-1011	skills	6	Judgment and Decision Making
11-1011	skills	7	Systems Analysis
11-1011	skills	8	Persuasion
11-1011	abilities	1	Fluency of Ideas
11-1011	abilities	2	Originality
11-1011	abilities	3	Oral Comprehension
11-1011	abilities	4	Speech Clarity
11-1011	abilities	5	Written Expression
11-1011	abilities	6	Oral Expression
11-1011	abilities	7	Written Comprehension
11-1011	abilities	8	Mathematical Reasoning
11-1011	technology	1	Content workflow software
11-1011	technology	2	Enterprise application integration software
11-1011	technology	3	Web platform development software
11-1011	technology	4	Cloud-based data access and sharing software
11-1011	technology	5	Accounting software
11-1011	technology	6	Document management software
11-1011	technology	7	Time accounting software
11-1011	technology	8	Human resources software
11-1021	knowledge	1	Administration and Management
11-1021	knowledge	2	Production and Processing
11-1021	knowledge	3	Personnel and Human Resources
11-1021	knowledge	4	Economics and Accounting
11-1021	knowledge	5	Sales and Marketing
11-1021	knowledge	6	Customer and Personal Service
11-1021	knowledge	7	Engineering and Technology
11-1021	knowledge	8	Administrative
11-1021	skills	1	Management of Material Resources
11-1021	skills	2	Management of Personnel Resources
11-1021	skills	3	Management of Financial Resources
11-1021	skills	4	Negotiation
11-1021	skills	5	Persuasion
11-1021	skills	6	Coordination
11-1021	skills	7	Monitoring
11-1021	skills	8	Social Perceptiveness
11-1021	abilities	1	Written Expression
11-1021	abilities	2	Written Comprehension
11-1021	abilities	3	Speech Clarity
11-1021	abilities	4	Deductive Reasoning
11-1021	abilities	5	Fluency of Ideas
11-1021	abilities	6	Originality
11-1021	abilities	7	Number Facility
11-1021	abilities	8	Oral Expression
11-1021	technology	1	Object oriented data base management software
11-1021	technology	2	Configuration management software
11-1021	technology	3	Content workflow software
11-1021	technology	4	Sales and marketing software
11-1021	technology	5	Cloud-based management software
11-1021	technology	6	Data mining software
11-1021	technology	7	Time accounting software
11-1021	technology	8	Data base management system software
11-1031	technology	1	Video conferencing software
11-1031	technology	2	Cloud-based data access and sharing software
11-1031	technology	3	Development environment software
11-1031	technology	4	Document management software
11-1031	technology	5	Music or sound editing software
11-1031	technology	6	Communications server software
11-1031	technology	7	Access software
11-1031	technology	8	Map creation software
11-2011	knowledge	1	Sales and Marketing
