TOP Code - TOP Title,TOP CTE Flag,CIP Code - CIP Title,CIP CTE Flag,"Count of Colleges "
"0101.00 - Agriculture Technology and Sciences, General",CTE,"01.0000 - Agriculture, General",Both,15
"0101.00 - Agriculture Technology and Sciences, General",CTE,01.0102 - Agribusiness/Agricultural Business Operations,CTE,12
"0101.00 - Agriculture Technology and Sciences, General",CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
"0101.00 - Agriculture Technology and Sciences, General",CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0102.00 - Animal Science,CTE,01.0302 - Animal/Livestock Husbandry and Production,CTE,14
0102.00 - Animal Science,CTE,01.0505 - Animal Training,CTE,3
0102.00 - Animal Science,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0102.00 - Animal Science,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0102.10 - Veterinary Technician (Licensed),CTE,"01.8201 - Veterinary Administrative Services, General",CTE,0
0102.10 - Veterinary Technician (Licensed),CTE,01.8202 - Veterinary Office Management/Administration,CTE,0
0102.10 - Veterinary Technician (Licensed),CTE,01.8203 - Veterinary Reception/Receptionist,CTE,0
0102.10 - Veterinary Technician (Licensed),CTE,01.8204 - Veterinary Administrative/Executive Assistant and Veterinary Secretary,CTE,0
0102.10 - Veterinary Technician (Licensed),CTE,01.8301 - Veterinary/Animal Health Technology/Technician and Veterinary Assistant,CTE,9
0102.10 - Veterinary Technician (Licensed),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0102.10 - Veterinary Technician (Licensed),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0102.20 - Artificial Inseminator (Licensed),CTE,01.0302 - Animal/Livestock Husbandry and Production,CTE,0
0102.20 - Artificial Inseminator (Licensed),CTE,01.8301 - Veterinary/Animal Health Technology/Technician and Veterinary Assistant,CTE,1
0102.20 - Artificial Inseminator (Licensed),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0102.20 - Artificial Inseminator (Licensed),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0102.30 - Dairy Science,CTE,01.0306 - Dairy Husbandry and Production,CTE,1
0102.30 - Dairy Science,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0102.30 - Dairy Science,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0102.40 - Equine Science,CTE,01.0302 - Animal/Livestock Husbandry and Production,CTE,1
0102.40 - Equine Science,CTE,01.0307 - Horse Husbandry/Equine Science and Management,CTE,9
0102.40 - Equine Science,CTE,01.0509 - Farrier Science,CTE,0
0102.40 - Equine Science,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0102.40 - Equine Science,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0103.00 - Plant Science,CTE,01.0304 - Crop Production,CTE,25
0103.00 - Plant Science,CTE,"01.1101 - Plant Sciences, General",Not CTE,6
0103.00 - Plant Science,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0103.00 - Plant Science,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0103.10 - Agricultural Pest Control Adviser and Operator (Licensed),CTE,"01.0399 - Agricultural Production Operations, Other",Both,1
0103.10 - Agricultural Pest Control Adviser and Operator (Licensed),CTE,01.1105 - Plant Protection and Integrated Pest Management,Not CTE,12
0103.10 - Agricultural Pest Control Adviser and Operator (Licensed),CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0103.10 - Agricultural Pest Control Adviser and Operator (Licensed),CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0104.00 - Viticulture, Enology, and Wine Business",CTE,"01.0399 - Agricultural Production Operations, Other",Both,1
"0104.00 - Viticulture, Enology, and Wine Business",CTE,01.1003 - Brewing Science,Not CTE,0
"0104.00 - Viticulture, Enology, and Wine Business",CTE,01.1004 - Viticulture and Enology,Not CTE,11
"0104.00 - Viticulture, Enology, and Wine Business",CTE,01.1005 - Zymology/Fermentation Science,Not CTE,0
"0104.00 - Viticulture, Enology, and Wine Business",CTE,12.0510 - Wine Steward/Sommelier,CTE,1
"0104.00 - Viticulture, Enology, and Wine Business",CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
"0104.00 - Viticulture, Enology, and Wine Business",CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0104.00 - Viticulture, Enology, and Wine Business",CTE,"52.1801 - Sales, Distribution, and Marketing Operations, General",Not CTE,1
0109.00 - Horticulture,CTE,"01.0601 - Applied Horticulture/Horticulture Operations, General",Not CTE,37
0109.00 - Horticulture,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0109.00 - Horticulture,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0109.10 - Landscape Design and Maintenance,CTE,01.0207 - Irrigation Management Technology/Technician,CTE,2
0109.10 - Landscape Design and Maintenance,CTE,01.0605 - Landscaping and Groundskeeping,CTE,21
0109.10 - Landscape Design and Maintenance,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0109.10 - Landscape Design and Maintenance,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0109.20 - Floriculture / Floristry,CTE,01.0608 - Floriculture/Floristry Operations and Management,CTE,8
0109.20 - Floriculture / Floristry,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0109.20 - Floriculture / Floristry,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0109.20 - Floriculture / Floristry,CTE,36.0122 - Floral Design/Arrangement,Noncredit CIP,0
0109.30 - Nursery Technology,CTE,"01.0601 - Applied Horticulture/Horticulture Operations, General",Not CTE,1
0109.30 - Nursery Technology,CTE,01.0606 - Plant Nursery Operations and Management,CTE,11
0109.30 - Nursery Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0109.30 - Nursery Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0109.40 - Turfgrass Technology,CTE,01.0607 - Turf and Turfgrass Management,Both,3
0109.40 - Turfgrass Technology,CTE,31.0302 - Golf Course Operation and Grounds Management,CTE,0
0109.40 - Turfgrass Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0109.40 - Turfgrass Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0112.00 - Agriculture Business, Sales and Service",CTE,01.0102 - Agribusiness/Agricultural Business Operations,CTE,21
"0112.00 - Agriculture Business, Sales and Service",CTE,01.0104 - Farm/Farm and Ranch Management,CTE,0
"0112.00 - Agriculture Business, Sales and Service",CTE,01.0105 - Agricultural/Farm Supplies Retailing and Wholesaling,CTE,0
"0112.00 - Agriculture Business, Sales and Service",CTE,01.0106 - Agricultural Business Technology/Technician,CTE,1
"0112.00 - Agriculture Business, Sales and Service",CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
"0112.00 - Agriculture Business, Sales and Service",CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0113.00 - Food Processing and Related Technologies,CTE,01.0401 - Agricultural and Food Products Processing,CTE,2
0113.00 - Food Processing and Related Technologies,CTE,01.1002 - Food Technology and Processing,Not CTE,6
0113.00 - Food Processing and Related Technologies,CTE,01.1003 - Brewing Science,Not CTE,2
0113.00 - Food Processing and Related Technologies,CTE,01.1005 - Zymology/Fermentation Science,Not CTE,0
0113.00 - Food Processing and Related Technologies,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0113.00 - Food Processing and Related Technologies,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0114.00 - Forestry,CTE,"03.0501 - Forestry, General",CTE,8
0114.00 - Forestry,CTE,03.0509 - Wood Science and Wood Products/Pulp and Paper Technology/Technician,Not CTE,0
0114.00 - Forestry,CTE,03.0511 - Forest Technology/Technician,CTE,2
0114.00 - Forestry,CTE,"03.0599 - Forestry, Other",Both,0
0114.00 - Forestry,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0114.00 - Forestry,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0115.00 - Natural Resources,CTE,01.0308 - Agroecology and Sustainable Agriculture,Both,2
0115.00 - Natural Resources,CTE,"03.0101 - Natural Resources/Conservation, General",Not CTE,16
0115.00 - Natural Resources,CTE,"03.9999 - Natural Resources and Conservation, Other",Both,1
0115.00 - Natural Resources,CTE,"13.0101 - Education, General",Not CTE,1
0115.00 - Natural Resources,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0115.00 - Natural Resources,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0115.10 - Parks and Outdoor Recreation,CTE,"01.0399 - Agricultural Production Operations, Other",Both,1
0115.10 - Parks and Outdoor Recreation,CTE,"31.0301 - Parks, Recreation, and Leisure Facilities Management, General",CTE,4
0115.10 - Parks and Outdoor Recreation,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0115.10 - Parks and Outdoor Recreation,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0115.20 - Wildlife and Fisheries,CTE,03.0208 - Environmental/Natural Resources Law Enforcement and Protective Services,CTE,0
0115.20 - Wildlife and Fisheries,CTE,"03.0601 - Wildlife, Fish and Wildlands Science and Management",CTE,2
0115.20 - Wildlife and Fisheries,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0115.20 - Wildlife and Fisheries,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0116.00 - Agricultural Power Equipment Technology,CTE,"01.0201 - Agricultural Mechanization, General",CTE,4
0116.00 - Agricultural Power Equipment Technology,CTE,01.0204 - Agricultural Power Machinery Operation,CTE,0
0116.00 - Agricultural Power Equipment Technology,CTE,01.0205 - Agricultural Mechanics and Equipment/Machine Technology/Technician,CTE,10
0116.00 - Agricultural Power Equipment Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0116.00 - Agricultural Power Equipment Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0199.00 - Other Agriculture and Natural Resources,CTE,"01.1399 - Agriculture/Veterinary Preparatory Programs, Other",Both,1
0199.00 - Other Agriculture and Natural Resources,CTE,"01.9999 - Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other",Both,4
0199.00 - Other Agriculture and Natural Resources,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0199.00 - Other Agriculture and Natural Resources,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0201.00 - Architecture and Architectural Technology,CTE,04.0200 - Pre-Architecture Studies,Not CTE,3
0201.00 - Architecture and Architectural Technology,CTE,04.0202 - Architectural Design,CTE,3
0201.00 - Architecture and Architectural Technology,CTE,04.0401 - Environmental Design/Architecture,CTE,2
0201.00 - Architecture and Architectural Technology,CTE,04.0901 - Architectural Technology/Technician,CTE,31
0201.00 - Architecture and Architectural Technology,CTE,04.0902 - Architectural and Building Sciences/Technology,CTE,1
0201.00 - Architecture and Architectural Technology,CTE,15.0101 - Architectural Engineering Technologies/Technicians,CTE,1
0201.00 - Architecture and Architectural Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0201.00 - Architecture and Architectural Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0201.10 - Landscape Architecture (Transfer),Not CTE,04.0601 - Landscape Architecture,CTE,1
0299.00 - Other Architecture and Environmental Design,CTE,"04.0299 - Architecture, Other",Both,2
0299.00 - Other Architecture and Environmental Design,CTE,"04.9999 - Architecture and Related Services, Other",Both,1
0299.00 - Other Architecture and Environmental Design,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0299.00 - Other Architecture and Environmental Design,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0301.00 - Environmental Science,Not CTE,03.0103 - Environmental Studies,Not CTE,1
0301.00 - Environmental Science,Not CTE,03.0104 - Environmental Science,Not CTE,47
0301.00 - Environmental Science,Not CTE,30.3501 - Climate Science,Not CTE,0
0301.00 - Environmental Science,Not CTE,30.4101 - Environmental Geosciences,Not CTE,0
0301.00 - Environmental Science,Not CTE,41.0303 - Chemical Process Technology,CTE,0
0302.00 - Environmental Studies,Not CTE,03.0103 - Environmental Studies,Not CTE,22
0302.00 - Environmental Studies,Not CTE,03.0209 - Energy and Environmental Policy,Not CTE,0
0302.00 - Environmental Studies,Not CTE,30.4401 - Geography and Environmental Studies,Not CTE,1
0303.00 - Environmental Technology,CTE,03.0104 - Environmental Science,Not CTE,1
0303.00 - Environmental Technology,CTE,15.0507 - Environmental/Environmental Engineering Technology/Technician,CTE,10
0303.00 - Environmental Technology,CTE,15.0508 - Hazardous Materials Management and Waste Technology/Technician,CTE,7
0303.00 - Environmental Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0303.00 - Environmental Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0399.00 - Environmental Sciences and Technologies, Other",Not CTE,"03.9999 - Natural Resources and Conservation, Other",Both,0
"0401.00 - Biology, General",Not CTE,"26.0101 - Biology/Biological Sciences, General",Not CTE,89
"0401.00 - Biology, General",Not CTE,"26.9999 - Biological and Biomedical Sciences, Other",Both,1
"0402.00 - Botany, General",Not CTE,26.0301 - Botany/Plant Biology,Not CTE,1
0403.00 - MicroBiology,Not CTE,"26.0499 - Cell/Cellular Biology and Anatomical Sciences, Other",Both,0
0403.00 - MicroBiology,Not CTE,"26.0502 - Microbiology, General",Not CTE,1
"0407.00 - Zoology, General",Not CTE,26.0701 - Zoology/Animal Biology,Not CTE,2
0408.00 - Natural History,Not CTE,26.1303 - Evolutionary Biology,Not CTE,1
0408.00 - Natural History,Not CTE,"30.9999 - Multi-/Interdisciplinary Studies, Other",Both,2
0410.00 - Anatomy and Physiology,Not CTE,"26.0499 - Cell/Cellular Biology and Anatomical Sciences, Other",Both,1
0410.00 - Anatomy and Physiology,Not CTE,"26.0901 - Physiology, General",Not CTE,3
0430.00 - Biotechnology and Biomedical Technology,CTE,15.0401 - Biomedical Technology/Technician,CTE,24
0430.00 - Biotechnology and Biomedical Technology,CTE,26.1104 - Computational Biology,Not CTE,3
0430.00 - Biotechnology and Biomedical Technology,CTE,"26.9999 - Biological and Biomedical Sciences, Other",Both,1
0430.00 - Biotechnology and Biomedical Technology,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0430.00 - Biotechnology and Biomedical Technology,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0430.00 - Biotechnology and Biomedical Technology,CTE,41.0101 - Biology/Biotechnology Technology/Technician,CTE,16
0499.00 - Other Biological Sciences,Not CTE,"26.9999 - Biological and Biomedical Sciences, Other",Both,9
"0501.00 - Business and Commerce, General",CTE,30.7102 - Business Analytics,CTE,0
"0501.00 - Business and Commerce, General",CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
"0501.00 - Business and Commerce, General",CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
"0501.00 - Business and Commerce, General",CTE,"52.0101 - Business/Commerce, General",Both,45
"0501.00 - Business and Commerce, General",CTE,"52.0201 - Business Administration and Management, General",CTE,16
"0501.00 - Business and Commerce, General",CTE,"52.0401 - Administrative Assistant and Secretarial Science, General",CTE,1
0502.00 - Accounting,CTE,"32.0101 - Basic Skills and Developmental/Remedial Education, General",Noncredit CIP,1
0502.00 - Accounting,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0502.00 - Accounting,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0502.00 - Accounting,CTE,"52.0101 - Business/Commerce, General",Both,1
0502.00 - Accounting,CTE,"52.0299 - Business Administration, Management and Operations, Other",Both,1
0502.00 - Accounting,CTE,52.0301 - Accounting,CTE,55
0502.00 - Accounting,CTE,52.0302 - Accounting Technology/Technician and Bookkeeping,CTE,68
0502.10 - Tax Studies,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0502.10 - Tax Studies,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0502.10 - Tax Studies,CTE,52.1601 - Taxation,CTE,20
0504.00 - Banking and Finance,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0504.00 - Banking and Finance,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0504.00 - Banking and Finance,CTE,"52.0801 - Finance, General",CTE,0
0504.00 - Banking and Finance,CTE,52.0803 - Banking and Financial Support Services,CTE,18
0504.00 - Banking and Finance,CTE,52.0810 - Financial Risk Management,Not CTE,1
0505.00 - Business Administration,CTE,30.7102 - Business Analytics,CTE,0
0505.00 - Business Administration,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0505.00 - Business Administration,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,1
0505.00 - Business Administration,CTE,"52.0101 - Business/Commerce, General",Both,3
0505.00 - Business Administration,CTE,"52.0201 - Business Administration and Management, General",CTE,111
0505.00 - Business Administration,CTE,52.0211 - Project Management,CTE,0
0505.00 - Business Administration,CTE,"52.0299 - Business Administration, Management and Operations, Other",Both,1
0506.00 - Business Management,CTE,30.7102 - Business Analytics,CTE,2
0506.00 - Business Management,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0506.00 - Business Management,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0506.00 - Business Management,CTE,51.0708 - Medical Transcription/Transcriptionist,CTE,1
0506.00 - Business Management,CTE,"52.0101 - Business/Commerce, General",Both,3
0506.00 - Business Management,CTE,"52.0201 - Business Administration and Management, General",CTE,72
0506.00 - Business Management,CTE,52.0211 - Project Management,CTE,0
0506.00 - Business Management,CTE,"52.0299 - Business Administration, Management and Operations, Other",Both,1
0506.00 - Business Management,CTE,52.0701 - Entrepreneurship/Entrepreneurial Studies,CTE,3
0506.00 - Business Management,CTE,52.0907 - Meeting and Event Planning,CTE,1
0506.00 - Business Management,CTE,"52.9999 - Business, Management, Marketing, and Related Support Services, Other",Both,2
0506.30 - Management Development and Supervision,CTE,32.0107 - Career Exploration/Awareness Skills,Noncredit CIP,0
0506.30 - Management Development and Supervision,CTE,32.0111 - Workforce Development and Training,Noncredit CIP,0
0506.30 - Management Development and Supervision,CTE,"52.0201 - Business Administration and Management, General",CTE,2
0506.30 - Management Development and Supervision,CTE,52.0204 - Office Management and Supervision,CTE,23
0506.30 - Management Development and Supervision,CTE,52.0205 - Operations Management and Supervision,CTE,3
