,,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025,Fall 2025
,,Basic Skills,Basic Skills,Basic Skills,Basic Skills,Basic Skills,Credit,Credit,Credit,Credit,Credit,Degree Applicable,Degree Applicable,Degree Applicable,Degree Applicable,Degree Applicable,Transferable,Transferable,Transferable,Transferable,Transferable,Vocational,Vocational,Vocational,Vocational,Vocational
,,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate,Enrollment Count,Retention Count,Success Count,Retention Rate,Success Rate
Alameda Total,,347,331,301,95.39%,86.74%,"9,770","8,455","7,207",86.54%,73.77%,"9,411","8,112","6,896",86.20%,73.28%,"8,712","7,496","6,367",86.04%,73.08%,"1,879","1,597","1,370",84.99%,72.91%
,Delayed Interaction (Internet Based),141,131,121,92.91%,85.82%,"6,245","5,354","4,539",85.73%,72.68%,"6,104","5,223","4,418",85.57%,72.38%,"5,766","4,927","4,162",85.45%,72.18%,"1,018",840,693,82.51%,68.07%
,Non Distance Education Methods,80,77,66,96.25%,82.50%,"2,858","2,518","2,142",88.10%,74.95%,"2,778","2,441","2,076",87.87%,74.73%,"2,455","2,157","1,836",87.86%,74.79%,656,585,524,89.18%,79.88%
,Simultaneous Interaction (Internet Based),126,123,114,97.62%,90.48%,667,583,526,87.41%,78.86%,529,448,402,84.69%,75.99%,491,412,369,83.91%,75.15%,205,172,153,83.90%,74.63%
Allan Hancock Total,,63,59,45,93.65%,71.43%,"28,064","25,307","20,592",90.18%,73.38%,"27,343","24,704","20,192",90.35%,73.85%,"23,800","21,327","17,171",89.61%,72.15%,"10,589","9,870","8,559",93.21%,80.83%
,Delayed Interaction (Internet Based),,,,,,"7,141","6,218","4,862",87.07%,68.09%,"6,946","6,074","4,763",87.45%,68.57%,"6,613","5,788","4,554",87.52%,68.86%,"2,598","2,329","1,850",89.65%,71.21%
,Non Distance Education Methods,63,59,45,93.65%,71.43%,"20,803","18,985","15,640",91.26%,75.18%,"20,277","18,526","15,339",91.36%,75.65%,"17,098","15,465","12,551",90.45%,73.41%,"7,960","7,511","6,685",94.36%,83.98%
,Simultaneous Interaction (Internet Based),,,,,,120,104,90,86.67%,75.00%,120,104,90,86.67%,75.00%,89,74,66,83.15%,74.16%,31,30,24,96.77%,77.42%
American River Total,,"3,333","2,876","2,499",86.29%,74.98%,"68,922","61,878","54,585",89.78%,79.20%,"64,560","58,184","51,357",90.12%,79.55%,"52,965","46,900","40,565",88.55%,76.59%,"25,822","23,881","21,687",92.48%,83.99%
,Delayed Interaction (Internet Based),506,422,346,83.40%,68.38%,"35,705","31,517","27,401",88.27%,76.74%,"34,395","30,439","26,477",88.50%,76.98%,"32,665","28,889","25,100",88.44%,76.84%,"11,247","9,896","8,538",87.99%,75.91%
,Non Distance Education Methods,"2,077","1,832","1,606",88.20%,77.32%,"31,663","28,977","25,942",91.52%,81.93%,"29,361","26,983","24,185",91.90%,82.37%,"19,783","17,530","15,014",88.61%,75.89%,"14,122","13,554","12,768",95.98%,90.41%
,Simultaneous Interaction (Internet Based),750,622,547,82.93%,72.93%,"1,554","1,384","1,242",89.06%,79.92%,804,762,695,94.78%,86.44%,517,481,451,93.04%,87.23%,453,431,381,95.14%,84.11%
Antelope Valley Total,,576,461,325,80.03%,56.42%,"39,069","35,210","29,006",90.12%,74.24%,"38,406","34,674","28,629",90.28%,74.54%,"34,734","31,280","25,636",90.06%,73.81%,"11,266","10,308","8,717",91.50%,77.37%
,Delayed Interaction (Internet Based),62,34,10,54.84%,16.13%,"17,801","16,017","12,836",89.98%,72.11%,"17,683","15,930","12,791",90.09%,72.34%,"16,170","14,584","11,736",90.19%,72.58%,"5,792","5,232","4,173",90.33%,72.05%
,Non Distance Education Methods,514,427,315,83.07%,61.28%,"21,268","19,193","16,170",90.24%,76.03%,"20,723","18,744","15,838",90.45%,76.43%,"18,564","16,696","13,900",89.94%,74.88%,"5,474","5,076","4,544",92.73%,83.01%
Bakersfield Total,,196,183,136,93.37%,69.39%,"79,693","72,112","59,449",90.49%,74.60%,"77,266","69,864","57,492",90.42%,74.41%,"72,166","65,092","53,211",90.20%,73.73%,"26,035","24,092","20,875",92.54%,80.18%
,Delayed Interaction (Internet Based),120,111,86,92.50%,71.67%,"30,809","27,659","22,318",89.78%,72.44%,"29,868","26,852","21,667",89.90%,72.54%,"28,661","25,782","20,766",89.95%,72.45%,"10,523","9,495","7,848",90.23%,74.58%
,Non Distance Education Methods,76,72,50,94.74%,65.79%,"47,685","43,406","36,280",91.03%,76.08%,"46,199","41,965","34,974",90.84%,75.70%,"42,404","38,354","31,671",90.45%,74.69%,"15,200","14,319","12,805",94.20%,84.24%
,Simultaneous Interaction (Internet Based),,,,,,"1,199","1,047",851,87.32%,70.98%,"1,199","1,047",851,87.32%,70.98%,"1,101",956,774,86.83%,70.30%,312,278,222,89.10%,71.15%
Barstow Total,,,,,,,"9,957","9,188","7,658",92.28%,76.91%,"9,957","9,188","7,658",92.28%,76.91%,"9,076","8,340","6,923",91.89%,76.28%,"2,514","2,381","2,003",94.71%,79.67%
,Delayed Interaction (Internet Based),,,,,,"8,795","8,075","6,639",91.81%,75.49%,"8,795","8,075","6,639",91.81%,75.49%,"8,416","7,720","6,352",91.73%,75.48%,"1,868","1,748","1,430",93.58%,76.55%
,Non Distance Education Methods,,,,,,"1,064","1,026",941,96.43%,88.44%,"1,064","1,026",941,96.43%,88.44%,587,558,516,95.06%,87.90%,599,587,532,98.00%,88.81%
,Simultaneous Interaction (Internet Based),,,,,,98,87,78,88.78%,79.59%,98,87,78,88.78%,79.59%,73,62,55,84.93%,75.34%,47,46,41,97.87%,87.23%
Berkeley City Total,,54,49,45,90.74%,83.33%,"10,552","8,862","7,614",83.98%,72.16%,"10,443","8,758","7,516",83.86%,71.97%,"10,236","8,582","7,371",83.84%,72.01%,"2,371","2,006","1,673",84.61%,70.56%
,Delayed Interaction (Internet Based),,,,,,"4,680","3,877","3,328",82.84%,71.11%,"4,680","3,877","3,328",82.84%,71.11%,"4,625","3,825","3,279",82.70%,70.90%,732,643,548,87.84%,74.86%
,Non Distance Education Methods,46,42,38,91.30%,82.61%,"4,717","4,062","3,490",86.11%,73.99%,"4,616","3,965","3,399",85.90%,73.64%,"4,481","3,856","3,315",86.05%,73.98%,994,856,717,86.12%,72.13%
,Simultaneous Interaction (Internet Based),8,7,7,87.50%,87.50%,"1,155",923,796,79.91%,68.92%,"1,147",916,789,79.86%,68.79%,"1,130",901,777,79.73%,68.76%,645,507,408,78.60%,63.26%
Butte Total,,24,22,21,91.67%,87.50%,"34,430","31,354","26,318",91.07%,76.44%,"34,373","31,299","26,274",91.06%,76.44%,"32,935","29,926","25,011",90.86%,75.94%,"12,295","11,307","9,693",91.96%,78.84%
,Delayed Interaction (Internet Based),,,,,,"16,000","14,440","12,018",90.25%,75.11%,"16,000","14,440","12,018",90.25%,75.11%,"15,684","14,165","11,779",90.31%,75.10%,"6,242","5,615","4,687",89.96%,75.09%
,Non Distance Education Methods,24,22,21,91.67%,87.50%,"18,430","16,914","14,300",91.77%,77.59%,"18,373","16,859","14,256",91.76%,77.59%,"17,251","15,761","13,232",91.36%,76.70%,"6,053","5,692","5,006",94.04%,82.70%
Cabrillo Total,,3,2,2,66.67%,66.67%,"29,862","25,996","21,730",87.05%,72.77%,"29,664","25,802","21,541",86.98%,72.62%,"26,657","23,230","19,354",87.14%,72.60%,"7,060","6,269","5,431",88.80%,76.93%
