,,Fall 2025,Fall 2025
,,Student Count,Student Count (%)
Alameda Total,,"6,221",0.37%
,0.1 - 2.9,357,5.74%
,12.0 -14.9,357,5.74%
,15 +,453,7.28%
,3.0 - 5.9,"3,155",50.72%
,6.0 - 8.9,"1,116",17.94%
,9.0 - 11.9,643,10.34%
,Non-Credit,140,2.25%
Allan Hancock Total,,"14,034",0.84%
,0.1 - 2.9,394,2.81%
,12.0 -14.9,"2,385",16.99%
,15 +,919,6.55%
,3.0 - 5.9,"4,349",30.99%
,6.0 - 8.9,"2,115",15.07%
,9.0 - 11.9,"1,536",10.94%
,Non-Credit,"2,336",16.65%
American River Total,,"32,201",1.93%
,0.1 - 2.9,"2,720",8.45%
,12.0 -14.9,"3,859",11.98%
,15 +,"1,733",5.38%
,3.0 - 5.9,"12,952",40.22%
,6.0 - 8.9,"6,837",21.23%
,9.0 - 11.9,"4,100",12.73%
Antelope Valley Total,,"14,752",0.89%
,0.1 - 2.9,192,1.30%
,12.0 -14.9,"3,149",21.35%
,15 +,"1,472",9.98%
,3.0 - 5.9,"3,703",25.10%
,6.0 - 8.9,"3,308",22.42%
,9.0 - 11.9,"2,741",18.58%
,Non-Credit,187,1.27%
Bakersfield Total,,"32,903",1.97%
,0.1 - 2.9,"1,001",3.04%
,12.0 -14.9,"5,753",17.48%
,15 +,"2,336",7.10%
,3.0 - 5.9,"11,676",35.49%
,6.0 - 8.9,"6,519",19.81%
,9.0 - 11.9,"5,068",15.40%
,Non-Credit,550,1.67%
Barstow Total,,"3,590",0.22%
,0.1 - 2.9,33,0.92%
,12.0 -14.9,919,25.60%
,15 +,501,13.96%
,3.0 - 5.9,657,18.30%
,6.0 - 8.9,769,21.42%
,9.0 - 11.9,546,15.21%
,Non-Credit,165,4.60%
Berkeley City Total,,"6,644",0.40%
,0.1 - 2.9,70,1.05%
,12.0 -14.9,444,6.68%
,15 +,540,8.13%
,3.0 - 5.9,"3,152",47.44%
,6.0 - 8.9,"1,254",18.87%
,9.0 - 11.9,818,12.31%
,Non-Credit,366,5.51%
Butte Total,,"13,374",0.80%
,0.1 - 2.9,244,1.82%
,12.0 -14.9,"2,983",22.30%
,15 +,"2,305",17.23%
,3.0 - 5.9,"3,396",25.39%
,6.0 - 8.9,"1,840",13.76%
,9.0 - 11.9,"1,537",11.49%
,Non-Credit,"1,069",7.99%
Cabrillo Total,,"10,618",0.64%
,0.1 - 2.9,923,8.69%
,12.0 -14.9,"2,164",20.38%
,15 +,"1,242",11.70%
,3.0 - 5.9,"2,523",23.76%
,6.0 - 8.9,"1,627",15.32%
,9.0 - 11.9,"1,420",13.37%
,Non-Credit,719,6.77%
CalBright Total,,"8,377",0.50%
,Non-Credit,"8,377",100.00%
Canada Total,,"6,761",0.41%
,0.1 - 2.9,499,7.38%
,12.0 -14.9,508,7.51%
,15 +,227,3.36%
,3.0 - 5.9,"3,417",50.54%
,6.0 - 8.9,"1,291",19.09%
,9.0 - 11.9,816,12.07%
,Non-Credit,3,0.04%
Canyons Total,,"17,699",1.06%
,0.1 - 2.9,"1,577",8.91%
,12.0 -14.9,"3,560",20.11%
,15 +,"1,854",10.48%
,3.0 - 5.9,"3,629",20.50%
,6.0 - 8.9,"2,545",14.38%
,9.0 - 11.9,"2,271",12.83%
,Non-Credit,"2,263",12.79%
Cerritos Total,,"24,625",1.48%
,0.1 - 2.9,362,1.47%
,12.0 -14.9,"3,130",12.71%
,15 +,"6,589",26.76%
,3.0 - 5.9,"4,893",19.87%
,6.0 - 8.9,"4,474",18.17%
,9.0 - 11.9,"3,167",12.86%
,Non-Credit,"2,010",8.16%
Cerro Coso Total,,"7,204",0.43%
,0.1 - 2.9,958,13.30%
,12.0 -14.9,612,8.50%
,15 +,257,3.57%
,3.0 - 5.9,"3,106",43.11%
,6.0 - 8.9,"1,409",19.56%
,9.0 - 11.9,758,10.52%
,Non-Credit,104,1.44%
Chabot Hayward Total,,"14,235",0.85%
,0.1 - 2.9,639,4.49%
,12.0 -14.9,"2,524",17.73%
,15 +,"1,435",10.08%
,3.0 - 5.9,"5,122",35.98%
,6.0 - 8.9,"2,143",15.05%
,9.0 - 11.9,"1,731",12.16%
,Non-Credit,641,4.50%
Chaffey Total,,"24,888",1.49%
,0.1 - 2.9,542,2.18%
,12.0 -14.9,"4,984",20.03%
,15 +,"2,517",10.11%
,3.0 - 5.9,"7,024",28.22%
,6.0 - 8.9,"4,936",19.83%
,9.0 - 11.9,"4,147",16.66%
,Non-Credit,738,2.97%
Citrus Total,,"10,860",0.65%
,0.1 - 2.9,169,1.56%
,12.0 -14.9,"2,423",22.31%
,15 +,"1,546",14.24%
,3.0 - 5.9,"2,960",27.26%
,6.0 - 8.9,"1,993",18.35%
,9.0 - 11.9,"1,385",12.75%
,Non-Credit,384,3.54%
Clovis Total,,"11,046",0.66%
,0.1 - 2.9,242,2.19%
,12.0 -14.9,"1,633",14.78%
,15 +,818,7.41%
,3.0 - 5.9,"5,012",45.37%
,6.0 - 8.9,"2,040",18.47%
,9.0 - 11.9,"1,276",11.55%
,Non-Credit,25,0.23%
Coalinga College Total,,"4,497",0.27%
,0.1 - 2.9,81,1.80%
,12.0 -14.9,367,8.16%
,15 +,240,5.34%
,3.0 - 5.9,"2,003",44.54%
,6.0 - 8.9,"1,022",22.73%
,9.0 - 11.9,571,12.70%
,Non-Credit,213,4.74%
Coastline Total,,"11,461",0.69%
,0.1 - 2.9,91,0.79%
,12.0 -14.9,533,4.65%
,15 +,204,1.78%
,3.0 - 5.9,"5,433",47.40%
,6.0 - 8.9,"2,377",20.74%
,9.0 - 11.9,"1,387",12.10%
,Non-Credit,"1,436",12.53%
Columbia Total,,"3,247",0.19%
,0.1 - 2.9,150,4.62%
,12.0 -14.9,565,17.40%
,15 +,255,7.85%
,3.0 - 5.9,"1,161",35.76%
,6.0 - 8.9,564,17.37%
,9.0 - 11.9,388,11.95%
,Non-Credit,164,5.05%
Compton Total,,"5,901",0.35%
,0.1 - 2.9,383,6.49%
,12.0 -14.9,694,11.76%
,15 +,401,6.80%
,3.0 - 5.9,"2,451",41.54%
,6.0 - 8.9,"1,121",19.00%
,9.0 - 11.9,661,11.20%
,Non-Credit,190,3.22%
Contra Costa Total,,"7,438",0.45%
,0.1 - 2.9,219,2.94%
,12.0 -14.9,"1,394",18.74%
,15 +,585,7.87%
,3.0 - 5.9,"2,458",33.05%
,6.0 - 8.9,"1,256",16.89%
,9.0 - 11.9,"1,031",13.86%
,Non-Credit,495,6.66%
Copper Mountain College Total,,"2,483",0.15%
,0.1 - 2.9,12,0.48%
,12.0 -14.9,429,17.28%
,15 +,99,3.99%
,3.0 - 5.9,809,32.58%
,6.0 - 8.9,494,19.90%
,9.0 - 11.9,417,16.79%
,Non-Credit,223,8.98%
Cosumnes River Total,,"17,474",1.05%
,0.1 - 2.9,608,3.48%
,12.0 -14.9,"2,670",15.28%
,15 +,"1,505",8.61%
,3.0 - 5.9,"6,689",38.28%
,6.0 - 8.9,"3,441",19.69%
,9.0 - 11.9,"2,561",14.66%
Crafton Hills Total,,"7,490",0.45%
,0.1 - 2.9,274,3.66%
,12.0 -14.9,"1,319",17.61%
,15 +,590,7.88%
,3.0 - 5.9,"2,439",32.56%
,6.0 - 8.9,"1,478",19.73%
,9.0 - 11.9,"1,300",17.36%
,Non-Credit,90,1.20%
Cuesta Total,,"12,602",0.76%
,0.1 - 2.9,331,2.63%
,12.0 -14.9,"1,671",13.26%
,15 +,"1,159",9.20%
,3.0 - 5.9,"4,286",34.01%
,6.0 - 8.9,"2,084",16.54%
,9.0 - 11.9,"1,609",12.77%
,Non-Credit,"1,462",11.60%
Cuyamaca Total,,"9,090",0.55%
,0.1 - 2.9,393,4.32%
,12.0 -14.9,"1,517",16.69%
,15 +,541,5.95%
,3.0 - 5.9,"3,974",43.72%
,6.0 - 8.9,"1,572",17.29%
,9.0 - 11.9,"1,084",11.93%
,Non-Credit,9,0.10%
Cypress Total,,"16,810",1.01%
,0.1 - 2.9,690,4.10%
,12.0 -14.9,"4,061",24.16%
,15 +,"2,038",12.12%
,3.0 - 5.9,"4,852",28.86%
,6.0 - 8.9,"2,890",17.19%
,9.0 - 11.9,"2,273",13.52%
,Non-Credit,6,0.04%
Deanza Total,,"18,145",1.09%
,0.1 - 2.9,465,2.56%
,12.0 -14.9,"4,237",23.35%
,15 +,"4,384",24.16%
,3.0 - 5.9,"4,601",25.36%
,6.0 - 8.9,"1,486",8.19%
,9.0 - 11.9,"2,352",12.96%
,Non-Credit,620,3.42%
Desert Total,,"14,724",0.88%
,0.1 - 2.9,393,2.67%
,12.0 -14.9,"3,317",22.53%
,15 +,"1,305",8.86%
,3.0 - 5.9,"3,598",24.44%
,6.0 - 8.9,"2,485",16.88%
,9.0 - 11.9,"2,305",15.65%
,Non-Credit,"1,321",8.97%
Diablo Valley Total,,"17,665",1.06%
,0.1 - 2.9,488,2.76%
,12.0 -14.9,"3,829",21.68%
,15 +,"2,450",13.87%
,3.0 - 5.9,"4,965",28.11%
,6.0 - 8.9,"3,000",16.98%
,9.0 - 11.9,"2,636",14.92%
,Non-Credit,297,1.68%
East LA Total,,"38,249",2.30%
,0.1 - 2.9,"7,410",19.37%
,12.0 -14.9,"3,885",10.16%
,15 +,"1,612",4.21%
,3.0 - 5.9,"14,242",37.23%
,6.0 - 8.9,"5,179",13.54%
,9.0 - 11.9,"3,261",8.53%
,Non-Credit,"2,660",6.95%
El Camino Total,,"21,490",1.29%
,0.1 - 2.9,620,2.89%
,12.0 -14.9,"5,755",26.78%
,15 +,"2,177",10.13%
,3.0 - 5.9,"4,907",22.83%
,6.0 - 8.9,"3,913",18.21%
,9.0 - 11.9,"3,524",16.40%
,Non-Credit,594,2.76%
Evergreen Valley Total,,"8,729",0.52%
,0.1 - 2.9,343,3.93%
,12.0 -14.9,"1,456",16.68%
,15 +,578,6.62%
,3.0 - 5.9,"2,796",32.03%
,6.0 - 8.9,"1,689",19.35%
,9.0 - 11.9,"1,514",17.34%
,Non-Credit,353,4.04%
Feather River Total,,"1,785",0.11%
,0.1 - 2.9,80,4.48%
,12.0 -14.9,186,10.42%
,15 +,400,22.41%
,3.0 - 5.9,513,28.74%
,6.0 - 8.9,429,24.03%
,9.0 - 11.9,167,9.36%
,Non-Credit,10,0.56%
Folsom Lake Total,,"11,779",0.71%
,0.1 - 2.9,521,4.42%
,12.0 -14.9,"1,586",13.46%
,15 +,945,8.02%
,3.0 - 5.9,"5,135",43.59%
,6.0 - 8.9,"2,140",18.17%
,9.0 - 11.9,"1,446",12.28%
,Non-Credit,6,0.05%
Foothill Total,,"14,135",0.85%
,0.1 - 2.9,781,5.53%
,12.0 -14.9,"1,817",12.85%
,15 +,"2,280",16.13%
,3.0 - 5.9,"5,254",37.17%
,6.0 - 8.9,"1,312",9.28%
,9.0 - 11.9,"1,953",13.82%
,Non-Credit,738,5.22%
Fresno City Total,,"29,506",1.77%
,0.1 - 2.9,"2,264",7.67%
,12.0 -14.9,"4,811",16.31%
,15 +,"2,471",8.37%
,3.0 - 5.9,"9,693",32.85%
,6.0 - 8.9,"5,084",17.23%
,9.0 - 11.9,"4,434",15.03%
,Non-Credit,749,2.54%
Fullerton Total,,"20,487",1.23%
,0.1 - 2.9,848,4.14%
,12.0 -14.9,"5,111",24.95%
,15 +,"2,567",12.53%
,3.0 - 5.9,"5,615",27.41%
,6.0 - 8.9,"3,441",16.80%
,9.0 - 11.9,"2,905",14.18%
Gavilan Total,,"7,214",0.43%
,0.1 - 2.9,638,8.84%
,12.0 -14.9,"1,231",17.06%
,15 +,693,9.61%
,3.0 - 5.9,"1,629",22.58%
,6.0 - 8.9,"1,056",14.64%
,9.0 - 11.9,951,13.18%
,Non-Credit,"1,016",14.08%
Glendale Total,,"17,250",1.04%
,0.1 - 2.9,247,1.43%
,12.0 -14.9,"2,600",15.07%
,15 +,"3,974",23.04%
,3.0 - 5.9,"2,228",12.92%
,6.0 - 8.9,"1,905",11.04%
,9.0 - 11.9,"1,674",9.70%
,Non-Credit,"4,622",26.79%
Golden West Total,,"12,193",0.73%
,0.1 - 2.9,347,2.85%
,12.0 -14.9,"1,811",14.85%
,15 +,"1,067",8.75%
,3.0 - 5.9,"4,402",36.10%
,6.0 - 8.9,"2,230",18.29%
,9.0 - 11.9,"1,596",13.09%
,Non-Credit,740,6.07%
Grossmont Total,,"15,117",0.91%
,0.1 - 2.9,251,1.66%
,12.0 -14.9,"3,909",25.86%
,15 +,"1,212",8.02%
,3.0 - 5.9,"4,522",29.91%
,6.0 - 8.9,"2,766",18.30%
,9.0 - 11.9,"2,189",14.48%
,Non-Credit,268,1.77%
Hartnell Total,,"10,973",0.66%
,0.1 - 2.9,653,5.95%
,12.0 -14.9,"2,600",23.69%
,15 +,"1,555",14.17%
,3.0 - 5.9,"2,842",25.90%
,6.0 - 8.9,"1,735",15.81%
,9.0 - 11.9,"1,263",11.51%
,Non-Credit,325,2.96%
Imperial Total,,"8,875",0.53%
,0.1 - 2.9,72,0.81%
,12.0 -14.9,"2,604",29.34%
,15 +,"1,288",14.51%
,3.0 - 5.9,"1,818",20.48%
,6.0 - 8.9,"1,525",17.18%
,9.0 - 11.9,"1,568",17.67%
Irvine Total,,"16,903",1.01%
,0.1 - 2.9,583,3.45%
,12.0 -14.9,"2,725",16.12%
,15 +,"2,084",12.33%
,3.0 - 5.9,"4,178",24.72%
,6.0 - 8.9,"2,030",12.01%
,9.0 - 11.9,"1,673",9.90%
,Non-Credit,"3,630",21.48%
LA City Total,,"18,009",1.08%
,0.1 - 2.9,390,2.17%
,12.0 -14.9,"2,282",12.67%
,15 +,714,3.96%
,3.0 - 5.9,"7,914",43.94%
,6.0 - 8.9,"2,715",15.08%
,9.0 - 11.9,"1,797",9.98%
,Non-Credit,"2,197",12.20%
LA Harbor Total,,"10,894",0.65%
,0.1 - 2.9,471,4.32%
,12.0 -14.9,"1,032",9.47%
,15 +,371,3.41%
,3.0 - 5.9,"5,416",49.72%
,6.0 - 8.9,"2,090",19.18%
,9.0 - 11.9,965,8.86%
,Non-Credit,549,5.04%
LA Mission Total,,"13,515",0.81%
,0.1 - 2.9,491,3.63%
,12.0 -14.9,"1,473",10.90%
,15 +,490,3.63%
,3.0 - 5.9,"6,079",44.98%
,6.0 - 8.9,"1,886",13.95%
,9.0 - 11.9,"1,226",9.07%
,Non-Credit,"1,870",13.84%
LA Pierce Total,,"20,341",1.22%
,0.1 - 2.9,492,2.42%
,12.0 -14.9,"3,281",16.13%
