,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Alameda Total,,,"9,541",,"8,421","2,058","10,142",,"9,439","2,664","10,559",,"10,551","2,762","11,115",,"10,706","3,173","11,095",
,Credit - Degree Applicable                         Total,,"9,208",,"8,123","2,058","9,789",,"9,090","2,664","10,152",,"10,147","2,762","10,743",,"10,272","3,134","10,718",
,,"040100 - Biology, General                        ",240,,172,,153,,128,56,150,,217,46,231,,256,48,289,
,,040300 - MicroBiology                            ,34,,100,,66,,24,,56,,60,,56,,48,,102,
,,041000 - Anatomy and Physiology                  ,428,,178,74,210,,158,32,198,,190,68,202,,216,112,214,
,,"050100 - Business and Commerce, General          ",196,,288,,249,,240,,316,,284,41,270,,226,73,326,
,,050200 - Accounting                              ,157,,214,38,266,,345,38,337,,429,33,376,,412,122,341,
,,050210 - Tax Studies                             ,39,,,,,,,,,,,,,,,,33,
,,050500 - Business Administration                 ,,,17,,,,36,,,,33,,,,26,,,
,,050900 - Marketing and Distribution              ,11,,23,,27,,41,,33,,40,,34,,36,,40,
,,061000 - Mass Communications                     ,24,,,,32,,,,26,,,,32,,,,38,
,,"070100 - Information Technology, General         ",212,,166,,146,,106,,146,,116,,84,,,62,24,
,,070200 - Computer Information Systems            ,272,,131,,194,,139,122,184,,110,54,148,,126,66,146,
,,070210 - Software Applications                   ,62,,34,,30,,38,,86,,56,,72,,66,,32,
,,070710 - Computer Programming                    ,,,,,28,,48,,,,72,,84,,64,,38,
,,070720 - Database Design and Administration      ,,,,,,,,,,,,,,,,,13,
,,070820 - Computer Support                        ,,,,,40,,,,,,,,,,,,,
,,070900 - World Wide Web Administration           ,28,,22,,96,,,,102,,66,,90,,92,,86,
,,083500 - Physical Education                      ,67,,43,48,112,,121,51,167,,147,103,158,,144,118,154,
,,083510 - Physical Fitness and Body Movement      ,,,,,,,,,4,,8,6,2,,8,,6,
,,083550 - Intercollegiate Athletics               ,21,,10,,23,,23,,28,,21,,21,,8,19,25,
,,083700 - Health Education                        ,,,35,,39,,66,27,34,,56,31,33,,33,39,41,
,,094700 - Diesel Technology                       ,56,,49,,71,,66,,76,,90,,121,,120,,118,
,,094800 - Automotive Technology                   ,120,,173,52,119,,262,56,145,,282,84,221,,317,86,292,
,,094900 - Automotive Collision Repair             ,40,,50,,49,,53,,45,,53,,80,,50,,119,
,,095000 - Aeronautical and Aviation Technology    ,80,,76,,86,,80,,90,,,,,,100,,44,
,,095010 - Aviation Airframe Mechanics             ,70,,82,50,70,,84,50,84,,98,,48,,,50,,
,,095020 - Aviation Powerplant Mechanics           ,86,,86,,98,,92,,96,,188,,142,,92,,128,
,,"100100 - Fine Arts, General                      ",129,,236,42,217,,236,,130,,200,,198,,70,,62,
,,100200 - Art                                     ,38,,,,,,30,37,40,,,37,,,14,38,4,
,,100210 - Painting and Drawing                    ,128,,78,44,112,,118,,90,,178,,172,,214,,196,
,,100400 - Music                                   ,179,,115,,175,,164,,219,,166,,238,,191,,186,
,,100800 - Dance                                   ,242,,202,,201,,335,,265,,219,,151,,123,,225,
,,110500 - Spanish                                 ,23,,,39,26,,28,,27,,30,,29,,38,,71,
,,110700 - Chinese                                 ,65,,70,,62,,66,,66,,65,,72,,67,,69,
,,111720 - Vietnamese                              ,15,,33,,,,18,,,,,,37,,26,,40,
,,122800 - Athletic Training and Sports Medicine   ,,,,,,,31,,,,27,,,,51,,,
,,124010 - Dental Assistant                        ,296,,239,,284,,230,,317,,241,,270,,200,50,218,
,,127000 - Kinesiology                             ,13,,35,,27,,,,63,,30,,61,,,,37,
,,129900 - Other Health Occupations                ,167,,149,99,197,,184,105,235,,191,110,251,,257,151,114,
,,130310 - Fashion Design                          ,388,,312,,376,,325,,440,,438,,371,,346,,366,
,,150100 - English                                 ,482,,322,97,360,,374,89,476,,431,189,555,,572,139,554,
,,150300 - Comparative Literature                  ,14,,26,,,,11,,12,,32,,32,,28,,,
,,150600 - Speech Communication                    ,366,,254,98,446,,403,175,347,,391,219,422,,378,131,354,
,,150700 - Creative Writing                        ,14,,20,,25,,34,,24,,27,,24,,25,,26,
,,150900 - Philosophy                              ,36,,53,23,92,,61,38,30,,67,33,97,,32,31,40,
,,159900 - Other Humanities                        ,124,,148,36,162,,161,39,156,,183,31,165,,137,32,191,
,,169900 - Other Library Science                   ,22,,28,,24,,27,,66,,65,,53,,48,,59,
,,"170100 - Mathematics, General                    ",726,,642,417,951,,674,558,886,,862,512,"1,019",,988,509,"1,212",
,,"190200 - Physics, General                        ",63,,117,,119,,149,,177,,110,,164,,158,,184,
,,"190500 - Chemistry, General                      ",278,,222,38,166,,156,,208,,198,,276,,252,,260,
,,191100 - Astronomy                               ,131,,107,28,165,,147,33,125,,147,45,158,,116,,159,
,,191400 - Geology                                 ,33,,28,,55,,35,35,73,,29,28,100,,86,36,51,
,,"200100 - Psychology, General                     ",512,,586,100,636,,549,119,593,,533,141,513,,624,176,520,
,,209900 - Other Psychology                        ,10,,7,,10,,16,,21,,13,,8,,9,,7,
,,210200 - Public Administration                   ,61,,53,,37,,24,,,,,,,,,,,
,,220200 - Anthropology                            ,354,,327,59,372,,340,97,455,,374,110,423,,416,104,381,
,,220220 - Archaeology                             ,19,,14,,30,,,,36,,,,30,,,,34,
,,220300 - Ethnic Studies                          ,202,,249,119,240,,200,127,188,,296,111,372,,310,195,393,
,,220400 - Economics                               ,279,,243,83,317,,298,146,276,,224,141,309,,290,186,339,
,,220500 - History                                 ,417,,320,180,443,,251,239,448,,374,244,414,,297,160,380,
,,220600 - Geography                               ,199,,309,48,337,,354,50,325,,313,40,268,,361,28,381,
,,220700 - Political Science                       ,193,,81,68,196,,209,86,298,,280,67,255,,344,72,185,
,,220800 - Sociology                               ,434,,334,110,487,,415,129,469,,545,127,501,,523,134,528,
,,493010 - Career Guidance and Orientation         ,122,,115,30,101,,137,69,74,,62,32,119,,99,76,136,
,,493011 - Interpersonal Skills                    ,24,,,38,38,,,,,,,,,,,,,
,,493013 - Academic Guidance                       ,126,,64,,62,,92,61,28,,109,79,42,,72,65,33,
,,493087 - English as a Second Language - Integrate,25,,22,,20,,24,,27,,25,,28,,24,,20,
,,493200 - General Work Experience                 ,16,,14,,17,,34,,39,,56,,41,,46,26,54,
,Credit - Not Degree Applicable                     Total,,333,,298,,353,,349,,407,,404,,372,,434,39,377,
,,094700 - Diesel Technology                       ,14,,13,,20,,16,,16,,14,,7,,10,,5,
,,124010 - Dental Assistant                        ,,,,,,,,,,,,,,,,39,,
,,493014 - Study Skills                            ,,,,,,,,,,,,,,,,,34,
,,"493030 - Learning Skills, Handicapped            ",15,,11,,10,,9,,5,,5,,6,,5,,9,
,,"493031 - Living Skills, Handicapped              ",14,,24,,10,,18,,5,,10,,6,,10,,9,
,,"493032 - Learning Skills, Learning Disabled      ",24,,20,,33,,25,,35,,39,,35,,34,,32,
,,493086 - English as a Second Language - Listening,120,,79,,93,,92,,104,,95,,89,,101,,64,
,,493087 - English as a Second Language - Integrate,146,,151,,187,,189,,242,,241,,229,,274,,224,
