,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Allan Hancock Total,,,"24,217","1,652","22,163",,"24,851","1,977","23,716","6,687","26,280","2,396","24,726","7,351","27,500","2,509","25,331","7,475","28,124","2,882"
,Credit - Degree Applicable                         Total,,"23,411","1,627","21,664",,"24,060","1,960","23,261","6,600","25,575","2,396","24,205","7,301","26,737","2,509","24,898","7,382","27,402","2,882"
,,"010100 - Agriculture Technology and Sciences, Gen",126,,156,,124,,230,13,155,,247,,240,,264,30,240,
,,010200 - Animal Science                          ,15,,82,,9,,89,,17,,92,,16,,96,,39,
,,010210 - Veterinary Technician (Licensed)        ,53,,55,,41,,52,,35,,42,,49,,60,,56,
,,010300 - Plant Science                           ,90,,125,,174,,114,,70,,84,,92,,33,,104,
,,"010400 - Viticulture, Enology, and Wine Business ",154,,106,,161,,161,7,177,,95,1,153,,83,5,144,
,,010900 - Horticulture                            ,,,112,,28,,89,,,,81,,,,74,,,
,,"011200 - Agriculture Business, Sales and Service ",,,52,,,,47,,,,46,,,,42,,,
,,020100 - Architecture and Architectural Technolog,7,,7,,10,,28,,12,,31,,30,,38,,44,
,,030300 - Environmental Technology                ,76,,75,,112,15,91,,124,32,92,,126,,40,,15,
,,"040100 - Biology, General                        ",816,,832,,850,,963,152,897,,"1,007",161,907,,"1,071",180,962,
,,"050100 - Business and Commerce, General          ",644,123,595,,738,128,608,360,686,135,661,332,664,127,599,313,619,131
,,050200 - Accounting                              ,374,49,309,,383,78,379,132,409,88,385,137,441,92,459,153,458,98
,,050600 - Business Management                     ,,,16,,,,,,19,,12,,21,,14,,11,
,,050640 - Small Business and Entrepreneurship     ,25,,67,,20,,98,,27,,94,,31,,28,,31,
,,051100 - Real Estate                             ,,,29,,36,,52,,58,,57,,58,,56,,47,
,,051400 - Office Technology/Office Computer Applic,"1,000",33,"1,231",,"1,052",34,998,51,"1,264",34,"1,130",55,"1,209",27,"1,161",54,"1,202",18
,,061200 - Film Studies                            ,,,,,,,,,20,,,,13,,,,,
,,061220 - Film Production                         ,302,64,332,,279,65,283,114,272,63,311,116,260,66,271,103,207,60
,,061400 - Digital Media                           ,104,,87,,80,,92,,88,,111,21,98,,96,13,118,
,,070200 - Computer Information Systems            ,224,48,195,,225,33,174,30,187,37,224,48,239,20,204,27,257,22
,,070600 - Computer Science (Transfer)             ,255,54,286,,289,63,273,94,277,60,309,99,276,61,200,81,220,52
,,070810 - Computer Networking                     ,,,,,,,,,,,,,,,,,63,
,,"080100 - Education, General                      ",42,,53,,49,,73,,40,,82,,44,,71,,45,
,,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,1,,8,,1,,9,,,
,,083500 - Physical Education                      ,484,,448,,574,,570,229,585,,631,232,617,,540,221,648,
,,083510 - Physical Fitness and Body Movement      ,13,,29,,,,5,2,8,,12,3,11,,15,4,18,
,,083550 - Intercollegiate Athletics               ,344,,279,,358,,298,187,295,,273,237,300,,263,235,330,
,,083610 - Recreation Assistant                    ,92,,86,,95,,67,,114,,59,,36,,44,,35,
,,083700 - Health Education                        ,639,39,405,,524,81,424,211,570,86,402,263,524,89,371,232,476,87
,,085000 - Sign Language                           ,86,,73,,110,,108,43,109,,121,99,93,,108,89,135,
,,"090100 - Engineering, General (requires Calculus)",137,,95,,125,,101,,199,,140,,133,,161,,159,
,,"092400 - Engineering Technology, General (require",14,,26,,27,,55,13,28,,47,15,32,,55,20,29,
