,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Antelope Valley Total,,,"29,465",,"26,009","8,401","31,035",,"29,357","10,330","34,307",,"32,630","11,984","35,900","4,326","34,797","11,829","39,199","5,742"
,Credit - Degree Applicable                         Total,,"29,301",,"25,900","8,219","30,835",,"29,227","10,312","34,053",,"32,435","11,960","35,647","4,326","34,547","11,772","38,536","5,742"
,,010900 - Horticulture                            ,39,,,,,,,,,,,,,,,,,
,,010910 - Landscape Design and Maintenance        ,4,,,,,,,,,,,,,,,,,
,,"040100 - Biology, General                        ","2,120",,"1,863",334,"2,206",,"1,991",395,"2,217",,"2,042",398,"2,430",239,"2,222",405,"2,491",311
,,"050100 - Business and Commerce, General          ",508,,518,193,579,,607,242,722,,623,336,632,123,771,243,820,169
,,050200 - Accounting                              ,261,,248,24,276,,227,68,321,,318,80,294,,366,83,370,
,,050500 - Business Administration                 ,179,,279,55,302,,292,56,335,,394,113,323,,382,112,416,
,,050600 - Business Management                     ,40,,82,43,117,,112,78,134,,132,93,147,,124,97,193,13
,,050640 - Small Business and Entrepreneurship     ,9,,21,,25,,25,,21,,23,,21,,14,,14,
,,050900 - Marketing and Distribution              ,52,,43,,51,,41,1,97,,114,,80,,113,,126,
,,050970 - E-Commerce (Business emphasis)          ,10,,19,23,21,,22,25,23,,26,,22,,52,26,58,
,,051100 - Real Estate                             ,179,,162,26,175,,160,15,223,,188,41,196,11,166,48,231,49
,,051110 - Escrow                                  ,,,,26,,,,29,,,,35,,,,19,28,
,,051400 - Office Technology/Office Computer Applic,140,,70,2,76,,81,,73,,73,,83,,94,,104,
,,051440 - Office Management                       ,64,,146,23,205,,337,26,292,,440,69,401,,607,42,490,
,,060200 - Journalism                              ,,,13,,10,,,,,,,,25,,,,11,
,,060400 - Radio and Television                    ,31,,28,,33,,21,,37,,22,,36,,32,,33,
,,060700 - Technical Communication                 ,15,,43,,21,,65,,16,,83,23,39,34,48,18,43,23
,,061200 - Film Studies                            ,273,,194,113,241,,254,127,273,,259,104,288,34,275,112,312,52
,,061220 - Film Production                         ,18,,19,,17,,19,,23,,22,,23,,26,,24,
,,061400 - Digital Media                           ,299,,373,12,439,,438,16,475,,464,18,467,,429,71,387,
,,061430 - Website Design and Development          ,,,,,,,18,,22,,22,,20,,19,,26,
,,070200 - Computer Information Systems            ,127,,104,49,183,,121,64,89,,20,,62,,43,1,106,
,,070210 - Software Applications                   ,331,,348,161,369,,386,154,390,,394,207,373,105,439,152,437,121
,,070600 - Computer Science (Transfer)             ,,,,,,,,,333,,326,109,334,,341,106,175,
,,070700 - Computer Software Development           ,,,,,,,,,,,,,,,,,1,
,,070710 - Computer Programming                    ,243,,187,45,228,,259,71,,,,,,,,,,
,,070810 - Computer Networking                     ,63,,74,,74,,175,42,120,,163,45,107,25,184,34,161,63
,,"080100 - Education, General                      ",47,,50,,49,,58,,25,,33,,81,,50,,59,
,,083500 - Physical Education                      ,25,,53,29,29,,26,41,38,,29,25,46,,57,53,76,
,,083510 - Physical Fitness and Body Movement      ,352,,348,149,400,,341,85,402,,400,85,499,82,400,63,381,35
,,083520 - Fitness Trainer                         ,20,,10,,22,,18,,29,,24,,23,,14,,,
,,083550 - Intercollegiate Athletics               ,408,,284,160,405,,389,230,363,,256,253,447,49,383,372,523,157
,,083570 - Aquatics and Lifesaving                 ,41,,11,11,39,,,17,,,12,15,,,,,,
,,083580 - Adapted Physical Education              ,12,,17,,18,,24,,15,,14,,,,,,,
,,083600 - Recreation                              ,14,,27,24,12,,13,26,67,,44,24,44,,43,,36,
,,083700 - Health Education                        ,795,,542,427,854,,588,487,936,,785,410,858,160,761,317,816,118
,,085000 - Sign Language                           ,261,,336,40,276,,359,62,308,,338,71,311,11,341,24,313,
,,085010 - Sign Language Interpreting              ,90,,64,,49,,30,,89,,30,,69,,46,,55,
,,"090100 - Engineering, General (requires Calculus)",182,,143,45,183,,168,58,211,,203,115,250,,301,130,353,36
,,093400 - Electronics and Electric Technology     ,108,,68,23,121,,127,52,166,,125,29,148,,131,19,155,
,,094600 - Environmental Control Technology        ,34,,62,15,87,,45,,52,,45,,32,,63,,86,
,,094800 - Automotive Technology                   ,88,,102,30,102,,121,,109,,158,62,231,,257,86,217,
,,094900 - Automotive Collision Repair             ,52,,57,,70,,72,,71,,73,,66,,78,,75,
,,095000 - Aeronautical and Aviation Technology    ,29,,74,72,41,,115,65,66,,106,59,61,,89,80,58,
,,095010 - Aviation Airframe Mechanics             ,29,,28,,28,,24,,23,,20,,30,,27,,31,
,,095020 - Aviation Powerplant Mechanics           ,27,,28,,27,,22,,25,,21,,29,,28,,31,
,,095050 - Aircraft Fabrication                    ,547,,398,130,795,,720,327,768,,796,204,660,,737,207,681,
,,095220 - Electrical                              ,157,,177,47,202,,220,64,189,,235,77,230,,314,119,287,
,,095300 - Drafting Technology                     ,9,,42,,34,,24,,16,,20,,30,,31,,25,13
,,095340 - Mechanical Drafting                     ,31,,24,31,23,,51,29,,,,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,12,,20,12,32,,30,,34,,28,,21,,73,,56,
