,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Bakersfield Total,,,"61,253",,"56,468","20,750","69,312",,"64,443","23,649","74,442",,"71,186","23,882","77,317",,"73,504","26,325","80,032",
,Credit - Degree Applicable                         Total,,"59,170",,"53,577","20,008","66,999",,"62,031","22,991","72,382",,"68,570","23,394","75,818",,"71,252","25,853","77,601",
,,"010100 - Agriculture Technology and Sciences, Gen",72,,168,,67,,272,,75,,194,,88,,205,,89,
,,010200 - Animal Science                          ,336,,254,69,191,,188,67,184,,234,78,192,,237,58,231,
,,010210 - Veterinary Technician (Licensed)        ,162,,226,,182,,197,,206,,222,,239,,221,,187,
,,010230 - Dairy Science                           ,18,,17,,12,,11,,21,,11,,22,,,,31,
,,010240 - Equine Science                          ,,,,16,,,25,,,,,25,,,,22,,
,,010300 - Plant Science                           ,677,,809,327,966,,965,539,933,,967,667,"1,041",,975,680,989,
,,"010400 - Viticulture, Enology, and Wine Business ",18,,,,4,,,,21,,,,27,,,,21,
,,010900 - Horticulture                            ,58,,41,1,66,,31,2,47,,34,2,55,,35,1,60,
,,010910 - Landscape Design and Maintenance        ,,,14,,,,32,,,,36,,,,59,,,
,,010920 - Floriculture / Floristry                ,,,174,,,,159,,,,191,,41,,244,,47,
,,"011200 - Agriculture Business, Sales and Service ",524,,393,28,539,,572,62,506,,531,2,417,,471,30,413,
,,011300 - Food Processing and Related Technologies,57,,48,,61,,68,,106,,35,,94,,68,,65,
,,011400 - Forestry                                ,93,,133,3,93,,98,9,102,,91,4,126,,112,15,96,
,,011500 - Natural Resources                       ,,,20,,,,,,,,,,,,16,,,
,,011510 - Parks and Outdoor Recreation            ,,,,,,,,,,,12,,,,10,,,
,,011520 - Wildlife and Fisheries                  ,29,,,,,,,,,,,8,,,,,,
,,011600 - Agricultural Power Equipment Technology ,247,,91,40,220,,138,80,296,,78,72,222,,132,81,208,
,,019900 - Other Agriculture and Natural Resources ,224,,87,43,244,,254,37,199,,225,85,180,,283,107,262,
,,020100 - Architecture and Architectural Technolog,213,,118,27,245,,157,23,338,,189,31,311,,189,62,307,
,,030100 - Environmental Science                   ,29,,38,,57,,32,,52,,50,,99,,107,,53,
,,"040100 - Biology, General                        ",378,,473,110,489,,433,202,495,,540,133,473,,466,140,414,
,,040300 - MicroBiology                            ,135,,107,,121,,117,,114,,128,,143,,132,,143,
