,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Barstow Total,,,"6,622",,"6,516","2,941","7,993",,"7,856","3,197","8,494",,"9,084","2,904","9,079",,"8,546","3,661","10,052",
,Credit - Degree Applicable                         Total,,"6,580",,"6,477","2,941","7,949",,"7,817","3,197","8,445",,"9,056","2,904","9,079",,"8,546","3,661","10,052",
,,"040100 - Biology, General                        ",132,,166,134,196,,224,101,215,,256,88,187,,213,180,329,
,,040300 - MicroBiology                            ,125,,129,88,125,,147,116,107,,129,,23,,39,,45,
,,041000 - Anatomy and Physiology                  ,216,,212,188,239,,297,203,280,,270,20,125,,126,25,84,
,,"050100 - Business and Commerce, General          ",57,,127,,163,,120,,142,,154,,168,,106,,130,
,,050200 - Accounting                              ,116,,119,55,128,,135,71,149,,216,58,134,,122,48,186,
,,050210 - Tax Studies                             ,18,,1,,17,,,,32,,,,28,,,,33,
,,050500 - Business Administration                 ,58,,75,54,73,,87,52,63,,77,45,108,,91,41,114,
,,050600 - Business Management                     ,47,,38,,51,,52,,63,,58,,64,,65,,68,
,,050640 - Small Business and Entrepreneurship     ,58,,31,,50,,43,,42,,62,37,29,,29,23,27,
,,050900 - Marketing and Distribution              ,,,31,,,,68,,,,59,,,,50,1,,
,,051000 - Logistics and Materials Transportation  ,24,,14,,51,,29,,26,,13,,69,,47,,103,
,,051400 - Office Technology/Office Computer Applic,41,,,,27,,,,21,,,,10,,,,21,
,,061210 - Film History and Criticism              ,70,,81,,99,,60,,90,,93,,111,,81,,81,
,,070200 - Computer Information Systems            ,101,,181,40,162,,154,34,186,,165,42,131,,160,38,168,
,,070600 - Computer Science (Transfer)             ,26,,17,32,71,,78,32,68,,126,25,51,,66,26,55,
,,"080100 - Education, General                      ",12,,,,12,,1,,13,,,,27,,,,43,
,,083500 - Physical Education                      ,55,,29,5,49,,55,29,46,,66,17,37,,62,21,37,
,,083550 - Intercollegiate Athletics               ,130,,80,16,117,,78,,100,,56,,106,,84,5,129,
,,083700 - Health Education                        ,115,,155,104,193,,178,127,227,,255,130,288,,238,175,305,
,,093400 - Electronics and Electric Technology     ,47,,,,52,,,,96,,,,95,,,,118,
,,094500 - Industrial Systems Technology and Mainte,28,,87,,69,,128,,38,,195,,50,,189,20,110,
,,094700 - Diesel Technology                       ,21,,27,,32,,34,,22,,31,23,53,,49,28,44,
,,094800 - Automotive Technology                   ,45,,38,11,45,,53,24,77,,86,19,79,,100,30,116,
,,095200 - Construction Crafts Technology          ,,,9,8,,,8,,8,,,,15,,12,13,21,
,,095650 - Welding Technology                      ,76,,81,13,83,,89,26,87,,105,48,138,,116,32,164,
,,100200 - Art                                     ,160,,234,173,241,,240,159,262,,301,164,368,,376,167,336,
,,100210 - Painting and Drawing                    ,69,,90,,83,,80,22,68,,58,24,83,,83,17,79,
,,100220 - Sculpture                               ,,,,,9,,,,,,,,16,,,,,
,,100230 - Ceramics                                ,14,,15,20,20,,20,18,19,,18,17,22,,18,17,23,
,,100400 - Music                                   ,71,,95,58,88,,110,69,125,,123,89,145,,198,102,139,
,,100600 - Technical Theater                       ,,,,,,,,,,,,,14,,12,,17,
,,100700 - Dramatic Arts                           ,26,,33,,25,,44,,30,,57,,62,,53,,55,
,,100800 - Dance                                   ,,,,,,,,,,,,,5,,,,,
,,101200 - Applied Photography                     ,24,,11,,17,,20,13,19,,19,5,10,,,,,
,,110500 - Spanish                                 ,66,,54,,63,,81,,71,,90,,101,,89,,62,
,,125000 - Emergency Medical Services              ,60,,30,23,61,,46,22,43,,51,15,46,,40,14,69,
,,127000 - Kinesiology                             ,48,,24,,38,,34,,41,,47,,65,,42,28,58,
,,130500 - Child Development/Early Care and Educati,270,,243,38,262,,300,40,246,,357,22,348,,321,34,309,
,,130520 - Children with Special Needs             ,26,,,,,,,,37,,,,,,,,31,
,,130560 - Parenting and Family Education          ,20,,30,36,29,,39,37,30,,60,29,54,,63,37,51,
,,130590 - Infants and Toddlers                    ,,,,,38,,,,,,,,49,,,,,
,,150100 - English                                 ,791,,597,219,815,,714,228,767,,763,256,899,,792,340,935,
,,150300 - Comparative Literature                  ,,,,,7,,,,,,,,11,,,,,
,,150400 - Classics                                ,159,,146,117,193,,195,123,237,,201,135,277,,295,212,321,
,,150600 - Speech Communication                    ,362,,306,220,434,,372,228,503,,514,197,530,,481,241,472,
,,150700 - Creative Writing                        ,1,,20,,,,9,,,,10,,,,,,,
,,150900 - Philosophy                              ,79,,84,54,97,,124,72,112,,135,66,118,,132,92,201,
,,151000 - Religious Studies                       ,,,18,,,,,,,,14,,,,,,,
,,"170100 - Mathematics, General                    ",540,,449,276,652,,595,254,567,,746,276,756,,562,313,720,
,,"190100 - Physical Sciences, General              ",14,,,8,9,,,,15,,,,18,,,27,24,
,,"190200 - Physics, General                        ",25,,38,,26,,53,,34,,28,,16,,20,,16,
,,"190500 - Chemistry, General                      ",165,,234,150,353,,380,170,356,,330,21,91,,125,86,143,
,,191100 - Astronomy                               ,87,,,,77,,77,28,99,,77,26,66,,80,52,89,
,,191400 - Geology                                 ,47,,44,,29,,20,,27,,24,,15,,31,,26,
,,191900 - Oceangraphy                             ,77,,106,39,94,,87,63,94,,137,75,103,,160,88,121,
,,193000 - Earth Science                           ,28,,26,,27,,29,,26,,27,,44,,70,,69,
,,"200100 - Psychology, General                     ",637,,654,334,642,,577,335,546,,539,264,550,,551,266,665,
,,210500 - Administration of Justice               ,120,,118,44,173,,176,40,261,,154,62,277,,206,73,354,
,,210510 - Corrections                             ,33,,35,,44,,36,,53,,52,,61,,48,,76,
,,210520 - Probation and Parole                    ,,,26,,,,17,,,,24,,,,21,,,
,,"210540 - Forensics, Evidence, and Investigation  ",26,,54,,36,,24,,38,,75,,36,,23,,41,
,,"220100 - Social Sciences, General                ",,,12,,,,4,,,,15,,,,17,,,
,,220130 - Social Justice Studies                  ,6,,,,14,,,,12,,,,6,,,,6,
,,220200 - Anthropology                            ,19,,20,,29,,24,,20,,16,,21,,19,,21,
,,220300 - Ethnic Studies                          ,54,,193,68,202,,339,163,339,,383,169,356,,467,209,523,
,,220400 - Economics                               ,130,,99,67,128,,126,53,102,,111,62,133,,124,78,161,
,,220500 - History                                 ,215,,217,92,278,,246,81,320,,275,95,359,,273,130,385,
,,220600 - Geography                               ,23,,,,,,16,1,31,,,,,,,,36,
,,220700 - Political Science                       ,101,,125,77,106,,92,74,126,,146,85,151,,167,73,147,
,,220800 - Sociology                               ,266,,160,80,276,,216,70,225,,270,87,265,,192,96,307,
,,229900 - Other Social Sciences                   ,,,5,,,,,,,,,,,,7,,,
,,300700 - Cosmetology and Barbering               ,103,,104,,130,,137,19,144,,155,15,150,,171,18,161,
,,493010 - Career Guidance and Orientation         ,,,,,,,,,202,,182,96,256,,172,145,272,
,Credit - Not Degree Applicable                     Total,,42,,39,,44,,39,,49,,28,,,,,,,
,,493084 - English as a Second Language - Writing  ,8,,12,,14,,12,,15,,8,,,,,,,
,,493086 - English as a Second Language - Listening,19,,10,,14,,8,,18,,12,,,,,,,
,,493087 - English as a Second Language - Integrate,15,,17,,16,,19,,16,,8,,,,,,,
