,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Berkeley City Total,,,"11,833",,"10,984","2,412","12,506",,"12,606","2,998","13,532",,"12,862","3,230","12,628",,"13,253","3,434","12,757",
,Credit - Degree Applicable                         Total,,"11,772",,"10,886","2,405","12,415",,"12,411","2,939","13,422",,"12,616","3,185","12,533",,"13,010","3,368","12,580",
,,030100 - Environmental Science                   ,,,,,,,,,33,,,,31,,27,,31,
,,"040100 - Biology, General                        ",621,,540,65,571,,597,120,597,,571,134,498,,603,111,465,
,,040300 - MicroBiology                            ,154,,158,,166,,144,,150,,154,,126,,116,,138,
,,040800 - Natural History                         ,30,,32,33,27,,28,31,25,,27,29,30,,27,31,23,
,,043000 - Biotechnology and Biomedical Technology ,93,,104,30,60,,98,34,101,,170,49,61,,150,58,106,
,,"050100 - Business and Commerce, General          ",189,,170,20,190,,201,32,339,,168,35,256,,232,31,325,
,,050200 - Accounting                              ,105,,80,,86,,72,,86,,93,,92,,87,,92,
,,050400 - Banking and Finance                     ,16,,8,,,,35,,,,57,,,,37,,63,
,,050600 - Business Management                     ,,,,,,,,,,,18,,,,14,,,
,,050630 - Management Development and Supervision  ,10,,,,15,,,,15,,,,21,,46,,,
,,050640 - Small Business and Entrepreneurship     ,32,,59,,118,,13,,36,,25,,31,,19,,21,
,,050900 - Marketing and Distribution              ,20,,,,12,,,,31,,62,,24,,23,,18,
,,061000 - Mass Communications                     ,,,20,,,,33,,,,35,,,,,,,
,,061220 - Film Production                         ,335,,329,14,286,,370,32,342,,351,,260,,330,,240,
,,061400 - Digital Media                           ,148,,104,25,120,,134,,159,,180,52,68,,127,70,103,
,,061410 - Multimedia                              ,76,,70,,55,,58,,58,,127,,58,,104,,65,
,,061420 - Electronic Game Design                  ,112,,114,,166,,142,68,150,,158,60,130,,250,64,142,
,,061430 - Website Design and Development          ,730,,534,,"1,031",,926,,983,,506,,453,,399,,420,
,,061440 - Animation                               ,383,,391,89,608,,420,118,404,,324,151,531,,419,133,688,
,,061450 - Desktop Publishing                      ,22,,50,,20,,40,,42,,36,,34,,32,,1,
,,061460 - Computer Graphics and Digital Imagery   ,162,,169,,267,,169,26,189,,188,,193,,140,,117,
,,"070100 - Information Technology, General         ",,,50,,,,62,,62,,76,,60,,48,,82,
,,070200 - Computer Information Systems            ,16,,34,20,44,,60,44,32,,24,,20,,18,,30,
,,070210 - Software Applications                   ,60,,18,,28,,44,,42,,32,,42,,30,,28,
,,070710 - Computer Programming                    ,418,,366,,548,,400,,526,,490,30,582,,388,42,346,
,,070900 - World Wide Web Administration           ,,,9,,,,,,,,,,,,,,,
,,"080100 - Education, General                      ",25,,49,33,55,,41,25,80,,38,26,144,,71,12,103,
,,080200 - Educational Aide (Teacher Assistant)    ,9,,34,,21,,18,,53,,63,,39,,13,,60,
,,083700 - Health Education                        ,63,,18,,25,,24,,71,,,,33,,35,,17,
,,085000 - Sign Language                           ,262,,237,62,179,,261,112,245,,206,36,198,,122,74,198,
,,095500 - Laboratory Science Technology           ,,,12,,,,14,,,,16,,,,16,,,
,,"100100 - Fine Arts, General                      ",205,,236,31,180,,266,38,227,,242,24,222,,310,33,303,
