,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cabrillo Total,,,"27,532",,"23,311","4,564","22,355",,"21,280","4,546","23,432",,"23,105","4,124","27,550",,"28,627","6,029","30,050",
,Credit - Degree Applicable                         Total,,"26,482",,"22,584","4,560","22,091",,"20,955","4,501","23,118",,"22,749","4,100","27,283",,"28,299","5,996","29,847",
,,"010100 - Agriculture Technology and Sciences, Gen",28,,,,,,,,,,,,28,,,,26,
,,010300 - Plant Science                           ,,,,,,,,13,,,,,,,24,,,
,,"010400 - Viticulture, Enology, and Wine Business ",,,,,,,,16,37,,79,,98,,63,15,23,
,,010900 - Horticulture                            ,241,,205,4,115,,135,,123,,129,,184,,188,4,162,
,,"011200 - Agriculture Business, Sales and Service ",,,,,,,,,,,15,,,,19,,31,
,,030100 - Environmental Science                   ,95,,147,,72,,108,,91,,126,,100,,142,,154,
,,030200 - Environmental Studies                   ,31,,,,35,,,,27,,,,38,,,,38,
,,"039900 - Environmental Sciences and Technologies,",,,,,,,,,,,,,,,,,11,
,,"040100 - Biology, General                        ","1,306",,819,36,486,,472,34,674,,663,119,828,,824,299,912,
,,041000 - Anatomy and Physiology                  ,,,,,,,,,20,,,,,,,,35,
,,043000 - Biotechnology and Biomedical Technology ,20,,8,,24,,,,24,,5,,,,,,29,
,,"050100 - Business and Commerce, General          ",557,,437,40,228,,192,76,232,,292,75,571,,650,154,575,
,,050200 - Accounting                              ,417,,351,44,76,,70,,340,,334,,411,,316,42,433,
,,050400 - Banking and Finance                     ,,,,,,,,,,,,,43,,,,41,
,,050640 - Small Business and Entrepreneurship     ,10,,20,,,,,,,,,,23,,31,,27,
,,050900 - Marketing and Distribution              ,9,,14,,14,,,,29,,,,32,,,,33,
,,050970 - E-Commerce (Business emphasis)          ,9,,,,,,,,,,,,15,,,,16,
,,051400 - Office Technology/Office Computer Applic,271,,258,79,18,,14,,6,,12,,349,,367,112,342,
,,060200 - Journalism                              ,44,,40,,35,,45,,37,,48,,52,,48,,33,
,,061210 - Film History and Criticism              ,,,,,,,,,,,,,,,41,,,
,,061220 - Film Production                         ,,,,,,,,,,,,,21,,,,33,
,,061400 - Digital Media                           ,248,,214,,,,,,,,,,116,,70,,57,
,,061410 - Multimedia                              ,,,,,,,,,,,,,,,,,15,
,,061430 - Website Design and Development          ,,,,,,,,,,,,,22,,41,,21,
,,"070100 - Information Technology, General         ",,,13,,,,,,,,,,19,,1,,,
,,070210 - Software Applications                   ,34,,56,,,,,,,,,,74,,42,4,67,
,,070600 - Computer Science (Transfer)             ,304,,300,59,159,,157,59,173,,163,38,288,,299,29,272,
,,070710 - Computer Programming                    ,36,,37,,,,,,,,,,25,,23,,35,
,,070800 - Computer Infrastructure and Support     ,184,,160,,,,,,,,,,203,,170,9,186,
,,070820 - Computer Support                        ,21,,44,,,,,,,,,,40,,34,,33,
,,"080100 - Education, General                      ",46,,57,,52,,49,,44,,62,,32,,28,,53,
,,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,5,,5,,,,10,
,,083500 - Physical Education                      ,709,,825,122,964,,"1,210",183,"1,298",,"1,448",72,490,,"1,436",248,"1,420",
,,083520 - Fitness Trainer                         ,179,,162,38,163,,191,32,187,,195,,180,,215,60,260,
,,083550 - Intercollegiate Athletics               ,364,,243,65,597,,321,96,610,,366,,2,,349,43,573,
,,083560 - Coaching                                ,27,,6,,50,,13,,60,,,,22,,25,,27,
,,083570 - Aquatics and Lifesaving                 ,,,,,,,,,,,,,15,,34,,38,
,,083700 - Health Education                        ,409,,460,128,420,,430,129,400,,410,126,443,,435,125,427,
,,"090100 - Engineering, General (requires Calculus)",222,,247,25,191,,190,37,216,,216,49,294,,300,46,301,
,,"092400 - Engineering Technology, General (require",85,,82,,102,,74,,23,,,,145,,118,,146,
,,094610 - Energy Systems Technology               ,27,,26,,27,,42,,32,,24,,36,,39,,43,
,,095650 - Welding Technology                      ,121,,123,,119,,122,,128,,153,,180,,200,,212,
,,095700 - Civil and Construction Management Techno,192,,225,2,221,,263,,172,,244,,257,,265,1,267,
,,095720 - Construction Inspection                 ,42,,28,,52,,42,,57,,30,,25,,51,,87,
,,100200 - Art                                     ,968,,"1,067",143,"1,017",,914,109,858,,657,86,882,,838,148,964,
,,100210 - Painting and Drawing                    ,,,,,,,,25,103,,105,17,119,,115,,139,
,,100230 - Ceramics                                ,,,,,,,,,,,83,,147,,141,,152,
,,100400 - Music                                   ,887,,841,28,451,,481,55,535,,502,32,957,,"1,189",292,"1,041",
,,100500 - Commercial Music                        ,104,,87,1,104,,49,,145,,117,,184,,134,4,173,
,,100700 - Dramatic Arts                           ,106,,135,35,102,,150,29,139,,178,,153,,194,63,174,
,,100800 - Dance                                   ,200,,165,,201,,235,,227,,296,,245,,259,,283,
,,100900 - Applied Design                          ,,,,,,,,,,,,,21,,38,,25,
,,101100 - Photography                             ,360,,360,34,181,,309,38,186,,269,34,187,,242,53,207,
,,101200 - Applied Photography                     ,14,,45,,14,,,,53,,35,,126,,103,,170,
,,103000 - Graphic Art and Design                  ,,,,,,,,,,,,,91,,63,,90,
,,109900 - Other Fine and Applied Arts             ,,,,,,,,,,,,,8,,25,,12,
,,"110100 - Foreign Languages, General              ",169,,121,,,,,,,,,,160,,129,29,165,
,,110200 - French                                  ,41,,58,,1,,,,,,,,38,,26,,46,
,,110300 - German                                  ,19,,9,,,,,,,,,,16,,,,16,
,,110400 - Italian                                 ,26,,13,,,,,,,,,,33,,10,,46,
,,110500 - Spanish                                 ,397,,332,,61,,57,,41,,83,,434,,423,78,360,
,,110800 - Japanese                                ,62,,44,,,,,,,,,,52,,45,,51,
,,"120100 - Health Occupations, General             ",52,,,10,41,,23,,58,,18,,33,,70,1,80,
,,120510 - Phlebotomy                              ,67,,54,6,60,,72,8,108,,131,,109,,48,,,
,,120800 - Medical Assisting                       ,332,,193,126,426,,391,167,478,,470,188,531,,550,199,499,
,,120810 - Clinical Medical Assisting              ,33,,14,,26,,46,,44,,42,,39,,53,,55,
,,122500 - Radiologic Technology                   ,243,,172,10,172,,136,16,240,,160,16,234,,142,12,215,
,,122800 - Athletic Training and Sports Medicine   ,50,,26,,34,,21,,30,,28,,18,,16,,39,
,,123010 - Registered Nursing                      ,257,,264,7,283,,258,,267,,273,,254,,371,,402,
,,124020 - Dental Hygienist                        ,103,,95,,95,,76,52,96,,95,25,176,,176,20,80,
,,126100 - Community Health Care Worker            ,8,,13,,24,,15,,21,,32,,39,,18,,31,
,,127000 - Kinesiology                             ,201,,207,36,251,,213,68,243,,215,25,191,,134,,158,
,,130500 - Child Development/Early Care and Educati,470,,452,53,431,,505,86,453,,553,66,429,,556,58,441,
,,130590 - Infants and Toddlers                    ,,,,,,,,,,,,,,,13,,25,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",241,,243,49,238,,256,59,253,,247,65,253,,286,109,250,
,,130630 - Culinary Arts                           ,325,,201,8,311,,261,15,278,,233,2,301,,264,33,413,
,,150100 - English                                 ,"2,089",,"1,654",559,"2,809",,"2,042",605,"2,741",,"1,996",698,"2,691",,"2,036",664,"2,593",
,,150600 - Speech Communication                    ,"1,101",,951,235,"1,099",,931,256,"1,161",,"1,148",272,"1,144",,"1,056",300,"1,168",
,,150900 - Philosophy                              ,442,,411,128,420,,368,144,532,,519,147,451,,533,151,384,
,,152000 - Reading                                 ,9,,9,,4,,,,,,,,,,,,,
,,"160100 - Library Science, General                ","1,280",,570,,,,,,,,,,"1,449",,869,279,"1,362",
,,"170100 - Mathematics, General                    ","1,629",,"1,352",233,"1,559",,"1,424",288,"1,640",,"1,521",252,"1,839",,"1,724",278,"1,610",
,,170200 - Mathematics Skills                      ,100,,101,,48,,46,,98,,92,,278,,260,48,471,
,,"190200 - Physics, General                        ",318,,293,,288,,290,56,331,,369,41,413,,450,88,417,
,,"190500 - Chemistry, General                      ",844,,683,49,637,,562,59,682,,634,139,862,,920,176,950,
,,191100 - Astronomy                               ,163,,75,,86,,138,,100,,117,,128,,95,,143,
,,191400 - Geology                                 ,75,,73,,33,,80,,43,,86,,65,,57,,63,
,,191900 - Oceangraphy                             ,64,,72,,,,,,,,,,55,,103,15,56,
,,193000 - Earth Science                           ,,,,,,,,,,,,,,,35,,,
,,"200100 - Psychology, General                     ","1,160",,936,221,"1,157",,"1,096",253,"1,019",,"1,055",278,"1,099",,"1,069",327,"1,148",
,,210400 - Human Services                          ,75,,89,,82,,143,,136,,170,,106,,162,4,120,
,,210440 - Alcohol and Controlled Substances       ,23,,4,,23,,22,,42,,20,,38,,10,4,43,
,,210500 - Administration of Justice               ,246,,172,313,263,,263,533,241,,285,453,190,,294,447,232,
,,213300 - Fire Technology                         ,344,,643,965,435,,"1,199",48,395,,"1,173",73,270,,"1,142",94,363,
,,213350 - Fire Academy                            ,,,16,19,,,,,,,,,,,,,,
,,220110 - Women's Studies                         ,67,,77,,94,,59,,48,,69,,52,,40,,84,
,,220200 - Anthropology                            ,784,,748,84,696,,736,155,761,,752,77,786,,864,207,904,
,,220300 - Ethnic Studies                          ,78,,95,,97,,180,56,144,,232,133,316,,408,141,521,
,,220400 - Economics                               ,334,,303,102,314,,314,112,363,,376,118,371,,385,103,401,
,,220500 - History                                 ,785,,675,143,732,,763,158,658,,658,102,600,,655,78,687,
,,220600 - Geography                               ,330,,388,68,262,,296,64,160,,330,66,335,,400,65,361,
,,220700 - Political Science                       ,443,,448,129,464,,463,143,437,,471,97,438,,479,93,475,
,,220800 - Sociology                               ,544,,487,88,511,,522,97,543,,565,86,513,,550,113,611,
,,493010 - Career Guidance and Orientation         ,"1,035",,367,34,"1,131",,346,72,850,,187,33,508,,80,27,264,
,,493087 - English as a Second Language - Integrate,66,,56,,82,,55,,89,,54,,75,,46,,91,
,,493200 - General Work Experience                 ,5,,7,2,,,,,,,,,8,,10,4,13,
,,499900 - Other Interdisciplinary Studies         ,26,,11,,21,,9,,8,,29,,37,,8,,6,
,Credit - Not Degree Applicable                     Total,,"1,050",,727,4,264,,325,45,314,,356,24,267,,328,33,203,
,,"040100 - Biology, General                        ",,,,,105,,154,45,146,,166,,92,,96,,,
,,051400 - Office Technology/Office Computer Applic,10,,11,4,7,,,,,,,,10,,19,2,16,
,,122500 - Radiologic Technology                   ,15,,,,,,,,,,,,,,,,,
,,150100 - English                                 ,374,,210,,,,,,,,,,,,,,,
,,"160100 - Library Science, General                ",19,,10,,12,,14,,,,,,,,,,,
,,"170100 - Mathematics, General                    ",488,,341,,,,,,,,,,,,,,,
,,210500 - Administration of Justice               ,,,15,,,,,,,,,,,,,,,
,,"493031 - Living Skills, Handicapped              ",133,,125,,138,,152,,158,,172,,161,,199,,169,
,,"493032 - Learning Skills, Learning Disabled      ",,,,,,,3,,6,,11,,,,10,,14,
,,493087 - English as a Second Language - Integrate,11,,15,,2,,2,,4,,7,24,4,,4,31,4,
