,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Canada Total,,,"9,079",,"9,834","3,336","10,557",,"10,547","3,279","11,838",,"12,160","3,753","12,641",,"12,716","4,058","12,636",
,Credit - Degree Applicable                         Total,,"8,637",,"9,463","3,223","9,910",,"10,005","3,206","11,127",,"11,457","3,631","11,671",,"11,923","3,895","11,814",
,,020100 - Architecture and Architectural Technolog,31,,29,,33,,47,,26,,57,,24,,49,,27,
,,030100 - Environmental Science                   ,45,,44,,69,,67,,82,,85,,90,,81,30,58,
,,"040100 - Biology, General                        ",348,,318,174,399,,378,80,476,,404,170,524,,453,225,555,
,,040300 - MicroBiology                            ,87,,85,36,77,,79,,86,,89,,91,,87,,87,
,,041000 - Anatomy and Physiology                  ,203,,223,,186,,184,,171,,202,,179,,204,,174,
,,"050100 - Business and Commerce, General          ",243,,177,98,340,,343,219,340,,590,241,396,,621,302,516,
,,050200 - Accounting                              ,138,,175,37,222,,202,,220,,209,61,204,,206,53,229,
,,050210 - Tax Studies                             ,,,24,,,,39,,,,28,,,,34,,,
,,050400 - Banking and Finance                     ,22,,25,,34,,48,,54,,86,,60,,70,,85,
,,050600 - Business Management                     ,26,,32,18,40,,13,,24,,31,28,41,,39,29,24,
,,050640 - Small Business and Entrepreneurship     ,11,,40,13,15,,28,,17,,38,,21,,37,,26,
,,050800 - International Business and Trade        ,7,,,28,33,,,,34,,,,40,,,,55,
,,050900 - Marketing and Distribution              ,33,,62,28,75,,20,29,100,,29,36,148,,20,43,84,
,,051400 - Office Technology/Office Computer Applic,78,,231,73,171,,225,53,142,,210,32,158,,173,38,123,
,,061400 - Digital Media                           ,25,,,,20,,,,26,,,,24,,,,44,
,,061410 - Multimedia                              ,112,,104,,139,,97,,128,,104,36,137,,104,47,135,
,,061420 - Electronic Game Design                  ,52,,52,6,75,,90,28,61,,75,9,54,,114,35,55,
,,061430 - Website Design and Development          ,11,,35,,24,,26,,11,,56,,35,,19,,11,
,,061440 - Animation                               ,94,,138,,105,,121,,124,,133,12,154,,129,,99,
,,061450 - Desktop Publishing                      ,,,11,,,,,,,,18,,,,22,,,
,,061460 - Computer Graphics and Digital Imagery   ,30,,46,,44,,36,,29,,30,,33,,20,,25,
,,070600 - Computer Science (Transfer)             ,29,,,,18,,,,35,,,,37,,,,34,
,,070710 - Computer Programming                    ,139,,178,88,155,,210,105,183,,206,75,206,,191,80,186,
,,070720 - Database Design and Administration      ,2,,,,,,,,,,,,,,,,,
,,070800 - Computer Infrastructure and Support     ,3,,,,,,,,,,,,,,,,,
,,"080100 - Education, General                      ",38,,14,,23,,18,,46,,21,,47,,24,,54,
,,083500 - Physical Education                      ,86,,151,66,225,,279,87,244,,241,142,298,,318,169,388,
,,083510 - Physical Fitness and Body Movement      ,176,,312,279,261,,380,241,333,,428,200,318,,399,265,318,
,,083550 - Intercollegiate Athletics               ,170,,116,17,203,,131,19,222,,166,17,221,,188,17,230,
,,"090100 - Engineering, General (requires Calculus)",46,,100,25,39,,143,27,51,,158,,80,,163,,70,
,,093480 - Laser and Optical Technology            ,,,,,4,,14,,3,,,,,,,,,
,,"100100 - Fine Arts, General                      ",158,,147,37,136,,182,35,162,,153,41,152,,170,70,152,
,,100200 - Art                                     ,,,,,1,,,,,,,,,,,,,
,,100210 - Painting and Drawing                    ,43,,32,,44,,,,59,,62,,61,,75,,81,
,,100400 - Music                                   ,72,,88,15,98,,102,34,127,,140,,147,,136,,148,
,,100700 - Dramatic Arts                           ,35,,46,24,44,,51,35,52,,89,34,64,,71,32,54,
,,100800 - Dance                                   ,42,,76,40,131,,207,88,215,,243,123,237,,275,111,233,
,,110500 - Spanish                                 ,117,,88,39,119,,103,34,124,,113,57,129,,115,62,115,
,,120800 - Medical Assisting                       ,8,,9,,6,,4,,6,,6,,8,,5,,6,
,,120810 - Clinical Medical Assisting              ,109,,123,,120,,126,,145,,99,,127,,102,,125,
,,120820 - Administrative Medical Assisting        ,104,,90,,74,,82,,90,,119,20,111,,123,,117,
,,122500 - Radiologic Technology                   ,114,,132,41,104,,104,38,93,,103,50,92,,119,49,102,
,,125500 - Mortuary Science                        ,,,,,2,,,,23,,74,,27,,77,,15,
,,127000 - Kinesiology                             ,33,,34,33,41,,35,59,36,,49,62,37,,50,44,34,
