,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Canyons Total,,,"42,091","8,294","37,233","15,012","46,601","10,350","41,145","15,982","47,732","11,026","42,836","17,873","45,248","9,840","37,708","15,013","40,246","8,756"
,Credit - Degree Applicable                         Total,,"41,541","8,255","36,757","14,989","46,453","10,350","40,887","15,973","47,477","11,026","42,670","17,873","45,122","9,840","37,554","15,013","40,120","8,737"
,,"010400 - Viticulture, Enology, and Wine Business ",10,,20,8,38,,36,,49,,30,,59,,50,,26,
,,011500 - Natural Resources                       ,,,,,,,,,,,,,,,12,,,
,,011510 - Parks and Outdoor Recreation            ,,,9,,,,19,,53,,47,8,77,9,46,10,77,
,,029900 - Other Architecture and Environmental Des,,,,,,,,,,,,,,,41,25,53,2
,,030100 - Environmental Science                   ,73,,38,,57,,64,,67,,65,,70,,75,,74,
,,030200 - Environmental Studies                   ,21,19,37,17,44,21,14,24,45,24,13,15,12,12,9,25,51,21
,,030300 - Environmental Technology                ,8,,8,,8,,8,,10,,7,,4,,5,,8,
,,"040100 - Biology, General                        ","1,154",156,607,175,751,142,563,193,783,149,647,163,945,159,746,235,894,161
,,"040200 - Botany, General                         ",,,,,,,23,,,,13,,,,18,,,
,,040300 - MicroBiology                            ,174,,217,43,212,,185,67,180,,189,52,176,,213,53,194,
,,"040700 - Zoology, General                        ",18,,,,16,,,,11,,,,22,,,,12,
,,041000 - Anatomy and Physiology                  ,613,,619,189,452,,504,175,508,,601,219,635,,678,256,646,
,,049900 - Other Biological Sciences               ,,,14,,,,17,,,,17,,,,14,,,
,,"050100 - Business and Commerce, General          ",557,107,383,146,595,98,302,165,601,98,375,146,601,96,243,142,655,110
,,050200 - Accounting                              ,624,,593,157,591,,573,155,543,,609,176,577,,583,180,564,
,,050400 - Banking and Finance                     ,79,17,90,64,51,27,23,67,45,26,48,84,59,33,18,72,37,26
,,050500 - Business Administration                 ,228,65,264,102,230,70,216,100,267,40,278,125,241,58,221,104,270,33
,,050600 - Business Management                     ,230,61,217,94,195,60,217,70,195,63,231,62,241,35,154,71,203,62
,,050640 - Small Business and Entrepreneurship     ,156,,83,,65,,138,,82,,55,,92,,53,,82,
,,050650 - Retail Store Operations and Management  ,12,,,,20,,12,,14,,11,,9,,,,,
,,050900 - Marketing and Distribution              ,87,,88,27,98,,77,29,66,,89,23,96,,37,29,72,
,,050910 - Advertising                             ,34,,29,,30,,33,,28,,26,,31,,26,,27,
,,050940 - Sales and Salesmanship                  ,24,,33,,27,,30,,20,,31,,27,,26,,26,
,,050970 - E-Commerce (Business emphasis)          ,52,,83,13,108,,61,16,43,,79,20,46,,61,29,49,
,,051100 - Real Estate                             ,195,31,130,23,137,12,130,119,142,40,123,89,129,48,103,85,97,44
,,051110 - Escrow                                  ,,,32,,22,,19,,20,,,,38,,26,,21,
,,051400 - Office Technology/Office Computer Applic,33,19,85,21,54,,58,26,28,,76,20,36,,43,14,49,
,,051420 - Medical Office Technology               ,26,,,11,,,14,,,,13,,18,,,,26,
,,"060100 - Media and Communications, General       ",32,,41,,,,,,,,,,,,,,,
,,060200 - Journalism                              ,15,,35,,12,,35,,22,,48,,16,,51,,21,
,,060400 - Radio and Television                    ,163,,158,52,180,36,178,51,188,69,181,58,241,50,225,57,201,42
,,060410 - Radio                                   ,,,11,,,,10,,,,5,,3,,,,,
,,060420 - Television (including combined TV/Film/V,62,,79,18,69,,107,15,70,,89,11,89,,91,,76,
,,060700 - Technical Communication                 ,101,46,152,37,135,46,132,39,120,66,98,43,129,40,74,40,122,38
,,061000 - Mass Communications                     ,205,30,169,76,235,35,190,55,175,66,225,84,224,33,235,108,198,37
,,061210 - Film History and Criticism              ,411,57,419,75,393,70,289,84,357,67,327,61,346,64,236,56,275,62
,,061220 - Film Production                         ,89,,85,,104,,97,,116,,108,,94,,115,,141,
,,061400 - Digital Media                           ,8,,8,7,9,,7,3,8,,8,3,8,,9,,7,
,,061410 - Multimedia                              ,88,,102,,105,,98,,118,,106,,117,,84,,81,
,,061420 - Electronic Game Design                  ,11,,,,17,,,,13,,,,15,,,,19,
,,061430 - Website Design and Development          ,88,,90,21,91,,89,19,87,,78,12,82,,75,10,64,
,,061440 - Animation                               ,301,38,263,34,254,34,266,30,278,29,262,38,271,24,287,37,224,35
,,061450 - Desktop Publishing                      ,,,,,,,,,,5,,,,,,,,
,,061460 - Computer Graphics and Digital Imagery   ,185,,159,,156,,167,,175,,144,,187,,132,,114,
,,069900 - Other Media and Communications          ,47,,40,,24,,19,,25,,48,,27,,27,,46,
,,070210 - Software Applications                   ,340,161,323,125,361,120,184,105,315,80,186,99,256,113,150,112,241,99
,,070600 - Computer Science (Transfer)             ,836,99,709,181,844,31,647,141,848,41,734,135,843,34,463,82,495,42
,,070710 - Computer Programming                    ,60,,79,50,48,,63,43,53,,67,34,63,,94,29,53,
,,070800 - Computer Infrastructure and Support     ,,,,,,,,,,39,,16,34,37,38,,36,37
,,070810 - Computer Networking                     ,45,,64,26,80,,106,23,106,31,193,50,139,26,160,17,185,
,,070820 - Computer Support                        ,17,,27,,22,,28,,27,,25,,55,,47,,54,
,,"080100 - Education, General                      ",27,,30,,38,,27,,32,,24,,30,,37,,48,
,,083500 - Physical Education                      ,709,211,615,536,843,220,749,588,844,243,678,522,858,260,689,358,796,237
,,083510 - Physical Fitness and Body Movement      ,171,31,85,,111,6,120,,109,,166,,103,,123,,102,
,,083550 - Intercollegiate Athletics               ,337,,310,11,396,,307,17,378,,298,37,349,,334,45,407,
,,083600 - Recreation                              ,10,,15,,6,,,,,,,,,,,,,
,,083610 - Recreation Assistant                    ,,,,,,,,,,,,,,,1,,2,
,,083700 - Health Education                        ,581,197,469,310,484,152,426,309,513,209,367,368,497,221,341,349,367,126
,,085000 - Sign Language                           ,254,35,184,135,188,31,146,76,189,9,186,93,164,28,153,83,167,28
,,085010 - Sign Language Interpreting              ,55,,41,,58,,48,1,22,,13,,1,,22,,68,
,,"090100 - Engineering, General (requires Calculus)",49,,120,,63,,75,,62,,119,,88,,145,,125,
,,"092400 - Engineering Technology, General (require",43,,24,,29,,23,,39,,26,20,67,,40,31,75,19
,,093400 - Electronics and Electric Technology     ,27,,,19,,,,27,,,,28,29,,,28,34,
,,094800 - Automotive Technology                   ,194,19,118,23,197,18,254,59,295,32,261,56,278,50,278,42,357,37
,,094840 - Alternative Fuels and Advanced Transport,,,6,,,,13,,,,12,,,,,,,
,,095200 - Construction Crafts Technology          ,,,,,19,,29,,37,,24,7,24,,31,9,40,
,,095210 - Carpentry                               ,,,,,13,,25,,15,,29,,37,,33,,26,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,16,,,,,,,,,,,,,,,
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",,,,,,,,,6,,,,12,,,,15,
,,095310 - Architectural Drafting                  ,245,33,258,60,245,26,275,57,298,31,308,40,337,50,301,85,341,40
,,095340 - Mechanical Drafting                     ,39,,32,,31,,35,,23,,21,,29,,41,,44,
,,095360 - Technical Illustration                  ,18,,14,,13,,6,,12,,11,,10,,13,,8,
,,095600 - Manufacturing and Industrial Technology ,59,,32,,29,,46,,82,1,68,,101,22,91,2,70,13
,,095630 - Machining and Machine Tools             ,19,,8,,20,,20,,20,,16,,14,,16,,14,
,,095650 - Welding Technology                      ,265,22,260,55,329,21,304,79,364,40,313,92,346,38,177,68,344,40
,,095700 - Civil and Construction Management Techno,173,2,136,,189,,128,35,180,,188,13,195,19,140,60,235,
,,095720 - Construction Inspection                 ,33,,30,,45,,28,,8,,9,8,26,,12,,19,
,,095730 - Surveying                               ,114,,82,8,119,,137,10,160,,135,23,195,,175,40,268,
,,095800 - Water and Wastewater Technology         ,163,,137,22,190,,123,10,161,,206,19,206,,167,20,167,
,,099900 - Other Engineering and Related Industrial,,,,,,,71,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",813,363,793,407,941,395,707,453,994,497,881,603,939,444,649,673,"1,058",481
,,100200 - Art                                     ,152,,106,18,123,,148,16,164,,174,13,211,,145,11,173,
,,100210 - Painting and Drawing                    ,182,12,158,18,230,20,199,23,280,23,212,18,238,18,209,16,216,13
,,100220 - Sculpture                               ,,,,,,,,,14,,,,14,,,,18,
,,100400 - Music                                   ,402,83,355,81,473,101,457,73,494,90,530,89,572,83,521,58,487,81
,,100500 - Commercial Music                        ,46,,47,,43,,33,,68,,56,,82,,87,,59,
,,100600 - Technical Theater                       ,21,,35,,31,,32,3,49,,46,2,47,1,35,,35,
