,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cerritos Total,,,"63,926",,"59,405","22,639","66,692",,"62,076","25,709","69,657",,"66,295","27,574","72,610",,"68,937","28,742","76,842",
,Credit - Degree Applicable                         Total,,"62,873",,"58,813","22,600","66,402",,"61,772","25,624","69,433",,"65,993","27,432","72,334",,"68,737","28,602","76,612",
,,020100 - Architecture and Architectural Technolog,313,,329,76,352,,371,96,382,,299,109,390,,384,105,347,
,,"040100 - Biology, General                        ","1,241",,"1,163",117,931,,948,138,928,,"1,016",138,"1,030",,"1,102",156,"1,071",
,,"040200 - Botany, General                         ",,,44,,,,60,,,,54,,,,58,,,
,,040300 - MicroBiology                            ,276,,267,42,225,,264,54,235,,274,54,235,,238,56,224,
,,"040700 - Zoology, General                        ",60,,38,,56,,54,,60,,58,,56,,60,,60,
,,041000 - Anatomy and Physiology                  ,"1,318",,"1,401",243,"1,400",,"1,308",154,"1,443",,"1,472",169,"1,530",,"1,578",164,"1,547",
,,043000 - Biotechnology and Biomedical Technology ,,,,,,,,,24,,26,,38,,54,,51,
,,"050100 - Business and Commerce, General          ",,,26,,,,24,,,,17,,,,23,,45,
,,050200 - Accounting                              ,"1,435",,"1,262",280,"1,305",,"1,460",326,"1,501",,"1,572",389,"1,598",,"1,607",418,"1,643",
,,050400 - Banking and Finance                     ,184,,200,62,171,,205,50,234,,229,99,198,,205,87,187,
,,050500 - Business Administration                 ,415,,439,171,574,,473,229,670,,385,184,671,,514,210,861,
,,050600 - Business Management                     ,"2,575",,"2,484",870,"3,834",,"3,340","1,058","3,557",,"3,513","1,391","3,484",,"3,365","1,184","3,452",
,,050640 - Small Business and Entrepreneurship     ,,,,,,,,,32,,21,,25,,41,,39,
,,050800 - International Business and Trade        ,119,,157,28,128,,120,50,130,,138,45,118,,114,55,111,
,,050900 - Marketing and Distribution              ,235,,330,181,357,,309,251,606,,312,233,422,,297,220,468,
,,051100 - Real Estate                             ,404,,421,145,490,,448,172,508,,526,127,473,,437,148,341,
,,051400 - Office Technology/Office Computer Applic,464,,516,195,520,,498,184,463,,385,150,448,,406,148,324,
,,"060100 - Media and Communications, General       ",103,,75,89,99,,64,85,79,,58,76,82,,76,82,75,
,,060200 - Journalism                              ,40,,42,,43,,47,,46,,45,,39,,39,,49,
,,060420 - Television (including combined TV/Film/V,60,,49,,68,,56,24,47,,40,,54,,56,38,64,
,,060430 - Broadcast Journalism                    ,25,,30,,29,,28,,22,,34,,27,,35,,31,
,,061210 - Film History and Criticism              ,147,,220,105,193,,181,117,166,,214,185,214,,236,182,158,
,,061220 - Film Production                         ,227,,227,52,280,,249,86,237,,207,89,238,,219,99,223,
,,061410 - Multimedia                              ,52,,48,,48,,96,,92,,64,,80,,88,,96,
,,061430 - Website Design and Development          ,48,,48,,,,,,,,,,,,,,,
,,061440 - Animation                               ,102,,102,,54,,89,,108,,96,,94,,94,,94,
,,061450 - Desktop Publishing                      ,36,,30,,44,,24,,50,,26,,48,,18,,42,
,,061460 - Computer Graphics and Digital Imagery   ,167,,138,90,96,,96,112,148,,97,104,110,,97,60,77,
,,"070100 - Information Technology, General         ",122,,102,50,161,,102,60,118,,112,56,160,,90,49,134,
,,070200 - Computer Information Systems            ,753,,632,490,838,,711,528,541,,573,314,513,,623,238,429,
,,070210 - Software Applications                   ,114,,88,,134,,104,,124,,96,,102,,68,,90,
,,070710 - Computer Programming                    ,953,,942,322,"1,010",,"1,026",380,"1,176",,"1,294",374,"1,044",,"1,143",275,937,
,,070800 - Computer Infrastructure and Support     ,62,,213,,148,,292,44,182,,310,54,134,,252,86,138,
,,070810 - Computer Networking                     ,162,,143,68,182,,164,60,176,,187,86,229,,176,80,246,
,,070820 - Computer Support                        ,105,,112,,130,,114,,130,,120,,134,,136,86,206,
,,"080100 - Education, General                      ",,,,,,,,,,,,,,,,,44,
,,083500 - Physical Education                      ,518,,628,299,833,,874,432,902,,927,591,731,,788,640,902,
,,083510 - Physical Fitness and Body Movement      ,"1,058",,701,706,945,,805,704,"1,019",,999,953,"1,373",,"1,159",836,"1,164",
,,083520 - Fitness Trainer                         ,6,,2,,3,,3,,24,,16,,43,,22,,27,
,,083550 - Intercollegiate Athletics               ,513,,388,337,539,,516,336,564,,457,407,619,,558,408,579,
,,083580 - Adapted Physical Education              ,109,,92,32,125,,109,33,141,,174,61,176,,170,57,176,
,,083700 - Health Education                        ,"1,087",,"1,007",747,"1,158",,"1,025",829,"1,271",,"1,082","1,011","1,224",,"1,131","1,080","1,193",
,,085000 - Sign Language                           ,763,,707,384,741,,830,446,812,,743,468,770,,706,431,796,
,,085010 - Sign Language Interpreting              ,9,,7,,,,9,,,,20,,10,,12,,14,
,,086000 - Educational Technology                  ,107,,101,,104,,112,,95,,75,,78,,112,,179,
,,089900 - Other Education                         ,80,,110,,94,,106,,86,,114,,95,,144,29,125,
,,"090100 - Engineering, General (requires Calculus)",117,,122,159,140,,142,238,178,,195,188,217,,247,182,307,
,,"092400 - Engineering Technology, General (require",43,,51,36,67,,90,40,44,,30,18,113,,29,16,106,
,,093400 - Electronics and Electric Technology     ,30,,12,,46,,41,,52,,46,,,,42,,,
,,094610 - Energy Systems Technology               ,,,,,,,,,,,,,,,,,114,
,,094800 - Automotive Technology                   ,680,,606,266,787,,818,298,"1,051",,961,398,"1,141",,"1,040",317,"1,020",
,,094840 - Alternative Fuels and Advanced Transport,20,,12,,,,,,,,,,,,,,,
,,094900 - Automotive Collision Repair             ,308,,264,51,308,,433,139,334,,446,70,375,,410,92,449,
,,095200 - Construction Crafts Technology          ,14,,26,,,,,,,,32,,,,,,22,
,,095220 - Electrical                              ,,,,,,,,,,,,,,,,60,214,
,,095250 - Mill and Cabinet Work                   ,419,,422,118,629,,679,154,694,,745,124,719,,821,223,729,
,,095300 - Drafting Technology                     ,242,,248,53,195,,241,44,204,,216,36,216,,146,42,194,
,,"095330 - Electrical, Electronic, and Electro-Mech",,,26,,,,,,,,,,,,,,,
,,095420 - Plastics and Composites                 ,24,,57,,30,,,38,40,,48,37,48,,78,42,52,
,,095600 - Manufacturing and Industrial Technology ,"1,132",,"1,280",504,682,,976,493,658,,"1,039",406,"1,022",,768,426,542,
,,095630 - Machining and Machine Tools             ,272,,173,46,223,,219,50,206,,227,62,190,,279,118,228,
,,095640 - Sheet Metal and Structural Metal        ,316,,178,153,223,,180,197,214,,114,94,118,,174,152,130,
,,095650 - Welding Technology                      ,"2,494",,"2,580","1,489","2,697",,"2,827","1,323","2,731",,"2,229","1,258","3,067",,"2,170","1,107","1,886",
,,"100100 - Fine Arts, General                      ","1,235",,"1,286",619,"1,238",,"1,421",666,"1,393",,"1,683",633,"1,576",,"1,764",747,"1,738",
,,100210 - Painting and Drawing                    ,753,,700,170,721,,749,185,853,,770,90,839,,738,130,769,
,,100230 - Ceramics                                ,96,,106,,161,,143,,162,,157,,213,,212,,183,
,,100400 - Music                                   ,552,,429,238,560,,536,396,611,,608,325,493,,483,122,542,
,,100500 - Commercial Music                        ,131,,133,36,132,,148,34,132,,178,58,174,,261,42,198,
,,100600 - Technical Theater                       ,26,,92,40,167,,145,,154,,125,38,150,,163,48,147,
,,100700 - Dramatic Arts                           ,109,,103,22,147,,274,18,163,,188,,138,,187,,128,
,,100800 - Dance                                   ,654,,565,329,765,,703,437,902,,876,446,743,,867,447,822,
,,100810 - Commercial Dance                        ,49,,17,,69,,50,40,70,,76,20,77,,124,13,84,
,,100900 - Applied Design                          ,204,,186,54,229,,224,54,259,,234,44,252,,255,44,301,
,,101100 - Photography                             ,252,,147,74,224,,227,60,241,,260,58,284,,220,86,256,
,,101200 - Applied Photography                     ,54,,116,2,92,,102,,70,,88,,40,,134,,46,
,,101300 - Commercial Art                          ,40,,40,34,38,,40,42,38,,38,38,40,,34,40,40,
,,103000 - Graphic Art and Design                  ,50,,82,,60,,106,,50,,102,,38,,86,,46,
,,110200 - French                                  ,73,,53,26,122,,86,56,82,,67,56,82,,52,54,48,
,,110300 - German                                  ,28,,34,,44,,31,,62,,62,,44,,26,,30,
,,110500 - Spanish                                 ,"1,017",,959,275,984,,951,546,"1,036",,"1,282",632,"1,174",,"1,134",676,"1,164",
,,110700 - Chinese                                 ,102,,137,56,137,,128,66,136,,131,74,171,,203,78,204,
,,110800 - Japanese                                ,192,,214,,203,,199,,214,,186,,222,,196,,164,
,,111730 - Korean                                  ,,,,,,,,,,,100,,58,,58,,50,
,,"120100 - Health Occupations, General             ",285,,279,162,302,,287,108,359,,303,166,416,,336,123,457,
,,120800 - Medical Assisting                       ,379,,372,,477,,492,,604,,554,52,679,,671,46,722,
,,122000 - Speech/Language Pathology and Audiology ,181,,165,,191,,238,,297,,241,,518,,284,,519,
,,122100 - Pharmacy Technology                     ,376,,379,56,313,,356,6,350,,342,16,341,,348,24,346,
,,122200 - Physical Therapist Assistant            ,269,,282,,260,,285,,267,,276,,279,,290,,290,
