,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Chaffey Total,,,"49,325",,"43,750","16,277","50,986",,"49,302","21,177","53,919",,"52,696","23,969","61,086",,"59,660","25,777","64,111",
,Credit - Degree Applicable                         Total,,"49,004",,"43,489","16,255","50,810",,"49,131","21,149","53,115",,"51,865","23,944","60,018",,"58,836","25,777","63,154",
,,030100 - Environmental Science                   ,70,,41,26,42,,39,24,43,,46,23,112,,70,19,83,
,,"040100 - Biology, General                        ",890,,915,280,897,,835,391,829,,877,328,755,,917,318,865,
,,040300 - MicroBiology                            ,208,,271,193,265,,326,189,287,,333,148,380,,367,161,362,
,,040800 - Natural History                         ,35,,40,,45,,42,,45,,24,,,,,,,
,,041000 - Anatomy and Physiology                  ,695,,793,371,815,,839,381,987,,"1,042",275,"1,206",,"1,289",307,"1,396",
,,"050100 - Business and Commerce, General          ",582,,451,193,583,,631,265,584,,542,310,727,,580,274,693,
,,050200 - Accounting                              ,838,,686,178,821,,806,195,791,,810,294,848,,907,281,916,
,,050210 - Tax Studies                             ,58,,58,,65,,64,,58,,55,,67,,33,,56,
,,050400 - Banking and Finance                     ,20,,29,,10,,28,,10,,29,,19,,26,,28,
,,050500 - Business Administration                 ,910,,857,290,915,,973,351,973,,766,312,895,,872,301,548,
,,050600 - Business Management                     ,149,,207,63,161,,253,51,232,,239,69,221,,231,59,241,
,,050630 - Management Development and Supervision  ,83,,85,,89,,126,,75,,95,,78,,111,,107,
,,050640 - Small Business and Entrepreneurship     ,76,,78,,87,,81,,84,,64,28,75,,106,30,75,
,,050650 - Retail Store Operations and Management  ,22,,,,26,,,,29,,,,33,,,,23,
,,050800 - International Business and Trade        ,31,,52,,21,,71,30,20,,50,22,16,,45,19,73,
,,050900 - Marketing and Distribution              ,39,,43,,102,,78,,111,,83,38,92,,55,19,108,
,,050910 - Advertising                             ,23,,22,23,28,,34,,45,,39,,38,,86,,37,
