,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Citrus Total,,,"27,025","5,857","23,422","7,009","27,315","6,360","24,928","7,815","27,682","6,924","26,020","8,263","28,498","7,127","26,330","8,225","28,168",
,Credit - Degree Applicable                         Total,,"26,041","5,782","22,794","6,923","26,301","6,241","24,116","7,710","26,587","6,817","25,270","8,087","27,568","7,002","25,645","8,076","27,450",
,,011400 - Forestry                                ,169,,119,,112,,113,,139,,121,,134,,122,,155,
,,020100 - Architecture and Architectural Technolog,100,,63,,64,,72,,68,,75,,97,,93,,82,
,,"040100 - Biology, General                        ","1,152",222,961,258,"1,061",272,"1,028",305,"1,050",280,978,310,"1,110",306,"1,080",306,"1,080",
,,040300 - MicroBiology                            ,191,,170,,134,,136,,132,,133,,138,,138,,147,
,,040800 - Natural History                         ,,,30,,20,,24,,26,,32,,26,,21,,33,
,,041000 - Anatomy and Physiology                  ,548,227,355,168,328,138,306,163,377,136,335,169,389,163,391,150,410,
,,043000 - Biotechnology and Biomedical Technology ,9,,22,,10,,32,,11,,21,,16,,23,,20,
,,"050100 - Business and Commerce, General          ",352,131,230,142,341,115,278,137,326,146,303,129,375,152,334,104,336,
,,050200 - Accounting                              ,456,196,448,150,496,173,453,192,447,153,506,221,480,193,602,206,532,
,,050210 - Tax Studies                             ,24,,39,15,29,10,43,20,27,24,49,32,38,37,66,26,46,
,,050400 - Banking and Finance                     ,65,,72,,57,,82,,48,,55,,78,15,64,,59,
,,050500 - Business Administration                 ,165,39,180,33,172,34,213,35,167,57,182,37,194,42,219,31,209,
,,050600 - Business Management                     ,11,,19,,13,,14,,13,,11,,13,,28,,8,
,,050630 - Management Development and Supervision  ,17,,33,,19,,19,,12,,13,,18,,18,,10,
,,050640 - Small Business and Entrepreneurship     ,9,,16,,10,,7,,9,,4,,11,,10,,34,
,,050800 - International Business and Trade        ,,10,,,,10,,,,10,,,,12,,,,
,,050900 - Marketing and Distribution              ,,,18,,11,,21,,25,,17,,36,,56,,34,
,,050910 - Advertising                             ,12,,,,12,,11,,14,,15,,4,,21,,8,
,,051100 - Real Estate                             ,277,73,294,91,284,59,293,57,289,60,260,44,272,47,282,68,265,
,,051110 - Escrow                                  ,27,,33,,34,,37,,18,,22,,24,,26,,19,
,,051400 - Office Technology/Office Computer Applic,17,7,11,10,16,11,17,10,4,9,34,,12,9,35,17,27,
,,"060100 - Media and Communications, General       ",109,25,118,22,151,31,135,18,156,23,145,26,158,33,105,21,175,
,,060200 - Journalism                              ,25,,28,,45,,24,,27,,23,,41,,47,,13,
,,060600 - Public Relations                        ,24,,10,,14,,10,,14,,10,,35,,17,,23,
,,061000 - Mass Communications                     ,,,,,,,,,15,,,,22,,,,17,
,,061200 - Film Studies                            ,388,99,387,106,377,166,384,190,460,148,374,163,418,105,304,171,421,
