,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Coastline Total,,,"12,347",,"13,687","5,517","14,326",,"14,412","6,531","15,051",,"16,452","7,220","16,241",,"18,020","7,911","17,689",
,Credit - Degree Applicable                         Total,,"12,093",,"13,375","5,430","14,006",,"14,083","6,412","14,738",,"16,125","7,128","15,820",,"17,671","7,811","17,334",
,,030200 - Environmental Studies                   ,19,,19,,32,,19,26,50,,50,23,55,,57,28,60,
,,"040100 - Biology, General                        ",450,,616,321,587,,559,320,484,,648,273,617,,697,330,741,
,,040300 - MicroBiology                            ,76,,124,52,89,,78,47,87,,76,46,85,,82,54,86,
,,"040700 - Zoology, General                        ",7,,8,,,,24,,,,25,,,,27,,,
,,041000 - Anatomy and Physiology                  ,358,,371,217,290,,286,208,343,,344,193,366,,379,199,362,
,,043000 - Biotechnology and Biomedical Technology ,3,,1,1,3,,7,7,5,,9,,9,,7,1,1,
,,049900 - Other Biological Sciences               ,51,,61,22,45,,48,33,45,,61,32,64,,57,34,62,
,,"050100 - Business and Commerce, General          ",500,,320,38,561,,353,46,759,,314,37,389,,672,258,427,
,,050200 - Accounting                              ,370,,400,181,392,,417,181,398,,405,198,431,,460,225,470,
,,050500 - Business Administration                 ,78,,284,67,67,,215,63,110,,375,68,102,,378,65,121,
,,050630 - Management Development and Supervision  ,209,,47,16,363,,119,24,334,,122,44,331,,323,70,231,
,,050640 - Small Business and Entrepreneurship     ,37,,226,,29,,246,33,23,,294,249,191,,291,241,337,
,,050800 - International Business and Trade        ,,,15,,,,19,,,,27,,,,23,,,
,,050900 - Marketing and Distribution              ,30,,274,,221,,248,,255,,287,,197,,26,,304,
,,051000 - Logistics and Materials Transportation  ,,,,,12,,18,,16,,17,,17,,11,,15,
,,051100 - Real Estate                             ,143,,106,24,126,,112,30,106,,107,21,97,,90,20,70,
,,051400 - Office Technology/Office Computer Applic,188,,178,19,60,,44,13,13,,29,,28,,22,,31,
,,051420 - Medical Office Technology               ,115,,97,91,90,,101,86,133,,140,108,148,,176,112,174,
,,"060100 - Media and Communications, General       ",28,,16,373,,,,358,,,,296,161,,288,311,322,
,,061210 - Film History and Criticism              ,46,,38,15,38,,47,26,50,,39,34,47,,52,,31,
,,061400 - Digital Media                           ,56,,169,23,101,,123,21,129,,184,56,156,,217,,203,
,,061460 - Computer Graphics and Digital Imagery   ,8,,,,8,,,,16,,,19,24,,,,17,
,,070200 - Computer Information Systems            ,101,,83,39,92,,126,66,71,,121,45,131,,163,41,94,
,,070210 - Software Applications                   ,,,,,30,,,,22,,,,,,,,,
,,070700 - Computer Software Development           ,12,,,,16,,,,14,,,,27,,29,,23,
,,070710 - Computer Programming                    ,55,,39,38,70,,92,40,77,,57,56,107,,115,50,75,
