,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Columbia Total,,,"5,362",,"5,625","1,757","6,333",,"5,795","2,118","7,069",,"6,643","2,670","7,619",,"7,208",763,,
,Credit - Degree Applicable                         Total,,"5,362",,"5,610","1,757","6,325",,"5,778","2,118","7,058",,"6,636","2,670","7,611",,"7,208",763,,
,,011400 - Forestry                                ,72,,60,20,86,,63,45,91,,98,28,170,,146,,,
,,011500 - Natural Resources                       ,123,,116,106,146,,131,100,148,,145,108,122,,154,88,,
,,011510 - Parks and Outdoor Recreation            ,,,11,,,,13,85,,,,,,,,49,,
,,011520 - Wildlife and Fisheries                  ,,,,10,,,,7,,,,13,,,,11,,
,,011600 - Agricultural Power Equipment Technology ,8,,10,,14,,16,,29,,32,,18,,16,,,
,,019900 - Other Agriculture and Natural Resources ,,,,24,,,,30,,,,12,,,,,,
,,"040100 - Biology, General                        ",300,,281,75,251,,231,75,272,,308,73,285,,357,,,
,,041000 - Anatomy and Physiology                  ,,,,,,,9,,,,6,,,,9,,,
,,"050100 - Business and Commerce, General          ",135,,190,42,151,,212,94,196,,190,88,190,,180,,,
,,050200 - Accounting                              ,23,,7,,63,,,,51,,10,,50,,10,,,
,,050210 - Tax Studies                             ,,,12,,,,7,,,,12,,,,6,,,
,,050500 - Business Administration                 ,38,,45,,38,,52,,59,,95,34,113,,56,,,
,,050600 - Business Management                     ,,,103,,105,,160,,170,,141,,188,,134,,,
,,050640 - Small Business and Entrepreneurship     ,60,,57,,98,,69,,98,,76,,112,,93,,,
,,051400 - Office Technology/Office Computer Applic,24,,50,,,,,,,,,,,,,,,
,,061220 - Film Production                         ,,,19,,,,,,20,,15,,18,,,,,
,,061400 - Digital Media                           ,42,,23,,65,,38,,22,,26,,41,,7,,,
,,061450 - Desktop Publishing                      ,25,,10,,,,8,,,,6,19,,,6,,,
,,"070100 - Information Technology, General         ",19,,25,,18,,26,,22,,24,,10,,49,,,
,,070200 - Computer Information Systems            ,8,,16,,11,,21,,41,,43,,113,,82,,,
,,070710 - Computer Programming                    ,23,,18,,44,,23,,43,,7,,63,,47,14,,
,,"080100 - Education, General                      ",13,,,,18,,,,25,,,,13,,6,,,
,,080200 - Educational Aide (Teacher Assistant)    ,17,,,,,,25,21,20,,25,24,19,,18,,,
