,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Copper Mountain College Total,,,"3,306",,"3,220",950,"3,363",,"3,393",952,"3,688",,"4,054","1,203","4,579",,"4,686","1,849",,
,Credit - Degree Applicable                         Total,,"3,212",,"3,174",950,"3,311",,"3,316",947,"3,615",,"3,990","1,171","4,467",,"4,579","1,810",,
,,011500 - Natural Resources                       ,9,,23,3,16,,28,11,,,,,,,,,,
,,030100 - Environmental Science                   ,,,,,,,,,,,9,,15,,13,,,
,,"040100 - Biology, General                        ",142,,137,49,98,,132,37,116,,153,58,183,,176,46,,
,,040300 - MicroBiology                            ,54,,39,20,32,,40,14,36,,39,9,58,,66,10,,
,,041000 - Anatomy and Physiology                  ,169,,129,43,161,,160,39,178,,181,80,214,,309,185,,
,,049900 - Other Biological Sciences               ,,,1,,1,,,,,,1,,,,1,,,
,,"050100 - Business and Commerce, General          ",31,,17,19,40,,39,12,37,,46,15,41,,37,26,,
,,050200 - Accounting                              ,32,,52,,35,,46,,49,,38,,60,,67,,,
,,050210 - Tax Studies                             ,1,,,,6,,,,4,,1,,6,,,,,
,,050500 - Business Administration                 ,15,,27,,27,,9,,31,,26,,29,,26,19,,
,,050600 - Business Management                     ,,,11,,,,20,,,,15,,,,11,,,
,,050900 - Marketing and Distribution              ,7,,,,7,,,,10,,,,13,,,,,
,,050970 - E-Commerce (Business emphasis)          ,,,,,7,,,,,,,,,,,,,
,,051100 - Real Estate                             ,16,,18,,36,,16,6,9,,18,,13,,9,,,
,,051400 - Office Technology/Office Computer Applic,6,,,,9,,,,5,,,,5,,,,,
,,061430 - Website Design and Development          ,10,,,,,,,,,,10,,,,,,,
,,"070100 - Information Technology, General         ",37,,26,13,44,,11,4,36,,22,7,40,,22,12,,
,,070200 - Computer Information Systems            ,,,,,,,,,7,,,,9,,,,,
,,070210 - Software Applications                   ,44,,53,25,29,,29,7,33,,53,21,38,,32,21,,
,,070600 - Computer Science (Transfer)             ,10,,2,,12,,9,,9,,4,,17,,11,,,
,,070710 - Computer Programming                    ,12,,15,,21,,27,,30,,33,3,31,,39,7,,
,,070800 - Computer Infrastructure and Support     ,8,,3,,6,,7,,7,,4,,8,,8,,,
,,070810 - Computer Networking                     ,,,10,,,,8,,,,12,,,,8,,,
,,"080100 - Education, General                      ",,,46,35,,,10,,5,,19,14,10,,18,6,,
,,083510 - Physical Fitness and Body Movement      ,15,,14,,6,,27,,19,,22,2,20,,35,,,
,,083550 - Intercollegiate Athletics               ,34,,27,8,87,,55,12,45,,37,6,63,,32,12,,
,,083700 - Health Education                        ,13,,14,,19,,9,,7,,12,4,9,,9,,,
,,085000 - Sign Language                           ,32,,20,,20,,16,,25,,22,,20,,20,,,
,,094800 - Automotive Technology                   ,35,,25,,29,,26,,48,,67,6,90,,75,5,,
,,094840 - Alternative Fuels and Advanced Transport,7,,,,,,,,8,,,,15,,,,,
,,095200 - Construction Crafts Technology          ,,,,,,,,,4,,2,,3,,4,,,
,,095210 - Carpentry                               ,,,,,,,,,6,,6,,5,,7,,,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,,,,,,,,,6,,,,5,,,
,,095300 - Drafting Technology                     ,,,,,11,,,,,,,,,,,,,
,,095700 - Civil and Construction Management Techno,,,,,,,,,11,,3,,9,,5,,,
