,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Cosumnes River Total,,,"32,144",,"27,357","7,426","31,395",,"30,182","8,601","36,076",,"33,347","9,369","37,346",,"36,352",110,111,
,Credit - Degree Applicable                         Total,,"31,114",,"26,640","7,380","30,498",,"29,268","8,408","35,011",,"32,593","9,136","36,213",,"35,276",,,
,,"010100 - Agriculture Technology and Sciences, Gen",1,,,1,,,,,1,,1,,,,,,,
,,010200 - Animal Science                          ,95,,32,4,68,,46,1,99,,57,3,94,,49,,,
,,010210 - Veterinary Technician (Licensed)        ,85,,80,20,85,,95,16,66,,80,16,85,,84,,,
,,010240 - Equine Science                          ,67,,78,,69,,38,,55,,36,,48,,35,,,
,,010300 - Plant Science                           ,2,,9,,,,23,,,,26,,,,25,,,
,,010900 - Horticulture                            ,67,,96,,76,,83,2,67,,103,1,70,,85,,,
,,010910 - Landscape Design and Maintenance        ,54,,,,15,,,,29,,25,,11,,19,,,
,,"011200 - Agriculture Business, Sales and Service ",99,,71,,68,,74,,74,,70,,85,,69,,,
,,011600 - Agricultural Power Equipment Technology ,,,,,,,,,6,,,,,,,,,
,,020100 - Architecture and Architectural Technolog,233,,246,1,260,,297,,362,,381,,408,,449,,,
,,030200 - Environmental Studies                   ,35,,18,,33,,21,,37,,30,,,,31,,,
,,"040100 - Biology, General                        ",379,,394,156,319,,349,79,371,,482,123,356,,428,,,
,,"040200 - Botany, General                         ",32,,34,,32,,32,,60,,34,,32,,65,,,
,,040300 - MicroBiology                            ,140,,169,,130,,184,57,189,,199,56,196,,197,,,
,,"040700 - Zoology, General                        ",33,,32,,27,,35,,26,,35,,51,,34,,,
,,041000 - Anatomy and Physiology                  ,463,,528,125,517,,543,128,619,,665,173,740,,727,,,
,,"050100 - Business and Commerce, General          ",510,,596,150,640,,556,150,631,,586,146,689,,720,,,
,,050200 - Accounting                              ,712,,632,114,692,,758,195,885,,760,160,894,,917,,,
,,050500 - Business Administration                 ,296,,314,35,326,,321,85,305,,333,80,329,,341,,,
,,050600 - Business Management                     ,18,,28,,15,,25,,36,,34,,42,,42,,,
,,050630 - Management Development and Supervision  ,22,,,29,18,,,30,31,,,25,22,,,,,
,,050640 - Small Business and Entrepreneurship     ,32,,28,,32,,29,,72,,66,,59,,72,,,
,,050900 - Marketing and Distribution              ,67,,64,22,72,,57,35,73,,72,33,79,,82,,,
,,050910 - Advertising                             ,,,36,,,,42,,,,37,,,,47,,,
,,050940 - Sales and Salesmanship                  ,20,,,,32,,,,26,,,,32,,,,,
