,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Crafton Hills Total,,,"13,545",,"11,954","3,319","13,358",,"12,378","4,315","15,225",,"14,356","2,875","16,882",,"15,783","5,092","18,856",
,Credit - Degree Applicable                         Total,,"13,092",,"11,656","3,315","12,825",,"12,057","4,311","14,807",,"14,025","2,875","16,414",,"15,380","5,092","18,429",
,,030200 - Environmental Studies                   ,28,,19,,28,,30,10,64,,15,,28,,23,28,25,
,,"040100 - Biology, General                        ",335,,288,41,239,,264,32,272,,277,,257,,270,61,268,
,,040300 - MicroBiology                            ,130,,142,26,69,,89,20,82,,82,1,83,,98,19,86,
,,041000 - Anatomy and Physiology                  ,532,,459,173,418,,381,142,449,,417,161,532,,541,194,594,
,,"050100 - Business and Commerce, General          ",229,,216,52,303,,195,85,404,,282,46,373,,245,96,399,
,,050200 - Accounting                              ,202,,190,67,185,,206,108,250,,253,38,241,,203,77,257,
,,050600 - Business Management                     ,120,,147,49,125,,186,61,181,,204,,182,,188,45,195,
,,050640 - Small Business and Entrepreneurship     ,4,,,,,,,,21,,,,,,,,,
,,050900 - Marketing and Distribution              ,40,,34,,54,,23,11,36,,62,19,69,,76,27,61,
,,051400 - Office Technology/Office Computer Applic,,,,,,,,,,,,,8,,,,13,
,,061000 - Mass Communications                     ,13,,9,,9,,,,,,8,,8,,,,9,
,,061400 - Digital Media                           ,43,,39,12,46,,51,20,46,,47,,39,,59,,48,
,,061430 - Website Design and Development          ,11,,,,11,,10,,,,15,,,,14,,,
,,061440 - Animation                               ,35,,30,,36,,17,,23,,7,,38,,17,,45,
,,061450 - Desktop Publishing                      ,12,,7,,6,,,,24,,,,30,,,,26,
,,061460 - Computer Graphics and Digital Imagery   ,37,,59,,47,,64,,76,,65,,63,,96,,50,
,,"070100 - Information Technology, General         ",23,,18,,20,,22,,28,,48,,45,,28,,39,
,,070200 - Computer Information Systems            ,179,,135,67,164,,135,82,206,,196,39,222,,232,98,216,
,,070210 - Software Applications                   ,,,,,,,,,,,7,,,,16,,13,
,,070600 - Computer Science (Transfer)             ,120,,106,24,85,,128,43,93,,106,1,94,,124,36,96,
,,070710 - Computer Programming                    ,,,14,,,,21,27,25,,43,1,29,,42,22,27,
,,070800 - Computer Infrastructure and Support     ,10,,24,,10,,27,,15,,57,,41,,35,,51,
,,070810 - Computer Networking                     ,22,,,,11,,24,,,,23,,44,,17,,22,
,,070820 - Computer Support                        ,15,,11,,7,,14,,25,,19,,19,,20,,22,
,,070900 - World Wide Web Administration           ,2,,,,,,,,,,,1,8,,,,,
,,079900 - Other Information Technology            ,22,,9,,12,,,,20,,17,16,32,,14,,38,
,,"080100 - Education, General                      ",19,,,,15,,,,15,,,,,,,,,
,,083500 - Physical Education                      ,236,,191,44,189,,195,105,205,,174,24,144,,165,73,213,
,,083510 - Physical Fitness and Body Movement      ,13,,8,12,27,,28,38,49,,79,,25,,45,,34,
,,083550 - Intercollegiate Athletics               ,31,,15,8,29,,33,30,51,,23,,51,,35,28,73,
,,083570 - Aquatics and Lifesaving                 ,,,,,9,,8,,,,,,,,,,,
,,083700 - Health Education                        ,417,,309,166,420,,345,217,464,,433,149,460,,511,199,500,
,,085000 - Sign Language                           ,191,,163,11,187,,142,27,240,,205,20,214,,240,26,240,
,,085010 - Sign Language Interpreting              ,7,,7,,14,,5,,,,8,,10,,7,,,
,,"090100 - Engineering, General (requires Calculus)",,,,11,,,,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",334,,288,133,347,,382,248,402,,445,86,446,,375,284,557,
,,100200 - Art                                     ,115,,101,,123,,118,,143,,116,,151,,152,,171,
,,100210 - Painting and Drawing                    ,3,,19,,7,,23,,8,,22,,8,,20,,6,
,,100220 - Sculpture                               ,23,,20,,21,,18,,23,,24,,24,,21,,40,
,,100400 - Music                                   ,348,,280,129,341,,287,146,356,,319,62,426,,380,174,476,
,,100500 - Commercial Music                        ,,,8,,,,,,,,14,,,,7,,,
,,100600 - Technical Theater                       ,23,,43,,19,,15,,15,,40,,38,,23,,17,
,,100700 - Dramatic Arts                           ,36,,29,11,30,,32,12,36,,34,,45,,37,,47,
,,100800 - Dance                                   ,5,,2,,10,,7,6,,,8,,8,,8,,,
,,109900 - Other Fine and Applied Arts             ,,,,,,,,,,,,,11,,5,,,
,,"110100 - Foreign Languages, General              ",88,,49,,48,,58,,30,,20,,66,,44,,22,
,,110500 - Spanish                                 ,157,,134,8,129,,113,17,131,,107,,140,,108,,118,
,,"120100 - Health Occupations, General             ",,,,,,,,,,,,,,,,,40,
,,121000 - Respiratory Care/Therapy                ,224,,146,88,251,,137,117,261,,238,107,337,,253,124,374,
,,122500 - Radiologic Technology                   ,153,,156,14,160,,156,7,208,,236,,259,,226,10,240,
,,125000 - Emergency Medical Services              ,650,,842,114,875,,"1,054",154,999,,"1,021",308,"1,010",,"1,457",342,"1,552",
,,125100 - Paramedic                               ,141,,184,69,147,,161,,174,,147,,264,,174,,152,
,,"126000 - Health Professions, Transfer Core Curric",127,,98,80,104,,113,95,127,,163,55,173,,171,123,206,
,,127000 - Kinesiology                             ,48,,38,34,88,,82,43,128,,94,1,127,,68,,111,
,,"130100 - Family and Consumer Sciences, General   ",,,,,,,,,,,,,40,,,,44,
,,130500 - Child Development/Early Care and Educati,213,,165,71,186,,202,117,206,,278,39,269,,228,37,313,
,,130540 - Preshool Age Children                   ,18,,,,13,,33,,12,,,,15,,,,14,
,,130550 - The School Age Child                    ,,,,,,,,,6,,,,6,,,,10,
,,150100 - English                                 ,"1,498",,"1,085",207,"1,582",,"1,116",205,"1,760",,"1,360",86,"1,951",,"1,460",317,"2,132",
,,150110 - Linguistics                             ,12,,,,5,,,,9,,,,12,,,,7,
,,150300 - Comparative Literature                  ,,,,,,,,,,,,,,,17,,,
,,150600 - Speech Communication                    ,608,,496,154,527,,523,160,591,,497,149,602,,617,225,745,
,,150700 - Creative Writing                        ,20,,23,,12,,12,,20,,20,,16,,34,,27,
,,150900 - Philosophy                              ,231,,233,84,198,,255,127,222,,248,50,244,,234,134,303,
,,151000 - Religious Studies                       ,113,,94,44,106,,108,35,111,,138,30,130,,155,41,149,
,,159900 - Other Humanities                        ,39,,29,20,30,,30,22,32,,,,,,,,,
,,160200 - Library Technician (Aide)               ,,,,,,,,,,,,,49,,39,,50,
,,169900 - Other Library Science                   ,,,,,10,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ","1,161",,990,203,"1,119",,948,253,"1,162",,"1,138",214,"1,207",,"1,070",285,"1,322",
,,"190200 - Physics, General                        ",123,,162,,100,,111,,98,,118,,107,,121,16,134,
,,"190500 - Chemistry, General                      ",413,,419,103,352,,358,149,417,,388,137,411,,391,120,484,
,,191100 - Astronomy                               ,41,,48,,47,,24,,22,,43,,30,,29,,35,
,,191400 - Geology                                 ,45,,39,,30,,66,,53,,49,,38,,58,,59,
,,191900 - Oceangraphy                             ,24,,33,,18,,20,,20,,7,2,12,,15,13,18,
,,193000 - Earth Science                           ,,,,,,,,,,,,,53,,54,,55,
,,"200100 - Psychology, General                     ",582,,536,58,563,,516,86,643,,556,102,609,,665,172,636,
,,200300 - Behavioral Science                      ,62,,59,13,58,,58,16,68,,59,16,72,,80,23,76,
,,209900 - Other Psychology                        ,52,,44,21,30,,22,33,39,,34,22,73,,44,31,64,
,,210400 - Human Services                          ,23,,25,,25,,,,28,,24,,28,,21,,27,
,,213300 - Fire Technology                         ,291,,262,58,304,,279,142,371,,346,137,459,,352,217,525,
,,213350 - Fire Academy                            ,63,,28,,76,,25,,46,,33,,75,,33,,74,
,,220110 - Women's Studies                         ,,,,,,,,,,,,,,,,,11,
,,220200 - Anthropology                            ,148,,266,90,295,,300,99,378,,330,76,398,,361,166,449,
,,220300 - Ethnic Studies                          ,49,,144,101,126,,337,199,311,,405,157,317,,451,277,442,
,,220400 - Economics                               ,265,,215,130,268,,204,205,313,,277,90,366,,335,203,417,
,,220500 - History                                 ,640,,470,157,506,,444,233,583,,637,123,837,,664,323,954,
,,220600 - Geography                               ,27,,49,9,45,,60,21,50,,44,1,58,,59,24,87,
,,220700 - Political Science                       ,222,,204,106,170,,196,135,196,,245,70,337,,321,106,375,
,,220800 - Sociology                               ,396,,320,194,368,,289,121,426,,329,159,483,,437,216,430,
,,493010 - Career Guidance and Orientation         ,63,,45,14,81,,53,14,81,,96,34,63,,59,38,61,
,,493011 - Interpersonal Skills                    ,58,,63,16,52,,43,20,81,,78,31,79,,59,,64,
,,493013 - Academic Guidance                       ,39,,24,19,48,,26,16,47,,28,15,46,,27,22,47,
,Credit - Not Degree Applicable                     Total,,453,,298,4,533,,321,4,418,,331,,468,,403,,427,
