,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Mateo Total,,,"15,255",,"16,373","5,162","17,597",,"18,338","6,566","21,256",,"19,912","7,345","22,641",,"21,576","6,998","21,373",
,Credit - Degree Applicable                         Total,,"14,819",,"15,920","5,095","16,983",,"17,743","6,523","20,320",,"19,099","7,277","21,548",,"20,711","6,937","20,286",
,,020100 - Architecture and Architectural Technolog,120,,87,,155,,107,,200,,141,,197,,110,,221,
,,"040100 - Biology, General                        ",482,,473,212,490,,504,259,597,,550,285,628,,561,273,674,
,,"040200 - Botany, General                         ",50,,54,,58,,55,,56,,58,,57,,59,,55,
,,040300 - MicroBiology                            ,29,,21,,28,,30,,33,,34,,36,,37,,46,
,,041000 - Anatomy and Physiology                  ,131,,165,,176,,179,,172,,220,,199,,260,,209,
,,043000 - Biotechnology and Biomedical Technology ,,,,,,,14,,18,,,,32,,21,,28,
,,049900 - Other Biological Sciences               ,,,9,,,,25,,,,17,,9,,10,,14,
,,"050100 - Business and Commerce, General          ",433,,601,196,567,,509,171,683,,595,217,750,,522,199,498,
,,050200 - Accounting                              ,709,,724,294,526,,675,423,860,,814,453,948,,957,492,856,
,,050210 - Tax Studies                             ,108,,13,13,34,,37,26,152,,55,32,196,,56,25,143,
,,050400 - Banking and Finance                     ,,,,,13,,,,31,,,,33,,,,39,
,,050500 - Business Administration                 ,,,,,,,,,30,,,,29,,,,33,
,,050600 - Business Management                     ,110,,73,37,165,,140,32,189,,105,56,161,,125,51,134,
,,050630 - Management Development and Supervision  ,,,,,12,,39,,17,,38,,14,,29,,18,
,,050640 - Small Business and Entrepreneurship     ,56,,46,,40,,76,,43,,167,,71,,227,,172,
,,050800 - International Business and Trade        ,52,,33,,62,,59,26,71,,86,27,69,,96,29,60,
,,050900 - Marketing and Distribution              ,58,,48,21,42,,39,42,71,,68,24,58,,68,28,55,
,,050910 - Advertising                             ,,,,,,,24,,,,29,,,,24,,,
,,051100 - Real Estate                             ,83,,89,62,97,,144,64,99,,121,62,99,,97,29,92,
,,051400 - Office Technology/Office Computer Applic,111,,90,48,97,,105,58,108,,121,62,122,,128,66,132,
,,059900 - Other Business and Management           ,,,,,,,26,,10,,30,,35,,60,,48,
,,060410 - Radio                                   ,8,,,,11,,13,,19,,19,,13,,18,,15,
,,061200 - Film Studies                            ,291,,410,228,388,,445,291,417,,403,270,438,,466,228,484,
