,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Desert Total,,,"27,800","2,142","24,514","4,451","28,533","2,354","25,640","4,943","28,871","2,657","28,146","6,512","33,873","3,197","30,949",,4,
,Credit - Degree Applicable                         Total,,"27,177","2,110","24,190","4,435","28,122","2,311","25,489","4,943","28,711","2,657","27,996","6,512","33,675","3,197","30,787",,4,
,,010300 - Plant Science                           ,333,,303,37,283,,373,43,405,,397,72,400,,461,,,
,,010900 - Horticulture                            ,173,,145,38,174,,195,37,159,,147,70,190,,205,,,
,,"011200 - Agriculture Business, Sales and Service ",30,,29,,31,,24,,31,,23,,18,,13,,,
,,011500 - Natural Resources                       ,415,38,331,43,340,41,325,42,397,38,372,39,412,42,403,,,
,,020100 - Architecture and Architectural Technolog,179,,189,28,220,,227,30,295,,306,28,320,,267,,,
,,"040100 - Biology, General                        ",663,,649,107,781,,722,59,757,,644,86,729,,790,,,
,,040300 - MicroBiology                            ,110,,130,,146,,120,,107,,137,26,122,,125,,,
,,"040700 - Zoology, General                        ",26,,65,,49,,40,,69,,63,,73,,56,,,
,,041000 - Anatomy and Physiology                  ,,,,,,,,,128,,145,42,,,,,,
,,"050100 - Business and Commerce, General          ",799,,681,37,759,,692,67,800,,796,95,"1,056",,787,,,
,,050200 - Accounting                              ,504,,407,82,461,25,447,84,422,12,439,89,472,19,477,,,
,,050400 - Banking and Finance                     ,25,,32,,33,,33,30,21,18,7,35,35,29,13,,,
,,050600 - Business Management                     ,,,,,,,31,,100,,114,,165,,151,,,
,,050900 - Marketing and Distribution              ,,,35,,,,26,,,,38,,,,32,,,
,,051100 - Real Estate                             ,29,,48,,32,,30,,27,,42,,21,,38,,,
,,051400 - Office Technology/Office Computer Applic,198,14,228,15,243,,215,,152,,101,70,243,7,74,,,
,,051420 - Medical Office Technology               ,,,,,,,,,,,,,127,,164,,,
,,051800 - Customer Service                        ,141,,94,7,92,10,74,,117,,51,,94,,180,,,
,,060200 - Journalism                              ,25,,19,1,22,,23,,14,,17,,19,,32,,,
,,060400 - Radio and Television                    ,28,,16,2,36,,26,1,39,,40,,26,,39,,,
,,060420 - Television (including combined TV/Film/V,273,19,342,71,344,43,307,73,466,40,304,118,394,43,310,,,
,,060600 - Public Relations                        ,,,9,,,,12,,,,21,,,,24,,,
,,061000 - Mass Communications                     ,109,32,93,34,136,45,101,45,197,44,117,77,181,26,102,,,
,,061220 - Film Production                         ,75,,131,,61,,165,,54,,155,,78,,134,,,
,,061400 - Digital Media                           ,,,22,,19,,33,,32,,35,,59,,65,,,
,,061410 - Multimedia                              ,5,,,,,,,,,,,,,,,,,
,,061440 - Animation                               ,10,,,,,,,,14,,,,19,,,,,
,,061460 - Computer Graphics and Digital Imagery   ,212,,261,24,220,,232,46,277,,274,68,268,,294,,,
,,"070100 - Information Technology, General         ",108,,233,25,107,,266,26,106,,137,5,109,,136,,,
,,070200 - Computer Information Systems            ,333,,310,32,346,,260,31,300,,243,52,267,,306,,,
,,070600 - Computer Science (Transfer)             ,114,,141,,124,,117,,129,,131,18,135,11,138,,,
,,070710 - Computer Programming                    ,32,,101,,64,,83,,89,,136,26,72,,153,,,
,,070720 - Database Design and Administration      ,26,,28,,36,,36,,37,,61,,54,,61,,,
,,070810 - Computer Networking                     ,164,,164,18,116,,167,24,174,,175,35,175,,152,,,
,,079900 - Other Information Technology            ,33,,,,23,,,,20,,,,16,,,,,
,,"080100 - Education, General                      ",31,,23,,32,,28,,22,,65,,28,,39,,,
,,080900 - Special Education                       ,50,,,,46,,,,31,,,,37,,,,,
,,083500 - Physical Education                      ,239,34,203,27,256,38,222,37,215,39,192,35,149,,123,,,
,,083520 - Fitness Trainer                         ,158,44,174,58,150,60,163,60,142,47,144,60,61,7,78,,,
,,083550 - Intercollegiate Athletics               ,206,,165,159,328,,230,61,68,,213,135,225,,92,,,
,,083580 - Adapted Physical Education              ,,,,,,,,,8,,4,,1,,4,,,
,,083610 - Recreation Assistant                    ,148,,97,29,164,,159,35,252,,203,27,310,,209,,,
,,085000 - Sign Language                           ,282,,207,14,195,,173,33,188,,225,67,205,,183,,,
,,"090100 - Engineering, General (requires Calculus)",53,,31,,3,,43,,48,,26,,55,,39,,,
,,094600 - Environmental Control Technology        ,202,30,195,29,239,38,278,61,317,53,376,98,420,84,394,,4,
,,094610 - Energy Systems Technology               ,27,,,,18,,,,18,,,,29,,12,,,
,,094800 - Automotive Technology                   ,250,,420,29,307,,472,26,456,,566,54,518,,630,,,
,,094840 - Alternative Fuels and Advanced Transport,44,,20,,42,,54,,42,,34,,33,,27,,,
,,095300 - Drafting Technology                     ,51,,40,,70,,45,26,51,,51,22,57,,47,,,
,,095650 - Welding Technology                      ,33,,104,28,92,,136,43,182,19,153,27,198,,173,,,
,,095700 - Civil and Construction Management Techno,64,9,55,,61,10,60,,91,13,90,,93,11,64,,,
,,095720 - Construction Inspection                 ,67,,97,,72,,77,,64,,92,,89,,91,,,
,,"100100 - Fine Arts, General                      ",234,37,242,39,495,38,394,37,380,38,355,36,426,40,396,,,
,,100200 - Art                                     ,332,,248,55,280,21,331,64,323,20,367,62,366,54,349,,,
,,100230 - Ceramics                                ,,,,,47,,23,,22,,42,13,40,,37,,,
