,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
East LA Total,,,"58,059","8,527","49,033","18,853","56,216","11,303","54,251","19,688","63,362","12,966","65,330","17,094","67,066","13,191","62,360","22,940","68,216","14,211"
,Credit - Degree Applicable                         Total,,"57,703","8,434","48,653","18,774","55,710","11,210","53,928","19,582","63,105","12,913","65,045","16,985","66,780","13,105","62,068","22,812","67,718","14,113"
,,020100 - Architecture and Architectural Technolog,490,58,384,57,424,53,416,79,456,7,350,95,557,68,483,85,578,107
,,030100 - Environmental Science                   ,75,3,75,35,83,,80,23,121,9,87,46,115,14,107,35,179,17
,,"040100 - Biology, General                        ","1,120",58,817,249,820,127,872,513,993,147,872,395,"1,079",182,982,531,"1,049",150
,,040300 - MicroBiology                            ,365,80,388,156,295,53,286,39,285,58,247,88,304,60,300,69,292,73
,,041000 - Anatomy and Physiology                  ,"1,260",203,"1,030",633,832,150,884,320,919,136,925,370,"1,089",182,"1,055",448,"1,210",195
,,043000 - Biotechnology and Biomedical Technology ,4,,,,4,,3,,,,3,,7,,26,,8,
,,050200 - Accounting                              ,"1,027",52,838,83,942,133,950,267,918,133,"1,174",244,955,222,955,350,"1,085",211
,,050400 - Banking and Finance                     ,101,,113,37,125,44,188,67,138,66,370,33,198,35,171,129,212,37
,,050500 - Business Administration                 ,534,63,486,165,889,178,669,203,"1,191",192,995,170,"1,080",180,842,285,"1,150",206
,,050600 - Business Management                     ,70,29,55,,62,47,161,129,114,,157,17,32,,,41,45,
,,050630 - Management Development and Supervision  ,26,,15,,5,,39,,44,,29,,28,,27,,43,
,,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,17,60,29,73,43,97,34
,,050800 - International Business and Trade        ,17,,24,,26,,22,,27,,37,,46,,40,,74,
,,050900 - Marketing and Distribution              ,96,,103,29,110,,94,109,151,,91,55,103,,106,77,139,32
,,051000 - Logistics and Materials Transportation  ,247,38,190,78,138,26,201,38,140,23,241,15,233,,287,,249,
,,051100 - Real Estate                             ,173,50,205,67,286,85,261,88,281,56,175,102,368,66,389,130,334,33
,,051400 - Office Technology/Office Computer Applic,579,160,545,153,598,146,640,226,599,101,670,84,639,118,618,144,628,137
,,060200 - Journalism                              ,92,,101,33,97,,124,33,82,,94,14,153,,106,33,116,
,,060400 - Radio and Television                    ,24,,17,,28,,22,,19,,28,16,25,,23,,23,26
