,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Evergreen Valley Total,,,"19,923",,"18,830","5,431","19,680",,"21,220","7,543","21,918",,"20,091","6,929","21,695",,"20,130","6,483","20,182",
,Credit - Degree Applicable                         Total,,"17,612",,"16,826","5,392","18,312",,"20,097","7,530","20,521",,"18,906","6,906","20,457",,"19,126","6,463","18,917",
,,030100 - Environmental Science                   ,94,,75,34,73,,73,32,75,,55,18,84,,51,28,77,
,,"040100 - Biology, General                        ",816,,633,196,748,,787,162,813,,771,249,845,,774,173,863,
,,040300 - MicroBiology                            ,75,,68,41,51,,60,30,80,,74,40,80,,84,42,83,
,,041000 - Anatomy and Physiology                  ,103,,96,,99,,100,45,98,,101,,108,,105,44,151,
,,"050100 - Business and Commerce, General          ",468,,335,87,424,,506,116,551,,471,127,558,,461,132,599,
,,050200 - Accounting                              ,497,,432,7,410,,468,91,383,,454,39,426,,432,37,398,
,,050210 - Tax Studies                             ,28,,,,12,,,,23,,,,23,,,,22,
,,050630 - Management Development and Supervision  ,22,,33,,22,,50,,45,,33,,49,,29,,29,
,,050640 - Small Business and Entrepreneurship     ,36,,,,23,,27,30,18,,55,18,11,,52,22,39,
,,050900 - Marketing and Distribution              ,,,,,,,,,,,,,48,,,,81,
,,051400 - Office Technology/Office Computer Applic,107,,130,,135,,190,57,155,,121,53,120,,133,26,136,
,,051420 - Medical Office Technology               ,106,,74,,83,,152,94,199,,184,93,215,,161,61,224,
,,060200 - Journalism                              ,28,,11,,22,,16,,31,,22,,28,,24,,22,
,,061460 - Computer Graphics and Digital Imagery   ,23,,65,,77,,52,,27,,21,,35,,6,,40,
,,"070100 - Information Technology, General         ",305,,339,102,408,,431,200,366,,371,138,365,,266,120,212,
,,070600 - Computer Science (Transfer)             ,144,,181,163,237,,315,210,278,,336,225,371,,364,265,353,
,,070710 - Computer Programming                    ,,,,,,,49,28,50,,47,23,39,,23,29,40,
,,080200 - Educational Aide (Teacher Assistant)    ,7,,8,,13,,4,,15,,14,,28,,15,,12,
,,083500 - Physical Education                      ,387,,577,272,637,,752,342,828,,573,160,575,,670,133,547,
,,083510 - Physical Fitness and Body Movement      ,12,,,,1,,,,,,,,,,,,,
,,083550 - Intercollegiate Athletics               ,50,,,,63,,8,,59,,,,107,,,,78,
,,083580 - Adapted Physical Education              ,14,,16,,14,,14,,15,,14,,14,,16,,15,
,,083700 - Health Education                        ,41,,44,,45,,41,,71,,45,,50,,27,,49,
