,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Foothill Total,,,"25,792","23,414","21,213","11,433","25,837","24,042","21,145","11,952",,"25,899","22,770","11,886","27,969","28,287","24,449","12,384","27,853","1,259"
,Credit - Degree Applicable                         Total,,"25,278","23,057","20,895","11,278","25,368","23,704","20,858","11,734",,"25,511","22,464","11,709","27,519","27,866","24,181","12,132","27,208","1,259"
,,010210 - Veterinary Technician (Licensed)        ,350,403,372,69,377,442,326,139,,424,302,86,342,375,304,33,323,
,,010900 - Horticulture                            ,125,161,196,82,256,322,338,17,,281,168,24,155,226,206,21,205,
,,030100 - Environmental Science                   ,,,,,,,,,,35,,,53,46,,,48,
,,"040100 - Biology, General                        ",612,384,542,89,591,520,542,78,,556,600,74,552,590,627,81,752,
,,041000 - Anatomy and Physiology                  ,475,477,350,161,360,423,405,204,,561,507,203,580,616,673,152,708,
,,049900 - Other Biological Sciences               ,14,17,23,,18,16,,,,34,,,24,24,,,16,
,,050200 - Accounting                              ,"1,175","1,117","1,225",837,"1,261","1,136","1,269",881,,"1,360","1,404",854,"1,521","1,559","1,594","1,136","1,607",
,,050210 - Tax Studies                             ,,,,,,,,,,,,,,,,39,35,
,,050500 - Business Administration                 ,596,413,438,188,520,412,337,324,,554,459,244,669,598,659,368,643,
,,050600 - Business Management                     ,124,165,134,143,201,148,100,42,,115,119,88,115,116,110,46,118,
,,050650 - Retail Store Operations and Management  ,,,,,,,,,,,15,,,,,,,
,,050910 - Advertising                             ,,44,,,,35,,,,,,,,,,,,
,,060200 - Journalism                              ,,,,,16,27,21,61,,31,23,43,22,37,17,,14,
,,060700 - Technical Communication                 ,18,,,,,,,,,,,,,,,,,
,,061000 - Mass Communications                     ,20,34,35,,35,35,32,,,36,37,,33,32,34,31,33,
,,061410 - Multimedia                              ,266,253,314,238,263,229,235,148,,219,239,126,245,210,280,121,207,
,,070700 - Computer Software Development           ,949,814,866,636,968,938,869,657,,902,928,628,"1,045",974,954,712,"1,009",
,,070710 - Computer Programming                    ,16,23,34,38,,27,31,29,,29,33,48,2,28,,29,24,
,,070800 - Computer Infrastructure and Support     ,92,96,66,77,106,105,77,71,,68,70,64,108,93,120,103,88,
,,"080100 - Education, General                      ",16,,,,17,,,,,,,,38,,,,25,
,,083500 - Physical Education                      ,516,461,648,332,669,616,820,369,,686,813,358,740,731,838,433,699,
,,083550 - Intercollegiate Athletics               ,244,243,249,330,288,218,262,259,,216,234,279,306,255,255,309,295,
,,083580 - Adapted Physical Education              ,35,31,42,42,40,38,36,51,,47,47,61,46,38,42,55,58,
,,086000 - Educational Technology                  ,597,694,273,385,767,826,617,376,,684,479,319,601,"1,022",861,415,230,
,,"090100 - Engineering, General (requires Calculus)",32,94,85,26,55,85,71,,,122,147,,101,144,172,,141,
,,094500 - Industrial Systems Technology and Mainte,,,,,,,,,,16,14,,16,17,3,,22,
,,094600 - Environmental Control Technology        ,,,,,,,,,,111,,,181,128,,,153,
,,095200 - Construction Crafts Technology          ,,14,13,14,,,,,,39,,,,50,50,,,
,,095220 - Electrical                              ,839,956,38,98,816,829,98,4,,780,36,27,676,637,,38,699,153
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",706,623,94,,782,618,123,,,500,129,,610,453,112,,547,236
,,095640 - Sheet Metal and Structural Metal        ,"1,801","1,329","1,136",713,"1,706",979,993,645,,783,883,484,"1,123",788,630,397,812,851
,,095680 - Industrial Quality Control              ,,,,,,,,,,343,188,237,299,435,289,,4,
,,"100100 - Fine Arts, General                      ",461,487,398,381,389,492,390,275,,488,496,278,448,497,438,270,455,
,,100200 - Art                                     ,175,64,88,26,143,82,67,45,,50,59,,80,63,46,,71,
,,100210 - Painting and Drawing                    ,165,166,176,55,138,141,93,55,,162,124,73,151,154,123,68,171,
,,100230 - Ceramics                                ,51,74,55,20,55,82,59,21,,89,53,24,81,84,50,23,82,
,,100400 - Music                                   ,394,275,315,162,369,307,285,125,,291,292,93,357,322,297,190,312,
,,100500 - Commercial Music                        ,264,330,264,125,320,357,302,128,,346,279,129,263,350,251,72,251,
,,100600 - Technical Theater                       ,26,36,41,13,30,50,24,38,,64,38,31,42,71,24,,51,
,,100700 - Dramatic Arts                           ,120,100,137,75,102,92,108,61,,123,133,82,110,130,150,73,121,17
,,100800 - Dance                                   ,43,42,37,,39,40,49,,,42,44,,40,49,41,,43,
,,101100 - Photography                             ,272,236,245,162,317,232,256,90,,135,130,93,199,168,176,160,202,
,,101200 - Applied Photography                     ,52,44,65,,29,33,57,97,,218,215,135,185,204,173,66,192,
,,103000 - Graphic Art and Design                  ,522,437,432,184,496,576,341,308,,582,281,386,292,591,226,114,454,
,,110500 - Spanish                                 ,235,323,179,49,209,334,141,85,,320,153,50,184,283,146,52,188,
,,110800 - Japanese                                ,263,271,247,58,268,247,243,62,,286,275,53,286,280,282,71,288,
,,"120100 - Health Occupations, General             ",243,97,105,168,254,120,119,168,,117,72,234,263,136,109,232,273,
,,121000 - Respiratory Care/Therapy                ,237,232,250,69,227,219,236,71,,214,226,72,221,304,273,144,296,
,,122100 - Pharmacy Technology                     ,133,74,105,,130,48,67,,,84,102,,177,121,97,,120,
,,122500 - Radiologic Technology                   ,199,182,114,125,198,193,172,138,,225,197,146,261,246,220,162,278,
,,122700 - Diagnostic Medical Sonography           ,,,,,,39,60,55,,44,55,,56,70,70,65,52,
,,122800 - Athletic Training and Sports Medicine   ,40,121,28,84,32,258,69,95,,304,60,231,176,475,64,21,265,
,,124010 - Dental Assistant                        ,151,155,145,20,146,133,116,12,,160,152,,144,184,184,,137,
,,124020 - Dental Hygienist                        ,353,360,307,100,314,332,271,103,,340,273,99,294,329,245,90,273,
,,125000 - Emergency Medical Services              ,20,21,15,39,28,35,35,29,,34,59,59,79,80,88,134,72,
,,125100 - Paramedic                               ,79,92,42,20,86,107,56,30,,87,54,58,104,102,64,,72,
