,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Fresno City Total,,,"52,978",,"48,416","17,132","55,352",,"58,061","18,208","65,349",,"60,133","21,629","71,095",,"68,400","24,274","72,296",
,Credit - Degree Applicable                         Total,,"46,408",,"41,912","12,050","50,782",,"52,122","13,213","58,199",,"56,453","16,231","63,747",,"61,905","17,622","65,563",
,,010910 - Landscape Design and Maintenance        ,,,,,,,,,,,,,,,,,12,
,,020100 - Architecture and Architectural Technolog,38,,26,,,,61,,58,,50,,38,,92,,40,
,,030100 - Environmental Science                   ,80,,63,160,110,,179,134,99,,127,162,112,,134,153,72,
,,030200 - Environmental Studies                   ,21,,107,,,,,,,,,,,,,,,
,,"040100 - Biology, General                        ",211,,186,,152,,171,,187,,225,,242,,297,,318,
,,"040200 - Botany, General                         ",,,,,,,,,14,,,,28,,22,,29,
,,040300 - MicroBiology                            ,204,,157,66,174,,169,79,210,,182,74,212,,214,74,238,
,,"040700 - Zoology, General                        ",,,,,,,,,,,15,,18,,13,,29,
,,040800 - Natural History                         ,587,,320,86,409,,381,113,474,,490,121,514,,561,164,463,
,,041000 - Anatomy and Physiology                  ,767,,585,91,671,,807,107,869,,925,122,901,,815,119,878,
,,049900 - Other Biological Sciences               ,"1,091",,611,173,"1,165",,"1,000",231,"1,295",,"1,016",196,"1,196",,"1,033",319,"1,068",
,,050200 - Accounting                              ,809,,635,238,707,,783,258,877,,864,235,897,,"1,006",259,"1,026",
,,050210 - Tax Studies                             ,21,,20,,21,,32,,36,,16,,35,,30,,43,
,,050400 - Banking and Finance                     ,4,,21,,,,,,26,,,,39,,,,26,
,,050500 - Business Administration                 ,646,,497,204,750,,847,230,793,,759,223,923,,896,209,"1,100",
,,050600 - Business Management                     ,195,,188,51,260,,189,52,379,,284,112,372,,295,57,338,
,,050640 - Small Business and Entrepreneurship     ,43,,33,,81,,54,,55,,103,,97,,70,,97,
