,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Fullerton Total,,,"51,953",,"44,993","11,405","50,524",,"48,155","12,049","52,767",,"52,225","13,224","54,301",,"54,756","14,826","56,205",
,Credit - Degree Applicable                         Total,,"51,474",,"44,492","11,374","49,698",,"47,926","12,020","52,397",,"51,920","13,200","53,934",,"54,482","14,774","55,788",
,,"010100 - Agriculture Technology and Sciences, Gen",58,,49,,60,,57,,60,,56,,62,,36,,63,
,,010310 - Agricultural Pest Control Adviser and Op,,,,,,,,,,,,,,,,,13,
,,010900 - Horticulture                            ,64,,77,,91,,127,,98,,80,,87,,104,,88,
,,010910 - Landscape Design and Maintenance        ,,,,,,,,,,,,,27,,,,,
,,020100 - Architecture and Architectural Technolog,136,,118,79,119,,106,73,138,,154,44,173,,192,66,136,
,,029900 - Other Architecture and Environmental Des,12,,,,12,,,,15,,,,9,,,,18,
,,"040100 - Biology, General                        ","1,566",,"1,199",149,"1,013",,"1,197",160,"1,230",,"1,228",117,"1,005",,"1,033",99,"1,152",
,,040300 - MicroBiology                            ,43,,44,,71,,71,,72,,70,,49,,49,,46,
,,040800 - Natural History                         ,,,12,,,,10,,8,,47,,,,32,,14,
,,041000 - Anatomy and Physiology                  ,212,,246,47,290,,292,22,254,,256,23,180,,119,49,228,
,,043000 - Biotechnology and Biomedical Technology ,76,,73,,83,,204,,163,,139,38,118,,150,36,116,
,,"050100 - Business and Commerce, General          ",31,,48,,,,,,,,,,,,,,,
,,050200 - Accounting                              ,968,,893,301,913,,820,302,934,,"1,001",352,"1,002",,"1,037",400,"1,203",
,,050400 - Banking and Finance                     ,219,,219,62,337,,278,181,473,,595,136,505,,737,250,742,
,,050500 - Business Administration                 ,436,,420,163,452,,502,157,520,,561,173,560,,676,196,595,
,,050600 - Business Management                     ,"1,221",,"1,048",329,"1,297",,"1,158",349,"1,304",,"1,276",404,"1,325",,"1,533",404,"1,367",
,,050640 - Small Business and Entrepreneurship     ,154,,153,34,98,,83,56,101,,47,53,98,,73,64,221,
,,050800 - International Business and Trade        ,97,,115,29,124,,115,28,134,,123,44,108,,130,46,116,
,,050900 - Marketing and Distribution              ,516,,579,84,517,,476,161,587,,639,221,461,,463,196,504,
,,050910 - Advertising                             ,,,,,,,,,,,,,,,30,,39,
,,050970 - E-Commerce (Business emphasis)          ,,,,,53,,37,,43,,62,28,48,,53,24,41,
,,051000 - Logistics and Materials Transportation  ,,,,,,,,,,,,,48,,32,,52,
,,051100 - Real Estate                             ,420,,402,114,403,,377,142,388,,354,130,358,,397,151,386,
,,051110 - Escrow                                  ,25,,27,,30,,30,,35,,29,,28,,31,,32,
,,051600 - Labor and Industrial Relations          ,,,,,13,,,,11,,18,,17,,22,,26,
,,060200 - Journalism                              ,128,,85,42,110,,97,45,102,,93,36,106,,99,46,136,
,,060400 - Radio and Television                    ,310,,314,6,330,,309,,336,,295,,330,,323,,296,
,,060420 - Television (including combined TV/Film/V,394,,396,46,396,,369,47,374,,356,43,387,,376,45,331,
,,061000 - Mass Communications                     ,87,,87,47,87,,80,45,85,,90,41,85,,88,41,85,
,,061400 - Digital Media                           ,52,,56,13,60,,41,24,55,,51,20,61,,13,,26,
,,061420 - Electronic Game Design                  ,131,,96,26,55,,103,27,77,,86,31,140,,137,25,203,
,,061440 - Animation                               ,6,,11,,23,,12,,16,,10,23,,,17,20,15,
,,061460 - Computer Graphics and Digital Imagery   ,383,,294,33,312,,344,26,351,,394,47,392,,348,13,322,
,,"070100 - Information Technology, General         ",31,,35,10,34,,47,8,38,,44,4,46,,88,,46,
,,070200 - Computer Information Systems            ,885,,848,182,744,,719,262,908,,831,335,802,,833,277,901,
,,070210 - Software Applications                   ,,,,14,,,,12,,,23,12,,,12,,,
,,070600 - Computer Science (Transfer)             ,362,,372,59,334,,379,69,390,,401,70,340,,325,53,247,
,,070710 - Computer Programming                    ,94,,88,,59,,63,,54,,115,,61,,69,,29,
,,070800 - Computer Infrastructure and Support     ,,,,,,,,,,,,,58,,59,,70,
,,070820 - Computer Support                        ,21,,23,19,29,,31,,32,,57,,102,,158,40,163,
,,079900 - Other Information Technology            ,28,,28,17,27,,27,,24,,27,,28,,23,,20,
,,083500 - Physical Education                      ,"2,355",,"2,042",684,"2,395",,"2,267",639,"1,960",,"2,100",686,"2,050",,"2,078",666,"1,889",
,,083510 - Physical Fitness and Body Movement      ,71,,44,,62,,55,,253,,239,21,246,,227,18,226,
,,083520 - Fitness Trainer                         ,43,,27,11,68,,56,16,87,,92,23,60,,75,18,74,
,,083550 - Intercollegiate Athletics               ,592,,535,531,687,,669,520,728,,737,554,742,,851,551,822,
,,083570 - Aquatics and Lifesaving                 ,14,,,10,,,20,,25,,,,,,,,,
,,083700 - Health Education                        ,368,,308,151,320,,238,142,228,,296,157,296,,284,193,277,
,,085000 - Sign Language                           ,,,,,,,,,,,,,140,,193,36,272,
,,"090100 - Engineering, General (requires Calculus)",58,,92,43,45,,100,39,64,,92,16,72,,110,51,70,
,,"092400 - Engineering Technology, General (require",11,,14,,17,,8,,17,,9,,12,,12,,8,
,,093400 - Electronics and Electric Technology     ,15,,16,14,40,,47,19,51,,57,16,49,,48,12,65,
,,093500 - Electro-Mechanical Technology           ,,,,,,,,,,,,,20,,14,,21,
,,093600 - Printing and Lithography                ,36,,33,,36,,42,,42,,44,,46,,28,,13,
,,094800 - Automotive Technology                   ,217,,158,,245,,251,,273,,306,,332,,326,,326,
,,095200 - Construction Crafts Technology          ,239,,210,,233,,335,5,256,,311,,326,,331,,345,
,,095300 - Drafting Technology                     ,124,,107,,112,,133,,137,,169,,187,,165,,174,
,,095310 - Architectural Drafting                  ,128,,122,11,113,,121,,137,,159,33,130,,157,29,102,
,,095600 - Manufacturing and Industrial Technology ,301,,204,1,275,,305,,412,,426,12,424,,479,1,523,
,,095630 - Machining and Machine Tools             ,,,,,,,,,,,,,2,,,,3,
,,095650 - Welding Technology                      ,72,,79,,98,,94,,115,,114,,137,,125,27,135,
,,095670 - Industrial and Occupational Safety and H,13,,14,,20,,,,26,,31,,29,,26,,24,
,,095700 - Civil and Construction Management Techno,45,,15,,42,,29,,46,,27,,50,,25,,65,
,,095730 - Surveying                               ,,,14,,,,10,,13,,14,,19,,22,,23,
,,099900 - Other Engineering and Related Industrial,9,,21,,8,,15,,12,,20,,29,,29,,81,
,,"100100 - Fine Arts, General                      ","1,306",,"1,222",605,159,,201,111,254,,225,130,287,,296,127,287,
,,100200 - Art                                     ,85,,94,15,314,,840,526,954,,828,526,882,,987,450,967,
,,100210 - Painting and Drawing                    ,572,,510,85,647,,617,70,610,,596,45,616,,566,74,638,
,,100220 - Sculpture                               ,104,,93,,83,,78,,95,,89,,95,,95,,92,
,,100230 - Ceramics                                ,125,,143,25,163,,179,27,192,,200,45,202,,187,44,196,
,,100400 - Music                                   ,"1,923",,"1,769",514,"2,174",,"2,385",581,"2,561",,"2,719",826,"2,750",,"2,918","1,055","2,844",
,,100500 - Commercial Music                        ,212,,198,8,238,,232,20,227,,227,19,173,,202,20,207,
,,100600 - Technical Theater                       ,100,,142,,252,,275,12,282,,294,25,198,,208,,234,
,,100700 - Dramatic Arts                           ,525,,512,29,477,,502,72,479,,507,114,554,,481,110,565,
,,100800 - Dance                                   ,403,,358,62,480,,483,105,510,,576,80,585,,577,122,568,
,,100900 - Applied Design                          ,27,,12,,24,,18,,15,,1,,,,,,,
