,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Gavilan Total,,,"11,365",,"9,798","3,243","11,312",,"11,609","3,821","14,033",,"14,605","4,773","14,859",,"14,501","4,999","15,255",
,Credit - Degree Applicable                         Total,,"10,658",,"9,328","3,100","10,519",,"10,956","3,599","13,025",,"13,105","4,388","13,788",,"13,477","4,701","14,217",
,,030100 - Environmental Science                   ,29,,25,,26,,23,,54,,23,,28,,24,,25,
,,030200 - Environmental Studies                   ,24,,20,,23,,19,,20,,24,,18,,16,,16,
,,"040100 - Biology, General                        ",214,,249,54,244,,263,71,255,,269,79,255,,274,86,268,
,,"040200 - Botany, General                         ",,,21,,,,22,,,,23,,,,,,,
,,040300 - MicroBiology                            ,52,,47,50,45,,48,29,47,,48,40,48,,47,48,48,
,,"040700 - Zoology, General                        ",28,,,,30,,,,23,,,,,,,,,
,,041000 - Anatomy and Physiology                  ,213,,192,64,200,,205,60,258,,223,54,269,,270,62,297,
,,049900 - Other Biological Sciences               ,22,,,,47,,,,24,,,,22,,,,16,
,,"050100 - Business and Commerce, General          ",187,,195,70,173,,200,92,212,,302,101,276,,318,108,322,
,,050200 - Accounting                              ,187,,131,40,176,,169,45,204,,201,34,214,,224,29,239,
,,051100 - Real Estate                             ,50,,38,,43,,48,,44,,38,,62,,37,,65,
,,051400 - Office Technology/Office Computer Applic,153,,81,32,111,,69,,134,,116,,105,,123,,162,
,,051420 - Medical Office Technology               ,43,,,,52,,15,,47,,51,,53,,31,,58,
,,060200 - Journalism                              ,15,,15,10,12,,16,10,14,,17,16,19,,19,21,21,
,,060420 - Television (including combined TV/Film/V,16,,,,22,,6,,39,,14,,39,,13,,,
,,061000 - Mass Communications                     ,52,,24,,37,,33,,69,,79,,182,,,,,
,,061200 - Film Studies                            ,155,,188,39,157,,234,54,218,,266,92,225,,251,49,276,
,,061220 - Film Production                         ,8,,,,5,,8,,16,,16,,13,,141,,181,
