,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Glendale Total,,,"37,492","8,163","33,013","9,315","34,466","8,070","33,352","10,439","38,340","8,008","36,584","10,920","41,560","9,002","39,604","12,022","43,823",
,Credit - Degree Applicable                         Total,,"36,457","7,990","32,139","9,159","33,634","7,927","32,372","10,262","37,177","7,822","35,022","10,720","40,306","8,887","38,606","11,960","42,964",
,,020100 - Architecture and Architectural Technolog,310,87,329,84,250,62,263,86,319,90,320,96,403,124,439,129,492,
,,030200 - Environmental Studies                   ,,,,20,,,,8,,,,22,,,,,,
,,"040100 - Biology, General                        ",924,136,743,198,642,88,726,194,779,27,779,130,812,150,837,150,842,
,,040300 - MicroBiology                            ,250,,214,24,188,,238,28,186,,172,,164,,190,46,184,
,,041000 - Anatomy and Physiology                  ,"1,086",216,796,210,778,96,752,180,744,,770,138,852,124,864,116,958,
,,043000 - Biotechnology and Biomedical Technology ,,,,,14,,14,,14,,18,,,,8,20,22,
,,"050100 - Business and Commerce, General          ","1,059",290,"1,122",270,"1,038",315,981,283,"1,054",370,"1,073",277,"1,068",372,"1,165",304,"1,130",
,,050200 - Accounting                              ,717,104,675,162,664,111,665,188,778,122,696,213,762,138,830,254,841,
,,050210 - Tax Studies                             ,81,25,28,,57,27,27,,93,22,56,32,95,31,50,33,95,
,,050400 - Banking and Finance                     ,145,25,115,51,165,,119,55,171,,113,44,163,,161,66,213,
,,050630 - Management Development and Supervision  ,158,20,157,,117,23,122,32,134,24,103,29,163,57,143,41,161,
,,050640 - Small Business and Entrepreneurship     ,80,,93,,70,,73,,79,,80,,84,,95,,108,
,,050800 - International Business and Trade        ,25,,,,42,,,,47,,,,49,,,,64,
,,050900 - Marketing and Distribution              ,21,,64,,36,,59,,27,,75,,57,,96,,60,
,,050910 - Advertising                             ,,,27,20,,,27,25,13,,25,13,25,,33,15,37,
,,051100 - Real Estate                             ,792,295,853,337,784,279,748,365,800,345,832,395,875,356,933,472,"1,045",
,,051110 - Escrow                                  ,73,,78,47,75,,85,54,73,,70,56,79,,78,80,78,
,,051200 - Insurance                               ,291,,206,60,313,54,213,54,298,43,232,57,309,50,245,70,314,
,,051400 - Office Technology/Office Computer Applic,227,,167,48,139,17,130,44,141,44,145,52,126,52,174,81,186,
,,051420 - Medical Office Technology               ,313,93,266,137,333,109,290,167,321,115,329,174,379,102,401,176,399,
,,051800 - Customer Service                        ,24,,23,,26,,15,,24,,26,,28,,32,,29,
,,"060100 - Media and Communications, General       ",,,,,,,,,,,,,,,281,105,275,
,,060200 - Journalism                              ,89,,92,,148,,113,,89,,87,,105,,123,,92,
,,060400 - Radio and Television                    ,9,14,5,19,11,39,,38,13,42,11,13,30,45,12,26,24,
,,060420 - Television (including combined TV/Film/V,155,22,151,14,153,,192,20,186,20,170,23,186,16,226,35,258,
,,060600 - Public Relations                        ,8,,,,,,31,,,,21,,,,31,,,
,,061000 - Mass Communications                     ,296,106,367,172,313,176,376,133,388,144,393,94,374,127,,,,
,,061210 - Film History and Criticism              ,99,67,101,72,121,69,100,114,137,74,133,75,173,85,166,159,233,
,,061440 - Animation                               ,184,,168,,152,,138,,164,,208,,182,,234,,176,
,,"070100 - Information Technology, General         ",179,32,177,82,132,56,139,82,161,28,253,104,129,30,282,74,189,
,,070200 - Computer Information Systems            ,305,131,292,111,274,120,304,129,314,121,336,139,303,114,376,172,360,
,,070600 - Computer Science (Transfer)             ,198,,238,16,163,,258,,190,,318,,218,,373,,202,
,,070710 - Computer Programming                    ,586,185,649,276,643,183,662,354,704,210,612,270,652,243,610,267,599,
,,070720 - Database Design and Administration      ,,,,40,,,,36,,,62,36,,,44,60,,
,,070800 - Computer Infrastructure and Support     ,135,,180,54,117,,121,84,149,,61,30,86,,48,54,108,
,,070810 - Computer Networking                     ,,,38,,,,30,,,,84,32,94,,106,56,104,
,,070910 - E-Commerce (Technology emphasis)        ,25,,,7,21,16,,12,21,26,,13,14,34,,29,39,
,,"080100 - Education, General                      ",,,12,,41,,17,,13,,28,,,,36,,,
,,083500 - Physical Education                      ,143,51,176,34,287,44,342,33,268,42,357,39,259,35,375,27,310,
,,083510 - Physical Fitness and Body Movement      ,,,,,,,3,,1,,,,1,,1,,1,
,,083520 - Fitness Trainer                         ,38,,29,6,18,,53,,32,,20,3,22,,28,1,37,
,,083550 - Intercollegiate Athletics               ,724,386,553,452,818,432,622,526,817,421,645,497,856,456,671,594,833,
,,083560 - Coaching                                ,14,,23,,25,,24,,10,,23,,18,,37,,26,
,,083580 - Adapted Physical Education              ,56,,52,,69,,76,,93,,91,,98,,91,,86,
,,083700 - Health Education                        ,679,204,639,249,732,170,626,212,613,188,486,268,517,174,553,341,575,
,,085000 - Sign Language                           ,92,,87,,83,,78,,82,,65,,55,,44,,99,
,,"090100 - Engineering, General (requires Calculus)",209,32,130,113,176,48,164,138,167,50,208,156,259,52,261,119,209,
,,"092400 - Engineering Technology, General (require",42,,40,20,38,,,,28,,28,,18,,,28,,
,,093400 - Electronics and Electric Technology     ,155,,185,50,197,,68,26,169,,181,40,150,,186,38,187,
,,093430 - Telecommunications Technology           ,24,,,,,,17,,,,,,36,,,,,
,,095010 - Aviation Airframe Mechanics             ,15,,,,,,,,11,,,,,,,,,
,,095300 - Drafting Technology                     ,88,12,44,10,28,23,77,15,50,13,59,38,20,22,24,23,90,
,,095320 - Civil Drafting                          ,42,,44,,20,,,,,,32,,,,,,,
,,095600 - Manufacturing and Industrial Technology ,18,,,,,,,,20,,,,,,22,,,
,,095630 - Machining and Machine Tools             ,34,,34,14,52,,54,22,70,,91,,93,,83,,122,
,,095650 - Welding Technology                      ,165,40,181,50,195,51,224,34,220,68,264,61,264,66,320,69,305,
