,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Golden West Total,,,"24,717",,"23,035","7,247","23,949",,"24,636","7,759","24,378",,"25,923","8,953","24,911",,"27,370","10,432","25,995",
,Credit - Degree Applicable                         Total,,"24,464",,"22,822","7,247","23,713",,"24,431","7,759","24,273",,"25,841","8,953","24,700",,"27,083","10,402","25,668",
,,030100 - Environmental Science                   ,,,21,,,,19,,17,,12,,,,,,,
,,"040100 - Biology, General                        ",726,,622,114,687,,584,121,646,,700,197,672,,727,216,773,
,,"040200 - Botany, General                         ",21,,29,,27,,,,25,,,,20,,,,30,
,,040300 - MicroBiology                            ,229,,223,117,189,,204,110,184,,240,120,224,,217,125,255,
,,"040700 - Zoology, General                        ",41,,42,,33,,25,,21,,20,,26,,30,,28,
,,040800 - Natural History                         ,,,,,,,20,,,,20,,,,37,,,
,,041000 - Anatomy and Physiology                  ,936,,779,197,675,,728,206,649,,692,258,824,,807,297,869,
,,049900 - Other Biological Sciences               ,118,,75,101,74,,77,55,72,,72,46,77,,85,44,65,
,,"050100 - Business and Commerce, General          ",284,,265,45,347,,303,50,419,,329,100,326,,313,104,352,
,,050200 - Accounting                              ,488,,441,138,508,,525,201,538,,587,211,578,,636,227,682,
,,050210 - Tax Studies                             ,64,,36,,43,,33,,23,,56,,27,,70,,39,
,,050400 - Banking and Finance                     ,,,33,,,,27,,,,24,,,,27,,,
,,050500 - Business Administration                 ,167,,164,73,136,,187,60,147,,179,,161,,184,,168,
,,050600 - Business Management                     ,78,,85,,78,,103,,65,,45,,54,,63,,87,
,,050630 - Management Development and Supervision  ,69,,114,,81,,94,,61,,107,,96,,125,,73,
,,050640 - Small Business and Entrepreneurship     ,63,,103,,34,,92,,65,,105,,40,,211,,90,
,,050650 - Retail Store Operations and Management  ,,,,,,,26,,,,24,,34,,,,38,
,,050900 - Marketing and Distribution              ,36,,25,,53,,34,,57,,26,,12,,28,,21,
,,050970 - E-Commerce (Business emphasis)          ,19,,,,29,,20,,26,,,,24,,,,26,
,,"060100 - Media and Communications, General       ",79,,78,,80,,81,,82,,80,,80,,80,,115,
,,061400 - Digital Media                           ,20,,28,,19,,27,,17,,29,,18,,12,,12,
,,061410 - Multimedia                              ,28,,17,,,,,,37,,,,33,,,,27,
,,061430 - Website Design and Development          ,25,,20,,26,,,,33,,,,39,,,,24,
,,061440 - Animation                               ,,,,,,,8,,,,,,,,,,,
,,061450 - Desktop Publishing                      ,21,,,,18,,15,,17,,13,,15,,13,,18,
,,061460 - Computer Graphics and Digital Imagery   ,85,,59,,58,,47,,60,,54,,49,,49,,22,
,,"070100 - Information Technology, General         ",140,,138,34,105,,98,29,83,,92,20,74,,65,,41,
,,070600 - Computer Science (Transfer)             ,29,,31,,32,,34,,72,,146,,134,,185,,117,
,,070700 - Computer Software Development           ,80,,50,,83,,80,,87,,59,35,55,,43,22,51,
,,070710 - Computer Programming                    ,253,,285,60,348,,411,62,437,,428,194,369,,355,159,270,
,,070720 - Database Design and Administration      ,,,40,,,,35,,24,,29,,24,,21,,22,
,,"080100 - Education, General                      ",41,,,,6,,,,,,,,,,,,,
,,080200 - Educational Aide (Teacher Assistant)    ,79,,59,,85,,89,17,113,,84,15,94,,67,,96,
,,080900 - Special Education                       ,44,,11,,26,,33,,30,,20,,21,,31,,23,
,,083500 - Physical Education                      ,308,,198,,284,,331,,339,,265,,275,,279,19,338,
,,083550 - Intercollegiate Athletics               ,424,,479,317,440,,500,314,447,,509,274,381,,450,320,427,
,,083700 - Health Education                        ,441,,436,283,468,,510,288,444,,514,535,373,,472,648,360,
,,085000 - Sign Language                           ,303,,164,111,165,,168,88,153,,134,63,160,,157,62,146,
,,085010 - Sign Language Interpreting              ,67,,58,,35,,60,,37,,12,,30,,18,,31,
,,"090100 - Engineering, General (requires Calculus)",,,,,,,,,,,,,,,7,,17,
,,"092400 - Engineering Technology, General (require",,,,,,,,,,,,,32,,29,,33,
,,094800 - Automotive Technology                   ,285,,219,15,299,,287,15,296,,271,36,288,,340,51,325,
,,095300 - Drafting Technology                     ,73,,82,,102,,125,21,134,,129,,227,,215,,226,
,,"100100 - Fine Arts, General                      ",14,,16,,22,,17,,19,,16,,38,,17,,19,
,,100200 - Art                                     ,569,,525,246,557,,623,196,527,,652,239,550,,580,266,622,
,,100210 - Painting and Drawing                    ,228,,176,21,227,,179,20,203,,179,21,211,,170,,191,
,,100220 - Sculpture                               ,,,,,,,,,,,11,,,,16,,15,
,,100230 - Ceramics                                ,101,,94,23,103,,102,,109,,114,31,99,,93,23,86,
,,100400 - Music                                   ,539,,548,314,546,,631,323,560,,648,353,610,,654,421,618,
,,100500 - Commercial Music                        ,16,,18,,21,,25,,22,,24,,16,,16,,9,
,,100600 - Technical Theater                       ,9,,15,,10,,12,,30,,9,,18,,15,,25,
,,100700 - Dramatic Arts                           ,490,,517,193,471,,618,222,432,,561,220,568,,627,251,549,
,,100800 - Dance                                   ,119,,121,,130,,134,,86,,97,,88,,83,,114,
,,100910 - Jewelry                                 ,,,,,,,,,,,,,17,,25,,17,
,,101100 - Photography                             ,43,,33,,37,,33,,25,,40,,39,,29,,25,
,,103000 - Graphic Art and Design                  ,42,,67,,39,,50,,,,23,,,,15,,,
,,110500 - Spanish                                 ,249,,192,132,184,,228,159,186,,239,256,239,,308,371,263,
,,111720 - Vietnamese                              ,127,,110,,84,,84,,78,,94,,100,,83,,95,
,,122310 - Health Information Coding               ,33,,20,,,,,,,,38,,,,42,35,,
,,123000 - Nursing                                 ,,,,,,,,,,,,,,,,,47,
,,123010 - Registered Nursing                      ,487,,489,,489,,606,,887,,876,,"1,100",,"1,097",,"1,273",
,,127000 - Kinesiology                             ,287,,258,43,225,,202,53,221,,220,55,139,,178,52,193,
,,150100 - English                                 ,"2,349",,"1,777",474,"2,308",,"1,816",427,"2,256",,"1,838",443,"2,180",,"2,012",654,"2,294",
,,150300 - Comparative Literature                  ,,,,,,,,,11,,,,,,,,,
,,150600 - Speech Communication                    ,"1,457",,"1,338",335,"1,479",,"1,205",313,"1,409",,"1,373",374,"1,328",,"1,427",410,"1,317",
,,150700 - Creative Writing                        ,20,,17,,17,,21,,24,,24,,17,,17,,25,
,,150900 - Philosophy                              ,371,,452,169,380,,446,173,372,,418,177,285,,443,159,361,
,,"160100 - Library Science, General                ",18,,32,,33,,42,31,26,,29,20,23,,32,11,28,
,,"170100 - Mathematics, General                    ","2,538",,"2,424",841,"2,595",,"2,721","1,050","2,548",,"3,030","1,287","2,707",,"2,947","1,340","2,554",
,,170200 - Mathematics Skills                      ,39,,56,,42,,62,,66,,75,,43,,25,,29,
,,"190100 - Physical Sciences, General              ",27,,27,,16,,30,,33,,31,,,,17,,,
,,"190200 - Physics, General                        ",150,,97,42,139,,149,58,152,,157,59,152,,179,59,120,
,,"190500 - Chemistry, General                      ",435,,465,144,486,,472,152,543,,552,150,531,,491,170,510,
,,191100 - Astronomy                               ,156,,196,64,160,,226,67,192,,271,55,179,,213,84,234,
,,191400 - Geology                                 ,138,,78,,118,,118,,113,,105,,137,,129,,89,
,,"200100 - Psychology, General                     ","1,670",,"1,605",559,"1,484",,"1,500",516,"1,410",,"1,574",553,"1,624",,"1,785",616,"1,616",
,,209900 - Other Psychology                        ,40,,68,,69,,101,14,38,,51,17,53,,85,25,,
,,210400 - Human Services                          ,,,,,32,,,,31,,49,,33,,31,,29,
,,210500 - Administration of Justice               ,699,,686,198,777,,701,179,697,,706,163,617,,688,160,516,
,,210510 - Corrections                             ,32,,33,,33,,33,,27,,19,,23,,26,,21,
