,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Grossmont Total,,,"34,298",,"30,169","5,428","33,319",,"32,302","6,531","37,038",,"34,018","7,734","38,707",,"38,348","8,144","39,350",
,Credit - Degree Applicable                         Total,,"32,977",,"29,209","5,357","32,258",,"31,232","6,408","35,498",,"32,537","7,585","36,528",,"35,980","7,985","36,668",
,,"040100 - Biology, General                        ","1,777",,"1,617",143,"1,605",,"1,618",157,"1,514",,"1,548",134,"1,509",,"1,521",122,"1,419",
,,"050100 - Business and Commerce, General          ",516,,468,163,545,,634,183,644,,678,161,628,,756,174,648,
,,050200 - Accounting                              ,451,,377,97,483,,495,137,530,,520,136,589,,523,99,565,
,,050600 - Business Management                     ,174,,97,,148,,94,,202,,78,,143,,52,,127,
,,050800 - International Business and Trade        ,13,,11,,39,,6,,7,,19,,12,,22,,11,
,,050900 - Marketing and Distribution              ,77,,114,,43,,80,30,116,,80,28,94,,67,19,106,
,,051000 - Logistics and Materials Transportation  ,,,,,,,,,,,7,,,,10,,,
,,051400 - Office Technology/Office Computer Applic,647,,656,76,536,,718,3,670,,719,115,705,,721,53,711,
,,051420 - Medical Office Technology               ,177,,213,48,203,,209,,206,,248,51,276,,323,57,276,
,,"060100 - Media and Communications, General       ",144,,142,45,230,,145,90,279,,176,63,261,,150,66,201,
,,060200 - Journalism                              ,36,,39,,31,,37,,34,,44,,27,,49,,30,
,,060400 - Radio and Television                    ,62,,77,3,66,,68,2,51,,66,2,53,,64,2,49,
,,060410 - Radio                                   ,20,,22,,36,,27,,37,,29,,44,,29,,31,
,,060420 - Television (including combined TV/Film/V,19,,40,,32,,37,,62,,33,,27,,35,,88,
,,061000 - Mass Communications                     ,,,,,,,8,,,,26,,,,31,,,
,,"070100 - Information Technology, General         ",885,,944,205,960,,"1,222",284,"1,127",,"1,221",297,"1,102",,"1,177",258,930,
,,070200 - Computer Information Systems            ,226,,261,42,293,,290,49,347,,355,45,320,,368,61,380,
,,070600 - Computer Science (Transfer)             ,52,,54,32,63,,56,52,87,,108,87,66,,107,51,46,
,,070910 - E-Commerce (Technology emphasis)        ,8,,6,,16,,19,,10,,11,,8,,7,,3,
,,"080100 - Education, General                      ",35,,24,,39,,26,,42,,24,,23,,27,,18,
,,083500 - Physical Education                      ,"1,120",,796,198,"1,134",,906,416,"1,180",,898,391,958,,810,435,841,
,,083550 - Intercollegiate Athletics               ,204,,128,,221,,78,,239,,126,7,349,,255,14,352,
,,083700 - Health Education                        ,397,,313,78,345,,311,58,313,,276,80,315,,297,71,274,
,,085000 - Sign Language                           ,551,,565,104,553,,525,122,560,,520,139,560,,520,136,489,
,,"100100 - Fine Arts, General                      ",493,,528,96,582,,445,110,737,,510,90,539,,481,94,510,
,,100200 - Art                                     ,201,,220,24,232,,199,23,248,,202,37,247,,196,26,187,
,,100210 - Painting and Drawing                    ,146,,182,,179,,173,,194,,190,46,196,,213,46,184,
,,100220 - Sculpture                               ,53,,62,,75,,115,,110,,112,20,124,,101,23,118,
,,100230 - Ceramics                                ,34,,71,,88,,137,22,128,,147,23,180,,157,36,142,
,,100400 - Music                                   ,670,,327,34,505,,562,83,851,,705,106,971,,934,102,848,
,,100700 - Dramatic Arts                           ,401,,429,41,381,,446,51,428,,492,88,440,,488,51,466,
,,100800 - Dance                                   ,131,,141,,153,,231,17,262,,248,33,267,,305,53,311,
,,100910 - Jewelry                                 ,17,,25,,20,,22,,22,,31,,30,,34,,35,
,,101100 - Photography                             ,306,,273,39,304,,293,41,319,,292,44,284,,263,33,250,
,,110200 - French                                  ,93,,76,,44,,75,,92,,92,,103,,77,,80,
,,110300 - German                                  ,39,,36,,44,,56,,32,,59,,63,,72,32,45,
,,110500 - Spanish                                 ,456,,339,131,423,,386,191,565,,516,268,470,,498,231,506,
,,110600 - Russian                                 ,25,,18,,24,,30,,20,,33,,14,,5,,,
,,110700 - Chinese                                 ,16,,11,,11,,10,,9,,10,,16,,11,,,
,,110800 - Japanese                                ,178,,86,22,148,,133,19,137,,124,24,144,,118,,122,
,,111200 - Arabic                                  ,197,,68,12,121,,158,,192,,246,62,227,,250,54,242,
,,121000 - Respiratory Care/Therapy                ,211,,148,,219,,142,,235,,167,4,196,,247,,239,
,,121300 - Cardiovascular Technician               ,257,,224,47,197,,216,77,312,,250,65,247,,261,30,253,
,,121400 - Orthopedic Assistant                    ,39,,32,20,29,,30,11,34,,36,26,26,,30,6,48,
,,121800 - Occupational Therapy Technology         ,173,,114,44,157,,81,40,162,,66,45,135,,142,51,233,
,,123010 - Registered Nursing                      ,385,,358,,361,,391,,397,,230,,386,,380,11,420,
,,127000 - Kinesiology                             ,54,,39,,61,,41,,69,,59,,64,,48,,38,
,,"130100 - Family and Consumer Sciences, General   ",95,,119,,64,,94,,63,,83,,76,,88,,66,
,,130500 - Child Development/Early Care and Educati,"1,023",,833,152,774,,795,117,739,,753,127,"1,029",,845,117,897,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",299,,299,40,261,,239,48,243,,254,48,236,,229,45,215,
,,130630 - Culinary Arts                           ,348,,424,85,417,,467,98,446,,463,53,466,,478,32,470,
,,150100 - English                                 ,"3,003",,"2,190",394,"2,890",,"2,493",458,"3,032",,"2,573",504,"3,139",,"2,681",495,"3,475",
,,150600 - Speech Communication                    ,"1,638",,"1,379",252,"1,500",,"1,458",269,"1,739",,"1,522",343,"1,848",,"1,714",348,"1,721",
,,150900 - Philosophy                              ,337,,269,57,363,,366,90,440,,431,153,490,,648,154,652,
,,151000 - Religious Studies                       ,302,,251,83,268,,255,102,340,,339,92,339,,400,69,366,
,,159900 - Other Humanities                        ,295,,335,50,318,,295,21,317,,244,50,331,,207,47,222,
,,"160100 - Library Science, General                ",18,,16,,19,,13,,5,,10,,8,,3,,13,
,,"170100 - Mathematics, General                    ","2,599",,"1,653",386,"2,487",,"2,006",412,"2,692",,"2,117",467,"2,788",,"2,354",593,"2,770",
,,"190100 - Physical Sciences, General              ",89,,73,,70,,92,,106,,94,,94,,93,,75,
,,"190200 - Physics, General                        ",337,,306,74,262,,260,74,219,,271,89,272,,291,124,333,
,,"190500 - Chemistry, General                      ",703,,512,67,633,,653,76,675,,713,112,755,,792,125,860,
,,191100 - Astronomy                               ,254,,251,45,227,,268,50,188,,177,49,179,,192,47,142,
,,191400 - Geology                                 ,203,,164,10,231,,209,6,223,,259,,236,,244,14,234,
,,191900 - Oceangraphy                             ,199,,182,,201,,189,,219,,190,,183,,163,,158,
,,"200100 - Psychology, General                     ","1,878",,"1,742",420,"2,040",,"1,914",450,"1,953",,"1,857",495,"1,981",,"1,943",561,"1,903",
,,210500 - Administration of Justice               ,764,,722,127,746,,725,159,776,,732,115,828,,869,118,914,
,,220110 - Women's Studies                         ,7,,20,,57,,65,,31,,48,,38,,44,,34,
,,220200 - Anthropology                            ,830,,929,158,722,,883,192,886,,941,276,892,,"1,107",302,"1,011",
,,220300 - Ethnic Studies                          ,175,,192,36,308,,349,99,488,,524,219,679,,864,261,762,
,,220400 - Economics                               ,697,,757,126,613,,703,182,719,,669,239,781,,885,400,821,
,,220500 - History                                 ,"1,478",,"1,790",373,"1,399",,"1,524",461,"1,585",,"1,602",503,"1,558",,"1,897",526,"1,836",
,,220600 - Geography                               ,447,,472,78,408,,428,78,401,,444,57,424,,460,63,413,
,,220700 - Political Science                       ,475,,512,78,434,,436,65,559,,386,173,474,,593,289,571,
,,220800 - Sociology                               ,"1,016",,"1,057",328,"1,189",,"1,156",430,"1,234",,"1,296",528,"1,627",,"1,650",566,"1,646",
