,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Hartnell Total,,,"24,846",,"19,506","5,860","23,966",,"19,751","6,239","27,950",,"24,961","7,012","29,413",,"25,939","8,579","29,630",
,Credit - Degree Applicable                         Total,,"24,183",,"19,050","5,825","23,671",,"19,515","6,204","27,677",,"24,797","7,003","29,199",,"25,713","8,576","29,476",
,,"010100 - Agriculture Technology and Sciences, Gen",241,,201,10,178,,179,27,222,,220,18,203,,165,22,166,
,,010300 - Plant Science                           ,101,,86,5,68,,76,10,91,,54,,122,,80,15,111,
,,010310 - Agricultural Pest Control Adviser and Op,14,,10,,13,,,8,13,,,,,,,,8,
,,"011200 - Agriculture Business, Sales and Service ",147,,35,5,151,,111,10,159,,159,6,220,,109,,216,
,,011300 - Food Processing and Related Technologies,106,,29,45,87,,32,30,52,,43,38,81,,65,,76,
,,011600 - Agricultural Power Equipment Technology ,27,,32,,51,,34,,109,,29,,319,,71,28,193,
,,019900 - Other Agriculture and Natural Resources ,,,,,,,,,,,10,,,,9,,17,
,,030100 - Environmental Science                   ,16,,,,42,,26,,24,,29,,43,,29,,44,
,,030200 - Environmental Studies                   ,,,11,,,,24,,,,26,,,,19,,,
,,"040100 - Biology, General                        ",743,,526,209,615,,620,217,685,,743,229,654,,713,230,763,
,,"040200 - Botany, General                         ",46,,42,,41,,54,,51,,75,,57,,66,,51,
,,040300 - MicroBiology                            ,179,,104,,114,,63,,123,,122,,140,,112,,174,
,,"040700 - Zoology, General                        ",35,,50,,56,,40,,63,,51,,61,,55,,51,
,,041000 - Anatomy and Physiology                  ,548,,533,136,524,,488,165,571,,689,160,585,,669,246,818,
,,049900 - Other Biological Sciences               ,45,,,,43,,,,48,,,,55,,,,54,
,,"050100 - Business and Commerce, General          ",280,,221,38,255,,210,37,329,,294,31,309,,161,40,329,
,,050200 - Accounting                              ,198,,216,46,267,,220,46,234,,287,35,252,,237,51,293,
,,050600 - Business Management                     ,4,,,,8,,,,12,,,,11,,,,16,
,,051400 - Office Technology/Office Computer Applic,162,,155,20,229,,174,37,200,,179,29,201,,167,25,245,
,,051420 - Medical Office Technology               ,65,,68,32,46,,49,41,73,,93,59,110,,130,103,115,
,,060400 - Radio and Television                    ,,,,,,,,,,,28,,,,16,,,
,,060420 - Television (including combined TV/Film/V,,,29,,25,,16,,,,,,34,,15,,,
,,061210 - Film History and Criticism              ,46,,,,57,,,21,32,,,23,47,,17,14,50,
,,061220 - Film Production                         ,19,,31,14,,,47,,,,37,,,,45,8,16,
,,061400 - Digital Media                           ,117,,63,16,124,,124,,151,,125,,201,,99,,147,
,,061410 - Multimedia                              ,,,24,,,,31,,,,29,,,,35,,,
,,061420 - Electronic Game Design                  ,,,,,,,,17,,,13,,,,13,,,
,,061430 - Website Design and Development          ,,,11,8,34,,,,42,,,,69,,,,50,
,,061440 - Animation                               ,,,,,,,5,,,,,,,,,20,,
,,"070100 - Information Technology, General         ",360,,261,89,353,,333,70,380,,379,68,382,,339,115,406,
,,070200 - Computer Information Systems            ,,,,29,,,,20,,,,28,,,,21,,
,,070210 - Software Applications                   ,,,,,7,,9,7,11,,15,,13,,10,3,15,
,,070710 - Computer Programming                    ,93,,128,,128,,160,,134,,160,,159,,174,,133,
,,070810 - Computer Networking                     ,19,,,,28,,9,,41,,8,,37,,19,,27,
,,"080100 - Education, General                      ",46,,53,,79,,32,,95,,64,,75,,59,,77,
,,083500 - Physical Education                      ,499,,453,219,466,,497,196,535,,526,190,605,,502,178,601,
,,083510 - Physical Fitness and Body Movement      ,86,,107,36,121,,115,79,141,,111,89,158,,37,97,139,
,,083550 - Intercollegiate Athletics               ,499,,459,150,484,,437,145,517,,439,168,555,,457,143,524,
,,083580 - Adapted Physical Education              ,64,,104,16,88,,102,20,70,,59,22,87,,77,26,99,
,,083700 - Health Education                        ,249,,286,176,296,,303,157,369,,285,129,387,,329,167,423,
,,085000 - Sign Language                           ,13,,144,,124,,124,,150,,145,37,155,,146,33,124,
,,085010 - Sign Language Interpreting              ,40,,,,,,,,,,,,,,,,,
,,"090100 - Engineering, General (requires Calculus)",94,,101,11,119,,104,45,96,,125,24,130,,124,24,115,
,,"092400 - Engineering Technology, General (require",28,,29,,33,,40,,35,,56,,51,,74,,30,
,,094700 - Diesel Technology                       ,77,,63,,96,,97,8,138,,118,23,98,,126,32,129,
,,094800 - Automotive Technology                   ,144,,108,10,166,,135,15,124,,174,22,163,,172,28,100,
,,095200 - Construction Crafts Technology          ,17,,,,18,,,24,,,,,39,,,,40,
,,095220 - Electrical                              ,11,,,,,,,,9,,,,,,,,5,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,,,,,,,,,28,,,,,,,
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",,,,,,,,19,,,,17,,,,28,,
,,095300 - Drafting Technology                     ,24,,19,,35,,21,,36,,19,,22,,13,,,
,,095310 - Architectural Drafting                  ,50,,,,44,,9,,71,,23,12,49,,26,,67,
,,095600 - Manufacturing and Industrial Technology ,9,,10,,,,,,26,,22,,65,,18,,35,
,,095640 - Sheet Metal and Structural Metal        ,,,26,,,,25,,,,30,,,,28,,,
,,095650 - Welding Technology                      ,120,,173,10,179,,194,18,214,,238,46,209,,177,27,204,
,,095700 - Civil and Construction Management Techno,90,,116,28,120,,162,24,187,,168,29,142,,198,29,222,
,,"100100 - Fine Arts, General                      ",197,,325,80,322,,297,202,420,,386,214,520,,559,281,654,
,,100200 - Art                                     ,23,,,,22,,,,30,,,,37,,,,23,
,,100210 - Painting and Drawing                    ,62,,46,,97,,93,,81,,106,,79,,91,,73,
,,100230 - Ceramics                                ,49,,37,40,64,,61,54,67,,44,,43,,51,,50,
,,100400 - Music                                   ,421,,450,71,551,,411,127,563,,478,98,505,,510,103,546,
,,100700 - Dramatic Arts                           ,252,,201,98,241,,136,87,289,,223,27,195,,280,126,245,
,,101100 - Photography                             ,169,,236,127,183,,153,159,179,,230,119,167,,287,215,191,
,,103000 - Graphic Art and Design                  ,18,,,,31,,,,29,,,,30,,,,28,
,,110500 - Spanish                                 ,561,,342,118,369,,321,156,454,,478,198,587,,611,177,572,
,,121000 - Respiratory Care/Therapy                ,210,,144,,169,,144,,160,,165,,191,,166,,149,
,,123010 - Registered Nursing                      ,308,,288,19,371,,335,17,407,,348,24,355,,311,36,356,
,,123020 - Licensed Vocational Nursing             ,90,,176,5,73,,165,12,61,,172,12,73,,172,25,110,
,,125000 - Emergency Medical Services              ,39,,26,35,46,,30,35,64,,48,26,77,,74,,72,
,,130500 - Child Development/Early Care and Educati,414,,334,83,434,,338,73,404,,427,89,494,,369,142,472,
,,130520 - Children with Special Needs             ,9,,,,,,,,49,,,,,,,,49,
,,130540 - Preshool Age Children                   ,14,,26,,10,,46,,24,,36,,34,,,,41,
,,130580 - Child Development Administration and Man,,,,,,,9,,,,,,,,10,,,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",153,,176,73,134,,161,67,142,,191,78,200,,157,89,187,
,,"140100 - Law, General                            ",5,,11,,32,,7,,41,,16,,25,,7,,19,
,,150100 - English                                 ,"2,553",,"1,812",497,"2,830",,"1,887",441,"2,928",,"2,403",636,"2,986",,"2,569",684,"3,137",
,,150300 - Comparative Literature                  ,,,,,31,,,,,,,,9,,,,,
,,150400 - Classics                                ,36,,57,,24,,55,,31,,68,,41,,59,,51,
,,150600 - Speech Communication                    ,844,,678,428,795,,767,526,861,,972,566,"1,028",,"1,041",713,"1,177",
,,150700 - Creative Writing                        ,,,,,21,,55,,,,,,23,,31,,,
,,150900 - Philosophy                              ,196,,89,11,170,,137,35,227,,281,68,286,,224,60,252,
,,"160100 - Library Science, General                ",60,,35,8,44,,34,6,62,,34,11,56,,40,17,55,
,,"170100 - Mathematics, General                    ","2,087",,"1,600",252,"1,905",,"1,581",438,"2,246",,"2,061",630,"2,506",,"2,264",703,"2,662",
,,170200 - Mathematics Skills                      ,,,,,169,,79,,146,,87,,127,,113,,157,
,,"190200 - Physics, General                        ",193,,191,9,191,,240,43,299,,287,34,288,,271,88,345,
,,"190500 - Chemistry, General                      ",527,,433,114,501,,481,133,564,,541,112,474,,493,167,634,
,,191100 - Astronomy                               ,376,,347,175,369,,351,208,352,,433,217,425,,414,219,397,
,,191400 - Geology                                 ,177,,123,,84,,90,,182,,116,,198,,133,,125,
,,191900 - Oceangraphy                             ,,,43,,,,37,41,,,56,,,,44,,,
,,"200100 - Psychology, General                     ","1,310",,873,197,"1,127",,"1,026",210,"1,234",,"1,178",227,"1,457",,"1,314",275,"1,325",
,,200300 - Behavioral Science                      ,,,11,,,,26,,,,25,,,,25,,,
,,210440 - Alcohol and Controlled Substances       ,110,,100,28,113,,163,44,232,,168,71,207,,181,130,202,
,,210500 - Administration of Justice               ,424,,402,67,485,,419,84,531,,580,59,637,,511,65,601,
,,210510 - Corrections                             ,179,,179,42,197,,173,42,199,,189,38,205,,168,42,240,
,,"210540 - Forensics, Evidence, and Investigation  ",,,31,,11,,10,,13,,19,,17,,21,,28,
,,210550 - Police Academy                          ,"1,713",,519,401,811,,,,"2,280",,596,,"1,496",,904,,503,
,,213350 - Fire Academy                            ,55,,20,,,,,,,,,,,,,,,
,,"220100 - Social Sciences, General                ",42,,,,21,,19,,17,,10,,24,,22,,,
,,220110 - Women's Studies                         ,35,,,,42,,,,13,,,,34,,,,28,
,,220200 - Anthropology                            ,352,,337,101,353,,318,94,364,,396,76,469,,342,118,290,
,,220300 - Ethnic Studies                          ,250,,317,194,517,,563,243,812,,944,339,"1,092",,"1,123",477,"1,245",
,,220400 - Economics                               ,226,,229,97,269,,263,100,350,,356,143,394,,394,164,431,
,,220500 - History                                 ,"1,304",,"1,074",348,"1,274",,994,388,"1,251",,"1,252",483,"1,376",,"1,166",639,"1,357",
,,220600 - Geography                               ,,,53,,33,,59,,,,81,,,,45,,,
,,220700 - Political Science                       ,607,,525,207,592,,468,150,607,,550,260,587,,653,338,755,
,,220800 - Sociology                               ,544,,472,171,419,,359,158,442,,408,229,467,,403,288,645,
,,221010 - Area Studies                            ,,,,8,,,7,,,,11,,,,,,,
,,493010 - Career Guidance and Orientation         ,"1,047",,418,329,917,,434,294,"1,013",,565,307,"1,036",,562,318,"1,213",
,,493011 - Interpersonal Skills                    ,,,,,,,5,,,,,,,,4,,,
