,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA City Total,,,"28,456","4,991","26,012","8,102","28,036","4,941","26,929","8,459","29,661","5,602","27,818","9,253","30,834","5,818","30,125","9,918","32,183","5,861"
,Credit - Degree Applicable                         Total,,"27,766","4,957","25,491","8,060","27,549","4,931","26,591","8,459","29,295","5,602","27,534","9,253","30,512","5,818","29,884","9,918","31,883","5,861"
,,011300 - Food Processing and Related Technologies,,,,,,,,,,,6,,4,,1,,4,
,,030100 - Environmental Science                   ,24,,22,,18,,,,15,,,,61,,41,,44,
,,"040100 - Biology, General                        ",330,50,263,39,230,12,217,21,269,15,223,19,268,20,231,28,260,17
,,040300 - MicroBiology                            ,317,143,322,65,245,32,256,115,205,89,256,111,249,92,338,123,308,92
,,041000 - Anatomy and Physiology                  ,589,267,501,144,489,103,475,181,552,102,521,163,667,118,636,182,684,119
,,050200 - Accounting                              ,455,104,441,118,482,102,503,143,593,105,486,168,677,162,594,181,743,145
,,050400 - Banking and Finance                     ,75,42,102,60,70,40,93,50,73,73,133,38,120,39,163,48,89,60
,,050500 - Business Administration                 ,496,84,473,96,480,128,412,194,625,212,607,174,706,147,576,323,634,178
,,050600 - Business Management                     ,180,,263,58,196,16,299,18,217,,311,100,225,,260,108,264,
,,050630 - Management Development and Supervision  ,153,32,70,48,149,72,68,66,148,72,96,65,67,55,94,72,90,65
,,050800 - International Business and Trade        ,22,,84,,86,,82,,75,,65,,71,,81,,72,
,,050900 - Marketing and Distribution              ,160,,181,,197,,216,,264,,171,,198,,216,,264,
,,051100 - Real Estate                             ,255,73,290,99,232,69,323,94,266,60,314,131,269,66,339,117,353,71
,,051400 - Office Technology/Office Computer Applic,134,17,156,,148,19,154,,160,,192,,154,,199,57,288,
,,060200 - Journalism                              ,113,,43,,72,28,57,19,114,,45,,83,,59,,91,31
,,060420 - Television (including combined TV/Film/V,111,,102,,122,,103,,113,,92,20,139,25,142,38,161,16
,,060600 - Public Relations                        ,,31,,,,30,,24,,38,,,,,,,,
,,061200 - Film Studies                            ,46,,72,,62,31,66,,72,25,91,,86,19,95,,69,21
,,061210 - Film History and Criticism              ,437,123,467,122,491,119,412,165,508,119,444,120,478,118,499,144,221,78
,,061220 - Film Production                         ,455,69,606,76,537,53,641,85,576,48,589,55,547,35,575,68,978,74
,,061420 - Electronic Game Design                  ,,,,,,,49,22,123,,50,19,89,,84,,117,
,,061440 - Animation                               ,32,,101,84,56,56,128,56,113,36,159,85,111,38,184,55,130,36
,,061460 - Computer Graphics and Digital Imagery   ,7,,3,,8,,9,,8,,21,,,,16,,,
