,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
LA Harbor Total,,,"15,718","2,234","13,492","3,968","16,145","2,861","14,951","5,350","17,766","3,300","16,153","4,927","18,880","4,533","17,283","7,326","19,702","5,620"
,Credit - Degree Applicable                         Total,,"15,662","2,234","13,442","3,968","16,097","2,861","14,916","5,350","17,766","3,300","16,141","4,927","18,880","4,533","17,262","7,326","19,679","5,620"
,,020100 - Architecture and Architectural Technolog,133,,125,,127,,129,,174,,154,,118,,127,,134,
,,030100 - Environmental Science                   ,46,,23,,50,,40,,93,,45,,109,,32,,107,
,,"040100 - Biology, General                        ",233,127,259,141,255,78,286,125,343,107,306,132,317,149,380,162,414,228
,,040300 - MicroBiology                            ,199,,206,,203,123,221,261,244,223,228,271,239,272,275,406,264,306
,,041000 - Anatomy and Physiology                  ,596,145,553,268,567,230,535,450,760,331,635,366,759,429,701,781,858,611
,,043000 - Biotechnology and Biomedical Technology ,10,,12,,10,,36,,8,,,,,,14,15,12,
,,050200 - Accounting                              ,219,,182,59,188,,172,50,179,,160,55,210,,184,56,155,
,,050400 - Banking and Finance                     ,38,,37,,15,,23,,21,,56,,74,,70,,89,22
,,050500 - Business Administration                 ,336,70,282,104,276,87,221,111,407,62,418,96,455,89,487,155,540,84
,,050600 - Business Management                     ,12,,,,32,,,,24,,,,23,,,,32,
,,050630 - Management Development and Supervision  ,,,27,,12,,,,15,,,,18,,,,16,
,,050640 - Small Business and Entrepreneurship     ,,,13,,,,28,,,,26,,,,20,,25,
,,050800 - International Business and Trade        ,,,,,,,7,,,,13,,,,21,,18,
,,050900 - Marketing and Distribution              ,10,,15,,24,,26,,40,,22,,66,,27,,36,
,,051100 - Real Estate                             ,96,,86,,73,,83,,126,,83,,144,,143,,119,
,,051400 - Office Technology/Office Computer Applic,71,,59,,50,,40,,54,,66,,23,,40,,16,
,,060200 - Journalism                              ,45,,36,,40,,28,,34,,27,,40,,39,,,
,,060600 - Public Relations                        ,10,,,,,,,,,,,,,,,,,
,,061420 - Electronic Game Design                  ,,,,,,,,,,,,,4,,3,,37,
,,061440 - Animation                               ,,,,,,,,,,,3,,10,,6,,,
,,"070100 - Information Technology, General         ",102,,89,39,165,,126,34,92,34,43,15,114,37,59,39,152,45
,,070200 - Computer Information Systems            ,,,,,,,,,,,12,,,,,,,
,,070600 - Computer Science (Transfer)             ,,,114,,63,,118,,102,,117,,126,,250,134,173,43
,,070710 - Computer Programming                    ,145,15,82,25,198,,144,24,209,59,218,22,164,78,117,43,166,39
,,070730 - Computer Systems Analysis               ,7,,,,30,12,7,,10,,,,17,,13,,,
,,070800 - Computer Infrastructure and Support     ,21,,,,16,,6,,,,,,,,,,,
,,070810 - Computer Networking                     ,15,,12,,41,,52,,46,,66,,34,,83,38,32,
,,"080100 - Education, General                      ",,,,,24,,25,,29,,35,,29,,14,,36,
,,083500 - Physical Education                      ,307,,179,24,216,62,243,,272,44,293,20,339,37,306,,394,53
,,083550 - Intercollegiate Athletics               ,249,,225,146,278,30,281,176,310,38,311,166,285,45,243,190,326,65
,,083580 - Adapted Physical Education              ,39,20,26,21,32,25,29,,16,,22,,18,,18,11,27,
,,083700 - Health Education                        ,352,63,184,70,425,64,366,168,525,66,395,352,493,69,304,250,381,74
,,"090100 - Engineering, General (requires Calculus)",33,,16,,25,,,,,,,,,,8,,,
,,"092400 - Engineering Technology, General (require",,,,,,,3,,,,,,,,,,,
,,095300 - Drafting Technology                     ,3,,3,,10,,,,,,,,,,,,,
,,"100100 - Fine Arts, General                      ",221,80,288,87,321,179,258,162,301,145,356,142,372,216,373,182,561,157
,,100200 - Art                                     ,64,,44,,65,,66,,68,,50,,62,,62,,61,
,,100210 - Painting and Drawing                    ,86,,84,,150,,129,32,169,,131,39,219,,125,21,140,
,,100220 - Sculpture                               ,13,,16,,15,,8,,8,,7,,8,,12,,4,
,,100230 - Ceramics                                ,22,,14,,27,,26,,20,,23,,33,,27,,31,
,,100400 - Music                                   ,394,,311,,334,,401,,417,,387,35,439,,500,100,417,47
