,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Los Medanos Total,,,"21,481",,"18,854","4,841","21,520",,"19,090","5,058","23,284",,"20,665","6,525","22,895",,"21,197","6,391","24,730",
,Credit - Degree Applicable                         Total,,"20,497",,"18,067","4,807","20,475",,"18,428","5,011","22,302",,"19,956","6,525","22,752",,"20,981","6,381","24,569",
,,"040100 - Biology, General                        ",700,,654,157,652,,694,143,659,,679,137,691,,719,125,639,
,,040300 - MicroBiology                            ,67,,97,,93,,101,,103,,100,,103,,101,,93,
,,041000 - Anatomy and Physiology                  ,453,,477,47,443,,455,43,473,,493,45,475,,483,41,499,
,,"050100 - Business and Commerce, General          ",233,,284,,252,,231,,302,,225,,318,,292,,380,
,,050200 - Accounting                              ,267,,265,30,289,,267,33,279,,267,31,276,,267,34,304,
,,050600 - Business Management                     ,59,,32,,56,,28,,60,,34,,73,,34,30,73,
,,050630 - Management Development and Supervision  ,70,,64,,52,,35,,63,,59,,66,,47,,64,
,,050640 - Small Business and Entrepreneurship     ,31,,,,,,,,,,,,,,,,,
,,051400 - Office Technology/Office Computer Applic,227,,229,32,206,,190,35,210,,199,29,200,,220,35,239,
,,060200 - Journalism                              ,64,,78,,75,,81,,86,,75,,107,,81,1,122,
,,061400 - Digital Media                           ,,,,,13,,,,12,,,,,,17,,,
,,"070100 - Information Technology, General         ",372,,306,117,409,,364,108,386,,408,88,349,,385,106,302,
,,079900 - Other Information Technology            ,80,,66,,48,,88,,57,,53,,52,,59,,62,
,,"080100 - Education, General                      ",213,,37,,272,,50,,242,,28,,258,,66,,314,
,,083500 - Physical Education                      ,309,,423,134,360,,378,61,441,,483,97,475,,459,152,502,
,,083520 - Fitness Trainer                         ,2,,3,,5,,,,,,,,,,,,,
,,083550 - Intercollegiate Athletics               ,329,,191,114,294,,199,129,278,,135,242,212,,190,150,199,
,,083700 - Health Education                        ,19,,,,30,,37,31,85,,92,102,55,,90,69,66,
,,085000 - Sign Language                           ,252,,223,169,232,,178,187,231,,191,202,286,,211,267,383,
,,"090100 - Engineering, General (requires Calculus)",139,,162,,139,,91,,112,,137,,112,,144,,152,
,,093400 - Electronics and Electric Technology     ,280,,214,1,286,,253,2,327,,369,4,381,,459,6,424,
,,094500 - Industrial Systems Technology and Mainte,155,,85,1,73,,107,2,152,,151,1,169,,72,1,258,
,,094800 - Automotive Technology                   ,227,,146,34,212,,193,53,269,,232,61,292,,276,124,345,
,,094840 - Alternative Fuels and Advanced Transport,23,,26,,,,19,,,,,,26,,,,,
,,095650 - Welding Technology                      ,157,,185,27,220,,244,47,276,,282,49,291,,289,35,315,
,,100200 - Art                                     ,503,,512,115,529,,538,106,489,,494,147,485,,552,108,561,
,,100400 - Music                                   ,396,,327,172,499,,416,192,541,,467,214,468,,399,229,529,
,,100500 - Commercial Music                        ,86,,83,10,71,,35,,87,,92,12,97,,50,,105,
,,100700 - Dramatic Arts                           ,548,,394,323,453,,430,280,425,,375,272,420,,404,226,488,
,,100800 - Dance                                   ,,,8,,13,,16,,13,,16,,18,,16,,25,
