,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Mendocino Total,,,"7,775",,"7,262","2,241","7,767",,"8,083","2,545","9,399",,"9,445","3,491","9,477",,"10,950","4,125","10,460",
,Credit - Degree Applicable                         Total,,"7,720",,"7,192","2,235","7,653",,"7,951","2,525","9,268",,"9,312","3,458","9,341",,"10,839","4,111","10,285",
,,"010100 - Agriculture Technology and Sciences, Gen",8,,25,,36,,30,,35,,44,,34,,33,6,53,
,,010300 - Plant Science                           ,9,,15,,25,,24,,43,,62,,73,,59,,31,
,,"010400 - Viticulture, Enology, and Wine Business ",,,,,,,15,,15,,8,,8,,9,,,
,,010900 - Horticulture                            ,48,,46,,101,,68,,111,,83,23,56,,32,14,65,
,,010910 - Landscape Design and Maintenance        ,,,,,,,25,,9,,,,14,,48,,11,
,,010930 - Nursery Technology                      ,,,12,,,,23,,,,51,,,,16,16,,
,,011500 - Natural Resources                       ,37,,37,,48,,40,,52,,65,,49,,33,,57,
,,011600 - Agricultural Power Equipment Technology ,,,,,,,,,,,,,,,,,7,
,,"040100 - Biology, General                        ",58,,119,65,57,,160,8,90,,152,91,87,,93,106,81,
,,"040200 - Botany, General                         ",,,12,,,,21,,,,15,,,,22,,,
,,040300 - MicroBiology                            ,109,,72,,54,,51,18,41,,25,66,47,,28,68,48,
,,"040700 - Zoology, General                        ",14,,,,16,,,,16,,,,18,,,,23,
,,041000 - Anatomy and Physiology                  ,338,,220,132,234,,240,91,219,,213,183,272,,230,194,260,
,,"050100 - Business and Commerce, General          ",122,,139,33,105,,145,37,142,,150,60,143,,115,45,120,
,,050200 - Accounting                              ,161,,170,51,213,,196,56,248,,247,69,257,,251,63,254,
,,050500 - Business Administration                 ,48,,36,22,33,,34,33,46,,65,47,41,,55,37,51,
,,050600 - Business Management                     ,104,,68,9,87,,48,19,71,,48,22,96,,58,14,97,
,,050640 - Small Business and Entrepreneurship     ,24,,40,12,32,,29,19,31,,61,22,28,,66,22,50,
,,050650 - Retail Store Operations and Management  ,7,,12,,12,,,,17,,24,,16,,16,,6,
,,050900 - Marketing and Distribution              ,19,,24,8,23,,26,20,28,,27,12,32,,28,48,32,
,,051100 - Real Estate                             ,44,,59,28,116,,109,28,116,,143,33,99,,117,14,76,
,,051420 - Medical Office Technology               ,36,,138,45,55,,100,54,66,,130,74,111,,134,57,90,
,,051800 - Customer Service                        ,34,,34,15,26,,62,12,30,,60,32,28,,42,25,36,
,,"060100 - Media and Communications, General       ",19,,13,,11,,27,,17,,,,60,,66,,22,
,,060200 - Journalism                              ,,,10,,,,,,,,,,,,,,,
,,061400 - Digital Media                           ,15,,,,14,,,,13,,,,12,,10,10,,
,,061430 - Website Design and Development          ,9,,,,10,,5,5,13,,,,12,,,,27,
,,061450 - Desktop Publishing                      ,,,12,,,,11,,,,10,,,,19,10,,
,,061460 - Computer Graphics and Digital Imagery   ,73,,63,,80,,111,42,31,,62,17,47,,65,17,81,
,,"070100 - Information Technology, General         ",42,,52,16,58,,69,35,93,,77,19,84,,92,21,66,
,,070200 - Computer Information Systems            ,11,,11,,25,,7,,10,,18,,13,,26,,17,
,,070210 - Software Applications                   ,68,,89,37,59,,54,,84,,96,34,77,,108,56,88,
,,070710 - Computer Programming                    ,20,,45,,37,,33,,38,,59,10,52,,59,,24,
,,070800 - Computer Infrastructure and Support     ,,,,,,,,,13,,10,,8,,23,,11,
,,070810 - Computer Networking                     ,,,9,,,,17,,12,,,10,16,,8,,21,
,,070820 - Computer Support                        ,4,,5,,11,,9,,10,,7,,6,,16,,10,
,,"080100 - Education, General                      ",306,,80,16,21,,32,47,292,,45,26,27,,"1,103",227,785,
,,080200 - Educational Aide (Teacher Assistant)    ,,,4,,,,5,,,,2,,8,,6,,3,
,,083500 - Physical Education                      ,190,,132,65,145,,116,41,164,,106,68,120,,97,73,103,
,,083520 - Fitness Trainer                         ,14,,,,,,,,,,,,,,18,,,
,,083550 - Intercollegiate Athletics               ,68,,65,,63,,47,,99,,41,28,92,,61,,72,
,,083580 - Adapted Physical Education              ,17,,23,8,33,,31,7,31,,38,6,26,,23,5,,
,,085000 - Sign Language                           ,53,,46,30,69,,40,22,67,,65,,69,,50,13,49,
,,093440 - Electrical Systems and Power Transmissio,,,,,,,,,,,,,,,,,12,
,,094600 - Environmental Control Technology        ,,,,,16,,,,,,,,,,,,,
,,094610 - Energy Systems Technology               ,27,,21,,29,,37,,31,,33,27,55,,94,21,81,
,,094800 - Automotive Technology                   ,22,,30,9,52,,77,16,101,,88,,35,,84,26,55,
,,094840 - Alternative Fuels and Advanced Transport,,,,,,,7,,,,,,,,,,,
,,095200 - Construction Crafts Technology          ,,,,,,,9,,11,,13,,12,,7,,9,
,,095210 - Carpentry                               ,,,7,,,,,,,,,,,,8,,4,
,,095250 - Mill and Cabinet Work                   ,13,,13,19,17,,16,22,19,,30,63,23,,23,43,23,
,,095650 - Welding Technology                      ,9,,17,10,19,,25,12,42,,43,17,36,,45,,37,
,,"100100 - Fine Arts, General                      ",69,,66,52,47,,88,49,96,,156,32,53,,214,45,75,
,,100200 - Art                                     ,28,,,,35,,8,,,,,,34,,,,38,
,,100210 - Painting and Drawing                    ,136,,95,24,82,,148,20,142,,129,14,189,,138,7,88,
,,100220 - Sculpture                               ,,,,,,,,10,,,,,,,,,,
,,100230 - Ceramics                                ,57,,71,30,60,,90,14,75,,101,,103,,114,3,107,
,,100400 - Music                                   ,215,,196,50,182,,240,83,216,,295,105,223,,229,137,217,
,,100500 - Commercial Music                        ,36,,26,,20,,22,,44,,56,,64,,62,,56,
,,100600 - Technical Theater                       ,26,,42,7,32,,39,11,45,,46,,21,,29,,26,
,,100700 - Dramatic Arts                           ,93,,113,27,96,,96,27,86,,44,53,186,,110,48,103,
,,100800 - Dance                                   ,16,,44,9,81,,104,29,136,,153,38,138,,106,18,87,
,,101100 - Photography                             ,116,,35,9,,,14,,21,,12,,11,,16,,8,
,,109900 - Other Fine and Applied Arts             ,13,,10,,31,,30,,26,,36,37,18,,22,14,47,
,,110400 - Italian                                 ,,,,,6,,5,,7,,6,22,4,,6,30,5,
,,110500 - Spanish                                 ,161,,186,24,151,,180,30,146,,196,29,100,,156,32,102,
,,122200 - Physical Therapist Assistant            ,184,,238,,206,,219,14,217,,195,19,181,,73,21,234,
,,122800 - Athletic Training and Sports Medicine   ,,,7,,,,,,,,,,,,,,,
,,123010 - Registered Nursing                      ,182,,206,,180,,206,,170,,199,,153,,159,,153,
,,125000 - Emergency Medical Services              ,19,,38,,31,,25,,23,,41,,52,,32,,53,
,,"126000 - Health Professions, Transfer Core Curric",82,,33,22,34,,,36,42,,17,51,46,,,51,61,
,,127000 - Kinesiology                             ,19,,,,20,,,,23,,,13,,,34,,33,
,,130300 - Fashion                                 ,,,,,,,,13,,,,17,,,,13,,
,,130310 - Fashion Design                          ,,,,,10,,15,,13,,17,,17,,23,,18,
,,130500 - Child Development/Early Care and Educati,114,,232,44,207,,214,71,245,,388,175,257,,388,126,288,
,,130520 - Children with Special Needs             ,24,,,,25,,11,,32,,,,33,,,,35,
