,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Merced Total,,,"28,241",,"25,441","8,090","31,240",,"29,680","9,185","34,472",,"32,792","9,592","35,639",,"33,808","10,651",,
,Credit - Degree Applicable                         Total,,"26,818",,"24,549","7,907","30,108",,"28,722","9,070","33,497",,"31,851","9,592","35,253",,"33,343","10,651",,
,,010200 - Animal Science                          ,65,,164,,108,,258,,199,,247,,194,,180,,,
,,010230 - Dairy Science                           ,,,19,,,,,,,,34,,,,,,,
,,010300 - Plant Science                           ,260,,280,,308,,282,,329,,347,134,354,,282,154,,
,,"010400 - Viticulture, Enology, and Wine Business ",,,,,,,,,11,,,,,,,,,
,,010900 - Horticulture                            ,19,,46,,15,,111,,39,,102,,23,,88,,,
,,010910 - Landscape Design and Maintenance        ,7,,9,,,,10,,,,10,,6,,12,,,
,,010930 - Nursery Technology                      ,,,,12,,,,,,,,,,,8,,,
,,"011200 - Agriculture Business, Sales and Service ",249,,246,,201,,243,21,209,,299,,242,,284,,,
,,011600 - Agricultural Power Equipment Technology ,172,,150,,220,,175,,214,,180,,219,,224,,,
,,030100 - Environmental Science                   ,39,,25,58,55,,73,54,123,,91,60,58,,63,98,,
,,"040100 - Biology, General                        ",848,,756,181,897,,791,252,943,,926,317,"1,116",,"1,011",342,,
,,040300 - MicroBiology                            ,170,,147,34,143,,160,36,150,,144,30,144,,133,46,,
,,041000 - Anatomy and Physiology                  ,598,,463,115,439,,482,115,503,,449,134,582,,568,96,,
,,"050100 - Business and Commerce, General          ",480,,526,80,631,,608,128,769,,709,122,774,,596,191,,
,,050200 - Accounting                              ,404,,339,102,429,,431,116,463,,543,132,554,,544,121,,
,,050630 - Management Development and Supervision  ,704,,665,136,501,,822,32,392,,480,75,449,,615,70,,
,,050640 - Small Business and Entrepreneurship     ,26,,,,37,,,,49,,50,,52,,49,,,
,,050800 - International Business and Trade        ,37,,21,,37,,38,,49,,49,,48,,6,,,
,,050900 - Marketing and Distribution              ,39,,48,,54,,45,,64,,61,,42,,49,,,
,,050910 - Advertising                             ,,,14,,,,21,,42,,49,,44,,31,,,
,,051100 - Real Estate                             ,86,,100,,123,,121,,130,,89,,128,,83,,,
,,051400 - Office Technology/Office Computer Applic,245,,181,,271,,258,,294,,285,79,371,,223,57,,
,,051420 - Medical Office Technology               ,74,,68,,27,,29,,37,,37,,74,,64,,,
,,051440 - Office Management                       ,58,,31,,,,,,,,,,,,,,,
,,061400 - Digital Media                           ,,,48,,,,,,,,48,,,,,,,
,,061440 - Animation                               ,12,,,,20,,69,,13,,17,23,16,,39,40,,
,,061460 - Computer Graphics and Digital Imagery   ,89,,70,19,76,,73,22,74,,85,7,71,,66,14,,
,,"070100 - Information Technology, General         ",162,,115,38,160,,194,,239,,238,31,248,,198,21,,
,,070200 - Computer Information Systems            ,21,,45,10,93,,94,12,174,,175,21,143,,136,25,,
,,070210 - Software Applications                   ,164,,146,30,176,,132,59,182,,106,,,,175,54,,
,,070600 - Computer Science (Transfer)             ,,,,,,,7,,,,,,,,,,,
,,070710 - Computer Programming                    ,249,,219,117,284,,277,156,341,,348,132,335,,262,188,,
,,070800 - Computer Infrastructure and Support     ,18,,,,22,,,,52,,,,27,,,,,
,,"080100 - Education, General                      ",77,,110,,65,,94,,90,,86,,85,,113,,,
,,080200 - Educational Aide (Teacher Assistant)    ,7,,12,,14,,19,,19,,12,,21,,16,,,
,,083500 - Physical Education                      ,"1,023",,951,588,979,,"1,041",524,"1,111",,"1,088",467,"1,040",,"1,090",499,,
,,083520 - Fitness Trainer                         ,,,,,,,,,,,,,30,,,,,
,,083550 - Intercollegiate Athletics               ,322,,232,218,297,,205,203,289,,250,169,260,,196,167,,
,,083700 - Health Education                        ,335,,228,94,274,,183,84,332,,246,78,306,,182,63,,
,,085000 - Sign Language                           ,71,,59,,71,,60,,60,,80,,88,,76,,,
