,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
MiraCosta Total,,,"37,985",,"34,905","9,565","36,333",,"36,036","11,005","40,051",,"39,344","11,813","39,509",,"39,594","12,611","41,051",
,Credit - Degree Applicable                         Total,,"37,798",,"34,700","9,565","36,263",,"36,015","11,005","40,022",,"39,323","11,811","39,489",,"39,587","12,610","41,014",
,,010300 - Plant Science                           ,298,,168,,212,,156,,228,,128,,212,,114,,234,
,,"010400 - Viticulture, Enology, and Wine Business ",36,,13,,20,,,,24,,46,,9,,9,,,
,,010900 - Horticulture                            ,169,,75,64,131,,69,50,178,,125,54,167,,127,27,108,
,,010910 - Landscape Design and Maintenance        ,168,,64,,108,,134,,104,,112,,94,,104,,98,
,,010930 - Nursery Technology                      ,36,,,,,,,,,,,,,,,,,
,,019900 - Other Agriculture and Natural Resources ,19,,,,,,,,,,,,,,,,,
,,020100 - Architecture and Architectural Technolog,147,,181,31,137,,165,28,161,,182,28,163,,198,22,161,
,,030100 - Environmental Science                   ,168,,200,,146,,180,,174,,152,,174,,160,,150,
,,"040100 - Biology, General                        ","1,371",,"1,220",261,"1,286",,"1,271",183,"1,261",,"1,265",366,"1,371",,"1,347",396,"1,323",
,,040300 - MicroBiology                            ,336,,264,,310,,218,,236,,243,,248,,258,,264,
,,041000 - Anatomy and Physiology                  ,999,,917,238,780,,775,204,829,,882,251,874,,935,331,978,
,,043000 - Biotechnology and Biomedical Technology ,561,,561,60,549,,546,66,495,,554,67,448,,537,65,494,
,,050200 - Accounting                              ,693,,736,216,689,,735,251,763,,812,270,800,,823,299,847,
,,050210 - Tax Studies                             ,129,,95,,116,,81,,134,,91,,128,,90,,141,
,,050500 - Business Administration                 ,691,,629,216,701,,737,233,813,,873,224,778,,862,227,866,
,,050600 - Business Management                     ,355,,338,68,386,,353,79,422,,404,81,378,,331,81,375,
,,050640 - Small Business and Entrepreneurship     ,218,,256,33,210,,243,57,239,,250,49,199,,169,62,174,
,,050800 - International Business and Trade        ,,,12,,,,24,,,,25,,,,29,,,
,,050900 - Marketing and Distribution              ,121,,61,,130,,64,,142,,67,,139,,59,,104,
,,050940 - Sales and Salesmanship                  ,,,36,,,,32,,,,33,,,,33,,,
,,051420 - Medical Office Technology               ,44,,,,36,,,,28,,,,19,,,,21,
,,061200 - Film Studies                            ,540,,449,148,560,,444,193,670,,455,229,665,,533,303,700,
,,061210 - Film History and Criticism              ,76,,88,36,117,,87,41,91,,94,40,104,,79,37,110,
,,061220 - Film Production                         ,,,,,,,,,,,,,34,,,,34,
,,061400 - Digital Media                           ,58,,122,16,63,,136,19,68,,124,17,72,,169,22,86,
,,061410 - Multimedia                              ,118,,126,,174,,164,,180,,144,,152,,110,,144,
,,061430 - Website Design and Development          ,42,,28,,44,,16,,,,26,,14,,14,,18,
,,061440 - Animation                               ,170,,174,34,158,,134,44,164,,144,42,144,,108,32,132,
,,061450 - Desktop Publishing                      ,32,,44,,48,,76,,,,68,,,,40,,,
,,061460 - Computer Graphics and Digital Imagery   ,394,,364,52,408,,360,36,400,,380,48,328,,310,52,333,
,,069900 - Other Media and Communications          ,,,4,,6,,3,,,,,,,,,,,
,,"070100 - Information Technology, General         ",131,,118,,126,,76,1,105,,114,,169,,216,38,242,
,,070200 - Computer Information Systems            ,158,,181,86,192,,190,78,193,,185,89,199,,192,101,182,
,,070210 - Software Applications                   ,119,,140,19,101,,144,20,91,,90,20,89,,88,22,102,
,,070600 - Computer Science (Transfer)             ,40,,42,,30,,54,,74,,124,,94,,130,,80,
