,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Modesto Total,,,"41,631",,"41,501","18,947","46,428",,"40,660","20,367","48,879",,"45,053","21,560","50,646",,"47,573","5,990",,
,Credit - Degree Applicable                         Total,,"40,612",,"40,372","18,786","45,433",,"39,714","20,171","47,853",,"43,800","21,272","49,520",,"46,492","5,990",,
,,"010100 - Agriculture Technology and Sciences, Gen",499,,342,154,497,,398,164,567,,366,162,522,,394,,,
,,010200 - Animal Science                          ,490,,462,53,569,,503,79,554,,519,77,594,,583,,,
,,010210 - Veterinary Technician (Licensed)        ,430,,295,89,457,,318,115,447,,385,95,456,,380,,,
,,010220 - Artificial Inseminator (Licensed)       ,,,11,,,,19,,,,18,,,,24,,,
,,010230 - Dairy Science                           ,,,11,,,,9,,,,7,,,,14,,,
,,010300 - Plant Science                           ,146,,167,,171,,176,,157,,165,,156,,151,,,
,,010900 - Horticulture                            ,21,,24,,45,,13,,39,,21,,52,,19,,,
,,010920 - Floriculture / Floristry                ,14,,12,,22,,10,,25,,32,,21,,29,,,
,,"011200 - Agriculture Business, Sales and Service ",17,,54,,32,,61,,27,,74,,33,,68,,,
,,011500 - Natural Resources                       ,47,,51,,50,,58,,51,,79,,55,,88,,,
,,011510 - Parks and Outdoor Recreation            ,10,,17,,28,,,,,,,,,,,,,
,,011600 - Agricultural Power Equipment Technology ,139,,173,,201,,194,,292,,257,15,287,,268,,,
,,030100 - Environmental Science                   ,160,,89,29,173,,196,39,172,,194,40,217,,183,,,
,,030200 - Environmental Studies                   ,,,,,14,,,,11,,,,16,,,,,
,,"040100 - Biology, General                        ",832,,850,316,904,,815,393,924,,936,450,"1,070",,985,172,,
,,"040200 - Botany, General                         ",20,,47,17,23,,61,44,37,,50,47,45,,50,,,
,,040300 - MicroBiology                            ,191,,231,47,190,,203,48,216,,152,50,181,,176,,,
,,"040700 - Zoology, General                        ",15,,19,,25,,14,,27,,23,,20,,33,,,
,,041000 - Anatomy and Physiology                  ,722,,660,234,716,,654,281,745,,823,295,758,,810,149,,
,,"050100 - Business and Commerce, General          ",770,,757,401,901,,741,413,882,,856,425,993,,890,129,,
,,050200 - Accounting                              ,694,,743,317,771,,632,348,733,,672,401,670,,652,28,,
,,050400 - Banking and Finance                     ,34,,,,31,,,,30,,,,40,,,,,
,,050600 - Business Management                     ,104,,110,63,119,,104,107,113,,112,62,107,,102,,,
,,050630 - Management Development and Supervision  ,,,,,,,,,28,,,,23,,,,,
,,050640 - Small Business and Entrepreneurship     ,69,,71,47,85,,70,72,75,,51,70,65,,64,39,,
,,050900 - Marketing and Distribution              ,35,,94,45,41,,91,38,36,,76,45,29,,71,43,,
,,051000 - Logistics and Materials Transportation  ,29,,64,,86,,56,1,78,,55,,90,,100,,,
,,051100 - Real Estate                             ,261,,428,191,345,,291,210,264,,289,190,276,,277,41,,
,,051400 - Office Technology/Office Computer Applic,470,,654,319,629,,606,348,584,,548,288,615,,517,116,,
,,060420 - Television (including combined TV/Film/V,,,,,,,,,57,,74,,71,,63,,,
,,061400 - Digital Media                           ,273,,307,47,330,,279,192,607,,660,197,718,,655,77,,
,,061420 - Electronic Game Design                  ,,,,16,51,,24,,38,,25,,,,,,,
,,061450 - Desktop Publishing                      ,26,,28,,32,,15,,27,,23,,,,,,,
,,"070100 - Information Technology, General         ",761,,776,343,765,,677,352,741,,803,407,775,,805,96,,
,,070600 - Computer Science (Transfer)             ,41,,35,,40,,35,,41,,38,,65,,33,,,
,,070710 - Computer Programming                    ,88,,57,,66,,58,,80,,59,,65,,70,,,
,,070800 - Computer Infrastructure and Support     ,,,,,,,,,106,,126,52,135,,121,,,
,,080200 - Educational Aide (Teacher Assistant)    ,34,,,,26,,48,,,,,,,,,,,
,,083500 - Physical Education                      ,363,,556,252,476,,441,302,513,,697,368,432,,745,73,,
,,083510 - Physical Fitness and Body Movement      ,470,,670,470,682,,583,545,588,,545,568,557,,632,60,,
,,083550 - Intercollegiate Athletics               ,567,,381,379,607,,390,396,683,,523,704,734,,585,83,,
,,083580 - Adapted Physical Education              ,10,,13,3,,,37,,6,,2,7,10,,1,,,
,,083610 - Recreation Assistant                    ,,,19,,40,,,,,,,,,,,,,
,,083700 - Health Education                        ,"1,250",,"1,091",748,"1,561",,"1,241",761,"1,648",,"1,084",793,"1,649",,"1,627",286,,
,,085000 - Sign Language                           ,,,,,,,,,,,23,,,,27,,,
,,"090100 - Engineering, General (requires Calculus)",7,,13,,19,,30,,25,,41,,30,,49,,,
,,"092400 - Engineering Technology, General (require",,,,,,,,,,,16,,13,,8,,,
,,093400 - Electronics and Electric Technology     ,284,,295,76,343,,269,54,279,,326,73,349,,290,31,,
,,093410 - Computer Electronics                    ,18,,34,17,39,,40,26,,,,,,,,,,
,,094500 - Industrial Systems Technology and Mainte,,,,,26,,39,30,,,,,,,,,,
,,094800 - Automotive Technology                   ,164,,156,48,225,,216,60,260,,200,99,263,,220,45,,
,,094840 - Alternative Fuels and Advanced Transport,5,,,,,,,,,,9,,27,,3,,,
