,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Moreno Valley Total,,,"16,556","3,980","14,458","4,283","18,706","4,439","18,009","4,807","21,466","5,970","20,360","6,390","24,337","6,434","21,034","7,405","26,740","7,592"
,Credit - Degree Applicable                         Total,,"16,313","3,980","14,276","4,255","18,496","4,425","17,719","4,789","21,093","5,970","20,077","6,390","23,992","6,434","20,774","7,405","26,344","7,592"
,,"040100 - Biology, General                        ",378,85,296,46,375,64,416,72,452,89,489,68,540,93,514,110,594,87
,,040300 - MicroBiology                            ,107,,129,,120,,149,44,147,,159,48,174,,172,54,178,
,,040800 - Natural History                         ,,,,,,,,,,,,,48,,48,,96,
,,041000 - Anatomy and Physiology                  ,239,92,282,96,274,134,323,115,327,137,324,150,357,146,422,143,444,147
,,049900 - Other Biological Sciences               ,,,,,,,,,,,,,,,,35,56,25
,,"050100 - Business and Commerce, General          ",184,74,153,60,246,67,255,70,291,73,176,74,294,75,97,79,371,84
,,050200 - Accounting                              ,230,39,211,36,253,38,284,56,270,36,284,64,307,74,273,77,356,75
,,050210 - Tax Studies                             ,,,,,,,41,,,,,,,,41,,,
,,050400 - Banking and Finance                     ,,,,,,,,,,,,,,,,,,27
,,050500 - Business Administration                 ,57,7,55,20,138,45,226,30,163,52,154,31,204,30,186,58,181,30
,,050600 - Business Management                     ,35,,15,35,80,12,58,40,76,16,84,30,77,38,82,19,92,27
,,050630 - Management Development and Supervision  ,70,17,88,14,58,,62,,43,,59,,52,,47,,45,
,,050640 - Small Business and Entrepreneurship     ,16,,53,17,105,14,105,22,137,,183,52,162,33,111,33,151,20
,,050900 - Marketing and Distribution              ,57,,5,,103,,40,,99,,42,,112,,14,,69,
,,050910 - Advertising                             ,,,,,,,21,,,,12,,,,14,,,
,,051000 - Logistics and Materials Transportation  ,,,,12,,,,,,,,,,,,,,
,,051100 - Real Estate                             ,114,11,81,30,85,15,62,,104,10,83,,89,11,65,,88,12
,,060200 - Journalism                              ,23,,6,,21,,20,,29,,25,,,,13,,28,
,,061210 - Film History and Criticism              ,,,28,,,,26,,,,27,,,,17,,,
,,061400 - Digital Media                           ,74,,67,,72,,81,,117,17,115,,170,,175,29,179,19
,,061420 - Electronic Game Design                  ,33,,14,,27,,,,41,,12,,52,,5,,32,
,,061430 - Website Design and Development          ,,,,,,,17,,,,5,,,,17,,,
,,061440 - Animation                               ,29,,18,,25,,20,,29,,43,,22,,25,,20,
,,070200 - Computer Information Systems            ,352,124,304,76,466,116,392,152,445,191,346,181,434,131,326,167,386,116
,,070210 - Software Applications                   ,,,9,,,,,,,,,,,,,,,
,,070600 - Computer Science (Transfer)             ,18,,49,,41,,93,,63,,70,,84,,70,,76,
,,070710 - Computer Programming                    ,34,51,88,58,60,54,45,38,73,68,109,38,59,84,117,44,111,84
,,070720 - Database Design and Administration      ,,,,23,,,,21,,,,30,,31,,34,,27
,,070730 - Computer Systems Analysis               ,14,,18,,12,,33,,11,,46,,22,,88,,26,
,,070800 - Computer Infrastructure and Support     ,,,23,,,,,,,,22,,17,,21,,31,
,,070810 - Computer Networking                     ,11,,23,6,27,,,,112,,64,45,132,,92,43,157,
,,070820 - Computer Support                        ,,,,,26,,58,,56,,65,,65,,66,,71,
,,070900 - World Wide Web Administration           ,20,,,,15,,,,11,,,,16,,,,,
,,"080100 - Education, General                      ",,,,,,,28,,,,,,29,,,,22,
,,080200 - Educational Aide (Teacher Assistant)    ,6,,5,,5,,4,,,,,,,,,,,
,,083500 - Physical Education                      ,84,9,55,,57,,25,,112,,16,,80,,41,,103,
,,083510 - Physical Fitness and Body Movement      ,65,22,97,21,66,15,98,20,77,21,117,31,84,23,86,23,81,21
,,083520 - Fitness Trainer                         ,,,,,,,,,,,,,,,,,9,
,,083550 - Intercollegiate Athletics               ,8,,,,44,26,28,,40,23,38,,55,36,49,24,77,54
,,083570 - Aquatics and Lifesaving                 ,33,17,24,16,39,23,40,22,43,23,39,24,46,18,48,21,45,22
,,083700 - Health Education                        ,211,81,197,88,235,123,288,92,289,125,272,87,255,124,213,102,178,80
,,085000 - Sign Language                           ,116,76,206,58,176,28,150,62,205,34,230,79,247,54,196,110,257,88
,,085010 - Sign Language Interpreting              ,16,,14,,30,,28,,28,,31,,28,,32,,35,
,,100200 - Art                                     ,344,108,362,78,491,97,376,85,419,118,488,163,501,144,495,176,498,134
,,100210 - Painting and Drawing                    ,87,5,52,10,86,19,91,13,121,16,103,16,107,15,88,19,102,18
,,100400 - Music                                   ,326,81,240,77,373,79,325,75,391,78,390,79,520,107,366,113,542,142
,,100700 - Dramatic Arts                           ,64,40,51,43,94,38,89,40,120,37,91,39,128,81,73,42,113,63
,,100800 - Dance                                   ,41,36,37,,35,35,24,,38,34,38,,41,33,56,,53,41
,,101200 - Applied Photography                     ,3,,7,,17,,12,,17,,13,,29,,19,,15,
,,110500 - Spanish                                 ,176,76,316,92,222,74,238,121,348,90,297,131,298,91,253,138,333,106
,,"120100 - Health Occupations, General             ",189,39,55,53,189,65,69,76,200,79,148,98,225,114,168,80,267,119
,,120800 - Medical Assisting                       ,45,,8,,37,,36,,45,,40,,38,,51,,34,
,,120810 - Clinical Medical Assisting              ,,20,19,,,14,16,,,22,23,,,23,23,,,27
,,120820 - Administrative Medical Assisting        ,23,,,,28,,,,36,,,,28,,,,38,
,,122100 - Pharmacy Technology                     ,,,39,,,,38,,,,34,,,,40,,,
,,122300 - Health Information Technology           ,,,26,,,,,,,,,,,,,,,
,,124010 - Dental Assistant                        ,108,51,74,,135,66,85,,143,69,92,,144,72,96,,142,66
,,124020 - Dental Hygienist                        ,308,52,274,18,316,55,281,18,324,50,252,13,284,49,253,16,308,49
,,125000 - Emergency Medical Services              ,180,38,125,54,159,63,112,75,246,77,160,71,140,58,139,96,186,92
,,125100 - Paramedic                               ,148,58,112,54,117,76,176,93,197,101,189,85,162,72,172,79,214,81
,,127000 - Kinesiology                             ,145,75,119,81,256,74,230,77,278,79,244,74,356,82,237,81,324,79
,,130500 - Child Development/Early Care and Educati,250,61,149,25,195,22,236,65,181,28,229,91,209,39,149,74,212,33
,,130520 - Children with Special Needs             ,45,,15,,,,7,,,,,,,,33,28,,
,,130580 - Child Development Administration and Man,121,36,58,44,118,30,106,41,118,40,106,31,119,,87,37,138,38
,,130590 - Infants and Toddlers                    ,,,8,,,,,,37,,11,,,,,,17,
,,150100 - English                                 ,"1,757",279,"1,060",344,"2,020",336,"1,464",335,"2,160",599,"1,972",406,"2,571",445,"1,829",428,"2,560",818
,,150110 - Linguistics                             ,21,,,,12,,,,22,,,,18,,,,19,
,,150300 - Comparative Literature                  ,33,,29,,28,,17,,23,,25,,57,,52,,78,
,,150600 - Speech Communication                    ,725,373,624,261,925,396,563,343,929,445,669,357,993,442,687,341,998,426
,,150700 - Creative Writing                        ,20,,,,11,,,,15,,,,,,20,,,
,,150900 - Philosophy                              ,125,62,172,,211,28,87,,191,74,153,,193,69,126,,168,75
,,151000 - Religious Studies                       ,117,27,99,34,109,38,106,36,91,39,101,34,100,38,82,36,74,39
,,152000 - Reading                                 ,36,,67,,44,,54,,77,,61,,20,,65,,58,
,,159900 - Other Humanities                        ,,,,,,,,,,,,,,,,,60,
,,"160100 - Library Science, General                ",57,4,45,,49,25,40,13,61,19,58,20,51,21,43,14,46,14
,,"170100 - Mathematics, General                    ","1,314",251,"1,011",347,"1,341",210,"1,345",277,"1,533",380,"1,559",323,"1,779",394,"1,500",382,"1,794",527
,,"190200 - Physics, General                        ",129,,74,,86,,131,,129,,150,,156,,149,,154,
,,"190500 - Chemistry, General                      ",297,69,224,16,290,45,329,38,297,77,297,73,374,89,390,82,486,80
,,191100 - Astronomy                               ,24,,20,,8,,45,,46,,42,,42,,38,39,58,
,,"200100 - Psychology, General                     ","1,023",196,815,180,"1,183",235,"1,030",217,"1,286",279,"1,058",349,"1,395",319,"1,125",385,"1,318",333
