,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Mt. San Jacinto Total,,,"38,630",,"34,969","10,572","43,906",,"41,254","13,246","48,771",,"44,849","13,727","50,153",,"47,925","14,268","50,848",
,Credit - Degree Applicable                         Total,,"38,612",,"34,943","10,567","43,872",,"41,218","13,244","48,723",,"44,812","13,719","50,113",,"47,880","14,256","50,795",
,,"010400 - Viticulture, Enology, and Wine Business ",40,,26,,23,,48,,67,,43,,74,,50,,63,
,,010900 - Horticulture                            ,16,,9,,,,,,,,10,,,,,,,
,,010910 - Landscape Design and Maintenance        ,11,,7,,,,,,,,,,,,,,,
,,010940 - Turfgrass Technology                    ,3,,3,,6,,,,27,,,,,,,,,
,,011400 - Forestry                                ,,,,,6,,,,26,,,,,,,,,
,,030100 - Environmental Science                   ,448,,510,159,547,,522,194,558,,642,207,623,,670,238,630,
,,"040100 - Biology, General                        ","1,252",,"1,188",404,"1,274",,"1,431",613,"1,650",,"1,586",529,"1,790",,"1,830",534,"1,896",
,,"040200 - Botany, General                         ",29,,33,,30,,25,,34,,33,,33,,34,,29,
,,040300 - MicroBiology                            ,250,,281,90,295,,286,87,216,,221,46,222,,226,49,239,
,,041000 - Anatomy and Physiology                  ,987,,975,587,"1,173",,"1,235",639,"1,137",,"1,211",379,"1,221",,"1,344",434,"1,290",
,,"050100 - Business and Commerce, General          ",602,,451,153,793,,603,160,706,,433,145,651,,429,182,777,
,,050200 - Accounting                              ,590,,532,133,681,,642,196,670,,754,255,769,,783,259,809,
,,050210 - Tax Studies                             ,18,,33,,29,,36,,32,,35,,43,,40,,38,
,,050500 - Business Administration                 ,214,,233,,241,,296,,288,,327,,288,,353,,275,
,,050600 - Business Management                     ,78,,108,38,134,,119,43,128,,142,55,174,,180,95,201,
,,050630 - Management Development and Supervision  ,15,,25,,27,,26,,31,,23,,32,,25,,35,
,,050640 - Small Business and Entrepreneurship     ,29,,32,,28,,26,,39,,39,,35,,34,,33,
,,050900 - Marketing and Distribution              ,36,,35,19,63,,33,20,70,,76,20,70,,87,21,75,
,,051000 - Logistics and Materials Transportation  ,,,,,,,,,119,,79,,109,,142,,109,
,,051100 - Real Estate                             ,217,,209,,234,,277,,279,,272,30,264,,370,43,197,
,,051400 - Office Technology/Office Computer Applic,182,,205,68,244,,206,72,344,,240,101,175,,254,53,171,
,,051440 - Office Management                       ,19,,29,,36,,27,,35,,32,,28,,24,,34,
,,"060100 - Media and Communications, General       ",41,,40,,77,,66,,96,,68,,95,,77,,,
,,060200 - Journalism                              ,18,,12,,25,,20,,28,,23,,32,,36,,46,
,,060420 - Television (including combined TV/Film/V,59,,57,,71,,73,,69,,61,,64,,72,,70,
,,060600 - Public Relations                        ,20,,25,,21,,21,,33,,33,,31,,34,,31,
,,061000 - Mass Communications                     ,,,33,,,,32,,,,30,,,,38,,104,
,,061200 - Film Studies                            ,68,,,,80,,35,,79,,37,,31,,41,,35,
,,061210 - Film History and Criticism              ,41,,72,,43,,76,,40,,54,,71,,76,,60,
,,061220 - Film Production                         ,,,,,,,,,,,,,,,,,31,
,,061400 - Digital Media                           ,174,,214,58,203,,239,74,235,,256,56,249,,281,60,287,
,,061420 - Electronic Game Design                  ,,,,,,,,,,,,,14,,,,18,
,,061430 - Website Design and Development          ,27,,36,,33,,33,,,,,,,,,,,
,,061440 - Animation                               ,30,,34,,43,,53,,41,,55,,21,,52,,28,
,,"070100 - Information Technology, General         ",25,,25,,28,,20,19,15,,13,32,25,,17,31,,
,,070200 - Computer Information Systems            ,260,,287,72,303,,253,93,300,,275,69,260,,248,63,266,
,,070600 - Computer Science (Transfer)             ,65,,108,43,109,,102,52,105,,131,65,138,,142,53,186,
,,070710 - Computer Programming                    ,657,,665,192,732,,784,280,875,,713,275,802,,581,271,723,
,,070720 - Database Design and Administration      ,,,,,,,,,,,,,,,33,,22,
,,070730 - Computer Systems Analysis               ,34,,27,,30,,28,,29,,28,,59,,27,13,38,
,,070800 - Computer Infrastructure and Support     ,34,,22,,31,,35,,35,,33,,34,,31,24,29,
,,070810 - Computer Networking                     ,121,,121,,123,,144,,143,,130,,149,,144,,132,
,,070820 - Computer Support                        ,32,,29,,31,,31,,34,,27,,30,,25,,29,
,,070910 - E-Commerce (Technology emphasis)        ,,,14,,,,,,,,22,,,,13,,,
,,"080100 - Education, General                      ",,,,,,,10,,,,,,,,22,,,
,,083500 - Physical Education                      ,89,,104,55,121,,91,76,153,,124,20,170,,140,10,122,
,,083510 - Physical Fitness and Body Movement      ,118,,193,56,150,,136,51,241,,223,80,222,,218,86,242,
,,083550 - Intercollegiate Athletics               ,289,,211,247,332,,268,295,324,,263,312,362,,291,327,360,
,,083700 - Health Education                        ,304,,298,113,413,,429,133,450,,434,121,465,,433,113,450,
,,085000 - Sign Language                           ,300,,246,54,275,,256,89,243,,213,99,272,,200,101,282,
,,085010 - Sign Language Interpreting              ,24,,10,,7,,8,,20,,16,,4,,12,,8,
,,"090100 - Engineering, General (requires Calculus)",4,,10,,9,,7,,,,11,,10,,22,,21,
,,"092400 - Engineering Technology, General (require",28,,23,,7,,9,,17,,14,,22,,25,,29,
,,093400 - Electronics and Electric Technology     ,,,,,,,6,,,,,,,,,,,
,,094800 - Automotive Technology                   ,183,,105,11,176,,177,12,202,,223,14,258,,224,44,257,
,,094840 - Alternative Fuels and Advanced Transport,,,,3,6,,,,,,,,,,18,,,
,,095300 - Drafting Technology                     ,55,,70,,86,,87,,110,,87,,96,,74,,104,
,,095340 - Mechanical Drafting                     ,5,,7,,19,,21,,24,,18,,12,,21,,27,
,,095600 - Manufacturing and Industrial Technology ,,,,,,,4,,,,,,,,,,,
,,095730 - Surveying                               ,40,,3,,45,,8,,11,,,,29,,,,14,
,,095800 - Water and Wastewater Technology         ,266,,207,16,195,,218,36,286,,186,27,329,,242,38,245,
,,099900 - Other Engineering and Related Industrial,23,,8,,33,,19,,41,,19,,42,,33,,39,
,,"100100 - Fine Arts, General                      ","1,148",,"1,083",452,"1,315",,"1,162",671,"1,384",,"1,207",763,"1,400",,"1,357",768,"1,348",
,,100200 - Art                                     ,99,,85,,116,,95,,132,,89,,145,,92,,155,
,,100210 - Painting and Drawing                    ,309,,314,,337,,347,23,345,,385,,377,,392,,344,
,,100220 - Sculpture                               ,15,,17,,24,,17,,29,,47,,28,,52,,28,
,,100230 - Ceramics                                ,58,,41,,74,,59,,86,,77,,85,,77,,80,
,,100400 - Music                                   ,947,,863,217,880,,922,278,"1,008",,991,291,"1,098",,"1,008",312,"1,162",
,,100500 - Commercial Music                        ,170,,187,19,192,,230,24,209,,216,9,207,,266,46,211,
,,100600 - Technical Theater                       ,19,,21,,11,,21,28,10,,9,14,15,,19,10,17,
,,100700 - Dramatic Arts                           ,178,,176,,175,,206,24,200,,174,37,219,,192,33,203,
,,100800 - Dance                                   ,415,,336,70,415,,454,139,607,,555,142,554,,599,155,547,
,,101100 - Photography                             ,12,,37,,35,,24,,,,,,,,,,5,
,,101200 - Applied Photography                     ,92,,75,,117,,122,,140,,116,,126,,133,,104,
,,103000 - Graphic Art and Design                  ,121,,173,27,161,,181,25,148,,191,22,102,,238,26,130,
,,110200 - French                                  ,72,,85,,102,,92,,106,,100,,116,,127,,115,
,,110500 - Spanish                                 ,743,,776,368,798,,860,467,862,,923,543,935,,918,527,967,
,,"120100 - Health Occupations, General             ",252,,222,130,318,,322,165,446,,432,202,603,,598,205,690,
,,120810 - Clinical Medical Assisting              ,,,13,,18,,27,,46,,28,,77,,71,40,73,
,,120820 - Administrative Medical Assisting        ,35,,60,48,46,,66,69,55,,65,65,73,,76,72,69,
,,122310 - Health Information Coding               ,34,,20,,27,,29,31,28,,38,24,33,,34,37,32,
,,122500 - Radiologic Technology                   ,,,,,,,,,,,,,21,,28,14,14,
,,122700 - Diagnostic Medical Sonography           ,52,,58,,53,,63,,85,,90,12,96,,97,12,96,
,,122800 - Athletic Training and Sports Medicine   ,48,,65,30,50,,65,32,41,,43,34,69,,39,39,78,
,,123000 - Nursing                                 ,19,,13,,25,,24,,22,,12,,,,,,,
,,123010 - Registered Nursing                      ,200,,222,,291,,327,,333,,349,,341,,337,,288,
,,123030 - Certified Nurse Assistant               ,55,,50,,52,,54,,67,,72,,34,,83,,111,
,,123080 - Home Health Aide                        ,,,,,,,,,,,4,,,,,,,
,,125000 - Emergency Medical Services              ,43,,27,,27,,35,,56,,80,,72,,87,,81,
,,127000 - Kinesiology                             ,256,,184,95,297,,232,103,362,,318,86,384,,398,121,382,
,,130500 - Child Development/Early Care and Educati,798,,750,68,878,,849,204,"1,007",,868,169,991,,860,179,"1,038",
,,130520 - Children with Special Needs             ,49,,39,,41,,65,,54,,114,,54,,61,,61,
,,130580 - Child Development Administration and Man,23,,,,17,,,,7,,13,,11,,14,,10,
,,130590 - Infants and Toddlers                    ,26,,37,,46,,45,,78,,63,,71,,59,,84,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",526,,454,200,652,,557,271,753,,627,304,724,,631,310,763,
,,130630 - Culinary Arts                           ,64,,72,21,110,,135,74,136,,179,98,174,,243,112,200,
,,130900 - Gerontology                             ,,,,,,,,,,,,,,,,,31,
,,"140100 - Law, General                            ",40,,15,,11,,25,,36,,16,,28,,34,38,30,
,,140200 - Paralegal                               ,144,,114,55,192,,118,91,214,,112,100,243,,114,105,223,
,,150100 - English                                 ,"4,122",,"3,224",782,"4,707",,"4,359","1,264","5,399",,"5,050","1,453","5,576",,"5,261","1,627","5,540",
,,150300 - Comparative Literature                  ,,,,,,,,,1,,,,,,,,,
,,150600 - Speech Communication                    ,"2,054",,"1,844",674,"2,446",,"2,164",831,"2,724",,"2,324",869,"2,863",,"2,515",835,"3,084",
,,150900 - Philosophy                              ,661,,748,216,622,,643,251,754,,759,289,706,,810,293,892,
,,159900 - Other Humanities                        ,39,,11,,10,,22,,39,,14,,35,,22,,41,
,,"160100 - Library Science, General                ",9,,11,,,,,,,,,,,,,,,
,,"170100 - Mathematics, General                    ","4,298",,"3,078","1,177","4,723",,"3,915","1,345","4,848",,"4,277","1,512","5,123",,"4,540","1,496","5,145",
,,170200 - Mathematics Skills                      ,768,,676,,918,,778,,918,,759,,872,,492,,465,
,,179900 - Other Mathematics                       ,,,,,6,,,,12,,,,,,,,,
,,"190100 - Physical Sciences, General              ",,,,,11,,,,,,,,,,,,,
,,"190200 - Physics, General                        ",425,,382,244,475,,519,138,470,,542,137,525,,590,143,590,
,,"190500 - Chemistry, General                      ",720,,743,417,817,,944,392,948,,952,460,967,,"1,045",471,"1,048",
,,191100 - Astronomy                               ,94,,128,32,207,,187,33,181,,154,,173,,175,,172,
,,191400 - Geology                                 ,77,,108,,36,,46,,85,,49,,51,,47,,35,
,,191900 - Oceangraphy                             ,,,29,,,,32,,,,29,,,,30,,,
,,193000 - Earth Science                           ,,,,,,,,,28,,25,,23,,20,,25,
,,"200100 - Psychology, General                     ","2,026",,"1,771",501,"2,322",,"1,992",544,"2,523",,"2,217",546,"2,413",,"2,270",513,"2,480",
,,200300 - Behavioral Science                      ,111,,127,26,119,,140,56,124,,172,61,138,,181,54,191,
,,209900 - Other Psychology                        ,63,,55,,61,,68,,205,,162,,197,,185,,212,
,,210500 - Administration of Justice               ,680,,612,112,690,,725,114,898,,772,119,999,,835,117,961,
,,210510 - Corrections                             ,22,,23,,26,,18,,32,,,,37,,,,39,
,,210520 - Probation and Parole                    ,,,14,,,,10,,,,,,,,,,,
,,210530 - Industrial and Transportation Security  ,,,6,,,,,,,,20,,,,37,,,
,,"210540 - Forensics, Evidence, and Investigation  ",7,,6,,11,,,,23,,,,18,,,,18,
,,213300 - Fire Technology                         ,115,,182,12,162,,168,25,180,,176,33,179,,215,64,179,
,,213310 - Wildland Fire Technology                ,,,,,35,,,,31,,,,35,,,,35,
,,"220100 - Social Sciences, General                ",,,32,,29,,28,,25,,70,,34,,49,,67,
,,220200 - Anthropology                            ,770,,654,210,681,,675,183,703,,691,188,648,,720,180,777,
,,220220 - Archaeology                             ,42,,12,,44,,37,,33,,49,,44,,27,,38,
,,220300 - Ethnic Studies                          ,36,,29,,28,,37,,37,,36,,64,,212,38,233,
,,220400 - Economics                               ,545,,591,147,647,,654,267,738,,703,252,738,,718,251,719,
,,220500 - History                                 ,"2,222",,"1,989",594,"2,506",,"2,293",597,"2,689",,"2,612",615,"2,790",,"2,895",616,"2,291",
,,220600 - Geography                               ,457,,368,118,401,,272,112,390,,279,145,409,,340,127,410,
,,220610 - Geographic Information Systems          ,22,,21,8,39,,66,24,86,,44,13,42,,1,,26,
,,220700 - Political Science                       ,"1,271",,"1,213",513,"1,613",,"1,466",622,"1,784",,"1,684",692,"2,007",,"1,839",622,"2,115",
,,220800 - Sociology                               ,651,,647,135,693,,667,133,793,,754,151,837,,810,158,904,
,,302020 - Piloting                                ,23,,28,9,38,,42,16,27,,29,,8,,46,,,
,,493010 - Career Guidance and Orientation         ,574,,485,185,927,,587,257,968,,572,264,880,,625,224,861,
,,493011 - Interpersonal Skills                    ,23,,27,27,48,,53,24,52,,62,23,46,,53,26,51,
,,493012 - Job Seeking/Changing Skills             ,92,,58,34,117,,81,30,87,,94,25,79,,70,62,85,
,,493072 - Leadership Skills Development           ,47,,87,23,32,,63,33,61,,58,20,48,,48,36,56,
,,493084 - English as a Second Language - Writing  ,14,,,,,,,,,,,,,,,,,
,,493200 - General Work Experience                 ,,,,,1,,,,,,1,,4,,5,,4,
,Credit - Not Degree Applicable                     Total,,18,,26,5,34,,36,2,48,,37,8,40,,45,12,53,
,,493014 - Study Skills                            ,,,,,24,,22,,23,,22,,12,,19,,23,
,,"493032 - Learning Skills, Learning Disabled      ",18,,26,5,10,,14,2,25,,15,8,28,,26,12,30,
