,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Ohlone Total,,,"22,120",,"19,944","9,417","21,140",,"18,313","9,769","23,074",,"18,271","8,991","23,656",,"21,804","9,407","24,433",
,Credit - Degree Applicable                         Total,,"21,268",,"16,015","5,768","20,590",,"17,933","6,891","22,467",,"17,972","6,039","23,114",,"20,964","6,475","23,897",
,,030200 - Environmental Studies                   ,220,,201,100,143,,172,91,192,,209,101,184,,182,103,153,
,,"040100 - Biology, General                        ",604,,329,69,427,,398,73,472,,394,98,523,,417,121,539,
,,040300 - MicroBiology                            ,82,,77,,70,,65,,46,,34,,48,,55,,69,
,,040800 - Natural History                         ,34,,32,,28,,34,23,43,,30,25,52,,31,26,55,
,,041000 - Anatomy and Physiology                  ,216,,157,15,200,,144,18,175,,148,17,181,,181,18,247,
,,043000 - Biotechnology and Biomedical Technology ,131,,59,,108,,57,26,92,,72,31,112,,114,78,63,
,,050200 - Accounting                              ,662,,435,178,725,,452,209,752,,451,210,687,,526,219,713,
,,050630 - Management Development and Supervision  ,18,,47,,18,,100,,90,,163,54,90,,117,,57,
,,050640 - Small Business and Entrepreneurship     ,,,,,34,,17,5,5,,,,,,,,,
,,050900 - Marketing and Distribution              ,297,,159,102,358,,195,108,315,,180,104,331,,220,79,358,
,,051100 - Real Estate                             ,135,,87,,145,,111,,122,,100,,121,,62,,67,
,,051400 - Office Technology/Office Computer Applic,79,,49,26,80,,33,13,49,,36,33,62,,39,26,61,
,,051800 - Customer Service                        ,,,4,,,,,,,,5,,,,28,,,
,,059900 - Other Business and Management           ,25,,17,,26,,,,13,,21,,20,,28,,45,
,,"060100 - Media and Communications, General       ",15,,26,,32,,56,,32,,59,,64,,63,,64,
,,060200 - Journalism                              ,5,,6,,9,,6,,8,,8,,7,,7,,7,
,,060400 - Radio and Television                    ,43,,9,,34,,19,,40,,34,,28,,36,,19,
,,060410 - Radio                                   ,9,,10,,,,11,,,,,,,,,,,
,,060420 - Television (including combined TV/Film/V,30,,68,,53,,74,,68,,75,,62,,74,,57,
,,061220 - Film Production                         ,6,,,,13,,,,9,,,,11,,,,15,
,,061410 - Multimedia                              ,221,,177,32,175,,163,30,243,,221,56,291,,219,43,267,
,,061430 - Website Design and Development          ,40,,8,,30,,,,32,,6,,29,,7,,21,
,,061440 - Animation                               ,75,,65,14,89,,76,18,120,,65,11,124,,96,13,116,
,,061460 - Computer Graphics and Digital Imagery   ,51,,39,,46,,29,,47,,37,,49,,48,,16,
,,"070100 - Information Technology, General         ",265,,209,81,306,,370,120,415,,222,35,379,,385,43,410,
,,070200 - Computer Information Systems            ,23,,20,,23,,27,,28,,17,,20,,25,,29,
,,070210 - Software Applications                   ,59,,45,16,52,,48,15,40,,36,21,72,,46,20,46,
,,070700 - Computer Software Development           ,,,28,27,42,,26,,16,,20,,,,23,,18,
