,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Orange Coast Total,,,"49,146",,"45,126","7,146","49,605",,"48,589","7,230","50,929",,"49,392","8,316","49,857",,"48,852","8,903","49,702",
,Credit - Degree Applicable                         Total,,"47,642",,"44,028","7,084","48,335",,"47,544","7,184","49,641",,"48,312","8,265","48,512",,"47,748","8,655","48,212",
,,010900 - Horticulture                            ,167,,82,,164,,85,17,171,,76,,151,,123,,179,
,,010910 - Landscape Design and Maintenance        ,78,,88,,80,,112,,52,,134,,45,,91,,42,
,,010930 - Nursery Technology                      ,,,21,,,,30,,18,,29,,12,,15,,15,
,,020100 - Architecture and Architectural Technolog,548,,509,54,548,,538,74,607,,620,112,599,,621,160,607,
,,030100 - Environmental Science                   ,158,,196,87,220,,289,117,224,,294,121,213,,298,73,228,
,,030300 - Environmental Technology                ,19,,32,,36,,29,,20,,23,,36,,26,,38,
,,"040100 - Biology, General                        ","1,609",,"1,382",153,"1,516",,"1,593",233,"1,668",,"1,666",332,"1,758",,"1,788",226,"1,765",
,,"040200 - Botany, General                         ",69,,64,,57,,68,,57,,61,,63,,65,,59,
,,040300 - MicroBiology                            ,205,,125,26,178,,121,34,162,,127,,164,,133,62,161,
,,"040700 - Zoology, General                        ",51,,80,,59,,71,,53,,64,,47,,53,,51,
,,041000 - Anatomy and Physiology                  ,569,,455,60,607,,530,53,628,,583,53,734,,739,83,775,
,,049900 - Other Biological Sciences               ,,,7,,7,,,,12,,12,,,,15,,,
,,"050100 - Business and Commerce, General          ",986,,950,176,896,,"1,035",133,979,,"1,104",97,"1,076",,"1,169",88,"1,125",
,,050200 - Accounting                              ,940,,"1,012",183,806,,929,189,830,,960,180,824,,996,218,764,
,,050210 - Tax Studies                             ,34,,27,,29,,16,,36,,26,,43,,25,,41,
,,050600 - Business Management                     ,81,,35,,81,,49,,54,,48,,77,,61,,55,
,,050630 - Management Development and Supervision  ,20,,30,,28,,35,,32,,31,,19,,35,,30,
,,050640 - Small Business and Entrepreneurship     ,95,,88,33,76,,88,,102,,60,,52,,59,,60,
,,050800 - International Business and Trade        ,,,1,,,,18,,21,,11,,,,1,,1,
,,050900 - Marketing and Distribution              ,189,,123,1,158,,152,,134,,141,,164,,99,,62,
,,050910 - Advertising                             ,66,,71,,51,,60,,65,,60,,79,,84,,36,
,,050940 - Sales and Salesmanship                  ,87,,84,,110,,98,,118,,103,,104,,118,,39,
,,050960 - Display                                 ,19,,,,18,,,,20,,,,22,,,,28,
,,050970 - E-Commerce (Business emphasis)          ,,,,,16,,,,23,,,,19,,,,23,
,,051100 - Real Estate                             ,226,,231,89,230,,229,78,235,,233,90,245,,206,76,186,
,,051400 - Office Technology/Office Computer Applic,,,,,21,,11,,14,,10,,15,,,,,
,,"060100 - Media and Communications, General       ",226,,265,27,253,,299,58,184,,311,62,274,,270,52,261,
,,060200 - Journalism                              ,81,,62,,88,,105,,79,,73,,67,,85,15,79,
,,060420 - Television (including combined TV/Film/V,,,,,,,20,,,,18,,19,,,,,
,,060430 - Broadcast Journalism                    ,,,,,18,,,,7,,,,,,,,,
,,060600 - Public Relations                        ,27,,31,,34,,23,,22,,22,,21,,6,,15,
,,061000 - Mass Communications                     ,144,,98,37,107,,113,2,62,,139,25,127,,170,27,122,
,,061200 - Film Studies                            ,,,20,,,,9,,,,22,,,,,,,
,,061210 - Film History and Criticism              ,843,,830,327,878,,937,245,962,,"1,041",361,976,,"1,106",384,"1,003",
,,061220 - Film Production                         ,483,,409,75,484,,472,84,540,,499,73,495,,503,51,490,
,,061400 - Digital Media                           ,291,,279,79,303,,311,77,275,,254,57,275,,251,20,283,
,,061410 - Multimedia                              ,32,,53,16,63,,40,7,50,,51,20,43,,42,28,42,
,,061430 - Website Design and Development          ,28,,23,,24,,22,,26,,25,,18,,21,,20,
,,061440 - Animation                               ,30,,47,,64,,49,20,76,,79,22,48,,74,,58,
,,061460 - Computer Graphics and Digital Imagery   ,268,,234,80,283,,299,92,320,,304,101,262,,259,83,220,
,,069900 - Other Media and Communications          ,,,18,,,,20,,,,17,,,,20,,,
,,"070100 - Information Technology, General         ",369,,379,84,260,,277,92,228,,280,95,197,,204,31,231,
,,070200 - Computer Information Systems            ,67,,75,,77,,60,,26,,42,,43,,25,,53,
,,070210 - Software Applications                   ,68,,54,30,85,,60,22,74,,55,,61,,41,,57,
,,070600 - Computer Science (Transfer)             ,145,,142,,233,,311,,226,,322,35,185,,222,32,621,
,,070700 - Computer Software Development           ,,,37,,38,,29,,31,,,,36,,,,,
,,070710 - Computer Programming                    ,735,,708,154,691,,668,172,707,,722,178,719,,565,71,104,
,,070800 - Computer Infrastructure and Support     ,14,,19,,15,,4,,7,,19,,,,15,,,
,,070820 - Computer Support                        ,15,,30,,17,,11,,20,,11,,21,,,,,
,,070900 - World Wide Web Administration           ,101,,111,,110,,99,,39,,74,,42,,,,,
,,"080100 - Education, General                      ",146,,182,49,167,,149,62,157,,143,54,172,,144,56,162,
,,083500 - Physical Education                      ,431,,479,18,604,,605,,604,,545,206,595,,633,170,514,
,,083520 - Fitness Trainer                         ,315,,218,38,300,,268,10,400,,356,30,480,,397,59,542,
,,083550 - Intercollegiate Athletics               ,740,,849,385,811,,946,427,762,,922,334,685,,901,369,798,
,,083560 - Coaching                                ,24,,19,,13,,14,,13,,20,,18,,22,,7,
,,083580 - Adapted Physical Education              ,57,,76,19,95,,107,24,94,,113,32,111,,116,45,129,
,,083700 - Health Education                        ,202,,133,85,153,,114,42,169,,127,29,127,,89,20,296,
,,"090100 - Engineering, General (requires Calculus)",212,,200,,161,,213,42,198,,274,46,251,,391,17,318,
,,"092400 - Engineering Technology, General (require",11,,,9,,,,,24,,,,9,,,,,
,,093400 - Electronics and Electric Technology     ,27,,27,,34,,59,,60,,56,14,63,,71,13,80,
,,093410 - Computer Electronics                    ,,,,,,,,,,,7,,,,3,,,
,,093420 - Industrial Electronics                  ,,,,,,,,,,,,,,,2,,1,
,,093430 - Telecommunications Technology           ,,,,,,,,,,,,8,,,,9,,
,,093500 - Electro-Mechanical Technology           ,,,,,,,,,9,,,,13,,,,22,
,,094600 - Environmental Control Technology        ,231,,222,,229,,259,,306,,294,28,347,,387,82,444,
,,094610 - Energy Systems Technology               ,32,,26,,27,,19,,39,,27,,50,,31,,42,
,,095000 - Aeronautical and Aviation Technology    ,130,,65,22,150,,120,63,254,,60,,347,,187,46,176,
,,095010 - Aviation Airframe Mechanics             ,,,28,28,,,62,20,9,,65,48,,,45,52,,
,,095020 - Aviation Powerplant Mechanics           ,100,,98,20,67,,63,,97,,103,21,82,,164,24,108,
,,095040 - Aircraft Electronics (Avionics)         ,21,,62,,25,,61,,35,,96,20,11,,82,49,33,
,,095050 - Aircraft Fabrication                    ,21,,25,,19,,22,,,,41,,38,,43,,25,
,,095200 - Construction Crafts Technology          ,101,,83,8,152,,121,35,136,,135,37,140,,141,38,101,
,,095210 - Carpentry                               ,17,,19,,20,,18,,18,,18,,19,,21,,19,
,,095220 - Electrical                              ,19,,29,12,23,,23,9,21,,36,10,23,,37,18,23,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",20,,13,,28,,19,,24,,23,,27,,21,,29,
,,095250 - Mill and Cabinet Work                   ,24,,20,,16,,32,,32,,33,,24,,30,,33,
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",17,,21,,9,,18,,24,,22,,21,,21,,13,
,,095280 - Drywall and Insulation                  ,,,11,13,,,17,10,,,16,17,,,16,14,,
,,095420 - Plastics and Composites                 ,,,,,1,,,,,,,,1,,,,4,
,,095600 - Manufacturing and Industrial Technology ,17,,16,,15,,14,,10,,,,24,,15,,,
,,095630 - Machining and Machine Tools             ,189,,167,36,157,,176,35,210,,183,41,223,,231,31,217,
,,095650 - Welding Technology                      ,234,,282,80,298,,373,117,400,,451,112,403,,389,165,343,
,,095700 - Civil and Construction Management Techno,14,,74,,15,,33,,27,,41,,38,,41,,41,
,,095720 - Construction Inspection                 ,69,,40,,70,,75,,66,,73,,67,,78,,70,
,,095900 - Marine Technology                       ,103,,109,17,147,,123,7,145,,131,12,139,,113,12,146,
,,"100100 - Fine Arts, General                      ",520,,513,108,455,,636,110,523,,594,112,443,,513,100,437,
,,100200 - Art                                     ,302,,293,15,449,,291,22,358,,303,27,380,,257,,358,
