,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Palo Verde Total,,,"7,789",,"7,905","2,152","8,370",,"7,293","2,053","7,695",,"8,737","1,612","10,326",,"9,237","2,915","10,296",
,Credit - Degree Applicable                         Total,,"7,773",,"7,893","2,152","8,342",,"7,279","2,053","7,688",,"8,662","1,612","10,228",,"9,138","2,899","10,250",
,,030300 - Environmental Technology                ,52,,"1,818",666,193,,273,218,440,,"1,883",161,"1,592",,"2,282",508,"1,812",
,,"040100 - Biology, General                        ",251,,217,72,262,,258,64,219,,241,56,261,,312,80,214,
,,040300 - MicroBiology                            ,,,17,,,,26,,11,,17,,15,,16,,21,
,,041000 - Anatomy and Physiology                  ,19,,,,45,,,,28,,6,,41,,,,48,
,,050200 - Accounting                              ,98,,78,,73,,70,,80,,66,,79,,76,,137,
,,050210 - Tax Studies                             ,,,,,,,,,17,,,,28,,,,40,
,,050400 - Banking and Finance                     ,,,11,,21,,20,,51,,,,71,,,,27,
,,050500 - Business Administration                 ,41,,33,20,31,,60,23,29,,45,21,45,,50,24,91,
,,050600 - Business Management                     ,455,,497,38,493,,543,80,437,,455,47,402,,456,41,511,
,,050640 - Small Business and Entrepreneurship     ,,,,,,,17,,21,,24,,21,,,,,
,,050900 - Marketing and Distribution              ,41,,31,,,,42,,76,,26,,,,51,,,
,,060700 - Technical Communication                 ,11,,8,,17,,11,,11,,16,,11,,13,,,
,,061430 - Website Design and Development          ,20,,17,,13,,8,8,15,,13,13,20,,16,16,18,
,,061440 - Animation                               ,38,,32,,25,,20,20,34,,29,29,31,,20,22,28,
,,061450 - Desktop Publishing                      ,,,17,,,,9,9,,,11,11,,,15,15,,
,,061460 - Computer Graphics and Digital Imagery   ,21,,,,10,,,,14,,,,19,,,,13,
,,069900 - Other Media and Communications          ,36,,42,,36,,41,41,24,,18,18,24,,27,27,34,
,,"070100 - Information Technology, General         ",,,,24,,,,11,,,,20,,,1,20,,
,,070210 - Software Applications                   ,,,,,1,,19,,,,12,,,,19,,,
,,070730 - Computer Systems Analysis               ,,,,,1,,1,7,,,,1,1,,,1,,
,,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,13,,,,,,,
,,083500 - Physical Education                      ,61,,58,,60,,97,,106,,92,,91,,116,,92,
,,083550 - Intercollegiate Athletics               ,40,,33,,,,40,,55,,46,,47,,36,,43,
,,083700 - Health Education                        ,204,,153,76,161,,229,74,178,,134,28,184,,116,17,115,
,,085000 - Sign Language                           ,404,,428,170,456,,429,109,399,,317,59,305,,270,25,,
,,094800 - Automotive Technology                   ,106,,95,,169,,138,128,137,,108,109,100,,77,77,99,
,,095210 - Carpentry                               ,25,,27,,61,,25,25,23,,55,55,48,,46,32,43,
,,095220 - Electrical                              ,13,,,11,20,,,7,19,,,,17,,,,19,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,14,11,,,10,19,,,10,10,,,14,14,,
,,095250 - Mill and Cabinet Work                   ,32,,31,,13,,38,38,39,,8,8,32,,14,14,30,
,,"095260 - Masonry, Tile, Cement, Lath and Plaster ",,,,,,,,,,,,,,,15,15,,
,,095650 - Welding Technology                      ,125,,116,,136,,123,128,106,,98,118,131,,126,138,122,
,,"100100 - Fine Arts, General                      ",186,,211,49,237,,194,75,209,,186,22,232,,183,55,224,
,,100210 - Painting and Drawing                    ,59,,22,,61,,46,,57,,66,,55,,44,,51,
,,100400 - Music                                   ,106,,44,56,78,,87,13,93,,101,,,,,,,
,,100700 - Dramatic Arts                           ,15,,18,,19,,29,,38,,33,,,,,,,
,,110500 - Spanish                                 ,237,,204,,168,,173,40,160,,162,42,169,,168,40,146,
,,"120100 - Health Occupations, General             ",68,,80,58,67,,50,27,26,,62,,66,,44,26,29,
,,120510 - Phlebotomy                              ,17,,13,,20,,10,,13,,26,,20,,18,,5,
,,123000 - Nursing                                 ,,,12,,,,,,14,,,,10,,,,,
,,123010 - Registered Nursing                      ,,,,,,,22,,29,,152,,105,,160,,99,
,,123020 - Licensed Vocational Nursing             ,23,,56,,39,,34,,62,,35,13,55,,23,7,59,
,,123030 - Certified Nurse Assistant               ,42,,14,,30,,22,,19,,,22,30,,,26,28,
,,130500 - Child Development/Early Care and Educati,83,,39,,147,,70,20,147,,54,62,120,,79,68,117,
,,130520 - Children with Special Needs             ,,,36,,,,,,,,,,23,,18,,,
,,130580 - Child Development Administration and Man,7,,,1,9,,9,,8,,2,,24,,12,2,9,
,,130590 - Infants and Toddlers                    ,7,,11,,,,25,,,,45,,,,27,,,
,,150100 - English                                 ,303,,261,57,314,,362,38,341,,326,39,492,,427,33,468,
,,150600 - Speech Communication                    ,131,,133,50,163,,211,66,201,,194,,144,,153,50,257,
,,150700 - Creative Writing                        ,21,,,,23,,,,21,,,,20,,,,15,
,,150900 - Philosophy                              ,59,,30,25,66,,46,24,60,,44,,60,,39,,38,
,,"170100 - Mathematics, General                    ",298,,270,,334,,341,36,317,,304,46,328,,275,86,253,
,,"190200 - Physics, General                        ",13,,7,,18,,30,,38,,16,,40,,1,,3,
,,"190500 - Chemistry, General                      ",22,,14,,24,,21,,41,,29,,23,,31,,32,
,,191100 - Astronomy                               ,91,,58,,65,,81,,99,,82,,105,,67,,49,
,,191400 - Geology                                 ,54,,43,,40,,66,,66,,70,,83,,24,,93,
,,"200100 - Psychology, General                     ",432,,491,82,533,,629,189,614,,655,48,469,,572,27,527,
,,210440 - Alcohol and Controlled Substances       ,581,,472,103,681,,563,160,643,,483,144,706,,583,108,588,
,,210500 - Administration of Justice               ,65,,61,,67,,61,,82,,34,,40,,41,,42,
,,"210540 - Forensics, Evidence, and Investigation  ",,,,,,,12,,,,18,,,,,,,
,,213300 - Fire Technology                         ,"1,455",,149,53,"1,517",,49,123,119,,198,64,"1,684",,561,987,"2,032",
,,"220100 - Social Sciences, General                ",,,4,,,,9,,,,7,,,,14,,,
,,220200 - Anthropology                            ,129,,160,51,159,,153,,213,,190,26,225,,184,,122,
,,220300 - Ethnic Studies                          ,,,,,31,,60,29,39,,104,51,82,,107,109,219,
,,220400 - Economics                               ,90,,98,,116,,108,,148,,167,53,137,,172,31,155,
,,220500 - History                                 ,340,,286,33,359,,360,40,384,,340,58,346,,389,56,386,
,,220600 - Geography                               ,113,,112,49,,,140,,77,,111,31,169,,97,,151,
,,220700 - Political Science                       ,106,,130,,92,,92,26,117,,67,,69,,68,,50,
,,220800 - Sociology                               ,225,,230,110,242,,210,72,248,,254,68,231,,135,74,232,
,,493013 - Academic Guidance                       ,302,,351,287,326,,357,66,376,,302,59,250,,238,28,214,
,Credit - Not Degree Applicable                     Total,,16,,12,,28,,14,,7,,75,,98,,99,16,46,
,,125000 - Emergency Medical Services              ,,,,,5,,9,,,,61,,72,,78,,16,
,,150100 - English                                 ,13,,10,,,,,,,,,,,,,,,
,,210500 - Administration of Justice               ,,,,,16,,,,,,11,,19,,16,16,21,
,,493087 - English as a Second Language - Integrate,3,,2,,7,,5,,7,,3,,7,,5,,9,
