,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Pasadena Total,,,"58,080",,"48,911","20,666","60,475",,"53,772","22,650","66,128","16,744","60,779","20,058","68,507","18,342","62,306","20,901","71,982","19,785"
,Credit - Degree Applicable                         Total,,"57,114",,"48,398","20,519","59,368",,"52,947","22,450","64,893","16,686","59,835","19,732","67,235","18,179","61,267","20,543","70,916","19,643"
,,010300 - Plant Science                           ,28,,11,,17,,14,,28,,15,,41,,34,22,105,20
,,020100 - Architecture and Architectural Technolog,398,,355,135,393,,369,172,489,98,458,121,452,76,432,111,444,129
,,030100 - Environmental Science                   ,8,,,,11,,,,22,,,,,,,,,
,,030200 - Environmental Studies                   ,273,,281,119,263,,217,80,244,55,189,56,252,54,250,52,251,28
,,"040100 - Biology, General                        ","1,087",,915,357,936,,933,302,999,212,"1,076",289,"1,144",242,"1,148",306,"1,220",238
,,"040200 - Botany, General                         ",69,,65,9,69,,59,,53,,82,,53,,80,,52,
,,040300 - MicroBiology                            ,260,,191,106,242,,235,104,243,46,239,68,238,50,258,72,282,76
,,041000 - Anatomy and Physiology                  ,956,,664,473,880,,918,497,965,243,940,310,"1,046",236,"1,077",360,"1,023",291
,,043000 - Biotechnology and Biomedical Technology ,38,,17,27,52,,17,14,29,15,31,5,45,17,15,6,33,16
,,"050100 - Business and Commerce, General          ",987,,776,503,"1,006",,850,605,"1,052",469,"1,105",656,"1,161",518,"1,040",581,"1,152",460
,,050200 - Accounting                              ,735,,752,315,938,,986,392,967,343,"1,168",344,"1,017",372,"1,092",260,"1,021",395
,,050210 - Tax Studies                             ,,,,,,,,,,,,,,,,,48,
,,050500 - Business Administration                 ,130,,128,101,133,,157,118,124,64,111,35,173,73,206,23,148,62
,,050600 - Business Management                     ,141,,202,45,199,,160,49,181,92,179,135,184,70,157,117,190,68
,,050640 - Small Business and Entrepreneurship     ,54,,65,28,85,,59,37,63,77,92,,73,100,71,,78,125
,,050650 - Retail Store Operations and Management  ,14,,29,,16,,32,,25,,29,,30,,36,,28,
,,050800 - International Business and Trade        ,16,,62,26,34,,41,38,38,,61,,51,,70,,76,
,,050900 - Marketing and Distribution              ,175,,72,53,113,,110,53,152,53,146,68,208,37,171,83,187,31
,,051400 - Office Technology/Office Computer Applic,627,,667,198,543,,541,221,490,134,392,165,412,154,425,201,417,139
,,051800 - Customer Service                        ,25,,38,,27,,34,,39,,48,,28,,43,,34,
,,059900 - Other Business and Management           ,,,,,23,,70,,36,,35,,,,45,,32,
,,"060100 - Media and Communications, General       ",138,,283,84,193,,142,70,276,35,204,47,219,116,255,101,245,119
,,060200 - Journalism                              ,51,,39,18,80,,74,12,75,16,68,13,85,20,69,9,76,27
,,060400 - Radio and Television                    ,140,,97,12,158,,115,13,63,16,145,12,79,13,73,11,71,13
,,060410 - Radio                                   ,5,,,1,,,14,,2,,3,,9,,,,8,
,,060420 - Television (including combined TV/Film/V,181,,161,91,242,,232,43,192,53,224,50,269,28,262,68,312,28
,,060430 - Broadcast Journalism                    ,,,12,,,,,,,,,,,,,1,,
,,061000 - Mass Communications                     ,,,15,,,,,,,,18,,,,16,,,
,,061200 - Film Studies                            ,,,,,,,,91,286,74,291,86,210,178,221,110,187,117
,,061220 - Film Production                         ,92,,72,6,74,,99,34,121,20,142,31,100,,108,22,106,13
,,061400 - Digital Media                           ,67,,92,24,65,,49,,85,,45,,66,,117,,99,
,,061410 - Multimedia                              ,82,,59,20,68,,77,46,87,12,90,22,63,10,73,30,59,12
,,061420 - Electronic Game Design                  ,69,,51,,73,,92,38,108,17,91,17,127,16,111,21,116,19
,,061430 - Website Design and Development          ,20,,12,,17,,21,,23,,20,,25,,23,,22,
,,061440 - Animation                               ,67,,47,,45,,63,,40,15,64,,66,,64,,71,20
,,061460 - Computer Graphics and Digital Imagery   ,130,,122,107,112,,133,112,157,54,170,69,166,85,145,82,138,76
,,"070100 - Information Technology, General         ",231,,234,148,215,,201,163,227,95,243,81,149,81,214,70,182,82
