,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Porterville Total,,,"10,051",,"8,386","2,003","11,026",,"10,237","2,665","12,465",,"11,499","2,498","12,160",,"11,227","3,145","13,418",
,Credit - Degree Applicable                         Total,,"9,743",,"8,143","2,003","10,687",,"10,006","2,645","12,207",,"11,249","2,498","11,848",,"10,975","3,126","13,013",
,,"010100 - Agriculture Technology and Sciences, Gen",18,,,,13,,,,35,,11,,17,,24,28,28,
,,010300 - Plant Science                           ,140,,135,31,132,,147,,44,,94,,111,,142,21,179,
,,"011200 - Agriculture Business, Sales and Service ",71,,41,,54,,36,,74,,35,,49,,45,34,64,
,,030100 - Environmental Science                   ,,,,,23,,21,,10,,,,,,,,,
,,"040100 - Biology, General                        ",104,,114,20,100,,129,26,101,,101,,108,,87,,110,
,,040300 - MicroBiology                            ,30,,39,,43,,46,,38,,44,,42,,29,,45,
,,041000 - Anatomy and Physiology                  ,202,,186,22,206,,190,25,243,,252,29,212,,210,30,179,
,,050200 - Accounting                              ,68,,63,,95,,76,,96,,148,,133,,145,,158,
,,050500 - Business Administration                 ,149,,141,9,185,,163,15,244,,181,18,162,,199,31,180,
,,050600 - Business Management                     ,120,,49,35,126,,77,34,188,,114,35,156,,50,34,189,
,,050630 - Management Development and Supervision  ,10,,11,,11,,5,,,,,,,,,,,
,,050640 - Small Business and Entrepreneurship     ,55,,22,31,52,,32,48,50,,19,30,15,,30,,34,
,,050900 - Marketing and Distribution              ,36,,32,,32,,71,,35,,56,,31,,27,11,,
,,051400 - Office Technology/Office Computer Applic,82,,21,,,,,,,,,,,,,,,
,,"060100 - Media and Communications, General       ",,,,,,,,,,,19,,,,19,,,
,,061200 - Film Studies                            ,,,,,,,,,,,,,,,,,11,
,,061220 - Film Production                         ,,,,,6,,12,,17,,23,,14,,26,,28,
,,061400 - Digital Media                           ,,,,,,,,,,,,,,,,,11,
,,061440 - Animation                               ,,,,,,,,,,,,,,,,,19,
,,061460 - Computer Graphics and Digital Imagery   ,15,,16,,28,,11,,41,,14,,38,,13,,25,
,,"070100 - Information Technology, General         ",162,,104,24,149,,175,91,174,,128,36,80,,71,24,98,
,,070210 - Software Applications                   ,,,23,,,,26,,56,,32,,31,,25,,30,
,,070710 - Computer Programming                    ,,,19,,,,38,,,,35,,,,22,,,
,,070730 - Computer Systems Analysis               ,18,,31,,21,,19,,24,,61,,24,,33,,16,
,,070800 - Computer Infrastructure and Support     ,,,23,,,,24,,,,29,,,,12,,,
,,070810 - Computer Networking                     ,36,,,,27,,,,33,,,,27,,,,28,
,,070900 - World Wide Web Administration           ,19,,,18,10,,10,37,,,9,,19,,8,,29,
,,"080100 - Education, General                      ",77,,67,,76,,60,,156,,139,,100,,84,,101,
,,083500 - Physical Education                      ,26,,11,,30,,25,,16,,24,,12,,43,,15,
