,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Reedley College Total,,,"15,031",,"14,598","5,264","15,744",,"18,269","6,026","18,262",,"19,813","8,931","20,111",,"20,839","7,504","21,906",
,Credit - Degree Applicable                         Total,,"14,652",,"14,311","5,235","15,353",,"17,944","5,995","17,774",,"19,387","8,897","19,499",,"20,402","7,457","21,467",
,,"010100 - Agriculture Technology and Sciences, Gen",63,,105,42,77,,235,24,86,,104,62,92,,144,35,95,
,,010200 - Animal Science                          ,294,,297,90,171,,390,32,237,,425,65,235,,442,41,197,
,,010240 - Equine Science                          ,76,,57,,95,,74,,80,,46,,92,,75,,92,
,,010300 - Plant Science                           ,277,,320,155,222,,444,145,223,,218,159,217,,216,83,276,
,,"010400 - Viticulture, Enology, and Wine Business ",9,,,,,,4,,7,,6,,,,6,,5,
,,010900 - Horticulture                            ,46,,43,19,34,,170,,67,,133,,122,,191,,142,
,,010920 - Floriculture / Floristry                ,,,227,,,,368,,,,375,17,,,558,,,
,,"011200 - Agriculture Business, Sales and Service ",204,,210,51,221,,240,51,225,,230,108,168,,220,19,232,
,,011400 - Forestry                                ,323,,482,31,351,,458,7,301,,592,92,386,,520,,315,
,,011500 - Natural Resources                       ,174,,65,21,122,,51,,137,,60,,144,,42,,175,
,,011600 - Agricultural Power Equipment Technology ,338,,439,139,186,,761,19,354,,612,174,401,,755,33,444,
,,030100 - Environmental Science                   ,25,,9,,12,,,,20,,,,25,,10,,28,
,,"040100 - Biology, General                        ",243,,142,24,210,,187,41,242,,197,80,300,,319,85,345,
,,040300 - MicroBiology                            ,62,,54,,60,,38,,49,,48,,69,,62,,76,
,,040800 - Natural History                         ,297,,259,46,274,,374,111,337,,370,112,400,,350,97,432,
,,041000 - Anatomy and Physiology                  ,274,,167,23,174,,160,28,196,,228,30,264,,279,31,320,
,,"050100 - Business and Commerce, General          ",79,,61,23,94,,86,55,108,,126,52,110,,141,95,118,
,,050200 - Accounting                              ,110,,122,61,132,,150,62,158,,154,70,169,,155,67,165,
,,050210 - Tax Studies                             ,,,,,14,,,,,,,,,,,,,
,,050600 - Business Management                     ,432,,323,144,484,,465,290,546,,472,354,496,,384,429,548,
,,050640 - Small Business and Entrepreneurship     ,8,,16,,7,,8,,13,,16,,16,,20,,20,
,,050900 - Marketing and Distribution              ,44,,36,5,71,,53,12,94,,50,28,86,,30,53,92,
,,050970 - E-Commerce (Business emphasis)          ,9,,,,17,,,,5,,,,14,,,,18,
,,051400 - Office Technology/Office Computer Applic,225,,292,36,250,,260,43,261,,233,70,270,,243,67,233,
,,051420 - Medical Office Technology               ,57,,68,27,62,,42,28,83,,65,55,96,,78,53,91,
,,061000 - Mass Communications                     ,14,,25,,26,,20,,25,,35,,,,,,,
,,061200 - Film Studies                            ,99,,123,,135,,80,,133,,78,,115,,89,,175,
,,061210 - Film History and Criticism              ,15,,23,,15,,36,,31,,18,,26,,14,,33,
,,"070100 - Information Technology, General         ",275,,266,117,370,,530,101,436,,401,220,415,,412,112,366,
,,070700 - Computer Software Development           ,35,,55,,45,,49,,57,,65,,92,,87,,89,
,,070800 - Computer Infrastructure and Support     ,16,,,,17,,,,26,,,,22,,5,,22,
,,070810 - Computer Networking                     ,12,,17,,11,,16,,13,,17,,17,,20,,10,
,,079900 - Other Information Technology            ,,,,,,,,,,,,,,,,,23,
,,"080100 - Education, General                      ",61,,114,31,42,,154,,96,,162,28,89,,143,,81,
,,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,,,9,,12,,6,
,,083500 - Physical Education                      ,504,,366,427,389,,394,594,420,,446,582,542,,463,488,444,
,,083550 - Intercollegiate Athletics               ,398,,271,69,295,,256,86,350,,272,93,380,,293,103,330,
,,083700 - Health Education                        ,352,,182,129,373,,341,90,349,,216,211,284,,173,94,253,
,,085000 - Sign Language                           ,141,,127,51,196,,201,65,193,,185,70,223,,187,60,221,
,,"090100 - Engineering, General (requires Calculus)",59,,52,,59,,67,,103,,91,,107,,100,,172,
,,093400 - Electronics and Electric Technology     ,,,,,,,,,8,,,,11,,,,18,
,,094800 - Automotive Technology                   ,91,,173,25,96,,175,26,101,,306,29,114,,310,32,102,
,,094840 - Alternative Fuels and Advanced Transport,,,,6,,,,8,,,,7,,,,6,,
,,095000 - Aeronautical and Aviation Technology    ,52,,17,,75,,34,,73,,56,,93,,42,,92,
,,095010 - Aviation Airframe Mechanics             ,21,,37,,25,,44,,31,,27,,41,,44,,43,
,,095020 - Aviation Powerplant Mechanics           ,,,9,,34,,30,,26,,36,,18,,35,,47,
,,095600 - Manufacturing and Industrial Technology ,61,,78,23,64,,53,17,56,,42,24,53,,62,23,128,
,,095630 - Machining and Machine Tools             ,,,21,,9,,29,,8,,27,,,,15,,43,
,,095650 - Welding Technology                      ,4,,47,14,4,,46,14,7,,35,8,,,40,,42,
,,095730 - Surveying                               ,,,,,,,,,10,,27,,51,,30,17,80,
,,"100100 - Fine Arts, General                      ",322,,240,343,292,,223,298,314,,313,417,430,,330,346,438,
,,100200 - Art                                     ,22,,17,,18,,22,,20,,1,,29,,30,5,20,
,,100210 - Painting and Drawing                    ,87,,41,29,94,,65,41,81,,77,43,68,,86,48,58,
,,100230 - Ceramics                                ,77,,64,,81,,79,,81,,61,,82,,99,,95,
