,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Riverside Total,,,"46,222","11,039","37,995","10,342","48,136","11,397","42,789","10,983","52,031","12,272","46,794","12,305","54,630","12,642","46,297","12,706","55,974","13,943"
,Credit - Degree Applicable                         Total,,"44,553","11,003","36,995","10,254","46,440","11,326","41,447","10,927","50,154","12,205","45,139","12,172","52,696","12,574","44,747","12,640","53,832","13,852"
,,030100 - Environmental Science                   ,,,,,,,34,,28,,,,,,,,,
,,"040100 - Biology, General                        ","1,301",417,746,101,"1,000",161,920,55,"1,214",163,"1,063",130,"1,216",170,"1,060",175,"1,390",202
,,"040200 - Botany, General                         ",,,,,28,,,,29,,,,30,15,,,28,19
,,040300 - MicroBiology                            ,116,,172,43,196,,188,,187,,150,,169,,159,,170,
,,"040700 - Zoology, General                        ",22,,16,,30,,23,,29,,24,,27,,29,,,
,,040800 - Natural History                         ,107,42,91,43,103,46,97,66,30,51,64,42,30,61,33,48,29,51
,,041000 - Anatomy and Physiology                  ,496,74,492,64,480,75,418,68,430,64,408,72,462,79,448,74,543,161
,,049900 - Other Biological Sciences               ,,,,,,,,,,,,,,,,,,154
,,"050100 - Business and Commerce, General          ",577,148,329,116,587,153,462,129,577,159,463,171,685,146,418,172,762,159
,,050200 - Accounting                              ,643,165,449,192,585,186,554,167,631,207,599,188,696,216,635,189,707,215
,,050210 - Tax Studies                             ,,,20,,36,,32,,,33,45,,,26,44,,,26
,,050400 - Banking and Finance                     ,34,,,,31,,,,30,,,,36,,,,13,
,,050500 - Business Administration                 ,525,129,451,162,526,112,506,187,546,113,503,225,605,119,483,163,615,126
,,050600 - Business Management                     ,94,40,34,33,98,30,32,37,101,37,36,35,109,33,29,37,67,42
,,050630 - Management Development and Supervision  ,272,45,233,19,262,28,247,31,264,31,265,31,281,28,211,34,261,33
,,050640 - Small Business and Entrepreneurship     ,40,,55,,84,,48,,84,,29,,107,,55,,77,
,,050650 - Retail Store Operations and Management  ,,,33,,31,,,,37,,,,34,,,,36,
,,050800 - International Business and Trade        ,57,,41,,64,,51,,63,,53,42,71,,37,,66,
,,050900 - Marketing and Distribution              ,40,36,18,,46,30,74,43,25,35,71,37,38,34,62,19,27,30
,,050910 - Advertising                             ,,,,29,,,34,,,,28,,,,31,,47,
,,050970 - E-Commerce (Business emphasis)          ,,,25,,,,33,,,,36,,,,40,,38,
,,051100 - Real Estate                             ,137,108,140,92,137,74,126,86,147,96,188,89,146,94,182,99,152,116
,,051110 - Escrow                                  ,,,,,22,,,,36,,,,26,,,,34,
,,051400 - Office Technology/Office Computer Applic,274,32,254,63,335,68,295,38,356,78,362,44,347,59,266,17,426,39
,,051410 - Legal Office Technology                 ,23,,,,,,,,,,,,,,,,,
,,060200 - Journalism                              ,80,,84,,69,,90,,94,,79,,97,,98,,119,
,,060400 - Radio and Television                    ,13,,12,,12,,14,,,,,,,,,,,
,,060420 - Television (including combined TV/Film/V,294,79,220,81,283,79,221,86,369,86,321,89,349,89,366,69,353,90
,,061210 - Film History and Criticism              ,144,,152,,169,,147,,165,,151,,167,,146,,181,
,,061400 - Digital Media                           ,283,59,358,48,292,112,379,90,314,91,427,93,332,81,467,74,461,78
,,061430 - Website Design and Development          ,,,45,,26,,17,,30,,43,,30,,46,,34,
,,061440 - Animation                               ,84,15,82,,91,,89,,103,22,95,18,116,17,113,,110,18
,,061450 - Desktop Publishing                      ,26,,,,37,,,,36,,,,33,,,,32,
,,"070100 - Information Technology, General         ",,,,,,,,,,,,,,,,,10,
