,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Sacramento City Total,,,"42,821",,"38,137","10,859","41,436",,"40,083","12,576","45,088",,"42,680","13,286","46,912",,"44,460",140,753,
,Credit - Degree Applicable                         Total,,"41,926",,"37,457","10,814","40,723",,"39,455","12,480","44,321",,"41,911","13,220","45,951",,"43,485",140,634,
,,"010100 - Agriculture Technology and Sciences, Gen",,,,,,,,,14,,,,19,,,,,
,,011520 - Wildlife and Fisheries                  ,,,20,,,,,,,,16,,,,23,,,
,,030100 - Environmental Science                   ,78,,55,15,106,,104,35,105,,73,30,112,,79,,,
,,030200 - Environmental Studies                   ,44,,22,,18,,24,,14,,24,,14,,23,,,
,,"040100 - Biology, General                        ",312,,328,,300,,433,,289,,390,,331,,356,,,
,,"040200 - Botany, General                         ",,,15,,,,17,,,,13,,,,19,,,
,,040300 - MicroBiology                            ,183,,161,86,190,,189,20,249,,197,26,252,,204,,,
,,"040700 - Zoology, General                        ",,,13,,,,15,,,,16,,,,21,,,
,,040800 - Natural History                         ,132,,90,,120,,85,,102,,91,18,131,,83,,,
,,041000 - Anatomy and Physiology                  ,579,,571,99,559,,648,112,618,,597,217,667,,621,,,
,,"050100 - Business and Commerce, General          ",716,,682,207,809,,704,250,915,,755,234,872,,650,,,
,,050200 - Accounting                              ,"1,158",,"1,073",414,"1,193",,"1,156",434,"1,307",,"1,248",481,"1,330",,"1,310",,,
,,050210 - Tax Studies                             ,34,,,,45,,,,36,,,,46,,,,,
,,050500 - Business Administration                 ,207,,245,100,223,,224,156,224,,250,165,210,,261,,,
,,050600 - Business Management                     ,61,,67,,82,,61,,63,,96,,61,,94,,,
,,050630 - Management Development and Supervision  ,42,,30,,41,,18,,36,,30,,43,,34,,,
,,050640 - Small Business and Entrepreneurship     ,,,9,,23,,7,,44,,15,,46,,15,,,
,,050900 - Marketing and Distribution              ,,,36,34,,,32,22,36,,66,28,26,,71,,,
,,050910 - Advertising                             ,38,,,,25,,,,,,,,,,,,,
,,050940 - Sales and Salesmanship                  ,32,,,,31,,,,28,,,,31,,,,,
,,050970 - E-Commerce (Business emphasis)          ,,,29,,,,20,,,,23,,,,45,,,
,,051100 - Real Estate                             ,146,,172,46,149,,165,41,167,,150,65,173,,168,,,
,,051400 - Office Technology/Office Computer Applic,126,,151,33,91,,157,59,131,,154,60,172,,194,,,
,,060200 - Journalism                              ,108,,97,9,108,,95,26,113,,106,8,118,,103,,,
,,061200 - Film Studies                            ,295,,267,81,296,,367,93,335,,342,166,292,,392,,,
,,061210 - Film History and Criticism              ,31,,35,,40,,38,,40,,43,,36,,,,,
,,061220 - Film Production                         ,,,71,,60,,89,,77,,93,,70,,84,,,
,,061400 - Digital Media                           ,135,,91,,105,,109,,136,,127,15,116,,114,,,
,,061410 - Multimedia                              ,,,,,28,,17,,47,,,,46,,21,,,
,,061420 - Electronic Game Design                  ,68,,45,23,69,,73,19,84,,101,22,73,,87,,,
,,061430 - Website Design and Development          ,64,,62,,82,,36,,86,,34,,87,,46,,,
,,061440 - Animation                               ,114,,130,,133,,126,,128,,142,,136,,132,,,
,,061460 - Computer Graphics and Digital Imagery   ,181,,146,22,201,,142,27,198,,105,,210,,107,,,
,,"070100 - Information Technology, General         ",455,,340,195,433,,411,222,470,,392,244,457,,345,,,
,,070200 - Computer Information Systems            ,63,,65,58,71,,71,59,97,,95,75,99,,125,,,
,,070210 - Software Applications                   ,471,,522,231,463,,472,220,422,,427,273,452,,484,,,
,,070710 - Computer Programming                    ,648,,695,147,774,,723,138,967,,755,160,961,,736,,,
,,070800 - Computer Infrastructure and Support     ,55,,13,35,67,,45,37,62,,49,37,54,,33,,,
,,070810 - Computer Networking                     ,471,,545,34,523,,623,36,519,,627,35,492,,611,,,
,,070820 - Computer Support                        ,35,,,,31,,,,36,,,,25,,,,,
,,"080100 - Education, General                      ",27,,20,,23,,53,,18,,,,27,,,,,
,,083500 - Physical Education                      ,855,,"1,022",238,974,,"1,128",261,"1,158",,"1,249",306,"1,239",,"1,205",,256,
,,083510 - Physical Fitness and Body Movement      ,334,,346,103,292,,342,124,382,,339,89,395,,461,106,362,
,,083520 - Fitness Trainer                         ,51,,35,,50,,47,,53,,45,,41,,33,,,
,,083550 - Intercollegiate Athletics               ,357,,353,177,392,,440,193,459,,344,214,471,,366,,,
,,083560 - Coaching                                ,,,39,,,,47,,,,43,,,,29,,,
,,083600 - Recreation                              ,18,,15,,22,,27,,41,,22,,36,,24,,,
,,083700 - Health Education                        ,182,,168,95,206,,170,59,154,,147,58,145,,112,,,
,,085000 - Sign Language                           ,456,,409,300,505,,501,440,515,,577,481,499,,564,,,
,,"090100 - Engineering, General (requires Calculus)",244,,210,,196,,204,,206,,214,,209,,234,,,
,,094500 - Industrial Systems Technology and Mainte,,,2,,17,,9,,43,,15,,65,,71,,,
,,094600 - Environmental Control Technology        ,285,,293,25,280,,313,64,377,,496,57,546,,658,,,
,,094740 - Railroad and Light Rail Operations      ,,,,,,,,,,,66,57,40,,54,,,
,,095000 - Aeronautical and Aviation Technology    ,244,,168,,190,,162,,195,,162,,213,,195,,,
,,095010 - Aviation Airframe Mechanics             ,,,,49,175,,99,55,228,,99,71,280,,116,,,
,,095020 - Aviation Powerplant Mechanics           ,,,,,,,117,,,,95,,,,124,,,
,,095300 - Drafting Technology                     ,132,,137,,139,,155,,130,,147,,126,,120,,,
,,095500 - Laboratory Science Technology           ,,,,,29,,27,,36,,34,,38,,39,,,
,,095630 - Machining and Machine Tools             ,,,,,,,21,,16,,14,,31,,38,,,
,,095730 - Surveying                               ,,,,,,,,,16,,31,,32,,27,,,
,,099900 - Other Engineering and Related Industrial,20,,,,,,41,,,,125,,103,,115,,,
,,"100100 - Fine Arts, General                      ",521,,493,167,395,,521,261,422,,560,228,493,,503,,,
,,100200 - Art                                     ,239,,152,27,236,,240,23,239,,290,,210,,236,,,
,,100210 - Painting and Drawing                    ,422,,377,115,373,,275,76,319,,254,77,334,,253,,,
,,100220 - Sculpture                               ,61,,58,,71,,71,,70,,88,,72,,87,,,
,,100230 - Ceramics                                ,67,,79,,93,,123,24,131,,118,45,130,,136,,,
,,100400 - Music                                   ,600,,677,231,634,,712,251,706,,789,240,690,,724,,,
,,100500 - Commercial Music                        ,195,,136,,186,,151,,213,,169,,200,,184,,,
,,100600 - Technical Theater                       ,49,,19,12,41,,34,11,51,,47,10,45,,24,15,,
,,100700 - Dramatic Arts                           ,241,,192,55,215,,261,101,190,,178,79,192,,259,19,16,
,,101200 - Applied Photography                     ,315,,233,75,290,,255,64,272,,275,50,251,,198,,,
,,110200 - French                                  ,106,,77,27,90,,71,34,85,,73,30,97,,67,,,
,,110500 - Spanish                                 ,367,,419,144,354,,392,222,390,,358,234,423,,353,,,
