,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Jose City Total,,,"16,568",,"15,448","3,881","17,366",,"16,724","4,161","19,049",,"19,400","3,971","19,643",,"17,536","3,421","18,525",
,Credit - Degree Applicable                         Total,,"15,620",,"14,784","3,773","16,463",,"16,082","4,045","18,311",,"18,595","3,878","18,914",,"16,836","3,352","17,694",
,,030100 - Environmental Science                   ,176,,96,25,129,,150,25,143,,152,27,149,,136,32,127,
,,"040100 - Biology, General                        ",419,,329,53,427,,396,88,363,,362,70,384,,344,82,479,
,,040300 - MicroBiology                            ,126,,85,,96,,93,,121,,97,,116,,118,,119,
,,041000 - Anatomy and Physiology                  ,310,,276,99,272,,276,106,315,,363,120,349,,383,187,367,
,,"050100 - Business and Commerce, General          ",269,,278,49,321,,381,38,461,,440,59,433,,313,,466,
,,050200 - Accounting                              ,316,,310,40,286,,298,44,403,,377,43,433,,378,,430,
,,050600 - Business Management                     ,,,35,,38,,18,,27,,28,,24,,24,,22,
,,050800 - International Business and Trade        ,,,,,18,,,,28,,,,7,,,,,
,,050900 - Marketing and Distribution              ,41,,74,,33,,57,,30,,53,,13,,47,,24,
,,051100 - Real Estate                             ,76,,82,30,98,,148,,132,,123,,197,,131,,186,
,,051400 - Office Technology/Office Computer Applic,132,,237,81,189,,242,36,171,,229,63,221,,141,,183,
,,060200 - Journalism                              ,5,,6,,17,,27,,,,6,,14,,24,,22,
,,060430 - Broadcast Journalism                    ,,,10,,,,,,,,,,11,,5,,9,
,,061000 - Mass Communications                     ,25,,,,,,,,,,17,,,,16,,,
,,061400 - Digital Media                           ,,,9,,,,,,,,,,,,20,,,
,,061410 - Multimedia                              ,34,,15,,30,,56,20,57,,63,,56,,55,16,,
,,061430 - Website Design and Development          ,22,,47,17,20,,16,,35,,35,,42,,26,,,
,,061440 - Animation                               ,,,9,,,,,,,,,,,,,,,
,,061460 - Computer Graphics and Digital Imagery   ,40,,45,14,,,8,,27,,46,,54,,40,,,
,,"070100 - Information Technology, General         ",162,,229,74,194,,285,,217,,237,32,231,,94,,197,
,,070200 - Computer Information Systems            ,34,,128,,67,,41,,120,,42,,,,48,,35,
,,070600 - Computer Science (Transfer)             ,,,,,,,,,,,,,30,,,,32,
,,070710 - Computer Programming                    ,236,,366,158,255,,377,,414,,491,63,496,,412,,311,
,,070720 - Database Design and Administration      ,,,,23,,,,,,,31,26,,,,,,
,,070730 - Computer Systems Analysis               ,,,,,,,,,,,,,28,,,,19,
,,070800 - Computer Infrastructure and Support     ,77,,78,,113,,101,,129,,88,,124,,97,,117,
,,070810 - Computer Networking                     ,70,,39,29,63,,58,14,97,,121,20,89,,116,19,92,
,,070820 - Computer Support                        ,57,,,,81,,,,50,,,,56,,,,,
,,070910 - E-Commerce (Technology emphasis)        ,37,,,,62,,,,47,,23,,29,,25,,,
,,080200 - Educational Aide (Teacher Assistant)    ,10,,15,,18,,11,,8,,4,,10,,5,,6,
,,083500 - Physical Education                      ,458,,632,119,655,,819,174,779,,809,119,760,,766,40,465,
,,083550 - Intercollegiate Athletics               ,290,,226,219,348,,289,150,360,,326,194,392,,362,155,379,
,,083580 - Adapted Physical Education              ,,,,,2,,3,,2,,,,,,,,,
,,083700 - Health Education                        ,50,,51,42,45,,19,,57,,91,,106,,43,,47,
,,085000 - Sign Language                           ,192,,109,17,143,,112,31,101,,85,31,159,,125,21,94,
,,"090100 - Engineering, General (requires Calculus)",15,,16,,47,,36,13,63,,86,23,81,,77,36,91,
,,093400 - Electronics and Electric Technology     ,,,,,,,,,,,23,,,,26,,30,
,,093480 - Laser and Optical Technology            ,44,,24,,9,,,9,20,,16,6,29,,20,,,
,,094500 - Industrial Systems Technology and Mainte,37,,62,10,56,,74,,63,,60,37,89,,91,31,86,
,,094600 - Environmental Control Technology        ,190,,139,35,170,,191,39,234,,237,25,219,,263,33,221,
,,094610 - Energy Systems Technology               ,,,,,,,,,14,,13,,19,,16,,18,
,,095200 - Construction Crafts Technology          ,223,,149,,216,,278,42,286,,229,70,210,,300,,306,
,,095210 - Carpentry                               ,,,18,,19,,,,25,,22,,,,23,,,
,,095220 - Electrical                              ,21,,21,,47,,50,,48,,54,,48,,53,,59,
,,"095230 - Plumbing, Pipefitting and Steamfitting  ",,,25,,21,,24,,24,,27,,21,,26,,25,
,,095290 - Roofing                                 ,,,18,,,,,,,,,,,,,,,
,,095310 - Architectural Drafting                  ,20,,23,,36,,45,25,17,,26,22,24,,23,,23,
,,095600 - Manufacturing and Industrial Technology ,19,,27,,35,,28,,34,,33,,39,,38,,32,
,,095630 - Machining and Machine Tools             ,15,,24,,12,,14,,26,,23,25,15,,,14,,
,,095640 - Sheet Metal and Structural Metal        ,20,,13,,10,,93,,23,,24,,24,,24,,27,
,,095680 - Industrial Quality Control              ,15,,,,20,,,,6,,,,21,,,,,
,,099900 - Other Engineering and Related Industrial,,,,,,,,,,,,22,,,,,,
,,"100100 - Fine Arts, General                      ",40,,,,,,,,,,,,,,,,45,
,,100200 - Art                                     ,266,,289,39,276,,246,,262,,232,,239,,243,,212,
,,100210 - Painting and Drawing                    ,106,,57,,105,,90,25,81,,91,,86,,51,,106,
,,100220 - Sculpture                               ,17,,,,,,,,22,,,,29,,,,18,
,,100230 - Ceramics                                ,4,,22,,29,,31,,43,,34,21,37,,31,31,36,
,,100400 - Music                                   ,155,,226,63,205,,200,58,183,,221,38,222,,197,71,249,
,,100500 - Commercial Music                        ,11,,16,,19,,12,,13,,18,,20,,17,,16,
,,100600 - Technical Theater                       ,,,9,,,,15,,12,,23,,9,,32,,12,
,,100700 - Dramatic Arts                           ,81,,61,,89,,98,,116,,124,,117,,115,,79,
,,100800 - Dance                                   ,85,,113,,122,,138,,170,,199,,170,,131,,197,
,,100810 - Commercial Dance                        ,,,,,12,,,,,,,,10,,,,,
,,101100 - Photography                             ,30,,28,,38,,31,,42,,38,,37,,37,,35,
,,110200 - French                                  ,21,,7,,9,,11,,19,,19,,,,,,,
,,110500 - Spanish                                 ,150,,164,40,137,,164,19,177,,190,34,144,,174,24,132,
,,110800 - Japanese                                ,178,,201,28,198,,166,16,216,,184,23,221,,117,17,145,
