,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santa Monica Total,,,"68,304","14,549","59,888","15,235","66,068","14,381","60,828","16,335","69,607","14,596","63,962","17,689","69,336","15,552","63,316","16,759",251,
,Credit - Degree Applicable                         Total,,"67,556","14,458","59,100","15,173","65,470","14,318","60,226","16,285","68,865","14,553","63,489","17,619","68,575","15,498","62,848","16,671",225,
,,011520 - Wildlife and Fisheries                  ,,,,,,,,,,,38,,65,,85,10,,
,,020100 - Architecture and Architectural Technolog,252,38,286,69,320,41,344,76,388,47,371,78,371,61,326,73,,
,,030300 - Environmental Technology                ,86,,85,,80,,79,,69,,128,,171,,179,,,
,,"040100 - Biology, General                        ","2,348",389,"2,129",372,"1,870",307,"1,836",375,"1,766",293,"1,911",431,"1,974",323,"1,961",460,,
,,041000 - Anatomy and Physiology                  ,,,8,,,,13,,,,10,,,,21,,,
,,043000 - Biotechnology and Biomedical Technology ,,,,,,,,,,,15,,16,,7,7,,
,,"050100 - Business and Commerce, General          ","1,665",401,"1,359",448,"1,585",414,"1,440",515,"1,903",436,"1,341",538,"1,609",488,"1,207",488,,
,,050200 - Accounting                              ,"1,991",482,"1,824",685,"1,964",471,"1,873",725,"2,050",481,"2,075",836,"2,013",509,"1,903",801,,
,,050210 - Tax Studies                             ,14,,12,,23,,7,,30,,19,,,,34,,,
,,050400 - Banking and Finance                     ,,,,,83,,116,,89,17,104,,103,,138,,,
,,050500 - Business Administration                 ,25,,32,,28,,67,,27,,74,,22,,65,,,
,,050600 - Business Management                     ,211,55,207,29,247,58,219,56,291,68,264,68,293,72,295,66,,
,,050630 - Management Development and Supervision  ,50,,78,,79,,,,69,,36,,82,,25,,,
,,050640 - Small Business and Entrepreneurship     ,63,,64,,31,,32,,28,,29,,28,,12,,,
,,050800 - International Business and Trade        ,,,19,,42,,19,,72,,40,,35,,24,,,
,,050900 - Marketing and Distribution              ,643,140,730,150,710,141,725,151,623,72,648,173,653,79,693,189,,
,,050940 - Sales and Salesmanship                  ,21,,21,,36,,43,,31,,37,,39,,38,,,
,,051000 - Logistics and Materials Transportation  ,71,,67,13,112,,85,,173,,87,,126,,82,,,
,,051100 - Real Estate                             ,,,,,,,,,,,,,,,42,,,
,,051200 - Insurance                               ,48,,35,,40,,25,,59,,26,,46,,33,,,
,,051400 - Office Technology/Office Computer Applic,295,105,278,67,230,99,297,108,314,99,302,128,280,110,265,128,,
,,051410 - Legal Office Technology                 ,,,12,,,,18,,,,23,,,,17,,,
,,051420 - Medical Office Technology               ,104,,68,51,128,,91,23,145,,101,44,151,,107,36,,
,,051800 - Customer Service                        ,37,,35,,36,,37,,56,,69,,22,,39,,,
,,"060100 - Media and Communications, General       ",955,306,920,238,873,232,804,305,"1,028",340,755,332,738,377,753,444,,
,,060200 - Journalism                              ,202,51,213,25,190,40,201,23,175,42,211,45,201,41,232,38,,
,,060420 - Television (including combined TV/Film/V,,,,,14,,,,9,,,,,,26,,,
,,060430 - Broadcast Journalism                    ,159,12,181,24,176,10,206,22,214,15,272,25,195,21,220,,,
,,060700 - Technical Communication                 ,133,32,156,18,153,61,222,44,164,62,221,58,199,68,188,26,,
,,061000 - Mass Communications                     ,69,32,64,27,66,25,53,33,67,32,40,34,73,38,39,35,,
,,061200 - Film Studies                            ,651,156,574,121,682,272,682,150,758,234,617,155,706,238,628,129,,
,,061210 - Film History and Criticism              ,91,,65,53,156,,145,30,192,29,98,32,131,34,101,55,,
,,061220 - Film Production                         ,296,16,328,82,342,42,446,52,387,77,426,47,361,27,383,61,,
,,061400 - Digital Media                           ,250,47,250,27,245,41,230,27,307,46,238,24,278,48,234,23,,
,,061410 - Multimedia                              ,35,22,15,,43,22,37,,36,16,39,,38,22,22,,,
,,061420 - Electronic Game Design                  ,49,,63,,62,,70,,66,,98,,,,90,,,
,,061430 - Website Design and Development          ,21,,25,,16,,19,,21,,24,,23,,19,,,
,,061440 - Animation                               ,421,65,377,106,391,83,416,103,445,69,395,87,458,60,407,121,,
,,069900 - Other Media and Communications          ,25,,46,,23,,43,,24,,50,,24,,48,,,
,,"070100 - Information Technology, General         ",669,164,650,183,634,98,568,173,494,87,539,170,436,89,463,137,,
,,070200 - Computer Information Systems            ,31,,36,,34,,35,,39,,35,,38,,27,,,
,,070210 - Software Applications                   ,36,,21,,50,,24,,52,,56,,72,,38,,,
,,070700 - Computer Software Development           ,37,,77,,86,,135,,139,,111,,191,,176,,,
,,070710 - Computer Programming                    ,"1,985",438,"1,900",746,"1,930",551,"2,018",837,"1,998",552,"2,002",916,"1,930",501,"1,933",848,,
,,070720 - Database Design and Administration      ,55,,59,,52,,67,,40,,41,,40,,38,,,
,,070730 - Computer Systems Analysis               ,15,,16,,16,,17,,18,,34,,15,,18,,,
,,070810 - Computer Networking                     ,70,31,76,,63,,66,,58,,73,,74,,58,,,
