,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Santa Rosa Total,,,"39,372",,"37,162","9,097","39,313",,"39,244","10,066","43,504",,"41,925","10,550","45,929",,"43,979","10,954","48,706",
,Credit - Degree Applicable                         Total,,"38,108",,"35,990","8,882","38,121",,"38,049","9,720","42,191",,"40,686","10,323","44,750",,"42,638","10,459","46,952",
,,"010100 - Agriculture Technology and Sciences, Gen",133,,140,13,158,,123,21,161,,113,40,135,,115,19,108,
,,010200 - Animal Science                          ,12,,,,,,19,,9,,84,,144,,103,29,137,
,,010210 - Veterinary Technician (Licensed)        ,381,,390,49,392,,358,52,411,,360,56,356,,336,46,355,
,,010240 - Equine Science                          ,,,,,,,,,,,20,,40,,30,,34,
,,010300 - Plant Science                           ,165,,213,,184,,191,,181,,227,,179,,249,,145,
,,"010400 - Viticulture, Enology, and Wine Business ",79,,78,10,26,,38,11,77,,104,22,112,,58,,45,
,,010900 - Horticulture                            ,49,,38,1,39,,14,2,44,,18,,45,,42,,47,
,,010910 - Landscape Design and Maintenance        ,57,,61,,71,,67,,58,,69,,39,,31,,72,
,,010920 - Floriculture / Floristry                ,48,,74,,48,,88,,122,,127,,111,,140,,95,
,,"011200 - Agriculture Business, Sales and Service ",89,,71,22,78,,71,35,61,,37,31,128,,123,48,110,
,,011400 - Forestry                                ,111,,99,29,105,,111,40,95,,132,34,120,,101,32,142,
,,011500 - Natural Resources                       ,34,,19,,49,,9,,61,,17,,72,,17,,38,
,,011510 - Parks and Outdoor Recreation            ,15,,,,,,,,,,,,,,,,,
,,011600 - Agricultural Power Equipment Technology ,,,,,,,,,,,,,,,10,,21,
,,019900 - Other Agriculture and Natural Resources ,3,,33,12,10,,29,9,12,,31,5,10,,29,4,19,
,,020100 - Architecture and Architectural Technolog,94,,78,,89,,68,,92,,65,17,91,,59,,108,
,,030200 - Environmental Studies                   ,149,,178,30,142,,171,48,164,,212,55,178,,213,26,191,
,,"040100 - Biology, General                        ",783,,681,120,843,,866,133,976,,967,147,"1,080",,959,174,"1,149",
,,"040200 - Botany, General                         ",11,,18,,22,,26,,41,,47,,38,,42,,44,
,,041000 - Anatomy and Physiology                  ,286,,270,96,454,,503,78,528,,531,99,576,,580,109,630,
,,"050100 - Business and Commerce, General          ",976,,904,202,"1,022",,993,283,915,,928,269,"1,002",,"1,063",351,"1,192",
,,050200 - Accounting                              ,641,,585,156,591,,635,155,525,,626,156,665,,731,144,699,
,,050210 - Tax Studies                             ,,,17,,28,,,,38,,,,,,,,,
,,050400 - Banking and Finance                     ,25,,22,,19,,23,,23,,17,,27,,10,,27,
,,050600 - Business Management                     ,265,,372,27,227,,385,42,255,,327,43,291,,347,48,320,
,,050630 - Management Development and Supervision  ,44,,32,,55,,28,,52,,27,,49,,22,,79,
,,050640 - Small Business and Entrepreneurship     ,67,,50,,81,,92,,69,,57,,69,,61,,93,
,,050900 - Marketing and Distribution              ,130,,117,,87,,103,,136,,157,,163,,159,,165,
,,050910 - Advertising                             ,47,,38,,41,,54,,36,,56,,49,,55,,41,
,,050940 - Sales and Salesmanship                  ,,,,,,,,,,,,,27,,,,22,
,,051100 - Real Estate                             ,268,,346,139,369,,325,123,329,,300,131,309,,294,101,279,
,,051400 - Office Technology/Office Computer Applic,397,,454,125,327,,395,117,381,,400,112,392,,408,107,383,
,,051410 - Legal Office Technology                 ,,,37,,,,17,,,,32,,,,31,,,
,,"060100 - Media and Communications, General       ",410,,334,127,413,,337,136,458,,431,163,424,,495,108,339,
,,060200 - Journalism                              ,59,,68,,68,,95,,84,,65,,114,,130,,108,
,,061200 - Film Studies                            ,39,,35,19,33,,36,17,53,,49,,41,,46,,39,
,,061220 - Film Production                         ,56,,54,,44,,70,,17,,45,,56,,56,,59,
,,061410 - Multimedia                              ,101,,88,,93,,62,,82,,74,,89,,64,,71,
,,061420 - Electronic Game Design                  ,104,,109,27,108,,115,25,110,,97,33,99,,106,48,103,
,,061430 - Website Design and Development          ,160,,136,47,166,,158,51,167,,184,32,134,,131,31,130,
,,061440 - Animation                               ,37,,,,29,,24,,17,,,,,,24,,19,
,,061450 - Desktop Publishing                      ,31,,41,,32,,29,,28,,29,,26,,24,,15,
,,061460 - Computer Graphics and Digital Imagery   ,140,,139,33,142,,118,35,146,,93,29,100,,109,25,108,
,,"070100 - Information Technology, General         ",194,,219,104,195,,207,92,256,,213,104,308,,238,114,299,
,,070200 - Computer Information Systems            ,,,29,,,,34,,,,15,,,,,2,26,
,,070600 - Computer Science (Transfer)             ,380,,418,94,435,,447,109,487,,496,137,472,,409,137,376,
