,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Bernardino Total,,,"26,871",,"23,380","8,871","27,086",,"25,288","11,975","32,056",,"30,461","8,990","34,128",,"31,947","14,005","38,171",
,Credit - Degree Applicable                         Total,,"25,931",,"22,775","8,856","26,965",,"25,192","11,930","31,943",,"30,421","8,990","34,039",,"31,879","13,986","38,104",
,,020100 - Architecture and Architectural Technolog,182,,176,26,205,,171,68,115,,129,57,183,,155,49,195,
,,029900 - Other Architecture and Environmental Des,,,,,,,,,,,,,5,,7,,,
,,030100 - Environmental Science                   ,,,31,,30,,33,,35,,49,,83,,92,,182,
,,"040100 - Biology, General                        ",932,,898,348,772,,836,326,870,,948,221,983,,"1,094",363,980,
,,040300 - MicroBiology                            ,,,,,,,,,170,,185,30,199,,203,53,213,
,,041000 - Anatomy and Physiology                  ,318,,320,126,426,,438,212,557,,573,167,684,,680,360,856,
,,"050100 - Business and Commerce, General          ",291,,225,110,333,,234,137,281,,249,92,280,,229,123,309,
,,050200 - Accounting                              ,476,,419,124,459,,430,163,442,,450,177,544,,437,187,618,
,,050600 - Business Management                     ,363,,388,191,410,,380,229,494,,378,216,417,,384,251,415,
,,050900 - Marketing and Distribution              ,89,,114,32,96,,81,30,74,,107,1,68,,82,30,84,
,,051000 - Logistics and Materials Transportation  ,8,,7,,,,,,12,,,,13,,,,9,
,,051100 - Real Estate                             ,154,,170,,148,,195,67,147,,192,67,160,,169,36,151,
,,051400 - Office Technology/Office Computer Applic,190,,178,50,223,,220,64,238,,251,20,211,,195,43,266,
,,051420 - Medical Office Technology               ,274,,225,115,223,,284,205,291,,312,80,323,,356,214,416,
,,060400 - Radio and Television                    ,271,,238,134,300,,312,239,496,,470,113,546,,576,203,705,
,,060430 - Broadcast Journalism                    ,,,,,12,,15,,21,,7,,12,,10,,10,
,,061000 - Mass Communications                     ,24,,20,11,33,,20,13,43,,53,14,44,,39,21,57,
,,"070100 - Information Technology, General         ",122,,121,32,114,,192,33,171,,268,77,237,,183,83,278,
,,070200 - Computer Information Systems            ,37,,62,22,72,,87,56,54,,106,22,58,,72,17,64,
,,070210 - Software Applications                   ,11,,30,,23,,13,30,9,,9,2,30,,10,11,26,
,,070700 - Computer Software Development           ,,,,,22,,,,6,,,,,,4,,,
,,070710 - Computer Programming                    ,169,,179,,194,,187,14,226,,291,11,206,,261,82,201,
,,070800 - Computer Infrastructure and Support     ,3,,6,,6,,,,5,,11,,,,21,,7,
,,070810 - Computer Networking                     ,21,,16,,29,,27,,30,,34,21,50,,25,20,48,
,,079900 - Other Information Technology            ,9,,20,,2,,4,,6,,,,9,,9,,2,
,,"080100 - Education, General                      ",,,,,,,,,,,,,,,,,79,
,,080200 - Educational Aide (Teacher Assistant)    ,,,,,,,,,,,,,15,,28,,,
,,080900 - Special Education                       ,226,,264,156,,,,,,,,,,,,,,
,,083500 - Physical Education                      ,197,,193,85,286,,168,137,327,,346,81,318,,316,167,353,
,,083510 - Physical Fitness and Body Movement      ,408,,399,129,460,,454,267,532,,532,245,489,,487,256,376,
,,083520 - Fitness Trainer                         ,,,,,,,,,,,,,16,,23,,32,
,,083550 - Intercollegiate Athletics               ,337,,189,156,283,,184,182,349,,222,126,310,,214,330,608,
,,083580 - Adapted Physical Education              ,10,,10,,12,,10,,14,,20,,9,,1,,11,
,,083700 - Health Education                        ,319,,334,112,244,,270,150,425,,451,120,388,,401,186,385,
,,085000 - Sign Language                           ,41,,33,24,311,,325,213,428,,402,102,402,,326,171,544,
,,"090100 - Engineering, General (requires Calculus)",,,19,,,,29,,,,29,,,,52,,,
,,"092400 - Engineering Technology, General (require",,,,,,,,,53,,44,24,50,,65,24,61,
,,093400 - Electronics and Electric Technology     ,256,,219,55,260,,220,58,334,,315,61,376,,323,45,442,
,,093410 - Computer Electronics                    ,11,,,,6,,,,,,,6,,,,9,,
,,093430 - Telecommunications Technology           ,,,5,13,,,,11,,,,11,,,,9,,
,,093440 - Electrical Systems and Power Transmissio,28,,26,,32,,26,,33,,35,,38,,53,,56,
,,093500 - Electro-Mechanical Technology           ,33,,37,,47,,33,,45,,43,,57,,58,,16,
,,094300 - Instrumentation Technology              ,10,,8,,14,,11,,13,,11,,23,,12,,25,
,,094600 - Environmental Control Technology        ,100,,54,,94,,107,14,109,,96,,120,,124,14,143,
,,094700 - Diesel Technology                       ,76,,86,11,81,,92,23,93,,110,13,86,,57,28,80,
,,094750 - Truck and Bus Driving                   ,,,,,18,,20,,28,,22,14,32,,26,26,20,
,,094800 - Automotive Technology                   ,129,,125,21,238,,244,52,311,,322,55,393,,415,64,457,
,,094840 - Alternative Fuels and Advanced Transport,36,,34,6,44,,30,7,34,,18,12,24,,22,6,38,
,,094900 - Automotive Collision Repair             ,37,,43,,75,,71,,58,,45,,89,,82,28,88,
,,094910 - Upholstery Repair - Automotive          ,,,,,,,6,,8,,3,,,,6,,,
,,095000 - Aeronautical and Aviation Technology    ,57,,66,,74,,107,66,89,,146,1,167,,148,46,168,
,,095010 - Aviation Airframe Mechanics             ,70,,58,,82,,57,,94,,104,,117,,104,,106,
,,095020 - Aviation Powerplant Mechanics           ,50,,42,,46,,42,,82,,54,,106,,124,,114,
,,"095330 - Electrical, Electronic, and Electro-Mech",13,,22,,16,,10,,6,,26,,14,,12,,,
,,095340 - Mechanical Drafting                     ,,,,,7,,,,3,,5,,6,,,,3,
,,095630 - Machining and Machine Tools             ,42,,34,,15,,36,,34,,30,,57,,26,,24,
,,095650 - Welding Technology                      ,74,,98,43,158,,149,30,170,,151,29,233,,229,61,209,
,,095670 - Industrial and Occupational Safety and H,23,,34,18,18,,31,16,23,,49,1,25,,35,24,25,
,,095720 - Construction Inspection                 ,28,,34,15,46,,53,8,67,,90,25,76,,76,25,97,
,,095800 - Water and Wastewater Technology         ,283,,312,78,352,,317,95,288,,238,45,242,,248,92,313,
,,099900 - Other Engineering and Related Industrial,4,,9,,,,,,,,,,,,,,,
,,100200 - Art                                     ,549,,507,361,618,,588,453,807,,742,299,791,,747,488,646,
,,100210 - Painting and Drawing                    ,112,,100,33,129,,138,47,168,,158,48,176,,147,43,122,
,,100220 - Sculpture                               ,,,,,9,,12,,15,,11,,15,,19,14,,
,,100230 - Ceramics                                ,12,,27,9,37,,48,16,48,,50,10,51,,51,,,
,,100400 - Music                                   ,512,,477,148,491,,607,258,735,,747,106,878,,941,280,"1,037",
,,100600 - Technical Theater                       ,6,,8,,,,,10,9,,,4,,,10,4,13,
,,100700 - Dramatic Arts                           ,124,,155,55,163,,195,61,174,,159,35,172,,151,23,235,
,,100800 - Dance                                   ,22,,33,13,71,,33,13,60,,71,15,63,,48,14,101,
,,101100 - Photography                             ,,,,,,,,,,,,,,,,,33,
,,101300 - Commercial Art                          ,43,,29,,30,,17,6,23,,23,1,26,,22,,19,
,,103000 - Graphic Art and Design                  ,60,,66,,63,,72,,45,,77,,77,,78,,45,
,,"110100 - Foreign Languages, General              ",9,,6,,,,,,,,,,,,,,,
,,110200 - French                                  ,24,,,,25,,27,,27,,45,,21,,39,,30,
,,110500 - Spanish                                 ,464,,417,200,472,,462,316,570,,569,242,678,,551,340,719,
,,110700 - Chinese                                 ,25,,28,,26,,23,,28,,39,,26,,23,,29,
,,111200 - Arabic                                  ,20,,9,,9,,6,,14,,31,,21,,18,,21,
,,122100 - Pharmacy Technology                     ,243,,248,89,283,,354,229,557,,638,165,577,,555,216,542,
,,122200 - Physical Therapist Assistant            ,18,,14,,24,,12,,16,,17,,11,,8,,10,
,,123010 - Registered Nursing                      ,320,,331,,335,,360,,391,,395,,404,,381,,375,
,,123900 - Psychiatric Technician                  ,57,,66,65,73,,35,79,27,,56,1,23,,42,44,41,
,,127000 - Kinesiology                             ,118,,109,29,169,,84,53,149,,85,11,176,,130,38,169,
,,130500 - Child Development/Early Care and Educati,883,,775,155,890,,705,214,897,,711,135,879,,908,292,921,
,,130520 - Children with Special Needs             ,22,,,,16,,8,,35,,23,,22,,32,,16,
,,130540 - Preshool Age Children                   ,56,,109,37,53,,80,35,62,,75,35,39,,42,88,109,
,,130550 - The School Age Child                    ,,,,57,,,,46,,,,13,,,,27,,
,,130580 - Child Development Administration and Man,43,,16,,31,,19,,46,,11,,45,,19,,15,
,,130590 - Infants and Toddlers                    ,46,,73,34,57,,33,32,39,,44,38,84,,46,41,75,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",130,,165,105,116,,111,112,113,,158,83,116,,133,116,173,
,,130620 - Dietetic Services and Management        ,3,,,,2,,,,4,,,,,,,,,
,,130630 - Culinary Arts                           ,45,,48,,103,,76,21,105,,92,13,126,,83,,122,
,,130700 - Hospitality                             ,16,,27,5,17,,24,8,21,,19,31,27,,34,27,29,
,,130710 - Restaurant and Food Services and Managem,69,,28,30,91,,4,49,70,,11,32,75,,18,14,94,
,,150100 - English                                 ,"2,144",,"1,700",585,"2,791",,"2,502",631,"2,922",,"2,589",327,"2,238",,"2,091",626,"2,548",
,,150600 - Speech Communication                    ,982,,794,439,"1,063",,"1,009",567,"1,272",,"1,242",416,"1,440",,"1,301",566,"1,429",
,,150700 - Creative Writing                        ,21,,20,,10,,25,,23,,19,,26,,26,,21,
,,150900 - Philosophy                              ,413,,330,136,370,,287,160,352,,293,68,364,,374,146,416,
,,151000 - Religious Studies                       ,94,,130,71,108,,108,72,102,,94,96,103,,76,57,131,
