,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Diego Mesa Total,,,"42,062",,"41,308","11,094","42,121",,"45,179","11,888","46,324",,"48,100","10,696","47,812",,"49,657","10,851","50,782",
,Credit - Degree Applicable                         Total,,"41,050",,"40,628","10,998","40,981",,"44,280","11,799","45,260",,"47,036","10,540","46,773",,"48,664","10,697","49,755",
,,010210 - Veterinary Technician (Licensed)        ,224,,260,,247,,205,,307,,254,,338,,278,,331,
,,011300 - Food Processing and Related Technologies,21,,,,27,,36,,34,,38,,28,,20,,36,
,,020100 - Architecture and Architectural Technolog,477,,462,20,426,,496,36,473,,531,26,478,,571,35,507,
,,030200 - Environmental Studies                   ,79,,71,1,112,,73,,114,,86,,117,,62,,113,
,,"040100 - Biology, General                        ","1,620",,"1,439",303,"1,492",,"1,658",300,"1,752",,"1,818",328,"1,780",,"1,893",330,"1,889",
,,040800 - Natural History                         ,112,,96,,98,,103,,109,,122,,113,,122,,114,
,,"050100 - Business and Commerce, General          ",44,,31,7,48,,66,17,101,,83,56,138,,117,70,139,
,,050200 - Accounting                              ,790,,955,253,837,,987,292,840,,974,298,954,,996,300,970,
,,050210 - Tax Studies                             ,73,,,,68,,,,64,,,,,,,,,
,,050500 - Business Administration                 ,400,,346,62,367,,341,56,448,,382,32,347,,325,36,341,
,,050600 - Business Management                     ,772,,900,247,754,,990,245,822,,"1,019",304,843,,"1,065",306,901,
,,050640 - Small Business and Entrepreneurship     ,33,,34,,58,,31,,59,,41,,77,,23,,68,
,,050900 - Marketing and Distribution              ,98,,124,,103,,160,,98,,190,,131,,121,,182,
,,050970 - E-Commerce (Business emphasis)          ,64,,67,,63,,65,,60,,75,,73,,56,,60,
,,051100 - Real Estate                             ,307,,410,122,336,,332,132,347,,303,98,344,,289,75,323,
,,051400 - Office Technology/Office Computer Applic,109,,74,43,91,,78,,78,,68,,78,,68,,74,
,,060200 - Journalism                              ,88,,96,,62,,125,,86,,102,,95,,103,,82,
,,061220 - Film Production                         ,31,,36,19,16,,56,22,54,,38,,69,,36,,58,
,,061400 - Digital Media                           ,,,,,56,,70,34,88,,77,37,86,,35,21,90,
,,061410 - Multimedia                              ,50,,80,25,67,,78,37,81,,72,27,98,,66,28,93,
,,061430 - Website Design and Development          ,242,,241,36,204,,228,60,218,,266,68,203,,156,60,196,
