,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
San Diego Miramar Total,,,"25,974",,"25,691","5,888","24,965",,"25,859","6,978","26,870",,"29,222","7,428","29,469",,"28,730","6,447","30,135",
,Credit - Degree Applicable                         Total,,"24,977",,"22,770","4,797","23,101",,"24,048","6,061","25,025",,"26,928","6,777","27,509",,"27,325","5,875","28,698",
,,030200 - Environmental Studies                   ,,,11,,,,5,,,,11,,,,,,,
,,"040100 - Biology, General                        ","1,277",,"1,059",257,"1,163",,"1,284",291,"1,233",,"1,276",286,"1,343",,"1,413",349,"1,396",
,,040800 - Natural History                         ,44,,,,,,,,,,,,,,,,,
,,043000 - Biotechnology and Biomedical Technology ,65,,65,,79,,86,,91,,92,,84,,92,11,97,
,,050200 - Accounting                              ,584,,697,189,524,,628,245,598,,754,342,683,,661,250,696,
,,050210 - Tax Studies                             ,58,,61,,56,,67,,55,,67,,116,,121,,125,
,,050400 - Banking and Finance                     ,89,,92,,88,,88,,84,,90,,95,,94,,92,
,,050500 - Business Administration                 ,512,,287,103,584,,328,108,754,,410,105,916,,402,102,847,
,,050600 - Business Management                     ,418,,444,71,427,,430,80,450,,480,143,534,,576,69,482,
,,050640 - Small Business and Entrepreneurship     ,140,,117,52,135,,118,93,170,,199,46,217,,194,27,112,
,,050900 - Marketing and Distribution              ,35,,292,,59,,330,,49,,402,,62,,398,,107,
,,051100 - Real Estate                             ,57,,86,,26,,66,,78,,83,,97,,79,,85,
,,051200 - Insurance                               ,,,,,,,,,,,,,17,,,,13,
,,051400 - Office Technology/Office Computer Applic,169,,232,26,184,,240,88,167,,283,87,185,,229,68,117,
,,051410 - Legal Office Technology                 ,,,,,,,,,,,,,,,,,44,
,,061210 - Film History and Criticism              ,37,,32,,32,,32,,62,,60,,62,,58,,38,
,,061220 - Film Production                         ,36,,36,,42,,37,,70,,40,,72,,41,,78,
,,"070100 - Information Technology, General         ",,,,,,,,,,,,,,,,,3,
,,070200 - Computer Information Systems            ,119,,124,68,91,,102,68,101,,116,65,114,,101,39,114,
,,070210 - Software Applications                   ,43,,,,52,,,26,37,,,23,68,,,,24,
,,070600 - Computer Science (Transfer)             ,141,,218,93,233,,304,140,278,,316,136,253,,273,105,163,
,,070700 - Computer Software Development           ,,,,,,,28,,32,,36,,41,,37,,31,
,,070710 - Computer Programming                    ,157,,148,109,228,,307,137,324,,308,161,354,,231,150,291,
,,"080100 - Education, General                      ",,,,,,,,,,,,,14,,19,,23,
,,083500 - Physical Education                      ,337,,376,211,337,,411,268,428,,459,303,566,,648,394,518,
,,083520 - Fitness Trainer                         ,104,,68,,33,,107,,136,,173,5,169,,130,5,187,
,,083550 - Intercollegiate Athletics               ,113,,85,22,111,,85,24,97,,75,39,90,,76,47,118,
,,083570 - Aquatics and Lifesaving                 ,,,62,13,24,,152,18,24,,171,46,46,,141,72,53,
,,083700 - Health Education                        ,248,,274,125,336,,284,83,298,,325,82,355,,401,106,176,
,,"090100 - Engineering, General (requires Calculus)",,,,,,,,,,,,,,,,,15,
,,094700 - Diesel Technology                       ,141,,140,60,153,,169,63,148,,168,71,194,,169,74,191,
,,094720 - Heavy Equipment Maintenance             ,,,29,8,,,20,,26,,13,,,,20,,22,
,,094800 - Automotive Technology                   ,304,,231,14,390,,330,47,389,,273,52,375,,314,55,382,
,,094840 - Alternative Fuels and Advanced Transport,,,9,,,,11,,,,31,,,,17,,8,
,,095000 - Aeronautical and Aviation Technology    ,150,,157,12,148,,186,,225,,195,,312,,242,,282,
,,095010 - Aviation Airframe Mechanics             ,164,,151,,168,,175,,206,,276,,275,,302,,309,
,,095020 - Aviation Powerplant Mechanics           ,188,,153,,187,,178,,228,,252,,260,,323,,353,
,,"100100 - Fine Arts, General                      ",30,,30,,32,,30,,35,,29,,33,,23,,31,
,,100200 - Art                                     ,604,,781,273,602,,781,241,550,,702,253,637,,709,218,701,
,,100400 - Music                                   ,491,,576,57,594,,341,68,650,,637,124,741,,536,,473,
,,100500 - Commercial Music                        ,,,,,13,,41,,42,,60,,39,,66,,58,
,,103000 - Graphic Art and Design                  ,,,,,55,,65,,70,,,,,,,,,
,,"110100 - Foreign Languages, General              ",66,,68,,57,,66,,62,,78,,54,,80,,29,
,,110500 - Spanish                                 ,178,,122,13,160,,162,36,128,,137,30,173,,123,33,143,
,,111710 - Filipino (Tagalog)                      ,41,,,,31,,,,32,,,,41,,,,36,
,,120500 - Medical Laboratory Technology           ,46,,88,1,33,,90,,34,,93,,26,,73,,28,
,,122800 - Athletic Training and Sports Medicine   ,14,,9,,12,,12,,23,,50,,68,,24,,99,
,,125000 - Emergency Medical Services              ,352,,553,210,383,,569,246,414,,665,364,421,,720,239,454,
,,127000 - Kinesiology                             ,52,,105,58,113,,149,26,145,,138,57,142,,195,77,179,
,,"130100 - Family and Consumer Sciences, General   ",21,,23,,36,,21,,33,,38,,35,,28,,32,
,,130500 - Child Development/Early Care and Educati,728,,687,134,672,,610,153,688,,749,163,699,,706,159,713,
,,130550 - The School Age Child                    ,48,,56,31,61,,88,35,77,,113,35,82,,169,36,107,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",167,,165,39,120,,140,37,184,,195,34,184,,179,31,199,
,,140200 - Paralegal                               ,357,,354,68,354,,370,99,366,,395,111,424,,422,87,408,
,,150100 - English                                 ,"1,671",,"1,034",175,"1,697",,"1,212",182,"1,542",,"1,357",171,"1,650",,"1,183",118,"1,847",
,,150600 - Speech Communication                    ,833,,754,169,825,,866,279,846,,891,293,897,,911,120,"1,023",
,,150900 - Philosophy                              ,292,,277,98,277,,248,109,368,,324,144,423,,327,80,483,
,,151000 - Religious Studies                       ,54,,33,,59,,27,,34,,32,,37,,27,,40,
,,159900 - Other Humanities                        ,340,,289,59,333,,315,85,375,,316,91,335,,340,,266,
,,"160100 - Library Science, General                ",9,,7,,10,,26,,18,,31,19,11,,10,19,26,
,,"170100 - Mathematics, General                    ","2,213",,"1,682",356,"2,086",,"2,270",702,"2,293",,"2,451",617,"2,344",,"2,272",715,"2,359",
,,170200 - Mathematics Skills                      ,,,,,,,,,,,,,12,,,,,
,,"190100 - Physical Sciences, General              ",151,,197,77,190,,264,71,198,,282,83,280,,295,81,292,
,,"190200 - Physics, General                        ",347,,317,16,327,,357,19,439,,503,23,448,,492,22,542,
,,"190500 - Chemistry, General                      ","1,429",,"1,182",183,"1,145",,"1,115",290,"1,148",,"1,303",288,"1,176",,"1,356",286,"1,346",
,,191100 - Astronomy                               ,133,,106,23,132,,170,38,180,,226,43,188,,172,39,219,
,,191400 - Geology                                 ,210,,180,18,199,,219,29,231,,187,39,235,,221,31,214,
,,"200100 - Psychology, General                     ",931,,865,175,864,,981,175,866,,952,217,819,,935,209,800,
,,210200 - Public Administration                   ,32,,33,,23,,27,,24,,35,,34,,28,,67,
,,210500 - Administration of Justice               ,"2,246",,"1,237",88,576,,718,200,685,,671,218,609,,932,332,864,
,,210510 - Corrections                             ,,,23,72,300,,211,88,181,,277,58,253,,245,71,190,
,,"210540 - Forensics, Evidence, and Investigation  ",18,,29,24,,,51,,16,,51,,27,,53,,27,
,,210550 - Police Academy                          ,605,,450,120,352,,300,94,390,,223,152,244,,364,178,264,
,,213300 - Fire Technology                         ,"1,043",,971,115,681,,712,118,645,,744,226,716,,816,274,836,
,,213310 - Wildland Fire Technology                ,76,,34,,67,,,,,,,17,9,,37,,28,
,,213350 - Fire Academy                            ,62,,51,18,57,,39,,276,,437,,461,,437,20,516,
,,219900 - Other Public and Protective Services    ,,,,,,,,,,,,,,,,,78,
,,"220100 - Social Sciences, General                ",,,,,,,,,,,22,,,,16,,,
,,220200 - Anthropology                            ,413,,416,56,426,,378,83,466,,383,70,472,,345,38,493,
,,220300 - Ethnic Studies                          ,136,,138,,251,,273,33,264,,446,61,649,,419,26,693,
,,220400 - Economics                               ,449,,494,69,416,,440,77,455,,516,117,453,,484,78,497,
,,220500 - History                                 ,716,,933,205,688,,916,239,751,,971,234,829,,"1,009",122,955,
,,220600 - Geography                               ,99,,186,59,143,,157,71,136,,162,61,136,,93,37,188,
,,220700 - Political Science                       ,473,,571,149,535,,550,148,546,,510,146,645,,633,56,692,
,,220800 - Sociology                               ,478,,506,102,488,,586,92,481,,545,96,561,,469,44,585,
,,221000 - International Studies                   ,36,,,,33,,,,36,,,,14,,,,17,
,,302010 - Aviation and Airport Management         ,67,,89,,80,,81,,81,,79,,79,,93,,94,
,,302020 - Piloting                                ,205,,194,54,238,,233,62,256,,249,67,286,,249,,300,
,,493010 - Career Guidance and Orientation         ,83,,44,,103,,44,29,113,,77,33,100,,45,33,229,
