,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Shasta Total,,,"18,392",,"19,387","4,141","19,848",,"20,839","4,470","21,706",,"22,778","5,084","24,028",,"23,874","5,461","25,871",
,Credit - Degree Applicable                         Total,,"18,312",,"19,310","4,107","19,806",,"20,788","4,470","21,705",,"22,775","5,084","24,004",,"23,873","5,461","25,851",
,,"010100 - Agriculture Technology and Sciences, Gen",96,,111,,108,,142,,127,,145,11,126,,152,19,140,
,,010200 - Animal Science                          ,59,,41,,64,,57,,74,,56,,65,,50,1,69,
,,010240 - Equine Science                          ,,,,,,,14,,6,,18,,,,6,,,
,,010300 - Plant Science                           ,21,,66,,24,,62,,47,,70,,35,,84,,41,
,,010310 - Agricultural Pest Control Adviser and Op,12,,,,,,,,27,,,,14,,,,16,
,,"010400 - Viticulture, Enology, and Wine Business ",,,8,,,,26,,,,7,,,,12,,5,
,,010900 - Horticulture                            ,51,,67,,56,,64,1,70,,50,7,88,,50,3,79,
,,010910 - Landscape Design and Maintenance        ,19,,,,28,,,,26,,18,,44,,22,,35,
,,010920 - Floriculture / Floristry                ,,,,,,,,,,,,,,,,,17,
,,010930 - Nursery Technology                      ,13,,11,,12,,29,,13,,13,,18,,57,,12,
,,010940 - Turfgrass Technology                    ,,,,,,,7,,,,15,,3,,8,,,
,,011400 - Forestry                                ,,,,,30,,16,,32,,10,,33,,10,,27,
,,011500 - Natural Resources                       ,140,,128,3,121,,160,8,152,,164,6,202,,179,8,220,
,,011600 - Agricultural Power Equipment Technology ,49,,36,,61,,44,,61,,41,,71,,45,,74,
,,030300 - Environmental Technology                ,140,,168,38,146,,188,31,175,,199,28,250,,174,29,270,
,,"040100 - Biology, General                        ",359,,430,122,362,,426,150,339,,471,180,413,,562,170,509,
,,"040200 - Botany, General                         ",25,,29,,23,,29,,18,,33,,50,,30,,59,
,,040300 - MicroBiology                            ,86,,72,,65,,83,,76,,76,,83,,90,,89,
,,"040700 - Zoology, General                        ",29,,9,,20,,29,,27,,22,,31,,26,,23,
,,040800 - Natural History                         ,26,,23,17,33,,52,,35,,46,,40,,56,,36,
,,041000 - Anatomy and Physiology                  ,282,,326,21,334,,318,,318,,339,,360,,383,,427,
,,"050100 - Business and Commerce, General          ",406,,410,91,514,,498,99,532,,496,94,566,,553,88,623,
,,050200 - Accounting                              ,301,,335,30,347,,347,33,365,,341,31,383,,383,60,429,
,,050210 - Tax Studies                             ,32,,,,35,,,,28,,,,31,,,,62,
,,050400 - Banking and Finance                     ,29,,,,33,,,,25,,,,32,,,,33,
,,050500 - Business Administration                 ,66,,117,,67,,164,,132,,240,,215,,236,,210,
,,050600 - Business Management                     ,293,,256,60,370,,277,66,289,,393,65,428,,437,91,444,
,,050640 - Small Business and Entrepreneurship     ,129,,162,,168,,171,,177,,166,,211,,164,,165,
,,050900 - Marketing and Distribution              ,77,,71,,114,,117,,144,,125,,151,,101,,130,
,,051400 - Office Technology/Office Computer Applic,242,,300,88,212,,317,86,241,,282,94,252,,312,91,320,
,,051420 - Medical Office Technology               ,14,,15,,30,,28,,28,,16,,22,,28,,28,
,,051440 - Office Management                       ,21,,22,,28,,23,,26,,30,,37,,25,,36,
,,051800 - Customer Service                        ,23,,61,,28,,83,,23,,52,,48,,81,,57,
,,"060100 - Media and Communications, General       ",16,,,,25,,31,,27,,32,,26,,25,,,
,,060200 - Journalism                              ,13,,,,,,,,28,,,,17,,,,15,
,,061210 - Film History and Criticism              ,170,,198,35,222,,199,99,167,,247,91,165,,177,89,161,
,,061430 - Website Design and Development          ,,,9,,,,29,,,,,,,,,,,
,,"070100 - Information Technology, General         ",79,,95,3,85,,104,2,89,,115,2,83,,98,,83,
,,070200 - Computer Information Systems            ,,,12,,12,,14,,15,,,,21,,16,,13,
,,070210 - Software Applications                   ,394,,346,90,471,,476,89,464,,566,81,421,,545,92,484,
,,070700 - Computer Software Development           ,,,9,,,,,,,,,,,,,,,
,,070710 - Computer Programming                    ,60,,121,,118,,138,,71,,136,,97,,98,,59,
,,070800 - Computer Infrastructure and Support     ,41,,19,,43,,32,,40,,59,,55,,48,,67,
,,070810 - Computer Networking                     ,47,,14,,45,,23,,64,,48,,50,,32,,40,
,,070820 - Computer Support                        ,,,31,,,,32,,,,29,,,,31,,19,
,,070900 - World Wide Web Administration           ,33,,44,,35,,42,,56,,49,,18,,46,,19,
,,"080100 - Education, General                      ",31,,54,,31,,52,,28,,54,,26,,36,,54,
,,083500 - Physical Education                      ,277,,306,89,293,,291,98,378,,269,98,340,,338,85,453,
,,083550 - Intercollegiate Athletics               ,304,,224,110,319,,227,77,357,,336,106,372,,293,224,396,
,,083560 - Coaching                                ,2,,5,,4,,2,,5,,5,,6,,5,,6,
,,083700 - Health Education                        ,342,,294,104,402,,296,111,549,,291,158,479,,355,139,404,
,,085000 - Sign Language                           ,96,,72,26,71,,74,41,274,,89,48,440,,200,34,"1,123",
,,"090100 - Engineering, General (requires Calculus)",15,,13,,9,,14,,6,,19,,19,,28,,16,
,,"092400 - Engineering Technology, General (require",,,22,,22,,37,6,37,,26,,39,,31,,43,
,,093400 - Electronics and Electric Technology     ,,,31,,32,,62,,,,15,,,,39,,,
,,094700 - Diesel Technology                       ,59,,57,5,77,,102,9,115,,94,15,116,,131,18,121,
,,094720 - Heavy Equipment Maintenance             ,4,,10,,,,,,,,,,,,,,,
,,094730 - Heavy Equipment Operation               ,148,,133,,139,,187,7,187,,200,7,182,,206,8,197,
,,094750 - Truck and Bus Driving                   ,,,97,22,92,,100,,126,,104,13,85,,97,,47,
,,094800 - Automotive Technology                   ,124,,131,,165,,167,,170,,167,,145,,175,,165,
,,094840 - Alternative Fuels and Advanced Transport,,,17,,,,21,,,,24,,,,18,,,
,,095200 - Construction Crafts Technology          ,73,,35,3,11,,14,5,12,,13,,15,,20,4,14,
,,095250 - Mill and Cabinet Work                   ,,,,,,,,,,,,,,,5,,13,
,,095300 - Drafting Technology                     ,25,,37,,35,,44,,45,,28,,30,,29,,40,
,,095600 - Manufacturing and Industrial Technology ,83,,92,,70,,76,,138,,116,,104,,133,9,122,
,,095630 - Machining and Machine Tools             ,11,,25,,12,,30,,13,,26,,,,,,20,
,,095650 - Welding Technology                      ,265,,298,46,302,,349,70,366,,375,95,458,,357,69,412,
,,095800 - Water and Wastewater Technology         ,15,,6,,30,,34,2,26,,19,,11,,11,,44,
,,099900 - Other Engineering and Related Industrial,,,,,,,,,,,,,,,17,,,
,,"100100 - Fine Arts, General                      ",280,,308,222,351,,305,216,329,,282,299,324,,309,252,295,
,,100200 - Art                                     ,50,,43,,48,,47,,69,,52,,63,,39,,64,
,,100210 - Painting and Drawing                    ,110,,128,,120,,120,,124,,99,,123,,101,,129,
,,100220 - Sculpture                               ,21,,22,,9,,32,,32,,32,,18,,43,,19,
,,100230 - Ceramics                                ,,,,,,,28,,32,,28,,29,,54,,50,
,,100400 - Music                                   ,379,,429,,397,,445,,502,,551,64,468,,488,62,579,
,,100600 - Technical Theater                       ,,,15,,16,,5,,17,,8,,15,,,,13,
,,100700 - Dramatic Arts                           ,72,,68,,66,,71,29,65,,69,,102,,106,12,119,
,,100900 - Applied Design                          ,,,,,,,,,,,,,,,20,,,
,,101100 - Photography                             ,47,,43,19,51,,52,21,49,,41,22,45,,52,24,43,
,,103000 - Graphic Art and Design                  ,48,,46,,47,,49,,55,,54,,48,,53,,52,
,,110200 - French                                  ,19,,19,,16,,18,,30,,14,,44,,14,,31,
,,110500 - Spanish                                 ,141,,206,,124,,247,,165,,258,,158,,210,,233,
,,110700 - Chinese                                 ,,,,,,,,,7,,,,6,,,,21,
,,110800 - Japanese                                ,60,,53,,44,,49,17,44,,60,7,48,,53,11,69,
,,"120100 - Health Occupations, General             ",159,,173,41,159,,261,58,176,,278,61,240,,367,121,265,
,,120800 - Medical Assisting                       ,49,,43,7,31,,31,2,58,,65,,42,,47,,49,
,,120810 - Clinical Medical Assisting              ,,,,,,,,,,,17,,12,,62,,49,
,,122200 - Physical Therapist Assistant            ,87,,179,,147,,182,33,154,,218,27,153,,298,34,252,
,,122300 - Health Information Technology           ,223,,234,,249,,301,,285,,335,,298,,386,,368,
,,123010 - Registered Nursing                      ,122,,268,24,288,,295,,205,,298,,270,,262,,148,
,,123020 - Licensed Vocational Nursing             ,21,,20,,13,,14,,12,,11,,10,,10,,,
,,123030 - Certified Nurse Assistant               ,,,,6,6,,,,11,,8,31,25,,21,39,,
,,124020 - Dental Hygienist                        ,132,,144,12,132,,126,9,105,,126,12,132,,132,10,120,
,,125000 - Emergency Medical Services              ,21,,118,80,11,,118,81,51,,171,92,40,,146,107,29,
,,127000 - Kinesiology                             ,87,,38,26,66,,55,29,85,,63,27,71,,52,30,65,
,,"130100 - Family and Consumer Sciences, General   ",39,,43,32,45,,61,5,38,,57,5,42,,42,3,39,
,,130500 - Child Development/Early Care and Educati,855,,843,251,929,,931,289,925,,983,269,955,,988,292,"1,173",
,,130520 - Children with Special Needs             ,25,,30,,31,,35,,25,,25,24,34,,23,25,33,
,,"130600 - Nutrition, Foods, and Culinary Arts     ",219,,196,95,237,,221,97,230,,250,,252,,283,87,323,
,,130630 - Culinary Arts                           ,27,,62,,49,,64,,56,,101,,93,,105,15,86,
,,130700 - Hospitality                             ,18,,,,17,,5,,25,,,,25,,3,,30,
,,130710 - Restaurant and Food Services and Managem,69,,46,39,102,,120,48,117,,116,64,157,,108,66,159,
,,130720 - Lodging Management                      ,9,,11,10,21,,30,31,30,,27,6,33,,15,,23,
,,130800 - Family Studies                          ,90,,52,,134,,92,,107,,83,,97,,88,,94,
,,150100 - English                                 ,"1,895",,"1,486",370,"1,637",,"1,469",410,"1,873",,"1,457",462,"2,035",,"1,676",461,"2,062",
,,150300 - Comparative Literature                  ,44,,45,,10,,17,,42,,28,,,,16,,27,
,,150600 - Speech Communication                    ,689,,687,166,718,,716,198,783,,799,229,864,,906,252,840,
