,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Sierra Total,,,"43,842",,"40,530","11,317","44,509",,"42,215","12,208","48,038",,"47,765","13,794","51,825",,"50,588","15,252","53,226",
,Credit - Degree Applicable                         Total,,"43,488",,"40,250","11,281","44,213",,"41,977","12,173","47,602",,"47,294","13,731","51,219",,"49,998","15,195","52,542",
,,"010100 - Agriculture Technology and Sciences, Gen",421,,379,144,387,,395,110,452,,404,149,470,,559,132,467,
,,"011200 - Agriculture Business, Sales and Service ",26,,30,,30,,20,,27,,33,,26,,27,,27,
,,011500 - Natural Resources                       ,70,,79,,48,,58,,61,,39,,70,,44,,83,
,,011510 - Parks and Outdoor Recreation            ,,,,,,,,,,,,,,,,,9,
,,030100 - Environmental Science                   ,,,70,,29,,69,,37,,69,,36,,117,,47,
,,030200 - Environmental Studies                   ,218,,166,31,205,,186,65,288,,251,73,307,,270,64,269,
,,"040100 - Biology, General                        ",540,,577,205,502,,666,248,537,,607,268,568,,567,260,621,
,,"040200 - Botany, General                         ",42,,51,14,53,,67,20,60,,76,14,62,,108,,45,
,,040300 - MicroBiology                            ,200,,156,,163,,168,,197,,172,,198,,165,,210,
,,"040700 - Zoology, General                        ",87,,118,,119,,107,25,143,,130,22,143,,133,24,118,
,,040800 - Natural History                         ,29,,40,,34,,32,,36,,47,,33,,44,,38,
,,041000 - Anatomy and Physiology                  ,724,,807,277,753,,839,332,760,,813,325,845,,822,327,805,
,,"050100 - Business and Commerce, General          ",199,,229,25,247,,215,38,253,,241,72,419,,262,66,771,
,,050200 - Accounting                              ,998,,897,289,869,,949,283,902,,980,321,984,,981,331,975,
,,050210 - Tax Studies                             ,45,,69,,42,,,,,,,,,,,,,
,,050500 - Business Administration                 ,795,,699,236,679,,665,274,831,,883,281,911,,867,295,962,
,,050600 - Business Management                     ,76,,76,39,72,,87,48,78,,100,48,83,,91,47,80,
,,050630 - Management Development and Supervision  ,101,,127,15,93,,83,,110,,104,,86,,99,,64,
,,050640 - Small Business and Entrepreneurship     ,213,,139,23,106,,90,,199,,230,,173,,224,,86,
,,050800 - International Business and Trade        ,19,,22,11,22,,21,,27,,,,15,,,,,
,,050900 - Marketing and Distribution              ,139,,123,30,119,,113,32,125,,102,32,137,,123,32,153,
,,050910 - Advertising                             ,30,,28,,30,,21,,40,,35,,33,,38,,,
,,050940 - Sales and Salesmanship                  ,,,32,,,,35,,,,34,,35,,35,,31,
,,051100 - Real Estate                             ,120,,116,31,111,,82,29,128,,94,31,110,,85,30,111,
,,051400 - Office Technology/Office Computer Applic,261,,301,84,269,,264,89,240,,256,100,248,,268,96,265,
,,051800 - Customer Service                        ,25,,30,22,25,,24,25,30,,25,30,25,,26,22,25,
,,"060100 - Media and Communications, General       ",303,,271,111,243,,296,129,261,,360,161,321,,430,179,351,
,,060200 - Journalism                              ,13,,20,,10,,24,,9,,38,,23,,29,,36,
,,060400 - Radio and Television                    ,,,,,,,,,,,1,,,,,,,
,,061000 - Mass Communications                     ,50,,31,13,53,,57,16,50,,67,30,58,,75,27,54,
,,061200 - Film Studies                            ,29,,30,,60,,60,,57,,58,,61,,58,,84,
,,061220 - Film Production                         ,143,,137,,141,,124,,189,,104,,229,,150,,196,
,,061410 - Multimedia                              ,16,,,,,,15,,,,14,,,,11,,,
,,061430 - Website Design and Development          ,34,,31,,36,,24,,40,,37,,49,,25,,35,
,,061460 - Computer Graphics and Digital Imagery   ,19,,20,,20,,17,,18,,22,,14,,19,,16,
,,"070100 - Information Technology, General         ",16,,60,,27,,41,,10,,33,,63,,38,,,
,,070200 - Computer Information Systems            ,118,,164,17,140,,143,44,135,,204,32,184,,212,39,183,
,,070210 - Software Applications                   ,28,,30,,16,,24,,30,,22,,23,,25,,29,
,,070600 - Computer Science (Transfer)             ,92,,117,,59,,117,31,98,,131,30,91,,126,32,79,
,,070710 - Computer Programming                    ,852,,775,194,872,,805,287,916,,793,304,783,,642,257,660,
,,070730 - Computer Systems Analysis               ,64,,70,40,59,,60,44,70,,72,48,70,,74,29,46,
,,070800 - Computer Infrastructure and Support     ,128,,104,17,101,,119,17,130,,157,19,185,,186,51,219,
,,070810 - Computer Networking                     ,41,,49,,59,,58,,85,,97,24,83,,118,36,67,
,,070820 - Computer Support                        ,94,,104,34,103,,108,55,116,,110,44,100,,137,46,60,
