,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Siskiyous Total,,,"3,267",274,"2,967",986,"3,013",324,"3,121","1,002","3,448",326,"3,984","1,183","3,725",337,"4,090","1,520","3,990",621
,Credit - Degree Applicable                         Total,,"2,967",210,"2,560",847,"2,786",275,"2,757",880,"3,157",263,"3,305",951,"3,349",237,"3,537","1,388","3,653",541
,,"010100 - Agriculture Technology and Sciences, Gen",10,,,,,,15,,46,,,,16,,18,,9,
,,010200 - Animal Science                          ,,,,,,,,,,,,,,,,,29,
,,"011200 - Agriculture Business, Sales and Service ",13,,,,,,4,,,,,,,,21,,,
,,030100 - Environmental Science                   ,41,,20,,,,,,29,,40,,21,,26,,12,
,,"040100 - Biology, General                        ",64,,55,1,83,15,108,8,93,12,74,13,87,20,84,16,139,19
,,040300 - MicroBiology                            ,21,,17,,12,,14,,8,,8,,11,,,,16,
,,041000 - Anatomy and Physiology                  ,56,,38,,28,,65,,51,,56,,48,,77,,9,
,,"050100 - Business and Commerce, General          ",,,,4,,,,,,,,,,,,,,
,,050200 - Accounting                              ,46,,44,9,55,,55,8,48,,54,14,45,,49,23,42,
,,050400 - Banking and Finance                     ,,,,,8,,3,,12,,,,,,,,,
,,050500 - Business Administration                 ,36,,32,,45,,12,15,32,,33,14,37,,30,26,26,
,,050600 - Business Management                     ,29,,25,,24,,17,,28,,17,,30,,24,18,30,
,,050640 - Small Business and Entrepreneurship     ,,,,,,,,,,,,,,,,,29,
,,051400 - Office Technology/Office Computer Applic,,,10,,,,12,4,,,19,2,,,10,,,13
,,"060100 - Media and Communications, General       ",,,14,,,,,,,,,,,,,,13,
,,061400 - Digital Media                           ,18,,,,,,,,12,,,,4,,,,17,
,,061420 - Electronic Game Design                  ,5,5,,6,2,,,11,4,,,14,6,,12,10,8,
,,061460 - Computer Graphics and Digital Imagery   ,,,,,7,,,,,,,,11,,,,,
,,"070100 - Information Technology, General         ",,,20,13,30,7,24,23,28,,29,13,61,9,18,17,24,15
,,070600 - Computer Science (Transfer)             ,27,,10,,,,6,,,,,,,,3,,,
,,070710 - Computer Programming                    ,17,,14,12,19,,21,17,39,,39,10,19,,29,8,32,
,,070800 - Computer Infrastructure and Support     ,,,,,,,9,,,,18,,,,,,,
,,083500 - Physical Education                      ,41,,51,61,48,,72,46,48,,73,37,11,,18,,11,
,,083510 - Physical Fitness and Body Movement      ,31,,30,13,45,,38,,7,,7,,5,,16,,6,
,,083550 - Intercollegiate Athletics               ,206,,121,70,197,,124,75,203,,160,63,213,,159,15,219,
,,083700 - Health Education                        ,100,13,70,62,88,17,64,63,96,31,63,44,92,31,93,54,104,26
,,085000 - Sign Language                           ,20,,11,,13,,5,,20,,24,,20,,19,,17,
,,089900 - Other Education                         ,,,,,,,,,,,242,15,21,,437,410,81,
,,095600 - Manufacturing and Industrial Technology ,,,7,,15,,7,,13,,26,,9,,2,,,
,,095650 - Welding Technology                      ,37,,35,,47,,61,,43,,55,,62,,44,,53,
,,"100100 - Fine Arts, General                      ",30,,34,,2,,60,,32,,43,12,54,,71,45,98,
,,100210 - Painting and Drawing                    ,30,,27,,16,,29,,29,,24,9,33,,30,,36,
,,100220 - Sculpture                               ,5,,,,,,,,,,,,,,20,,,
,,100230 - Ceramics                                ,16,,24,,28,,23,,36,,23,,45,,19,,44,
,,100400 - Music                                   ,80,9,86,26,58,,91,34,100,36,90,39,80,30,131,34,81,29
,,100700 - Dramatic Arts                           ,35,,38,7,47,13,34,,39,,58,24,63,,48,,45,
,,100900 - Applied Design                          ,22,,,,13,,,,11,,,,,,12,,,
,,101100 - Photography                             ,30,,27,,,,,,,,,,9,,13,,16,
,,110500 - Spanish                                 ,25,,27,,27,,26,,22,,27,,27,,28,,21,
,,123020 - Licensed Vocational Nursing             ,38,,,14,,,,,14,,77,13,63,,22,13,46,
,,125000 - Emergency Medical Services              ,,27,,16,,12,,,,21,,20,,11,,,48,26
,,125100 - Paramedic                               ,86,,82,21,67,,38,10,99,,98,,102,,69,,93,29
,,127000 - Kinesiology                             ,24,,85,,26,,86,,74,,87,,164,,178,51,202,
,,"130100 - Family and Consumer Sciences, General   ",,,22,,,,13,,,,,,,,,,,
,,130500 - Child Development/Early Care and Educati,154,,177,48,156,,188,30,178,,195,37,148,,167,29,162,31
,,150100 - English                                 ,362,29,220,77,400,45,260,80,400,48,299,90,391,35,263,89,380,57
,,150600 - Speech Communication                    ,115,21,96,,135,24,150,46,158,,131,,173,,165,38,186,
