,,,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023,Winter 2024,Spring 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026
Skyline Total,,,"15,085",,"16,755","6,770","17,369",,"18,132","8,046","19,831",,"20,560","8,123","20,373",,"21,176","8,695","20,291",
,Credit - Degree Applicable                         Total,,"14,810",,"16,444","6,698","16,996",,"17,702","7,950","19,314",,"20,048","8,046","19,918",,"20,795","8,605","19,878",
,,030100 - Environmental Science                   ,96,,160,48,96,,128,49,134,,175,45,118,,173,,136,
,,"039900 - Environmental Sciences and Technologies,",64,,92,,39,,23,,,,,,,,,,,
,,"040100 - Biology, General                        ",470,,437,95,468,,415,165,604,,646,171,667,,661,146,586,
,,040300 - MicroBiology                            ,143,,132,53,135,,99,54,126,,118,58,157,,126,64,155,
,,041000 - Anatomy and Physiology                  ,389,,353,207,353,,367,234,361,,403,237,470,,504,266,494,
,,043000 - Biotechnology and Biomedical Technology ,98,,"1,069",,74,,945,,96,,"1,141",,141,,"1,106",,117,
,,"050100 - Business and Commerce, General          ",344,,308,145,323,,280,176,364,,349,156,391,,367,145,369,
,,050200 - Accounting                              ,250,,254,116,310,,279,121,300,,314,120,307,,361,137,352,
,,050210 - Tax Studies                             ,17,,26,,20,,34,,25,,17,,25,,28,,32,
,,050400 - Banking and Finance                     ,,,,,,,,,,,28,,50,,72,,35,
,,050500 - Business Administration                 ,,,59,,15,,46,,,,47,,,,47,,,
,,050600 - Business Management                     ,14,,22,,18,,42,14,21,,10,19,12,,63,23,30,
,,050630 - Management Development and Supervision  ,9,,,,22,,34,,24,,30,,28,,19,,20,
,,050640 - Small Business and Entrepreneurship     ,34,,,,32,,,25,72,,,39,56,,,28,48,
,,050800 - International Business and Trade        ,,,20,,13,,11,,,,,,,,,,,
,,050900 - Marketing and Distribution              ,41,,39,,51,,74,29,67,,57,,67,,66,,45,
,,050940 - Sales and Salesmanship                  ,15,,,,,,30,,,,,,27,,,37,36,
,,051000 - Logistics and Materials Transportation  ,11,,15,,8,,27,,,,,,,,,,,
,,051100 - Real Estate                             ,97,,43,,114,,88,,88,,49,,110,,71,,97,
,,051400 - Office Technology/Office Computer Applic,170,,197,62,156,,249,76,172,,222,29,175,,221,59,168,
,,051420 - Medical Office Technology               ,98,,146,119,92,,126,136,119,,132,156,157,,188,146,152,
,,060200 - Journalism                              ,64,,58,,63,,84,,110,,75,,73,,74,,76,
,,061200 - Film Studies                            ,19,,92,27,94,,99,85,89,,143,80,97,,136,82,87,
,,061400 - Digital Media                           ,88,,108,15,111,,104,10,138,,230,,154,,141,,322,
,,070600 - Computer Science (Transfer)             ,76,,139,,135,,161,,135,,167,,16,,37,,34,
,,070710 - Computer Programming                    ,71,,66,53,92,,80,55,95,,81,39,177,,148,,127,
,,070720 - Database Design and Administration      ,,,,,,,,,,,15,,,,14,,,
,,070800 - Computer Infrastructure and Support     ,182,,126,,122,,160,,136,,203,14,211,,211,11,195,
,,"080100 - Education, General                      ",,,7,,,,,,,,16,,,,8,,,
,,083500 - Physical Education                      ,575,,602,494,697,,783,543,675,,723,563,699,,771,653,755,
,,083510 - Physical Fitness and Body Movement      ,161,,205,168,175,,307,211,321,,270,241,345,,290,404,418,
,,083550 - Intercollegiate Athletics               ,202,,155,72,228,,160,92,287,,173,108,284,,177,120,268,
,,083580 - Adapted Physical Education              ,14,,17,18,29,,28,20,24,,27,,28,,35,14,35,
,,083700 - Health Education                        ,57,,99,36,98,,40,35,65,,80,41,96,,76,38,100,
,,085000 - Sign Language                           ,60,,33,37,60,,59,102,71,,87,71,61,,63,66,73,
